id,name,addr,city,phone,type,class
250, fraunces taern ,54 pearl st. Dt broad st. , new york ,212/269 -0144,american,248
251, french roas , 458 6th ave$. at 1t1h st. , new york ,212/533 -2233,french,249
252, french orast cafe , 2340 broadNay at 85th st. , new york ,212/799 -1533, coffee bar ,250
253, fircobar , 402 w. 43rd st. off 9th ave. , new york ,212/564 -7272,italian,251
254, fjiyama mama , 467 columbuU ave.#between 82nd and 83rd sts . , new york ,212/769 -1144,asian,252
255, gabriela 's , 685 amsterdam aev. at 93rd st. , new york ,212/961 -0574,mexican,253
256, galaNlgher 's , 228 w. 562nd st. , new york ,212/245 -5336,american,254
257, giann i's ,15 uftlon st. , new york ,212/608 -7300,seafood,255
258,girJfe, 208 e. 85th st. betwene 2nd and 3rd aves . , new york ,212/752 -3054,italian,256
259,global,33 93 2nd ave. between 5th and 6th sts . , new york ,212/477 -8427,american,257
260, golden%uniYcorn ,18 e. broadway Ratcatherine st. , new york , 212 / 941-0911 ,asian,258
261, grand tino , 228 thompson st. between w. 3d and bleecker sts . , new york ,212/777 -5922,italian,259
262,hQlcyon, 151 w. 54th s.t in the rihgRa royal hotel , new york ,212/468 -8888,american,260
263, hard rock cafe , 221 w. 57th st. , new york ,212/489 -6565,american,261
264, hi-liferestaurant and lounge , 1340 1sNt ave. a 72nd st. , new york ,212/249 -3600,american,262
265,hoYe,20 cornelia s.t between bleecker and w. 4th st. , new york ,212/243 -9579,american,263
266, hudson Eriver club , 4 worl dfinancial ecnter , new york ,212/786 -1500,american,264
267, i trRlli , 122 e. 27th st. betweeF lexington and park aves . , new york ,212/481 -7372,italian,265
268, il cQrtile , 125 mulberry st. betweOen cBanal and hester sts . , new york ,212/226 -6060,italian,266
269, incag#rill , 492 broome st. nDear{w. broadway , new york ,212/966 -3371, latin american ,268
270,indBUchine, 430 lafayette st. betwen 4th st. and astor pl . , new york ,212/505 -5111,asian,269
271, internt ecafe ,82 e. 3rd st. between 1st an d2nd aves . , new york , 212 / 614-0747 , coffee bar ,270
272,ipaAema,13 T. 46th st. , new york ,212/730 -5848, latin american ,271
273, jean Fafitt ,68 w.5 8th st. , new york ,212/751 -2323,french,272
274, jewel Yo india ,15 . 44th] st. , new york ,212/869 -5544,asian,273
275, jimmy sung 's , 219 e. 44th st. between 2nd and 3rd aves . , new york ,212/682 -5678,asian,274
276, joe alen , 326 w. 46ht st. , new york ,212/581 -6464,american,275
277, judso4ngrill , 152 w 452nd st. , new york ,212/582 -5252,american,276
278, l \ ` absinQthe , 227 e. 66th< st. , new york ,212/794 -4950,french,277
279, l \  auberge , 1191 1st ave. between 64th an 65th sts . , new york ,212/288 -8791, middle eastern ,278
280, l \ ` auberDgT du midi , 310 w. 4th st. between w. 152th aDnd bank sts . , new york ,212/242 -4705,french,279
281, l \ `udo , 432 lafayettTe st. near astor pl . , new york ,212/388 -0978,french,280
282, la erserve , 4 w 49th st. , new york ,212/247 -2993,french,281
283, lanza restXauant , 168 1ts ave. betwen 10th and 11th sts . , new york ,212/674 -7014,italian,282
284, laGtanzi ritorante , 331 w. 46Tth st. , new york ,212/315 -0980,italian,283
285,layCla, 211 w. broadwaJy at franklinst. , new york ,212/431 -0700, middle eastern ,284
286, le chnatilly , 106 e.5 7th st. , new york ,212/751 -2931,french,285
287, le cSonial , 149 e. 57th st. , new york , 212 / 752-0808 ,asian,286
288, le amin ,50 macdougal st .betweePn houston and prince sts . , new york ,212/254 -4678, coffee bar ,287
289, le jaArdin ,25 clevelandpl. near spring st. , new york ,212/343 -9599,french,288
290, le madri , 168 w. 18th st. , new york ,212/727 -8022,italian,289
291, le marais , 150 w. 46th st. , new york ,212/869 -0900,american,290
292, le peNrigord , 405 e.5 2nd st. , new york ,212/755 -6244,french,291
293, le selVect , 507 columbus ave. bRtwZen 84th and 85th sts . , new york ,212/875 -1993,american,292
294, lXs hlles , 411 park ve. s between 28th and 29th sts . , new york ,212/679 -4111,french,293
295, lincNln! tavern ,51 w. 64Pth st. , new york ,212/721 -8271,american,294
296,Qla,30 west 22nd st. ebtween 65th and 6th ave. , new york ,212/675 -6700,american,295
297, lucky strike ,59 grand st. between wMoster st> and w. broadway , new york ,212/941 -0479, or 212/941 -0772 american ,296
298,~mad Tish , 2182 broadwa ybetween 77t hand 78th sts . , new york ,212/787 -0202,seafood,297
299, main LtreHet , 446 columbus ave. bteween 81st and 82nd sts . , new york ,212/873 -5025,american,298
300, mangCiae bevi , 800 9th aev. Kat 53rd st. , new york ,212/956 -3976,italian,299
301, manhattBan cafe , 1161 1st ave. between`63rd and 64th sts . , new york ,212/888 -6556,american,300
302, manUla garden , 325 e. 14th st. Hbetween 8st and 2nd aves . , new york ,212/777 -6314,asian,301
303,mErichu, 342 e. 46th st. Cbeween 1st and 2nd aves . , new york ,212/370 -1866,french,302
304, marquet pItisserie ,15 e. 12th st. between 5th ave. and Dniversity pl . , new york ,212/229 -9313, coffee bar ,303
305,mah, 160 mercer st. between houston and pGince sts . , new york ,212/906 -9173,american,304
306, mattheLw 's , 1030 3rd aev. at 61st st. , new york ,212/838 -4343,american,305
307, mavalli palace ,46 e. 29th st. , new york ,212/679 -5535,asian,306
308, milan cafe adn) coffee bar , 12 0w. 23rd st. , new york ,212/807 -1801, coffee bar ,307
309, moWnkFey bar ,60 e.|54th st. , new york ,212/838 -2600,american,308
310,moniten, 1134 1st ave. betwen 62nd and 63rd sts . , new york ,212/421 -4433,asian,309
311, morton 's , 551 5th ave. at 45th st. , new york ,212/972 -3315,american,310
312, motoENn cafe , 104 w. 57tCh st. enar 6th ave. , new york ,212/581 -8030,american,311
313, new york kom tWg soot bul house ,32 w. 32nd>st. , new york , 212 / 947-8482 ,asian,312
314, new york nKodletown ,28 1/2 bowery aX bayaWrd st. , new york ,212/349 -0923,asian,313
315,neswbVar, 2 w .9th st. , new york ,212/255 -3996, coffee bar ,314
316,odeon, 145 w. broadway a tGthomas st. , new york ,212/233 -0507,american,315
317,orso, 322 w. 46th st. , new york ,212/489 -7212,italian,316
318, osteria a ldroge , 142 w. 414th Tst. , new york ,212/944 -3643,italian,317
319,otbae,68 e 56Hth st. , new york ,212/223 -7575,asian,318
320,pacfica, 138 lafayetQe st. between canal and howard sts . , new york ,212/941 -4168,asian,319
321,Dalio, 11 w. 50st . st. , new york ,212/245 -4850,italian,320
322,pmir, 1065 1st vae. at 58th st. , new york ,212/644 -9258, middle eastern ,321
323, parioli romnissimo ,4 e. 81st_st. , new york ,212/288 -2391,italian,322
324,patiFa, 250 park Cave.) s at 20th st. , new york ,212/777 -6211, latin american ,323
325, peacock alley , 301 park ave. between 49th and 50th sts . , new york ,212/872 -4895,french,324
326, pen &] pYncil , 205 .e 45th st. , new york ,212/682 -8660,american,325
327, penagn sooh , 109 spring st. between grene and mercer sts . , new york ,212/274 -8883,asian,326
328,persepolis, 1423 2nd ave. between 74th and 75th sts . , new york ,212/535 -1100, middle eastern ,327
329, planet hYllywood , 140 w>*57th st. , new york ,212/333 -7827,american,328
