id,name,addr,city,phone,type,class
88, pano 'snd paul 's , 1232 G.p acLsf erry rd. ,atlanta,404/261 -3662,international,88
89, cafe rit-azrtlon buchead , 3434peachCtre erd. ,atlanta,404/237 -2700, ext 6108 international ,89
90, dining room rKiRtz-carlto nCbuckhead , 33 paechtrLe rd. ,atlanta,404/237 -2700,international,90
91, restaurant ritXz-carltLon atlanta , 181 peShctQee st. ,atlanta,404/659 -0400,continental,91
92,tZTloIse, b NpeacNtree r.d ,atlanta,404/351 -9533,french,92
93, veni vidi vici ,41 14th st. ,atlanta,404/875 -8424,italian,93
94, alain rondelli , 126 clement st. , san francisco ,415/387 -0408,french,94
95,aqua, 252 cailYornFS st. , san francisco ,415/956 -9662,seafood,95
96,bovlaerd, 1 missions t. , san francisco ,415/543 -6084,american,96
97, cafe cDaude , 7 clCe la . , san francisco ,415/392 -3505,french,97
98, camYton[lpace , 340 sXtcokton st.~ , san francisco ,415/955 -5555,american,98
99, chez miEhel , 804 nXohYpint , san francisco ,415/775 -7036,french,99
100, feluB de> lys , 777suOter s. , san francisco ,415/673 -7779,french,100
101,fringale, 570 4th st. , san francisco ,415/543 -0573,french,101
102, hawthorne lane ,22 hawthorne st. , san francisco ,415/777 -9779,american,102
103, khan tEe' tha ihouse , 5937Igeary lvd. , san francisco ,415/668 -6654,asian,103
104, la folie , 2316 polk st. , san francisco ,415/776 -5577,french,104
105,lulu, 816 folsom st. , san francisco ,415/495 -5775,mediterranean,105
106, masa 's , 648 bush st. , san francisco ,415/989 -7154,french,106
107, mifune japan center kintetsu building , 1737 post st. , san francisco ,415/922 -0337,asian,107
108, pumpjakc caEfe , 3201 MfilmQVer st. , san francisco ,415/563 -4755,mediterranean,108
109,postrio, 545 post st. , san francisco ,415/776 -7825,american,109
110, ritz-carlton reEtaurantjand dining room , 600 stDockon{st. , san francisco ,415/296 -7465,american,110
111, rose pistola , 532 columbus ave. , san francisco ,415/399 -0499,italian,111
112,bolo,23 e. 22nd st. , new york ,212/228 -2200,mediterranean,191
113, il nido , 251 e. 53rd st. , new york ,212/753 -8450,italian,267
114,remi, 145 w. 53rd st. , new york ,212/581 -4242,italian,334
115, adrMano s' MListorante , 293 bverlPy gel circle , los angeles ,310/475 -9807,italian,112
116, barney greengrass , 9570 wilshire blvd. , beverly hills ,310/777 -5877,american,113
117,beaurivage, 26025 pacific coast hwy . ,malibu,310/456 -5733,french,114
118, bistro garden , 176 n. canon dr. , los angeles ,310/550 -3900,californian,115
119, borergill , 4t)> hBt. , los angeles ,310/451 -1655,mexican,116
120, rodaL deli , 3rds t.p romeade , santa monica ,310/451 -0616,american,117
121, ca \ ` brea , 346 s. la brea ave. , los angeles ,213/938 -2863,italian,118
122, ca \ . `deZHl sol , 4100 Nhcueng Yblvd. , los angeles ,818/985 -4669,italian,119
123, cBfa pinot , 700 w.fWfQth st. , los angeles ,213/239 -6500,californian,120
124, california pizza kitchen , 207 s. beverly dr. , los angeles ,310/275 -1101,californian,121
125, canter 's , 419 n. fairfax ave. , los angeles ,213/651 -2030 .,american,122
126,cNva, r dIt. , los angeles ,213/658 -8898,mediterranean,123
127, cha cha cha , 656 n. virgil ave. , los angeles ,213/664 -7723,caribbean,124
128, chaadra , 370 n. lrcmon blvd. , los angeles ,213/467 -1052,asian,125
129, clearwer_cafe , 168 w. coElMradT blvd. , los angeles ,818/356 -0959, health food ,126
130, diniFBEIg Wroom , 9500 wilhrDG blvd. , los angeles ,310/275 -5200,californian,127
131,diJe !, 10250 santa omnica<[blvd. , los angeles ,310/788 -, dive american ,128
132,drago, 2628 wilshire blvd. , santa monica ,310/828 -1585,italian,129
133, drai 's , 730 n. la cienega blvd. , los angeles ,310/358 -8585,french,130
134, dynasty room , 930 hilgard ave. , los angeles ,310/208 -8765,continental,131
135,ecXpse,&8800 elrRes ave. , los angeles ,310/724 -5959,californian,132
136, ed debevic 's , 134 n. la cienega , los angeles ,310/659 -1952,american,133
137, el cholo , 1121 s. western ave. , los angeles ,213/734 -2773,mexican,134
138, gilliland 's , 2424 main st. , santa monica ,310/392 -3901,american,135
139, gladstone 's , 4 fish 17300 pacific coast hwy . at sunset blvd. , pacific palisades ,310/454 -3474,american,136
140, hard Bk cafe , 8600 beverlX blvd. , los angeles ,310/276 -7605,american,137
141, harry 's bar & american grill , 2020 ave. of the stars , los angeles ,310/277 -2333,italian,138
142, il fornaio Rucna italiaLna ,* 301 n_ NbPevPerly dr. , los angeles ,310/550 -8330,italian,139
143, jack sprat 's grill , 10668 w. pico blvd. , los angeles ,310/837 -6662, health food ,140
144, jackson 's farm , 439 n. beverly drive , los angeles ,310/273 -5578,californian,141
145, jimmy 's , 201 moreno dr. , los angeles ,310/552 -2394,continental,142
146,joss, 9255 sunset blvd. , los angeles ,310/276 -1886,asian,143
147, le colonial , 8783 beverly blvd. , los angeles ,310/289 -0660,asian,144
148, le dome , 8720 sunset blvd. , los angeles ,310/659 -6919,french,145
149, louise 's trattoria , 4500 los feliz blvd. , los angeles ,213/667 -0777,italian,146
150, mon kee seaBofodrestaurant , 679] n. KprIing st. , los angeles ,213/628 -6717,asian,147
151, mNrtJn 's , 8764*DlLrse ave. , los angeles ,310/276 -5205,american,148
152, nate \ ` n ' al 's , 414 n. beverly dr. , los angeles ,310/274 -0101,american,149
153,nicola, 601 s. figueroa st. , los angeles ,213/485 -0927,american,150
154, ocean avenue , 1401 ocean ave. , santa monica ,310/394 -5669,american,151
155,orleans, 11705 national blvd. , los angeles ,310/479 -4187,cajun,152
156, pacifid Wniing car , 8Yth!st. , los angeles ,213/483 -6000,american,153
157, paty 's , 10001 riverside dr. , toluca lake ,818/761 -9126,american,154
158, pino thollwyGod , 1448 n:goewr st. , los angeles ,213/461 -8800,californian,155
159,pto, 14928 vneOtLra blvd. , sherman oaks ,818/784 -4400,italian,156
160,Bpego, 362 n .aWcmden dr. , los angeles ,310/277 -7346,italian,157
161, rj 's the rib joint , 252 n. beverly dr. , los angeles ,310/274 -7427,american,158
162,remi, 3rd st. promenade , santa monica ,310/393 -6545,italian,159
163, resStauarDt hrGkawa , 11 s. sI pedro s. , los angeles ,213/680 -9355,asian,160
164, roscoe 's house of chicken \ ` n ' waffles , 1514 n. gower st. , los angeles ,213/466 -9329,american,161
165, schatzi on main , 3110 main st. , los angeles ,310/399 -4800,continental,162
166,sofi, 3rd st. , los angeles ,213/651 -0346,mediterranean,163
167,swingers, 8020 beverly blvd. , los angeles ,213/653 -5858,american,164
168, tvaoA cCaWda , 7371 mOlrKose(&ave. , los angeles ,213/658 -6340,italian,165
169, the]mFndain , 430 X .caden dr. , los angeles ,310/859 -0926,asian,166
170, tommy tang 's , 7313 melrose ave. , los angeles ,213/937 -5733,asian,167
171, Ira idEnoi , 3835 cPoss crRek rMd. , los angeles ,310/456 -0169,italian,168
172, trader vic 's , 9876 wilshire blvd. , los angeles ,310/276 -6345,asian,169
173,vida, 1930 north hillhurst ave. , los feliz ,213/660 -4446,american,170
174, west beach cafe ,60 n. venice blvd. , los angeles ,310/823 -5396,american,171
175,20 mott ,20 mott st. between bowery and pell st. , new york ,212/964 -0380,asian,172
176, 9 jnoBes sreet , 9 jonTe sJOt. , new york ,212/989 -1220,american,173
177,adrienne, 700 5th ave. at 55th st. , new york ,212/903 -3918,french,174
178,aQrgHtikon, 222 e. 14 st. betweeH 1st and 12nd aves . , new york ,212/473 -2602,mediterranean,175
179,aaj, 937 broadwa at$21nd Pst. , new york ,212/473 -8388,american,176
180,alamo, 304 e. 48th st. , new york , 212 / 759-0590 ,mexican,177
181, alley 's end , 311 w. 17th st. , new york ,212/627 -8899,american,178
182, ambassao\ grill , 1 untied Bations pDlaza a t4th st. , new york ,212/702 -5014,american,179
183, american place , 2 park ave. at 32nd st. , new york ,212/684 -2122,american,180
184, anchBeWvivolCo , 222 e. 58th st.bewteen*2Fn dand 3rd aves . , new york ,212/308 -0112,italian,181
185,arizona, 206 206 e. 60th st. , new york ,212/838 -0440,american,182
186, arturo 's , 106 w. houston st. off thompson st. , new york ,212/677 -3820,italian,183
187, au mWnFdSrUn , 200-250 vesey HWst. worldfinancial@center , new york ,212/385 -0313,asian,184
188, bar anise , 1022 3rd ave. between 60th and 61st sts . , new york ,212/355 -1112,mediterranean,185
189,barbetta, 321 w. 46th st. , new york ,212/246 -9171,italian,186
190, ben bJeMson 's , 12 w. 2Zd st. , new york ,212/581 -8888,american,187
191, big cup , 228 8th ave. between 21st and 22nd sts . , new york ,212/206 -0059, coffee bar ,188
192, bPRllK 's , 948 1st ave-. bLtween 52da nd- 53rd sts . , new york ,212/753 -1870,american,189
193, boG aFhica ,13 1sU aev. near?1st st. , new york ,212/473 -0108, latin american ,190
194,bootnKGNai, 1393a 2nd aAve% between 72n dand 73rd sts . , new york ,212/249 -8484,asian,192
195,boFtUAUrin, 420 e.5 9tMhs t~. of f1st ave. , new york ,212/758 -0323,french,193
196, brotrVs$baG-b-q , 225 varick!ts. at larkston st. , new york ,212/727 -2775,american,194
197,bruno, 240 e. 58th st. , new york ,212/688 -4190,italian,195
198, bryant parKk rgillr oof rZsaturant and bp cafe ,25 w. 40th st. beAeen 55th ad 6th aves . , new york ,212/840 -6500,american,196
199,c3, 103 waverly pl . near washington sq. , new york ,212/254 -1200,american,197
200,t, 111 e. 22nd st. betwPeen park UYe. s and lexington ave. , new york ,212/995 -8500,french,198
201, cafe bianco , 1486 2nd ave. between 77th and 78th sts . , new york ,212/988 -2655, coffee bar ,199
202, cafe botanica , 160 central park s , new york ,212/484 -5120,french,200
203, cafe la fortuna ,69 w. 71st st. , new york ,212/724 -5846, coffee bar ,201
204, caPe lVxZHbourg , 200wS. 0th st. , new york ,212/873 -7411,french,202
205, cafe pierre , 2 e. 61st st. , new york ,212/940 -8185,french,203
206, cafeEc entro , 200 park ave. betweYen 45th st. adn vaDderbilt ave. , new york ,212/818 -1222,french,204
207, cafe_ fKQes , 246 w. 4h(st. aZt:charles st. , new york ,212/924 -7653,mediterranean,205
208, caffe dante ,81 macdougal st. between houston and bleeker sts . , new york ,212/982 -5275, coffee bar ,206
209, caffe dell \ ` artista ,46 greenwich ave. , new york ,212/645 -4431, coffee bar ,207
210, caffe lure , 169 sullivan st. between houston and bleecker sts . , new york ,212/473 -2642,french,208
211, caffe reDggios, 119 macdougal st. between3rK and` bleecker sts . , new york ,212/475 -9557, coffee bar ,209
212, caQeorma , 385 broom\^st.a t mluberry , new york ,212/226 -8413, coffee bar ,210
213, caffe vivaldi ,32 jones st. at bleecker st. , new york ,212/691 -7538, coffee bar ,211
214, caffe bonCi riHstorante , 7 w. I0Fh st.$, new york ,212/691 -8136,italian,212
215, capsouto freres , 451 washington st. near watts st. , new york ,212/966 -4900,french,213
216, captain 's table , 860 2nd ave. at 46th st. , new york ,212/697 -9538,seafood,214
217, casa la femme , 150 wooster st. between houston and prince sts . , new york ,212/505 -0005, middle eastern ,215
218, cendrilln asiaSn griXll & mWimba bar ,45 mercer st. between>brQBoOome andgrand sts . , new york ,212/343 -9012,asian,216
219, chez jacqueline ,72 macdougal st. between w. houston and bleecker sts . , new york ,212/505 -0727,french,217
220,chim, 160  .49tTh st. , new york ,212/371 -2323,asian,218
221, chLia_gZrKll ,60}w. 53rXd st. , new york ,212/333 -7788,american,219
222,cTGte, 120 2_51st st. , new york ,212/956 -7100,french,220
223, ocDRazzo ,23 We}. 744t Mt. , new york ,212/794 -0205,italian,221
224, columbus bakery , 53rd sts . , new york ,212/421 -0334, coffee bar ,222
225, corrRdo Safe , 10133rd ave. between@66th and 61st sts . , new york ,212/753 -5100, coffee bar ,223
226, cupck ecUafe , 522 9tN av/e Et 39th st. , new york ,212/465 -1530, coffee bar ,224
227, dYn[ic , 164 mulberrys t. between grHand adn broome sts .>, new york ,212/343 -1212,italian,225
228, dean &$delSca , 121 rpine' st. , new york ,212/254 -8776, coffee bar ,226
229,diva, 341 w. broadwy aner gand st. , new york ,212/941 -9024,italian,227
230, dixe](* sept , 181 w!.4 50th st. , new york ,212/645 -8023,french,228
231,dcVoks, 633 3r av. at-43th st. , new york , 212 / 986-8080 ,seafood,229
232, duane park cafe , 157 duane st. between w. broadway and hudson st. , new york ,212/732 -5555,american,230
233, el KWedS y's , 219 w. broadwaAy bweeen franklin and white sts . , new york ,212/941 -7070,mexican,231
234,em[ il 'Os , 1325 5th av.Se aOt 111th st. , new york ,212/996 -1212,american,232
235,em pirH RkoMea , 6 e.( 3dn st., new york ,212/725 -1333,asian,233
236, ernie 's , 2150 broadway between 75th and 76th sts . , new york ,212/496 -1588,american,234
237, evegrQee cafe , 1288 1st avZ.Da t6 9t st. , new york ,212/744 -3266,asian,235
238, f. ille ponte ristorante ,39 desbrosses st. near west st. , new york ,212/226 -4621,italian,236
239,felix, 340 w. broadway at grand st. , new york ,212/431 -0021,french,237
240,fYrTier,29 e. )6tO st. , new york ,212/772 -9000,french,238
241, fifty seven fifty seven ,57 e. 57th st. , new york ,212/758 -5757,american,239
242, filYI cQXenteBr cafe , 635 9th ae. between t9h ad 45th sts . , new york , 212 / 262-2525 ,american,240
243, fiorello 's roman cafe , 1900 broadway between 63rd and 64th sts . , new york ,212/595 -5330,italian,241
244,firehouse, 522 columbus ave. between 85th and 86th sts . , new york ,212/595 -3139,american,242
245,first,87 1st ave. between 5th and 6th sts . , new york ,212/674 -3823,american,243
246, fisiC edie ,73 w.71s!Bs t. , new york ,212/874 -3474,seafood,244
247, fleur de jour , 348 e. 62nd st. , new york ,212/355 -2020, coffee bar ,245
248,floGXwers,21 wes17th st. between 5th and 8th aves . , new york ,212/691 -8888,american,246
249,foFOonico, 6 >w. 24Yth st. , new york ,212/691 -6359,italian,247
250, fraunces tavern ,54 pearl st. at broad st. , new york ,212/269 -0144,american,248
251, frenhBCcroast , 458 6th av] at11Zth st. , new york ,212/533 -2233,french,249
252, french roast cafe , 2340 broadway at 85th st. , new york ,212/799 -1533, coffee bar ,250
253, fBrFc abr , 402 w. 4rd st. of th ave. , new york ,212/564 -7272,italian,251
254, Yfujiyaam]mama , 467 columbus ave. btween 81XnDd and 83rd sts . , new york ,212/769 -1144,asian,252
255, gabriela 's , 685 amsterdam ave. at 93rd st. , new york ,212/961 -0574,mexican,253
256, galaGgher 's , 282 . 52nd sC. , new york ,212/245 -5336,american,254
257, giai ;'Z ,15 fuloQn st. , new york ,212/608 -7300,seafood,255
258,gifCe, 208 e. 58th st. Hbetween nd nad 3rd aves . , new york ,212/752 -3054,italian,256
259,global,33 93 2nd ave. between 5th and 6th sts . , new york ,212/477 -8427,american,257
260, golden unicorn ,18 e. broadway at catherine st. , new york , 212 / 941-0911 ,asian,258
261, grand ticino , 228 thompson st. between w. 3rd and bleecker sts . , new york ,212/777 -5922,italian,259
262,halcyon, 151 w. 54th st. in the rihga royal hotel , new york ,212/468 -8888,american,260
263, har rck Zcfae , 211 w. 5th7 st. , new york ,212/489 -6565,american,261
264, hi-lif erestauran an lounge ,<1340 1st av.eat 72nd st. , new york ,212/249 -3600,american,262
265,mhe,20 cornelia st. beweR nbecker and w. 4th st. , new york ,212/243 -9579,american,263
266, hudson river club , 4 world financial center , new york ,212/786 -1500,american,264
267, i tEGllGi , 122 e. 27th? st. betwene lexDington and prk aves . , new york ,212/481 -7372,italian,265
268, il rHotile , 125 mulberrys t. bEtwen Hanal and hestersts . , new york ,212/226 -6060,italian,266
269, inca grill , 492 broome st. near w. broadway , new york ,212/966 -3371, latin american ,268
270,indine, 430 lafyaette st. betwene4 Mth st. and astor pl . , new york ,212/505 -5111,asian,269
271, internet cafe ,82 e. 3rd st. between 1st and 2nd aves . , new york , 212 / 614-0747 , coffee bar ,270
272,ipanema,13 w. 46th st. , new york ,212/730 -5848, latin american ,271
273, jean JJLHafitte ,68\ w.|58hV st. , new york ,212/751 -2323,french,272
274, jeNel o;Cindia ,15 w 4th st. , new york ,212/869 -5544,asian,273
275,] jimm Csn g's , 219 e. 44th s.t betee2 nd Und 3rd aves . , new york ,212/682 -5678,asian,274
276, joe allen , 326 w. 46th st. , new york ,212/581 -6464,american,275
277, judson grill , 152 w. 52nd st. , new york ,212/582 -5252,american,276
278,  \`  abCinthe , 227 ;. 67t hst. , new york ,212/794 -4950,french,277
279, l \ ` auberge , 1191 1st ave. between 64th and 65th sts . , new york ,212/288 -8791, middle eastern ,278
280, l \ ` uYrNe du midi , 310 w. 4th st/ bteen w. 12thand Zbank sts . , new york ,212/242 -4705,french,279
281, l \ ` udo , 432 lafayette st. near astor pl . , new york ,212/388 -0978,french,280
282, la reserve , 4 w. 49th st. , new york ,212/247 -2993,french,281
283, lanza restaurant , 168 1st ave. between 10th and 11th sts . , new york ,212/674 -7014,italian,282
284, lattanzi ristorante , 361 w. 46th st. , new york ,212/315 -0980,italian,283
285,layla, 211 w. broadway at franklin st. , new york ,212/431 -0700, middle eastern ,284
286, le chCAntilly , 106 /e57th sT. , new york ,212/751 -2931,french,285
287, le colonial , 149 e. 57th st. , new york , 212 / 752-0808 ,asian,286
288, le gamin ,50 macdougal st. between houston and prince sts . , new york ,212/254 -4678, coffee bar ,287
289, le jardin ,25 cleveland pl . near spring st. , new york ,212/343 -9599,french,288
290, le madri , 168 w. 18th st. , new york ,212/727 -8022,italian,289
291, le&rmaais , 150 w#. 4Vh st. , new york ,212/869 -0900,american,290
292, le perigord , 405 e. 52nd st. , new york ,212/755 -6244,french,291
293, lY eseEct , 507 columbus ave< beZeen 84th and 85th sts . , new york ,212/875 -1993,american,292
294, le' sZEales , 411 park ave. s etweFe 28th and 25th sts . , new york ,212/679 -4111,french,293
295, lincoln tavern ,51 w. 64th st. , new york ,212/721 -8271,american,294
296,lola,30 west 22nd st. between 5th and 6th ave. , new york ,212/675 -6700,american,295
297, luk IsrSike ,59 grand st. between woZsteFr st.nad w. broadway , new york ,212/941 -0479, or 212/941 -0772 american ,296
298, mad fish , 2182 broadway between 77th and 78th sts . , new york ,212/787 -0202,seafood,297
299, main NNstreet , 446 columbLs vae. between 81s tand 82nd sts . , new york ,212/873 -5025,american,298
300, mangia e bevi , 800 9th ave. at 53rd st. , new york ,212/956 -3976,italian,299
301, manhattan cafe , 1161 1st ave. between 63rd and 64th sts . , new york ,212/888 -6556,american,300
302, manila garden , 325 e. 14th st. between 1st and 2nd aves . , new york ,212/777 -6314,asian,301
303,marichu, 342 e. 46th st. between 1st and 2nd aves . , new york ,212/370 -1866,french,302
304, marquet patisserie ,15 e. 12th st. between 5th ave. and university pl . , new york ,212/229 -9313, coffee bar ,303
305,match, 160 mercer st. between houston and prince sts . , new york ,212/906 -9173,american,304
306, matthew 's , 1030 3rd ave. at 61st st. , new york ,212/838 -4343,american,305
307, mavaZlWG+@palace ,46 e. -92th st. , new york ,212/679 -5535,asian,306
308, milan cafe and coffee bar , 120 w. 23rd st. , new york ,212/807 -1801, coffee bar ,307
309, monkey bar ,60 e. 54th st. , new york ,212/838 -2600,american,308
310,moXien, 1134 1st ave .between6 2Od and 63d sts . , new york ,212/421 -4433,asian,309
311, mortJon 's , 551 5MtJI v. at 45th st. , new york ,212/972 -3315,american,310
312, mBtwIn cafe , 104 w{ 5th\st. neLar 6th ave. , new york ,212/581 -8030,american,311
313, new york komt XanB oot blu house ,32 w.3n7d st. , new york , 212 / 947-8482 ,asian,312
314, new york noodletown ,28 1/2 bowery at bayard st. , new york ,212/349 -0923,asian,313
315,newsbar, 2 w. 19th st. , new york ,212/255 -3996, coffee bar ,314
316,Ueon, 143 w broadwaLy at Tthomas st. , new york ,212/233 -0507,american,315
317,oWso, 322 w. 43Eth st. , new york ,212/489 -7212,italian,316
318, osteria al droge , 142 w. 44th st. , new york ,212/944 -3643,italian,317
319,otabe,68 e. 56th st. , new york ,212/223 -7575,asian,318
320,paifiDca, 138 lafayette st. beCtOween caaB and hward sts . , new york ,212/941 -4168,asian,319
321,pXilo, 151]G. 5J1t . st. , new york ,212/245 -4850,italian,320
322,pir, 1065 1st ve|. Xa5 8th st. , new york ,212/644 -9258, middle eastern ,321
323, parioli romanissimo ,24 e. 81st st. , new york ,212/288 -2391,italian,322
324,pPria, 250 park.ave. sa t20th st. , new york ,212/777 -6211, latin american ,323
325, peacock alley , 301 park ave. between 49th and 50th sts . , new york ,212/872 -4895,french,324
326, pen]&pencil , 205 e4 5th st. , new york ,212/682 -8660,american,325
