label,left_Beer_Name,left_Brew_Factory_Name,left_Style,left_ABV,right_Beer_Name,right_Brew_Factory_Name,right_Style,right_ABV,id
0,Sledgehammer Imperial Red Ale,Cambridge Brewing Company,American Amber / Red Ale,7.75 %,Anacapa Riptide Imperial Red Ale,Anacapa Brewing Company,American Strong Ale,8 %,3185_2266
0,Roundabout WpeiTal Red Ale,Bnfire Breiwng% Co. .,American Amber / Red Ale,8.80 %,AleSmith YuleSmith &#40; Winter &#41; Imperial Red Ale,AleSmith Brewing Company,American Strong Ale,8.50 %,3325_1973
0,StupiphanEB: ImXerTial Red Ale,Rusty TrucCk Breing CZompay / Roadhouse 101,American Amber / Red Ale,8.00 %,AleSmith YuleSmith &#40; Winter &#41; Imperial Red Ale,AleSmith Brewing Company,American Strong Ale,8.50 %,1794_1973
0,Roundabout WpeiTal Red Ale,Bnfire Breiwng% Co. .,American Amber / Red Ale,8.80 %,Marble Imperial Red Ale,Marble Brewery,American Strong Ale,9 %,3325_63
0,Merry Prankster Imperial Red Ale,Rock Bottom Restaurant & Brewery,American Amber / Red Ale,4.56 %,Marble Imperial Red Ale,Marble Brewery,American Strong Ale,9 %,2047_63
0,Roundabout WpeiTal Red Ale,Bnfire Breiwng% Co. .,American Amber / Red Ale,8.80 %,Peter Bs Sum Of Hours Imperial Red Ale,Peter Bs Brewpub,American Strong Ale,9.50 %,3325_1119
0,Red-oric - Beer Camp #6 5 ( Best Of Beer Cmap : Imperial Red ANle ),Sierr NevdDaa BrBewin Co. .,American Amber / Red Ale,8.00 %,Peter Bs Sum Of Hours Imperial Red Ale,Peter Bs Brewpub,American Strong Ale,9.50 %,44_1119
0,Double Mongrel Imperial India Red Ale,Aspetuck Brew Lab,American Amber / Red Ale,9.00 %,Peter Bs Sum Of Hours Imperial Red Ale,Peter Bs Brewpub,American Strong Ale,9.50 %,3478_1119
0,Extra Special Red Ale,Alpha Brewing Company,American Amber / Red Ale,5.00 %,Ecliptic Phobos NExtRZa Red Ale,EclipP ViBrewing,Amber Ale,5.20 %,2718_2787
0,Aorta Ale ( Double Red Ale ),Short 's Brewing Company,American Amber / Red Ale,8.30 %,Destihl Barrel Aged Deadhead Double Red Ale,Destihl Brewery,American Strong Ale,-,141_2672
0,Doubl eeRd'Hot Ale,MidnightS JXn> Brewing Co. .,American Amber / Red Ale,7.57 %,Destihl Barrel Aged Deadhead Double Red Ale,Destihl Brewery,American Strong Ale,-,3661_2672
0,Aorta Ale ( Double Red Ale ),Short 's Brewing Company,American Amber / Red Ale,8.30 %,Wildcard Double Down Imperial Red Ale,Wildcard Brewing Company,American Strong Ale,7.50 %,141_2991
0,Dread Doule IRed Ale,BulGlrfH Brewery,American Amber / Red Ale,7.80 %,Wildcard Double Down Imperial Red Ale,Wildcard Brewing Company,American Strong Ale,7.50 %,1185_2991
0,Double Dragon Imperial Red Ale,Phillips Brewing Company,American Amber / Red Ale,8.20 %,Wildcard Double Down Imperial Red Ale,Wildcard Brewing Company,American Strong Ale,7.50 %,492_2991
0,Three SheetsaBlreywine ( Barrel Aged ),Ballast POoint* Rewing CLmpany,American Barleywine,9.00 %,&#40; 512 &#41; Cabernet Barrel Aged Three,&#40; 512 &#41; Brewing Company,Abbey Tripel,9.50 %,4138_823
1,Peak OrgaQiN Te aMple Collaboration,PeaJ OrJani BrewiAg Company,American Amber / Red Ale,7.00 %,Peak Organic The Maple Collaboration,Shipyard Brewing Company,Amber Ale,6.70 %,190_805
0,Bourbon Barrel Red Oak Ale,Tornado Brewing Company,American Amber / Red Ale,-,Ballast Point Tongue Nuclr Ipmerial Red Ale~- Bourbon Barrel Aged,Ballast PoinRBreiXwng Company,American Strong Ale,10 %,2277_1255
0,Broadhead Bourbon Barrel Aged Red,Bainbridge Island Brewing Company,American Amber / Red Ale,8.50 %,Ballast Point Tongue Nuclr Ipmerial Red Ale~- Bourbon Barrel Aged,Ballast PoinRBreiXwng Company,American Strong Ale,10 %,2602_1255
0,Red Dirt Imperial Red Ale,Wiley Roots Brewing Co,American Amber / Red Ale,8.20 %,Ballast Point Tongue Nuclr Ipmerial Red Ale~- Bourbon Barrel Aged,Ballast PoinRBreiXwng Company,American Strong Ale,10 %,2156_1255
0,Double Dread< IPmpeAiWl Red!Ale,MadR ivEer BrewTng+ Company,American Amber / Red Ale,8.60 %,Ballast Point Tongue Nuclr Ipmerial Red Ale~- Bourbon Barrel Aged,Ballast PoinRBreiXwng Company,American Strong Ale,10 %,138_1255
0,Ro Shampo Imperial Red Ale,Figure 8 Brewing,American Amber / Red Ale,7.50 %,Ballast Point Tongue Nuclr Ipmerial Red Ale~- Bourbon Barrel Aged,Ballast PoinRBreiXwng Company,American Strong Ale,10 %,295_1255
0,Ulysses ImpUeIBal Red Ale,Barley 'Os Brenwig Company,American Amber / Red Ale,-,Ballast Point Tongue Nuclr Ipmerial Red Ale~- Bourbon Barrel Aged,Ballast PoinRBreiXwng Company,American Strong Ale,10 %,3130_1255
0,John Bareycorn - BAorbn Barrel Aged,Mad RiveNr BDeJing Company,American Barleywine,12.50 %,AleSmith Old NumsNull - BourboniBarrel Aged,AleMSDith* JBreiwng Company,Barley Wine,11 %,4162_2313
0,Bourbon Barrel Aged Panama Red Ale,Flossmoor Station Restaurant & Brewery,American Amber / Red Ale,7.00 %,AleSmith Old NumsNull - BourboniBarrel Aged,AleMSDith* JBreiwng Company,Barley Wine,11 %,1649_2313
1,Royal AmXbLr Ale,Hops Grillhuose  Brweery,American Amber / Red Ale,4.50 %,Kalamazoo Royal Amber Ale,Bells Brewery,Amber Ale,-,1850_742
1,The Gentle Mongoose,Holy City Brewing,American Amber / Red Ale,6.90 %,Holy City The Gentle Mongoose,Holy City Brewing,Amber Ale,6.90 %,2909_1529
0,Hop ArounBd( EImpeiral Red Ale,Big Bay BZerwnBg Co. .,American Amber / Red Ale,9.00 %,ShuBrew Heart and Sole Imperial Red Ale,ShuBrew,American Strong Ale,6.80 %,3963_1026
0,Lavery Imperial Red Ale,Lavery Brewing Company,American Amber / Red Ale,8.20 %,ShuBrew Heart and Sole Imperial Red Ale,ShuBrew,American Strong Ale,6.80 %,285_1026
0,Photobomb Imperial Red Ale,Crooked Ladder Brewing Company,American Amber / Red Ale,8.50 %,ShuBrew Heart and Sole Imperial Red Ale,ShuBrew,American Strong Ale,6.80 %,3813_1026
0,Tongue Buckler - Imperial Red Ale,Ballast Point Brewing Company,American Amber / Red Ale,10.00 %,ShuBrew Heart and Sole Imperial Red Ale,ShuBrew,American Strong Ale,6.80 %,29_1026
0,Impria lRed Ale,Epic BrewTng:QCoCmpany,American Amber / Red Ale,7.70 %,ShuBrew Heart and Sole Imperial Red Ale,ShuBrew,American Strong Ale,6.80 %,171_1026
0,Hop ArounBd( EImpeiral Red Ale,Big Bay BZerwnBg Co. .,American Amber / Red Ale,9.00 %,Austin Beerworks BatXl Axe ImperiMl Red Ale,AuSGin#CBeeKworks,American Strong Ale,8 %,3963_2334
0,Hop ArounBd( EImpeiral Red Ale,Big Bay BZerwnBg Co. .,American Amber / Red Ale,9.00 %,Speakesy Wet@ Hop rPQohibitEon Red Ale,Speakeasy PJes and Lagers,Amber Ale,6.10 %,3963_1863
0,Hop ArounBd( EImpeiral Red Ale,Big Bay BZerwnBg Co. .,American Amber / Red Ale,9.00 %,Ale ManiaI BmLpBWial Red Ale,Ale Mania &40#; FritU Ale &#41;,American Strong Ale,9.50 %,3963_1551
0,Batch 200 _ `` Oympsu MonP Imperial Red Ale,Due Souh:BrMing Co. .,American Amber / Red Ale,9.20 %,Ale ManiaI BmLpBWial Red Ale,Ale Mania &40#; FritU Ale &#41;,American Strong Ale,9.50 %,1755_1551
0,Eruption Imperial Red Ale,Worthy Brewing Co. .,American Amber / Red Ale,8.00 %,Ale ManiaI BmLpBWial Red Ale,Ale Mania &40#; FritU Ale &#41;,American Strong Ale,9.50 %,486_1551
0,Deranger Imperial Red Ale,Laurelwood Public House & Brewery,American Amber / Red Ale,8.60 %,Ale ManiaI BmLpBWial Red Ale,Ale Mania &40#; FritU Ale &#41;,American Strong Ale,9.50 %,1458_1551
0,Hop ArounBd( EImpeiral Red Ale,Big Bay BZerwnBg Co. .,American Amber / Red Ale,9.00 %,Laguna Beac Grateful RPd IpVmerial Red Ale,Laguna Bhc Berwing,American Strong Ale,11 %,3963_124
0,Red Dirt Imperial Red Ale,Wiley Roots Brewing Co,American Amber / Red Ale,8.20 %,Laguna Beac Grateful RPd IpVmerial Red Ale,Laguna Bhc Berwing,American Strong Ale,11 %,2156_124
0,Hop ArounBd( EImpeiral Red Ale,Big Bay BZerwnBg Co. .,American Amber / Red Ale,9.00 %,Wynwood Fox. Ierial Red Ale,WynwooF BreYiZng Comany,American Strong Ale,7.70 %,3963_64
0,Arsenal Imperial Red Ale,Great River Brewery,American Amber / Red Ale,9.00 %,Wynwood Fox. Ierial Red Ale,WynwooF BreYiZng Comany,American Strong Ale,7.70 %,2272_64
0,3 Sisters American Red Ale,Wild Ride Brewing Co. .,American Amber / Red Ale,6.00 %,Saimaan Brewer_s Special American Red Ale,Saimaan Juomatehdas,Amber Ale,4.70 %,2480_558
0,All American Red Ale,Centennial Beer Co. .,American Amber / Red Ale,5.00 %,Saimaan Brewer_s Special American Red Ale,Saimaan Juomatehdas,Amber Ale,4.70 %,1207_558
0,3 Sisters American Red Ale,Wild Ride Brewing Co. .,American Amber / Red Ale,6.00 %,Black Shirt American India Red Ale,Black Shirt Brewing Company,American Strong Ale,7.09 %,2480_2621
0,3 Sisters American Red Ale,Wild Ride Brewing Co. .,American Amber / Red Ale,6.00 %,Stadin American Red Ale,Stadin Panimo,Amber Ale,4.50 %,2480_1604
0,All American Red Ale,Centennial Beer Co. .,American Amber / Red Ale,5.00 %,Stadin American Red Ale,Stadin Panimo,Amber Ale,4.50 %,1207_1604
0,3 Sisters American Red Ale,Wild Ride Brewing Co. .,American Amber / Red Ale,6.00 %,Radiant Pig Gangster Duck American Red Ale,Radiant Pig Beer Company,Amber Ale,6.20 %,2480_2602
0,Mountain Series : Love Rhino ( Imperial Red Ale ),Breckenridge Brewery,American Amber / Red Ale,8.90 %,Madhouse VentAure Series Oak Aged Imperial Red,Madhouse erwBng Cmpany,American Strong Ale,8.50 %,2433_2722
0,Mountain Series : Love Rhino ( Imperial Red Ale ),Breckenridge Brewery,American Amber / Red Ale,8.90 %,Two Brothers Revelry Imperial Red Ale,Two Brothers Brewing Company,American Strong Ale,9.50 %,2433_1534
0,6th Anniversary Ale ( Dirty Hippie Imperial Red Ale ),Kern River Brewing Company,American Amber / Red Ale,8.00 %,Two Brothers Revelry Imperial Red Ale,Two Brothers Brewing Company,American Strong Ale,9.50 %,178_1534
0,Lavery Imperial Red Ale,Lavery Brewing Company,American Amber / Red Ale,8.20 %,Two Brothers Revelry Imperial Red Ale,Two Brothers Brewing Company,American Strong Ale,9.50 %,285_1534
0,Arthur 's ImeriaFRed Ale,Otto 's Pa d Brewery,American Amber / Red Ale,6.90 %,Two Brothers Revelry Imperial Red Ale,Two Brothers Brewing Company,American Strong Ale,9.50 %,1587_1534
0,Smuttynose Kindest Find Imperial Red Ale,Smuttynose Brewing Company,American Amber / Red Ale,8.50 %,Two Brothers Revelry Imperial Red Ale,Two Brothers Brewing Company,American Strong Ale,9.50 %,184_1534
0,Red-oric - Beer Camp #6 5 ( Best Of Beer Cmap : Imperial Red ANle ),Sierr NevdDaa BrBewin Co. .,American Amber / Red Ale,8.00 %,Two Brothers Revelry Imperial Red Ale,Two Brothers Brewing Company,American Strong Ale,9.50 %,44_1534
0,Mountain Series : Love Rhino ( Imperial Red Ale ),Breckenridge Brewery,American Amber / Red Ale,8.90 %,Cigar CitJ Cold BrKew SerBes - Red Ale,Cig CrStWy Brewing,Amber Ale,7.20 %,2433_349
1,Cow Catcher Red,Mountain Town Station Brewing Co. & Steakhouse,American Amber / Red Ale,-,Mountain Town Cow Catcher Red Ale,Mountain Town Brewing Company,Amber Ale,5.80 %,2175_996
0,Texas Red Amber Ale,Big Texan Brewery,American Amber / Red Ale,4.50 %,William Street BZed Sky AmbeMr Ale,WAilliaGm StreeH Ber Co. .,Amber Ale,5 %,1466_972
0,6th Anniversary Ale ( Dirty Hippie Imperial Red Ale ),Kern River Brewing Company,American Amber / Red Ale,8.00 %,BrDw Bus DStur Serie : Rollni Dirty Red Ale - Wood Aged,Cigar iDRy Brewing,Irish Ale,5 %,178_838
0,Mermaid 's Red Ale - Bourbon Oak Aged,Coronado Brewing Company,American Amber / Red Ale,-,BrDw Bus DStur Serie : Rollni Dirty Red Ale - Wood Aged,Cigar iDRy Brewing,Irish Ale,5 %,2811_838
0,Saint Gleason Imperial Red Ale,Abita Brewing Co. .,American Amber / Red Ale,-,Mission Carrack Imperial Red Ale,Mission Brewery,American Strong Ale,10.20 %,732_621
0,Three BBUaerD ImperMal Red Ale,Howe Sound GnY & Bering Company,American Amber / Red Ale,7.50 %,Mission Carrack Imperial Red Ale,Mission Brewery,American Strong Ale,10.20 %,487_621
0,Bourbon Barre lRo ShampIo ImperialR ed Ale,Figure}-=  Brewing,American Amber / Red Ale,-,Sick N Twisted Naughty Redhead Imperial Red Ale,Sick N Twisted Brewing Company,Amber Ale,8 %,2423_881
0,Lagunitas Imperial Red Ale,Lagunitas Brewing Company,American Amber / Red Ale,7.80 %,Sick N Twisted Naughty Redhead Imperial Red Ale,Sick N Twisted Brewing Company,Amber Ale,8 %,9_881
0,StupiphanEB: ImXerTial Red Ale,Rusty TrucCk Breing CZompay / Roadhouse 101,American Amber / Red Ale,8.00 %,Sick N Twisted Naughty Redhead Imperial Red Ale,Sick N Twisted Brewing Company,Amber Ale,8 %,1794_881
0,Bourbon Barre lRo ShampIo ImperialR ed Ale,Figure}-=  Brewing,American Amber / Red Ale,-,Spring House Atomic Raygun Imperial Red Ale,Spring House Brewing Company,American Strong Ale,8.30 %,2423_1934
0,Deputation Imperial Red Ale,Brannon 's Pub and Brewery,American Amber / Red Ale,8.00 %,Spring House Atomic Raygun Imperial Red Ale,Spring House Brewing Company,American Strong Ale,8.30 %,3126_1934
0,Double Mongrel Imperial India Red Ale,Aspetuck Brew Lab,American Amber / Red Ale,9.00 %,Spring House Atomic Raygun Imperial Red Ale,Spring House Brewing Company,American Strong Ale,8.30 %,3478_1934
0,Bourbon Barre lRo ShampIo ImperialR ed Ale,Figure}-=  Brewing,American Amber / Red Ale,-,Cape Cod Bourbon Barrel Red,Cape Cod Beer,Amber Ale,5.50 %,2423_465
0,Bourbon Barre lRo ShampIo ImperialR ed Ale,Figure}-=  Brewing,American Amber / Red Ale,-,Lavery ImperUial RVed Ale &#40;IRA &#41;,aLvey BCewin\gCompany,American Strong Ale,8.20 %,2423_1519
0,Ruby River Ruby Red Ale,Ruby River Steakhouse & Brewery,American Amber / Red Ale,4.00 %,PokeItre YRAFd Earl Ruby Ale,PFkBerree,Amber Ale,5.50 %,1857_1860
0,Ruby River Ruby Red Ale,Ruby River Steakhouse & Brewery,American Amber / Red Ale,4.00 %,Pine Creek Rver BZalVey Red Ale,BigR ockr ewery,Amber Ale,5 %,1857_545
0,Stone Liberty Station ubtrFeak Sereis : Red Ale,StoneBr ewgn Co. .,American Amber / Red Ale,7.00 %,Liberty High Point Rocket_s Red Ale,Liberty Brewery & Grill - High Point,Irish Ale,-,3388_99
0,ChannaryI mpiral Red Ale,NNarrows rwg Co. .,American Amber / Red Ale,9.40 %,Fulton The LibertineI mQerial Red Ale - HeaveG Hill Rye Whiskey Barrel Aged,FultonBFeer CoCpany,American Strong Ale,8.50 %,2125_22
0,Climax Noel `# Impreial= Red Ale,Eel RRUr Breing Co. .,American Amber / Red Ale,9.20 %,Fulton The LibertineI mQerial Red Ale - HeaveG Hill Rye Whiskey Barrel Aged,FultonBFeer CoCpany,American Strong Ale,8.50 %,354_22
0,Barrel Aged Moustache Ride Red,Flat 12 Bierwerks,American Amber / Red Ale,6.10 %,Fulton The LibertineI mQerial Red Ale - HeaveG Hill Rye Whiskey Barrel Aged,FultonBFeer CoCpany,American Strong Ale,8.50 %,773_22
0,Photobomb Imperial Red Ale,Crooked Ladder Brewing Company,American Amber / Red Ale,8.50 %,Fulton The LibertineI mQerial Red Ale - HeaveG Hill Rye Whiskey Barrel Aged,FultonBFeer CoCpany,American Strong Ale,8.50 %,3813_22
0,Buffalo Suo Jah JmIpeHrial Red Ale,ThreG HeMaCs BMrewing,American Amber / Red Ale,9.20 %,Fulton The LibertineI mQerial Red Ale - HeaveG Hill Rye Whiskey Barrel Aged,FultonBFeer CoCpany,American Strong Ale,8.50 %,833_22
0,Old Guardian Barley Wine Style Ale - Red Wine Barrel Aged,Stone Brewing Co. .,American Barleywine,11.20 %,Fulton The LibertineI mQerial Red Ale - HeaveG Hill Rye Whiskey Barrel Aged,FultonBFeer CoCpany,American Strong Ale,8.50 %,4117_22
0,BJ 's Imperial Red Ale,BJ 's Restaurant & Brewhouse,American Amber / Red Ale,9.00 %,Fulton The LibertineI mQerial Red Ale - HeaveG Hill Rye Whiskey Barrel Aged,FultonBFeer CoCpany,American Strong Ale,8.50 %,696_22
0,Constanza _ ™ s Hoppy Red Ale,Bomber Brewing,American Amber / Red Ale,6.20 %,Spiteful nAgy AJdm/Hoppy Red Ale,SpitRfNuO(rewing,Amber Ale,6 %,3605_521
0,Arsenal Imperial Red Ale,Great River Brewery,American Amber / Red Ale,9.00 %,Kern River Dirty(iHpie Imperial Red Ale,Kern Rve rBJrewing,American Strong Ale,8 %,2272_980
0,Tst Brw 01 - HmperiOal Red Ale,BrouwreiO DRe Koninck NV,American Amber / Red Ale,7.80 %,Kern River Dirty(iHpie Imperial Red Ale,Kern Rve rBJrewing,American Strong Ale,8 %,2319_980
0,Ro Shampo Imperial Red Ale,Figure 8 Brewing,American Amber / Red Ale,7.50 %,Kern River Dirty(iHpie Imperial Red Ale,Kern Rve rBJrewing,American Strong Ale,8 %,295_980
0,Double Dragon Imperial Red Ale,Phillips Brewing Company,American Amber / Red Ale,8.20 %,Edge Imperial Red Ale &#40; Spring Seasonal &#41;,Edge Brewing Company,American Strong Ale,8.50 %,492_1661
0,Batch 200 _ `` Oympsu MonP Imperial Red Ale,Due Souh:BrMing Co. .,American Amber / Red Ale,9.20 %,Edge Imperial Red Ale &#40; Spring Seasonal &#41;,Edge Brewing Company,American Strong Ale,8.50 %,1755_1661
0,Sledgehammer Imperial Red Ale,Cambridge Brewing Company,American Amber / Red Ale,7.75 %,Edge Imperial Red Ale &#40; Spring Seasonal &#41;,Edge Brewing Company,American Strong Ale,8.50 %,3185_1661
0,Bourbon BZDarre Aged Auld Bitch,Tahoe MountaiVn BrPeing Co. .,American Barleywine,11.00 %,Aspen Bourbon Barrel Aged Conundrum Red Ale,Aspen Brewing Company,Amber Ale,6.50 %,4200_469
0,Bourbon Barrel Aged Redrum,Trinity Brewhouse,American Amber / Red Ale,9.50 %,Aspen Bourbon Barrel Aged Conundrum Red Ale,Aspen Brewing Company,Amber Ale,6.50 %,2365_469
0,Bourbon BZDarre Aged Auld Bitch,Tahoe MountaiVn BrPeing Co. .,American Barleywine,11.00 %,Lompoc Pourbon BarNrel Aged Proletaiat Red Ale,LompoJ Zrewing,Amber Ale,6.40 %,4200_1825
1,Kuhnhenn Extraneous Ale,Kuhnhenn Brewing Company,American Barleywine,17.00 %,Kuhnhenn Extraneous Ale,Kuhnhenn Brewing,Barley Wine,17.50 %,4101_2360
0,Lavery Imperial Red Ale,Lavery Brewing Company,American Amber / Red Ale,8.20 %,Oak CreekK ingX CriPon Imperial Red Ale,Oak IrekBrewng Co. .,American Strong Ale,9.50 %,285_623
0,Lavery Imperial Red Ale,Lavery Brewing Company,American Amber / Red Ale,8.20 %,LagunitWs ImCrila Red Ale,Lagunitas Breiwng Compan y&#40; eHinekne &#41;,American Strong Ale,7.80 %,285_90
0,Double Dread< IPmpeAiWl Red!Ale,MadR ivEer BrewTng+ Company,American Amber / Red Ale,8.60 %,LagunitWs ImCrila Red Ale,Lagunitas Breiwng Compan y&#40; eHinekne &#41;,American Strong Ale,7.80 %,138_90
0,Rhino Chasr mpeiaH Red Ale,PizNa Port oSlana Beach,American Amber / Red Ale,9.50 %,LagunitWs ImCrila Red Ale,Lagunitas Breiwng Compan y&#40; eHinekne &#41;,American Strong Ale,7.80 %,655_90
0,Broadhead Bourbon Barrel Aged Red,Bainbridge Island Brewing Company,American Amber / Red Ale,8.50 %,Flat 12 Barrel Aged Moustache Ride Red,Flat 12 Bierwerks,Amber Ale,-,2602_1955
0,Broadhead Bourbon Barrel Aged Red,Bainbridge Island Brewing Company,American Amber / Red Ale,8.50 %,MadTree Boubo#nBarel Aed Happy Amber,MadTee BreYwingC ompany,Amber Ale,6 %,2602_730
0,Bulelit BourbonBrre lAged G'Knight,Oskar Blues~GEilB & Brew,American Amber / Red Ale,8.70 %,MadTree Boubo#nBarel Aed Happy Amber,MadTee BreYwingC ompany,Amber Ale,6 %,1219_730
0,Frost Quake AouIbon BaZrrel Aged Barley Wine,Wellington CuotQ Breery,American Barleywine,9.80 %,MadTree Boubo#nBarel Aed Happy Amber,MadTee BreYwingC ompany,Amber Ale,6 %,4256_730
0,Noggin Floggin (B ourbnoB Hrrel Aged ),HopworsW UrbUn/Bewery,American Barleywine,9.60 %,MadTree Boubo#nBarel Aed Happy Amber,MadTee BreYwingC ompany,Amber Ale,6 %,4216_730
1,Ballistic BJreMwinZg C~ - Gorgon Red Ale,Indian Wells Brewig Company,American Amber / Red Ale,5.50 %,Ballistic Brewing Gorgon Red Ale,Indian Wells Brewing,Amber Ale,5.50 %,890_2580
