id,Beer_Name,Brew_Factory_Name,Style,ABV
87,Lobster Ale,Belfast Bay Brewing Co. .,American Amber / Red Ale,5.00 %
88,MayFlowHr_ Sprign( Hop,Mayflower BrKewing ompany,American Amber / Red Ale,5.30 %
89,Giddy Up !,New Belgium Brewing,American Amber / Red Ale,6.00 %
90,Revel Red,Stoudts Brewing Co. .,American Amber / Red Ale,6.20 %
91,Old YkDe Ale,CottrelE BreDiWg Co. .,American Amber / Red Ale,5.00 %
92,Dawn OfM ThXe Rde .R.A. Ale,Ninkasi++ BrFwign Company,American Amber / Red Ale,7.00 %
93,Centennial Red ( Brewmaster Series ),Long Trail Brewing Co. .,American Amber / Red Ale,7.90 %
94,OuiscnoLsinP RIed Ale,Central IRateZr Brwing Co. .,American Amber / Red Ale,4.80 %
95,Ashland Amber,Caldera Brewing Company,American Amber / Red Ale,5.40 %
96,FirelfmAer Ale,Jackie O's(  Pub & Brewery,American Amber / Red Ale,4.50 %
97,Reprise Centennial Red,4 Hands Brewing Co. .,American Amber / Red Ale,6.00 %
98,ESB AbTer Ale,Flying Lsih BreUing CoXmpany,American Amber / Red Ale,5.50 %
99,Alaskan ImperiaV RLH Ale ( Pilot Series ),Alaskna BrTewYg Co. .,American Amber / Red Ale,8.50 %
100,MacTarnahan 'sbAmer Ale,Portland BGrewiO Company,American Amber / Red Ale,5.10 %
101,PalmJtt oAAbmer,Palmetto BrGwiHng< Comany,American Amber / Red Ale,5.50 %
102,RaVinEker,Steel Fo HBrewing,American Amber / Red Ale,6.50 %
103,Ginger Twin,Half Acre Beer Company,American Amber / Red Ale,6.50 %
104,MarblF ed Ale,Marle{rDewery,American Amber / Red Ale,6.50 %
105,Re oAed,The For tCollisn rewery,American Amber / Red Ale,5.20 %
106,LoPs Dog,Napa SFmQiSh?Brewery,American Amber / Red Ale,7.20 %
107,Blue Moon Spiced Amber Ale,Coors Brewing Company,American Amber / Red Ale,5.60 %
108,LooJy OaDtSalRed Ale,ThreeH GeaKs Brewing,American Amber / Red Ale,6.60 %
109,Rde SGull,Revoltoin BeQing Company,American Amber / Red Ale,8.80 %
110,Peak Organic Espresso Amber Ale,Peak Organic Brewing Company,American Amber / Red Ale,7.00 %
111,ChUo Ale,Pizza Srot SoJana Beach,American Amber / Red Ale,4.95 %
112,Shine On Ale,Central Waters Brewing Co. .,American Amber / Red Ale,-
113,Alexander Keith 's Red Amber Ale,Alexander Keith 's,American Amber / Red Ale,5.00 %
114,River Horse Special Ale,River Horse Brewing Co. .,American Amber / Red Ale,4.50 %
115,Crazy MoutnZa; Amber Ale,Crazy Mounain; Bwing Company,American Amber / Red Ale,5.25 %
116,Monk In The Trunk,Inlet Brewing Co. .,American Amber / Red Ale,5.50 %
117,Tap Room No. 21 Amber Ale,World Brews,American Amber / Red Ale,4.80 %
118,Kirkland ViSgnaNuTe OAmber Ale,Kirkland Signature / CRscto DWholesale Corporation,American Amber / Red Ale,5.70 %
119,Gypsy Tears Ruby Ale,Parallel 49 Brewing Company,American Amber / Red Ale,6.00 %
120,American Red Ale,Rock Art Brewery,American Amber / Red Ale,4.80 %
121,Bonehead Imperial Red,Fat Head 's Brewery & Saloon,American Amber / Red Ale,9.40 %
122,Austin ALSber Ale,IndepndencJ BTewin Co. .,American Amber / Red Ale,4.80 %
123,Shark Bite Red Ale,Port Brewing,American Amber / Red Ale,6.00 %
124,Blck%o Ale,Spanish Peaks HBrUeinC Co. .,American Amber / Red Ale,5.20 %
125,Red? God,CambrigMBe Bewnig Company,American Amber / Red Ale,9.00 %
126,Jumpign XCo: wAber Ale,SteinhaDus< Brewing Co. .,American Amber / Red Ale,5.50 %
127,Native Amber,Coop Ale Works,American Amber / Red Ale,6.10 %
128,The UnforiEveF Amber Ale,RuOsh Rive BrewinS: Company,American Amber / Red Ale,5.80 %
129,Henry Weinhrad 'C RedwEood FCIats Amber Ale,Blitz-Weinhar drBeiwng Co. .,American Amber / Red Ale,5.20 %
130,Bear Naked Ale,Adirondack Pub & Brewery,American Amber / Red Ale,5.20 %
131,New HHllXn Rde Tulip Ale,New Hollan BrewYng CompAany,American Amber / Red Ale,-
132,Rex,CloQ hoes,American Amber / Red Ale,12.00 %
133,North Peak|Srien Amber,NortRh Peak BeEwng Company,American Amber / Red Ale,5.00 %
134,Amber Ale,Grand Teton Brewing Co. .,American Amber / Red Ale,5.30 %
135,Rusyh Cain,Flying BiJno BGrewing Company,American Amber / Red Ale,5.00 %
136,Train Wreck Ale,Mountain Town Brewing Co. .,American Amber / Red Ale,8.20 %
137,Wachusett Octoberfest Ale,Wachusett Brewing Company,American Amber / Red Ale,5.20 %
138,Double Dread< IPmpeAiWl Red!Ale,MadR ivEer BrewTng+ Company,American Amber / Red Ale,8.60 %
139,RustB LAle,Lost NXito nBGrewing,American Amber / Red Ale,5.40 %
140,The LiBberKine,Fulton\{. Beer,American Amber / Red Ale,8.50 %
141,Aorta Ale ( Double Red Ale ),Short 's Brewing Company,American Amber / Red Ale,8.30 %
142,FinneSans sih Amber,FinnFegJaAs nc. .,American Amber / Red Ale,4.75 %
143,RowohTe* Red,PhiladelphPVia Bewing Company,American Amber / Red Ale,5.00 %
144,Peak Organic King Crimson,Peak Organic Brewing Company,American Amber / Red Ale,9.50 %
145,Louie 'CD Dmeise,MiZlwaukee/AleHouse,American Amber / Red Ale,4.80 %
146,WesUt SixHtAmber,West SFxthBrweiBng Company,American Amber / Red Ale,5.50 %
147,Happy AXber,MadreeBrOewTing,American Amber / Red Ale,6.00 %
148,Thomas CDBeXek Appaachian Amber Ae,Thoma XeVk rewery,American Amber / Red Ale,6.80 %
149,CapeCod Red,Cap eJXEod Beer,American Amber / Red Ale,5.50 %
150,Bucolia,Bissell Brothers Brewing Co. .,American Amber / Red Ale,5.60 %
151,Runabout Red Ale,Sebago Brewing Company,American Amber / Red Ale,4.40 %
152,Sam Vs. Unicorn,Pipeworks Brewing Company,American Amber / Red Ale,9.00 %
153,ReF Mkaer Ale,AleWerks Breiwng CSAompany,American Amber / Red Ale,5.00 %
154,Sierra BlDnca RosFll Alien Amber,Sierra BYanca rewing oCmpany ( MRio Grande ),American Amber / Red Ale,5.20 %
155,Rise Up Red,Hopworks Urban Brewery,American Amber / Red Ale,5.80 %
156,Peak Organic Fall Summit Ale,Peak Organic Brewing Company,American Amber / Red Ale,5.70 %
157,A Ri,Upland'BrewgB} Company,American Amber / Red Ale,9.50 %
158,RidgBbac` kAle,No Label:TBrSLwing Aompany,American Amber / Red Ale,6.10 %
159,BetraylaI erial Red,Speakeay Wles )& Lagers,American Amber / Red Ale,8.20 %
160,Bromigo Smoked Maple Amber,Three Heads Brewing,American Amber / Red Ale,6.50 %
161,Great Lake sRllyW Drum Red Ale,Great LakTs Berwing Co. .,American Amber / Red Ale,5.80 %
162,Free JaQWg Red,LaurelwoodP bilc use & Brewery,American Amber / Red Ale,6.10 %
163,Bitt{LHoQKney,PXism Brwgn Company,American Amber / Red Ale,6.50 %
164,BufSfalGo#DBHyou 1836,Buffalo aSyouMewing Co,American Amber / Red Ale,5.90 %
165,Rail arXFd Ale,Wynkoop Brwng-Company,American Amber / Red Ale,5.20 %
166,Deveiled,Magic Hat Brewing Company,American Amber / Red Ale,5.20 %
167,Red Rock Amber Ale,OPA-OPA Steakhouse & Brewery,American Amber / Red Ale,6.00 %
168,CarXack,Missino FBreDery,American Amber / Red Ale,10.20 %
169,Hoppy Red,Boston Beer Company ( Samuel Adams ),American Amber / Red Ale,5.70 %
170,AllIn Amber,Full Pint BBreiwSg Company,American Amber / Red Ale,5.80 %
171,Impria lRed Ale,Epic BrewTng:QCoCmpany,American Amber / Red Ale,7.70 %
172,The- ImpEerila Axan,Martin Hous Arweing MCompany,American Amber / Red Ale,8.00 %
173,Perfect Tin Amber,Tin Roof Brewing Company,American Amber / Red Ale,4.50 %
174,Thisrty CYoat Amber,Thirsty PlJnet BrewniKg Company,American Amber / Red Ale,6.80 %
175,Goose AutOSn Ale,Goose Isla NdBeer Co. .,American Amber / Red Ale,6.70 %
176,Peak OrgMaUnWc Ambr Ale,Pea Organic ArBewing Company,American Amber / Red Ale,4.90 %
177,Red amblerO| Cle,Peace rTeerBewing Co. .,American Amber / Red Ale,5.80 %
178,6th Anniversary Ale ( Dirty Hippie Imperial Red Ale ),Kern River Brewing Company,American Amber / Red Ale,8.00 %
179,Red Jacket Amber Ale,Keweenaw Brewing Company,American Amber / Red Ale,5.10 %
180,Red Giant,Element Brewing Company,American Amber / Red Ale,8.25 %
181,Hello My Name Is Ambre,Flat 12 BSieRJrwerks,American Amber / Red Ale,5.80 %
182,Dank Imperial Red,O'so Brewing Company & Tap House,American Amber / Red Ale,9.20 %
183,SundaLnMce ZAmber EAle,Bouldr BeeEr / Wilderness Pub,American Amber / Red Ale,4.85 %
184,Smuttynose Kindest Find Imperial Red Ale,Smuttynose Brewing Company,American Amber / Red Ale,8.50 %
185,BuffHoButt,Rahr & SoTs BreLwiQg Company,American Amber / Red Ale,4.50 %
186,CountULC ulture,Flying D`ogBewery,American Amber / Red Ale,6.00 %
187,El Rjoo ECR dAle,GrifBfin Claw rBewing Gompany,American Amber / Red Ale,6.50 %
188,MBa,Tree House BMeiZn Company,American Amber / Red Ale,7.30 %
189,Elector Imperial Red Ale,New Albanian Brewing Company - Pizzeria and Public House,American Amber / Red Ale,7.00 %
190,Peak OrgaQiN Te aMple Collaboration,PeaJ OrJani BrewiAg Company,American Amber / Red Ale,7.00 %
191,Fish Tale.TAAmber Ale,Fish Brewing ComGpNy / Fishbowl Brewpub,American Amber / Red Ale,5.50 %
192,ReFMLo;+Ale,Otto 's Pb| and Brewery,American Amber / Red Ale,5.00 %
193,Diablo Rojo,Boneyard Beer Company,American Amber / Red Ale,7.00 %
194,Rlolin ' DNirtU Td Ale,CigaErCit rewing,American Amber / Red Ale,-
195,Indiaa Amber,Oaken Barrel OweFing Compayn,American Amber / Red Ale,5.50 %
196,Switchback Roasted Red Ale,Switchback Brewing Company,American Amber / Red Ale,5.60 %
197,Impey BaTbiLcan 's Moongun,CigVar Cit}yBrewing,American Amber / Red Ale,5.00 %
198,Epicenter Amber,SanTan Brewing Co. .,American Amber / Red Ale,5.50 %
199,ThirLsty: Eaever Amber Ale,TrUBMrewing,American Amber / Red Ale,5.00 %
200,Rock Bottom Red Ale,Rock Bottom Restaurant & Brewery,American Amber / Red Ale,5.60 %
201,Tyranny Hoppy Red Ale,Wicked Weed Brewing,American Amber / Red Ale,7.20 %
202,AubrZn Ale,Cameron 'C BMreing LCo. .,American Amber / Red Ale,5.00 %
203,RIWt ed,O'so Brewing CmKpayn & Tap House,American Amber / Red Ale,6.00 %
204,Louie 's WesuSrrZction,Milwaueke Breing Company,American Amber / Red Ale,10.20 %
205,Simcoe SamuRYE,Al 's of Hampden / Pizza Boy Brewing,American Amber / Red Ale,6.00 %
206,GrifnfoRTd Ale,McAsulanDrewing,American Amber / Red Ale,4.50 %
207,BooFt Barl BourbWn NBrareWl Amber Ale,Anderso Vally IBrRwing Company,American Amber / Red Ale,6.00 %
208,War( O1f8 912 Ale,SacketAs Harbo rBreLwng Co. .,American Amber / Red Ale,5.20 %
209,Amsterdam ig Whele eluxe Amber,Amsterd aBrewign Company,American Amber / Red Ale,5.00 %
210,VaSNr!)Ale,14thSTta rBrewing Co. .,American Amber / Red Ale,5.40 %
211,Northern Hawk Owl,Right Brain Brewery,American Amber / Red Ale,5.80 %
212,Narragansett BLovecrft Serise - Honey AlUe,NaCraganPsetK Brewnig)Co. .,American Amber / Red Ale,7.00 %
213,Odin 's Gift,Odin Brewing Company,American Amber / Red Ale,5.40 %
214,ScWttQebuttA mber,ScuttleJutt|Brewin[<Company,American Amber / Red Ale,5.10 %
215,Kona Brown,Perrin Brewery,American Amber / Red Ale,5.50 %
216,Sabre-THotohWI Squirrel,Smog Ci yrBewing,American Amber / Red Ale,7.00 %
217,Shakparo ( FiQe-Brewde Afriacn Style-Ale ),Sprecher BrewiRnQOg Company,American Amber / Red Ale,5.70 %
218,Sleeman Original Dark ( 50 * ),Sleeman Breweries Ltd. .,American Amber / Red Ale,5.50 %
219,Offshore mXAeb rAle,Offshor AlNI Company,American Amber / Red Ale,5.30 %
220,Hop Buggy,Lancaster Brewing Company,American Amber / Red Ale,5.60 %
221,McNeill 's Firehouse Amber Ale,McNeill 's Brewery,American Amber / Red Ale,5.60 %
222,Mississippi Fire Ant,Southern Prohibition Brewing,American Amber / Red Ale,8.00 %
223,RudeN Boy,BureGlB yOa Brewery,American Amber / Red Ale,8.00 %
224,Rad RWe dAmPber Ale,Upland BGrieng GCompany,American Amber / Red Ale,5.60 %
225,Rebel HVnJThe First,3 SeheIps rewing,American Amber / Red Ale,5.00 %
226,HoppocTlypse,ApocalyseV AleW orks,American Amber / Red Ale,8.00 %
227,Misfit Red,DuClaw Brewing Company,American Amber / Red Ale,5.10 %
228,Red Cockaded Ale,Southern Star Brewing Company,American Amber / Red Ale,8.50 %
229,Rapscallon ABlessiZng,RapscQallion,American Amber / Red Ale,8.00 %
230,Wasatch Evolution Amber Ale,Utah Brewers Cooperative,American Amber / Red Ale,4.00 %
231,Dean Pacific Northwest Mahogany Ale,SingleCut Beersmiths,American Amber / Red Ale,6.00 %
232,Lavaman Red Ale,Kona Brewing Co. .,American Amber / Red Ale,5.60 %
233,BorÃ © KlKe Rousse,Brasseusr; Du Nod Inc. ,American Amber / Red Ale,5.00 %
234,Ipswich Harvest Ale,Ipswich Ale Brewery,American Amber / Red Ale,6.90 %
235,Saluki Dunkeldog,Big Muddy Brewing,American Amber / Red Ale,5.40 %
236,WindNLavne,Bad Weaher BewiDng Company,American Amber / Red Ale,6.00 %
237,Nimbus RCllFito Rd Ale,NimbusBrewgJ Company,American Amber / Red Ale,5.00 %
238,Cambridge Amber,Cambridge Brewing Company,American Amber / Red Ale,4.90 %
239,Ultra iHgh rVFeqCency,Solemn XOhtBrewery,American Amber / Red Ale,7.50 %
240,Hale 's Red Menace Big Amber,Hale 's Ales Brewery & Pub,American Amber / Red Ale,4.60 %
241,Ramble On Red,NoDa Brewing Company,American Amber / Red Ale,5.00 %
242,Spark oHsue Rd Ale,Lake of Byas Brweing Company,American Amber / Red Ale,5.00 %
243,ExpeBdVition Ale,rDake ' BKewng Co. .,American Amber / Red Ale,7.00 %
244,Mass TYraisBt Ale,Bristl rBeiA Company,American Amber / Red Ale,5.00 %
245,American Ale,Thimble Island Brewing Company,American Amber / Red Ale,5.00 %
246,Wavemaker Amber Ale,Big Storm Brewing Company,American Amber / Red Ale,6.00 %
247,Rye 'd Piper,Ale Industries,American Amber / Red Ale,5.80 %
248,Plowm'@s Ale,Grand vKrM rewing,American Amber / Red Ale,4.70 %
249,Lighthouse Ale,Fire Island Beer Company,American Amber / Red Ale,5.20 %
250,Scarlet Fire,Tighthead Brewing Company,American Amber / Red Ale,5.60 %
251,RideYYtKp Red,Silver CiUy JrewQQg Co. .,American Amber / Red Ale,6.00 %
252,Red oRZseAb er Ale,Baird Brewni gCompany \/ Fishmakret Taproom,American Amber / Red Ale,5.40 %
253,Carlsbad Chronic,Pizza Port Solana Beach,American Amber / Red Ale,5.80 %
254,McCartNyh '=Aane,Knee Deep BeriRng Company,American Amber / Red Ale,8.00 %
255,Kroovy,Rushing Duck Brewing Company,American Amber / Red Ale,9.00 %
256,Tyrant Double Red,Wicked Weed Brewing,American Amber / Red Ale,8.50 %
257,Bak.ELast Ale,Back EastBKewnigCompany,American Amber / Red Ale,5.00 %
258,Duce,Lucid Brewing,American Amber / Red Ale,7.50 %
259,Common_Snse,Upstate rBewFgn Company,American Amber / Red Ale,5.30 %
260,Panama Limited Red Ale,Flossmoor Station Restaurant & Brewery,American Amber / Red Ale,-
261,Louie 's Demis OeIQmort-Ale,MilwaukeBrewHnig oCmpany,American Amber / Red Ale,4.80 %
262,Red FQo=x@ Amber Ale,Rgue les,American Amber / Red Ale,-
263,Sunset Amber Ale,Grand Canyon Brewing Company,American Amber / Red Ale,5.40 %
264,El TNrUo AoppM@Jasper,El Tor orBXewSng DCo. .,American Amber / Red Ale,5.30 %
265,ReedmpoAin RYd Ale,ReaUAle,American Amber / Red Ale,6.60 %
266,Block Party,Karben4 Brewing,American Amber / Red Ale,5.60 %
267,Bone Warmer Imperial Amber Ale,Grand Teton Brewing Co. .,American Amber / Red Ale,8.20 %
268,1881 Sacramento,Ruhstaller,American Amber / Red Ale,5.60 %
269,Red NunReVd Ale,O'ConnoB rIwiWng Co. .,American Amber / Red Ale,5.50 %
270,Homework KePLies Y 1Y - Hoppy Red Ale,Ballast PoiFA BZewin CNmpany,American Amber / Red Ale,7.00 %
271,RealMcMCoD Amber Ale,Mammto Brewingompany,American Amber / Red Ale,4.50 %
272,CarniFere,COAST BXerwing CUmpany,American Amber / Red Ale,5.00 %
273,Squatters Big Cottonwood,Utah Brewers Cooperative,American Amber / Red Ale,5.75 %
274,Remnan GOfD%ragon,Greenbush Brewng Company,American Amber / Red Ale,9.00 %
275,Saranac Amber Ale,Matt Brewing Company / Saranac Brewery,American Amber / Red Ale,5.60 %
276,McNeill 's Ruby Ale,McNeill 's Brewery,American Amber / Red Ale,5.70 %
277,Oak Crek Xber Ale,Oa Creek Brwry and Grill,American Amber / Red Ale,5.50 %
278,DarSk{ Hors Rod,Dark Hores JBwing CCompany,American Amber / Red Ale,-
279,StruseNBosse,De Stris PBrouwers,American Amber / Red Ale,6.00 %
280,BulldoXg ADmer Ale,Half PintBsPeinwg Company,American Amber / Red Ale,5.40 %
281,Man Vs. Internet,Solemn Oath Brewery,American Amber / Red Ale,9.50 %
282,FrankenmEth Chrstmas Town Ale,FrnakenZuRth Brewery,American Amber / Red Ale,6.70 %
283,EmpirXeA Tmber Ale,Empire BYrewng Cmpany,American Amber / Red Ale,5.50 %
284,Great Lakes Independence Ale,Great Lakes Brewing Co. .,American Amber / Red Ale,6.00 %
285,Lavery Imperial Red Ale,Lavery Brewing Company,American Amber / Red Ale,8.20 %
286,Exile Red,Evolution Craft Brewing Company,American Amber / Red Ale,5.90 %
287,Flying Monkey Amber Ale,Flying Monkey Brewing Company,American Amber / Red Ale,4.60 %
288,Bost<Ked,Boston Beer WDrs @ Canal Street,American Amber / Red Ale,5.20 %
289,RevvaRDled Ale,MarshallB reinwg Company,American Amber / Red Ale,6.50 %
290,Drop~HKk cAle,Weston Brewin gRpmany & O*'Malley 's Pub,American Amber / Red Ale,-
291,Oakshire Amber,Oakshire Brewing,American Amber / Red Ale,5.40 %
292,Dock Street Philadelphia Amber,Dock Street Brewery & Restaurant,American Amber / Red Ale,6.00 %
293,Arbor Brewing Red SappAr Special Bitter,Arobr BreOwnXMg Company,American Amber / Red Ale,4.90 %
294,Boohai Red Ale,Crazy Mountain Brewing Company,American Amber / Red Ale,6.00 %
295,Ro Shampo Imperial Red Ale,Figure 8 Brewing,American Amber / Red Ale,7.50 %
296,TornBado AlleZ Umber Ale,Charlevlle`Vineayrd Microbrewery,American Amber / Red Ale,5.60 %
297,El Centro,Cigar City Brewing,American Amber / Red Ale,6.20 %
298,RecalimeV Rye,Creau COomforts,American Amber / Red Ale,5.50 %
299,BedAnd Bekafast,BrouwXerEij DC Molen,American Amber / Red Ale,4.40 %
300,R.J. King Wingwalker Amber Ale,World Brews,American Amber / Red Ale,4.50 %
301,RaH VTaBil Ale,Cellar RGas rBeAwery,American Amber / Red Ale,6.00 %
302,Fre dd Ale,Blue & GrBa rBKeing Co. .,American Amber / Red Ale,6.80 %
303,TMll/Toppy,8 Wired *Bewing Co. .,American Amber / Red Ale,7.00 %
304,Twisted Pine Amber Ale,Twisted Pine Brewing Company,American Amber / Red Ale,5.30 %
305,DLad,Rhinget Brewery,American Amber / Red Ale,6.00 %
306,BJ s? ereimah Red,BJ 's ResauMant  &Brewhouse,American Amber / Red Ale,7.30 %
