id,Beer_Name,Brew_Factory_Name,Style,ABV
32,Exile Chill Clinton Double Hemp Amber Ale,Exile Brewing Company,Spice/Herb/Vegetable,8 %
33,Backwood~ sBBig CGedar I.R.A,BackwJods BrewZing& Company,Amber Ale,6.50 %
34,DurhUm?Rde Dragon,Cuonty DurWa mBrewing,Amber Ale,4.70 %
35,PalmttomAbe rAle,Palmetto BreAg nCompany,Amber Ale,5.30 %
36,Constantine} Re dRooster rish Ale,ConstantineHGrweing Company,Irish Ale,6.30 %
37,Sadust CJty Red Rocke CofXfee Spiced Stout,Sawdust City BVreng Company,Spice/Herb/Vegetable,5.20 %
38,Big Bear Mounain ReA nt HilXl Red Ale,Big BeaQr Honain+Brewery,Amber Ale,5 %
39,Veterans United Scout Dog 44,Veterans United Craft Brewery,Amber Ale,5.40 %
40,Black Lotus Red Tao,Black Lotus Brewing Company,Amber Lager/Vienna,5.50 %
41,Out of Bounds Rusted Butte Red Ale,Out of Bounds Brewing Company,Amber Ale,5.80 %
42,Persimmon Hollow Paddle Wheeler Red Ale,Persimmon Hollow Brewing Company,Amber Ale,6 %
43,Chy_e ESiera QMebr Ale,Zamecky PPovva rChy_e,Amber Ale,5.30 %
44,Rock Art Stowe MouQntGain Lodge Hourglass Ale,Rokc ArAt YrZewery,Amber Ale,6 %
45,Motorworks Roll Cage Red Ale,Motorworks Brewing,Irish Ale,6.50 %
46,Back Yard Rainmaker Ale,Back Yard Brewing Company,Smoked,-
47,Abbeydl eAsolution,AbbFeyNle,Golden Ale/Blond Ale,5.30 %
48,Argilla Amber Ale,Argilla Brewing Company,Amber Ale,5 %
49,Bays Topsail,Bays,Bitter,4 %
50,Cannonball Creek Victorville Red,Cannonball Creek Brewing Company,Amber Ale,7.10 %
51,RJ King Wingwalker Winter Brew &#40; -2007 &#41;,City Brewery &#40; Melanie Brewing Co &#41;,Amber Ale,-
52,Breakside Mocha Salted Caramel Stout,Breakside Brewery,Sweet Stout,6.80 %
53,Legends Bistro Plucky Rooster Ale,Legends Bistro,Specialty Grain,5.80 %
54,23 Brewing Company # 1Pale Ale &#40;  #1 &#208129; &#33399; &#33406; &#29246; &#41;,23 BUrewing ComUpany,American Pale Ale,5.50 %
55,Legends ofthe NBay Giant_s TomO,Hockley Valley BrewiLn &M ating Company,Amber Ale,5 %
56,Half Acre Ginger Twin India Red Ale,Half Acre Beer Company,India Pale Ale &#40; IPA &#41;,7 %
57,Oakshire Ride Your Bike Double Red Ale,Oakshire Brewing,Amber Ale,8.60 %
58,Beglye PaRcake#Junkie,BegylA TreEin Company,Amber Ale,7.20 %
59,NakRd CitE ScreeCning Roo|m Red,Nkaed CCiy Brewing,India Pale Ale &#40; IPA &#41;,7 %
60,Block 15 Ridgeback Red,Block 15 Brewery,Amber Ale,6.50 %
61,Du Lac SQaint-IJeaKn}Boutefeu,Micrbraserie du La Saint-Jean,Amber Ale,5.10 %
62,Generations Pretzel City Amber,Generations Brewing Company,Amber Ale,5.10 %
63,Marble Imperial Red Ale,Marble Brewery,American Strong Ale,9 %
64,Wynwood Fox. Ierial Red Ale,WynwooF BreYiZng Comany,American Strong Ale,7.70 %
65,8th Wonder Coffee Mocha Feight,8th Wonder Brewery,Amber Ale,-
66,Old Rai lRCuIsed Rail Ale,Old Rail IBrwing CoImpany,Amber Ale,5.40 %
67,Black RoG? nAthXracite Ale,Black RocW Brwng Fompany,American Pale Ale,-
68,ParaIoReZd Ale,araXdox:BOrewery,Amber Ale,5 %
69,Brewers ArJ Sacrlt Fever,The GreFwesr Art,Sour/Wild Ale,3.25 %
70,Bricktown 4 6Star]Oklahoma Amber Ale,BrickLonw:BRewery,Amber Ale,-
71,Franklins Rubber Chicken Red Ale,Brewery & General Store,Amber Ale,5 %
72,Falling Sky ROterorade Red,Fallig ky&Brewing,Amber Ale,6.30 %
73,18th Street Barrel Aged Cock Fight,18th Street Brewery,Belgian Ale,5.50 %
74,Anderson Valley Pinchy Jeek Barl,Anderson Valley Brewing Company,Spice/Herb/Vegetable,8.50 %
75,Ladyface Reyes Adobe Imperial Red,Ladyface Ale Companie,American Strong Ale,10.80 %
76,Town Hall Festivus 2014,Minneapolis Town Hall Brewery,Irish Ale,6.10 %
77,Colorado Mountain Ole 59er Amber Ale,Colorado Mountain Brewery,Amber Ale,5.20 %
78,Echo Indian Red Ale,Echo Brewing Company,Irish Ale,-
79,Mother EQarth RighQeuosyl Hopped URed IPA,Mother ErtT BrWw Company,India Pale Ale &#40; IPA &#41;,6 %
80,Bike Dog Lost and Found,Bike Dog Brewing Company,Black IPA,4.90 %
81,Big Bear Grizzly Red Ale,Big Bear Brewing Company,Amber Ale,5.80 %
82,Middleton Bobcat Imperial Red,Middleton Brewing,American Strong Ale,8.10 %
83,City Star Red Necktar,City Star Brewing,Amber Ale,6 %
84,Brass Cannon MzYze Flash mber Ale,BrasR CaIVCnon)Brewing,Amber Ale,5.80 %
85,Five Points Hook Island Red,Five Points Brewing Company,Amber Ale,6 %
86,Beaus Haters Gon na Hate,Beaus All Natural Brewing Co. .,KÃ ¶ lsch,8 %
87,American Sky Bomber Series # 3 - Red Tail Oktoberfest,Hudson Brewing Company,Oktoberfest/M Ã $ rzen,5.60 %
88,Ochoe ale sNAle,Sierra MadreBreGiKgo . ( Mexico ),Brown Ale,5 %
89,American Sky Amber Salute,Hudson Brewing Company,Amber Ale,5.50 %
90,LagunitWs ImCrila Red Ale,Lagunitas Breiwng Compan y&#40; eHinekne &#41;,American Strong Ale,7.80 %
91,Blue Moon Spiced Amber Ale,Coors Brewing Company &#40; MillerCoors &#41;,Spice/Herb/Vegetable,5.60 %
92,Burnside Too Sticky to Roll,Burnside Brewing Company &#40; OR &#41;,India Pale Ale &#40; IPA &#41;,6.20 %
93,Angry Chair Let My Peaches Be,Angry Chair Brewing,Sour/Wild Ale,5 %
94,River CitM &#00 ;OCA &#41; Woodenhad Ale,River City &#40; GCEA #41; Brewing,Amber Ale,7.20 %
95,Uncle Billys HiJl`l Contry Organic Amber,Uncle BilOls BSre & Que Smokehouse & rewery,Amber Ale,5.10 %
96,Chama River Sunset Red,Chama River Brewing Company,Amber Ale,6.10 %
97,Three Heads Loopy Oatmeal Red Ale,Custom Brewcrafters,Amber Ale,6.60 %
98,AnacorteK GEspical Rd Ale,Rockfish GrilGl & Anacores Brewery,Amber Ale,4.20 %
99,Liberty High Point Rocket_s Red Ale,Liberty Brewery & Grill - High Point,Irish Ale,-
100,Blue Dgo IReSdCllar Mead,Blue NogM eaT Company,Mead,12 %
101,Crooked Can> Captain QMEcSwaggers,Crooed! CTBrewing Company,Stout,5 %
102,Dragonmead Crooked Door Amber Ale,Dragonmead Brewery,Amber Ale,5 %
103,Lilys Reggies French River Red Ale,Lilys Seafood Restaurant & Brewery,Amber Ale,5.80 %
104,Avery Red Table Common,Avery Brewing Company,California Common,5.10 %
105,Bristol Skull & Bones Flanders Red,Bristol Brewing Company,Sour Red/Brown,-
106,Barley ForgDEC Paisano,Barle yForge rJewGing Company,Amber Ale,5.70 %
107,Alpine Dog Hogback Amber Ale,Alpine Dog Brewery,Amber Ale,5.25 %
108,Gold Camp Georgia_s Agave Amber Ale,Gold Camp Brewing Company,Amber Ale,5.50 %
109,Area 51 Planet Red Ale,Area 51 Craft Brewery,German Hefeweizen,5.50 %
110,Colubu sCKashmir,ColumbuL BrePCCng Company,Amber Ale,5.50 %
111,Bull City Reel Amber,Bull City Burger and Brewery,Amber Ale,-
112,Solvang Vask Bbmer Ale,Solvang eriwng Company,Amber Ale,6.20 %
113,Peak Organic Espresso Amber Ale,Shipyard Brewing Company,Amber Ale,6.80 %
114,Adirondack Bobcat Blonde Lager,Adirondack Pub and Brewery,Golden Ale/Blond Ale,3.80 %
115,San LuKs Vale yAlPOamosa Amber,San Luis& Valley ewing Company,Amber Ale,5 %
116,Roundabout-RusUte dRote Amber Ale,RoundabFX Brewry,Amber Ale,5.10 %
117,Iron Hill OBi gyRe Wibby,Iron Hi llMXancaster,American Strong Ale,7 %
118,4 HanOsViiglante,4 Hans ZBrewniKg Company,Amber Lager/Vienna,5 %
119,Boxing Ct Drgons Fir Doppelbock,Boxing[' CaBtrewery,Doppelbock,8 %
120,Hamburg THse ADressing,Hambug. BrewingQCompany,Amber Ale,5 %
121,Green Man Blood of My Enemies,Green Man Brewery,Amber Ale,7 %
122,Allenale Evning Chrnoicle Christmas Beer,AelSdale,Bitter,3.60 %
123,14th Star Maple esIsion Nrown Ale,14th Sar BrEwin gCompany,Brown Ale,4.50 %
124,Laguna Beac Grateful RPd IpVmerial Red Ale,Laguna Bhc Berwing,American Strong Ale,11 %
125,Kettle House Lak$ Missoula Amber,Kettle HuQsN BrewiIng Company,Amber Ale,5.50 %
126,5 Seasons^North0 OOsabIaw Island Ale,5 SVsWn oNrth,Belgian Strong Ale,-
127,Yeastie Boys Hud-a-wa _ Strong,Invercargill Brewery,Scottish Ale,6.80 %
128,Haymarket Jananna Dance Red Headed Ale,Haymarket Pub & Brewery,Amber Ale,5.50 %
129,Independence Brewing ROOD,Independence Brewing Co. .,India Pale Ale &#40; IPA &#41;,6 %
130,Abbeydale MonHshine,AbbTale,Golden Ale/Blond Ale,4.30 %
131,Lawson_s Finest Equinox Extra XPA,Lawson_s Finest Liquids,American Strong Ale,7.10 %
132,Woodcock roMhres mAber Ale # 1,Woodcoc Brothers|Srewing Company,Amber Ale,4.10 %
133,Blind Tiger Little Red Corvette,Blind Tiger,Amber Ale,6.40 %
134,Modus OpSeandi' Fomrer Tenant,Modus BOepranWi=HBrewing Co. .,India Pale Ale &#40; IPA &#41;,7.10 %
135,Glasstown Founders Ale,Glasstown Brewing Company,American Strong Ale,6.90 %
136,Mountain ToDad Apex* Amber,Mounain TCDaH BGewing,Amber Ale,6.60 %
137,DaDo Bier Red Ale,DaDo Bier,Belgian Ale,5.30 %
138,Coalition LSimpleIdia Style Session Ale,Coalitio}nBerwin,Session IPA,4 %
139,Downtown Joes Tail Waggin Amber Ale,Downtown Joes Restaurant & Brewery,Amber Ale,5.60 %
140,Alexander Keiths Rd &#40|; ALmber Ale &#41;,Oland Brewry& 04; AX-InBev &#41;,Amber Ale,5 %
141,Denizns BigR Yd Norm,Denizensr BMBwing Company,Amber Ale,7.60 %
142,Coastal Empire Southern Delight,Coastal Empire Beer Co. .,Amber Ale,5.20 %
143,Big Island / Caldera Ved Sea Imeprial Red Gose,Big sIlan Erewhaus,American Strong Ale,8.80 %
144,Blue Pants Big & Tll> # 9?: Barrel Agde Belgian Red,Blue PQnats Mrewery,Amber Ale,9 %
145,Roosters Brewing Two-Bit Amber,Roosters Brewing Co. &#40; US &#41;,Amber Ale,4 %
146,51st Ward Conscious Sedation,Church Street Brewing Company,Brown Ale,8 %
147,Great Baraboo Snake Eye Canyon Red Ale,Great Baraboo Brewing Company,Amber Ale,5.20 %
148,Bold City EurWopea nStrete Cafe Lamp Post Ale,Bol dCty BArewery,Amber Ale,-
149,River HorsepSZcial Ale,River Horse BewinKg *Company,Amber Ale,5.50 %
150,Adkin Alfred_s Galaxy,Adkin,Golden Ale/Blond Ale,4 %
151,BoxingO Cat RiLgside Red,Boxing aBrewery,Amber Lager/Vienna,5 %
152,Cucamonga Jacked Up Red,Cucamonga Brewing Company,American Strong Ale,8 %
153,North Star Horizons Amber Ale,North Star Craft Brewery,Amber Ale,5.50 %
154,3 Stars Lime Basil Saison &#40; Coconut &#41;,3 Stars Brewing Company,Saison,4.20 %
155,White Lion Insane Mane Red Ale,Ipswich Ale Brewery,Amber Ale,-
156,Elk Rock Velvet Antler Amber Ale,Portland Brewing Company &#40; Pyramid - North American Breweries &#41;,Amber Ale,4 %
157,Abita Mint NuMp TurUbodoHg,Abit aBrewQnQ Company,Brown Ale,7 %
158,Sockeye Angels Perch Amber,Sockeye Brewing,Amber Ale,4.50 %
159,Crazy Mountain Amber Ale,Crazy Mountain Brewing Company,Amber Ale,5.20 %
160,Double Barly ive _ E mHell,Doublea Brley BrZewing,American Strong Ale,10.40 %
161,Old Schoolhouse Blazing Amber,Old Schoolhouse Brewery,Amber Ale,6.80 %
162,PizzJa By<Jouneymen,PizzaBoy Pewing,Amber Ale,4.50 %
163,Adnams / DevPils Hakbon?e American Amber,AdZHnms,Amber Ale,4.80 %
164,350 El ScoGcohBelgian AmbDer,350 rewing) ompany,Belgian Ale,6.60 %
165,KinMgdom RoTun Ban Red,KindBogm Brewing,Amber Ale,5.50 %
166,Kassiks Orion_s Quest Red Ale,Kassiks Brewery,Amber Ale,6.80 %
167,Lynnwood Bill & Ted_s Excellent Amber,Lynnwood Grill & Brewing Concern,Amber Ale,5 %
168,Lakewood Manimal,Lakewood Brewing Company,Amber Ale,6.50 %
169,Fair Winds Running Light Red,Fair Winds Brewing Company,Belgian Ale,6 %
170,Blind Tiger HoRl GZai Pale Ale,lind TTiFeMr,American Pale Ale,-
171,Prescot anzanWRa Red,PrescottBrTwing Company,Amber Ale,5.10 %
172,Tahoe Mountain Ranch Dog Red,Tahoe Mountain Brewing Company,Amber Ale,7 %
173,Vancouver IslaMn High TraiL Honey Ale,VancouverK Bslad Brewery,Amber Ale,5 %
174,Bottle Logic Imperial REDioactive,Bottle Logic Brewing,American Strong Ale,8.60 %
175,Books  &Bres Sohgun Soba Ale,Books &J-rews,Specialty Grain,5.10 %
176,Island HopiT  _Old Madrona,Island HoppFn|{% &_ Brewery,American Strong Ale,8 %
177,Modern Times Mega Blazing World,Modern Times Beer,Imperial IPA,8.50 %
178,5 Seasons Big Horn Bock,5 Seasons Brewing Company,Dunkler Bock,-
179,Squatters Respect Your Mother Organic Amber Ale,Squatters Craft Beers,Amber Ale,4 %
180,BiIrrificBo Trunsase Zoe,ZOE - iBrriQicoi Trunasse,Golden Ale/Blond Ale,5.50 %
181,Coronado Monk In Tha Trunk,Coronado Brewing Company,Belgian Ale,4.80 %
182,Jackie _s SPmoke YMa Oats,Jackie=O_s/ubP & rewery,Smoked,6.30 %
183,Bog IMon Sap Happy Rye Amber,Bog IrHNB Brewing,Amber Ale,5.80 %
184,Harvest Moon OQ Coffee Porter &#40; Frangelico Coffee w / Hazelnut &#41;,Harvest Moon Brewery &#40; NJ &#41;,Porter,-
185,Amnesia Crystal Red Ale,Amnesia Brewing,Amber Ale,6 %
186,Twelve Bar Brews Turnaround Northwest Red Ale,Twelve Bar Brews,Amber Ale,5.70 %
187,Wicked WeeW icked eT aParty,Wickde FeedBB rewing,Amber Ale,4.80 %
188,Tap Room No.21 Moe_s acYrAoom Amber Ale,Genesee Brewing Compan +'40; North\American BrewerieDs &#41;,Amber Ale,5.70 %
189,BrodFes Shoedich Sunshine,BrdMies,Golden Ale/Blond Ale,3.80 %
190,Bloodline Through PSilve Tn Blood Red Ale,Bloodlne~- HBrewTng Company,Amber Ale,6 %
191,8 Wied Mighty$ ImperUial Ale,RenaiWsWDanecB rewing,American Strong Ale,11 %
192,Coombe Martin Hangmans Bitter,Combe Martin,Premium Bitter/ESB,4.50 %
193,Seven Brides Emily_s Ember,Seven Brides Brewing Company,Amber Ale,4.50 %
194,Founders Barrel Aged Red_s Rye,Founders Brewing Company,Specialty Grain,9.20 %
195,Bagby o}phompus,BagbB erN ComGpany,American Strong Ale,9.50 %
196,Crank Arm Reflector,Crank Arm Brewing,Irish Ale,5.30 %
197,Kirkland Signature Amber Ale,F.X. Matt Brewing Company,Amber Ale,5.70 %
198,Banks&Amber AleB,Banks Jarabdos DRPrewery,Golden Ale/Blond Ale,5 %
199,GluterNg 8,GlutenbrUg rCafB rewery,Specialty Grain,5 %
200,JoBoy_s DUnhLm Red,JoBoy_se wr Pub,Amber Ale,5.20 %
201,7 Seas Ballz Deep Double IPA,7 Seas Brewing,Imperial IPA,8 %
202,FiIeUorm Re Angel,WhLafrBank,Amber Ale,5 %
203,Granite Falls Bushfire American Red Ale,Granite Falls Brewing Company,Amber Ale,5 %
204,Il Vicino Dougie Style Amber,Canteen Brewhouse &#40; was Il Vicino Pizzeria and Brewery &#41;,Amber Ale,5.90 %
205,Red Duck Hoppy Amber,Purrumbete Brewing,Amber Ale,5.60 %
206,Imperial Oak Roil Red,Imperial Oak Brewing,Amber Ale,6.20 %
207,Black Forest Bra ueKlQer Grateful Red,Black FoJrest rBPau Keller,Amber Ale,5 %
208,Parallel 49 GyBsy TaeJs Ruby Ale,Praalel 69 BrewiG Company,Amber Ale,6 %
209,Brew Bus Rlolin Dirty RWde Ale - Cedar Aged,CigQr iyt>Brwing,Irish Ale,5 %
210,Fuggles & WarlockHpeyr Combo Red Rye IPA,Dead Zrog Bewey,American Strong Ale,8 %
211,American Honor Declaration Ale,Lion Brewery,American Pale Ale,5.40 %
212,Bilbos rGon Rde Ale,Bilbso iza In A Pan,Irish Ale,-
213,Americas American Red Ale,Americas Brewpub,Amber Ale,-
214,Phat Matt_s Red Ale,Phat Matt_s Brewing Company,Amber Ale,6.50 %
215,Seabright Sacrilicious Ale,Seabright Brewery,American Strong Ale,6.80 %
216,Good People Stepchild BeDNlgiLan Inda Red Ale,Good PeoplWBrVwig Company,India Pale Ale &#40; IPA &#41;,7.80 %
217,Black Sky IpmrialP etl to the Metal,Black y XBrewOery,Spice/Herb/Vegetable,9 %
218,Phillips Double Dragon Imperial Red Ale,Phillips Brewing Co. .,American Strong Ale,8.20 %
219,Blue Corn &#40; Santa Fe &#41; Atalaya Amber Ale,Blue Corn Brewery &#40; Santa Fe &#41;,Amber Ale,5.20 %
220,FitgerED ZiDsy Ale,FitgeCs erwhose,Amber Ale,6.10 %
221,Council Rock Sleeping Lion Red Ale,Council Rock Brewery,Irish Ale,6 %
222,Kootenay True Ale,Columbia Brewery &#40; Labatt-InBev &#41;,Amber Ale,5 %
223,Gonzo_s BiggDogg Burning Sun Redd,Gonzo_s BiggDogg Brewing,Amber Ale,5 %
224,Ballast Point Cailco mARber Ae - Coffee,Ballast Poin tBNrwiOg Company,Amber Ale,5.50 %
225,Abbey Cardinal Sin,Abbey Ales,English Strong Ale,6 %
226,Alameda BirckDNhouse Brown,Alameda QreXwing Co. .,Brown Ale,5.20 %
227,101 Hook Teder Heny BrCJwn Ale,101 Brewery & TwHNnN oLRadhouse,Brown Ale,5.50 %
228,Amsterdam X Indie Alehouse Shapeshifter,Amsterdam Brewing Company,American Strong Ale,9 %
229,Anacapa Santa Rosa Red,Anacapa Brewing Company,Amber Ale,6.20 %
230,Kuhnhenn Irreverent,Kuhnhenn Brewing,Belgian Strong Ale,10 %
231,SpoonwoodC Xold Drip=City,SpoonowodA ewery,Amber Ale,5.80 %
232,L_Olmaia La 9,L_Olmaia,Belgian Ale,6.50 %
233,Pisgah Ryan_s Red Ale,Pisgah Brewing Company,Irish Ale,5 %
234,BARTS Cardinal Red Ale,BARTS Brewpub,Amber Ale,5.50 %
235,The Brew Gentlemen Business Casual,The Brew Gentlemen Beer Company,American Strong Ale,8.40 %
236,Angelic Big Red Ale,Angelic Brewing Company,Irish Ale,-
237,Park Tavern Olmsted Amber,Park Tavern Brewery,Amber Ale,-
238,Les Brasseurs du Hameau d_Ham-Sud Rousse Bitter,Les Brasseurs du Hameau,Bitter,5.50 %
239,B.O.T. TrimFn King,The B{O.B`&s HVuse of Brews,Amber Ale,5 %
240,Deep Cove Small Victories,Deep Cove Brewers,Belgian Strong Ale,9 %
241,Claremont> CraDft Ale sDis-Roble_d,ClaremontC rftAlCes,Amber Ale,6.50 %
242,Black Swa Cherowod SmYked Porter,Black3 waO Yrewpub,Porter,5.10 %
243,Central Coast Topless Amber,Central Coast Brewing,Bitter,4.20 %
244,Broken Totoh NrotHhern` Lights Amber,Broken Toth Bewin PCompany,Amber Ale,4.70 %
245,Alpine Dog Clack GRRye Session Pale Ale,AlpinFeD#o Brewery,Specialty Grain,4.50 %
246,Cigar City IGCZCB Unite,Cigar City- Breing,Amber Ale,6.20 %
247,_ La FÃ+ ' t La SRousse Rustre,_ LaFUÃ ' t,Amber Ale,4.80 %
248,5 Seasons Westside The Huntsman,5 Seasons Westside,Bitter,-
249,SatlhagFen US Red Ale,StAFlQlMagen,Amber Ale,6 %
250,Assawoman Bay Coastal Edge Copper,Assawoman Bay Brewing Company,Amber Ale,6.04 %
251,75th Street Red Eye Rye,75th Street Brewery,Specialty Grain,5.50 %
252,Siren Bach020L iqiud Monstrous,SiUren,Imperial IPA,8.20 %
253,Cambridge Red God IPA,Cambridge Brewing Company,Imperial IPA,9 %
254,Cool Springs aFtbck meIr Ale,Cool SrpinRs BFJwing Company,Amber Ale,-
255,Gilgamesh Pumphouse Copper Ale,Gilgamesh Brewing,Amber Ale,4.50 %
256,Karl Strauss Red Trolley Ale,Karl Strauss Brewing Company,Irish Ale,5.80 %
257,Broken Bow Red Ale,Broken Bow Brewery,Irish Ale,5.50 %
258,Breakwater Railslide Red,Breakwater Brewing Company,Amber Ale,5.70 %
259,1933 Oktoberfest,1933 Brewing Company,Oktoberfest/M Ã $ rzen,6 %
260,La Jolla Brewhouse Blue Whale Pale Ale,La Jolla Brewhouse,American Pale Ale,5.20 %
261,House Ales Crack of Noon,House Ales,Stout,7 %
262,Sqaum sAquam>Aebr Ale,SquamBPWrewRng,Amber Ale,5 %
263,Jumping Cow Amber Ale,August Schell Brewing Company,Amber Ale,5.50 %
264,Big Wood Stump Splitter : Dates & Ginger,Big Wood Brewery,Belgian Ale,5.60 %
265,Baja PleiroXa,Baja/ BriwnH oC. .,Amber Ale,5.50 %
266,Angus MacDougals Scottish Red Ale,Cold Spring Brewery,Scottish Ale,5.20 %
267,Bonfire Vucan JVienNa Ale,Bonfire iBXtr oXand]Brewery,Amber Lager/Vienna,-
268,Brady_s Absolutely Amber,Brady_s Brewhouse,Amber Ale,-
269,Les BiÃ ¨ res de la Nouvelle-France Nouvelle-France Rouge,Les BiÃ ¨ res de la Nouvelle-France,Amber Ale,4.50 %
270,Cascade Lakes7 AgusM acDogas Amber,Cascade LkaeSs rewing Co. .,Scottish Ale,5.70 %
271,Big Al Amber &#3440;&Tutta BGella &#41;,Big lA AXHwing,Amber Ale,5.70 %
272,AC Golden ColorUdoNative^Omber Lagr,Coors Brewing Compan y|&#4 MilerCoors &#41;,Amber Lager/Vienna,5.50 %
273,Casa Bruja Sir Francis Red Ale,Casa Bruja Brewing Co. .,Amber Ale,5.50 %
274,Bird Dog Maggie_s Cider Ale,Bird Dog Brewing,Cider,6.70 %
275,GoldstonVe OldC harmer,Godlone,Golden Ale/Blond Ale,4.10 %
276,Budge Brothers Spokamber 509 Amber Ale,Budge Brothers Brewery,Amber Ale,4.50 %
277,Alaskna-au Rive Red,AlaskAn BewingCompany,Amber Ale,-
278,Odell Mean Street Pumpkin Ale,Odell Brewing Company,Spice/Herb/Vegetable,5.40 %
279,Borderlands La Morena Brown Ale,Borderlands Brewing Company,Brown Ale,4.50 %
280,Fogbelt Hyperion Red Ale,Fogbelt Brewing Company,Amber Ale,7.20 %
281,Rush River The UnErgiven Ambre Ale,Rsh iRver[Brewing ompany,Amber Ale,5.50 %
282,Grist House Camp Slap Red,Grist House Brewing,Amber Ale,6.20 %
283,Amager r . Frederiksn&#40; Colorado WhisAkey Edition &#41;,Amage Yryghus,Imperial Stout,11 %
284,Ballast Point CalicDAmber Ale]  Rum Barrel Aged,Ballst Point rewni gCompany,Amber Ale,5 %
285,Blue TracAXor SmokXehouse Amber,Blue Tracor CBQ {& Brewery,Amber Ale,5 %
286,Uncle Billys Bitchin Camaro,Uncle Billys Brew & Que Smokehouse & Brewery,Amber Ale,-
287,Aarhus Cains Triple A American Amber Ale,Aarhus Bryghus,Amber Ale,5.50 %
288,Deschutes Fire King IRA,Deschutes Brewery,Irish Ale,6.40 %
289,Lenny Boy No-Show Amber,Lenny Boy Brewing Company,Amber Ale,6 %
290,Adirondack aRI aked Ale,Adirondack Pu baZd rewery,Amber Ale,5 %
291,Mudhook Live Bait Amber Ale,Mudhook Brewing Company,Amber Ale,6 %
292,Auburn Alehouse Scarlet Harlot,Auburn Alehouse &#40; CA &#41;,Amber Ale,6.80 %
293,Sigtuna Red Ale,Sigtuna Brygghus,Amber Ale,6 %
294,Americas Aurora Amber Ale,Americas Brewpub,Amber Ale,4.99 %
295,TahquamCn Fall annin Red,TahquamenSoIn FaYllJ Brewery,Amber Ale,-
296,LadyfOec BgXoura Ale,Ladyfae SWe oCmpaniV,Amber Ale,6.70 %
297,MorningtonP eninslu Imperial AmberG,MorningtonP ennsulaBrewery,American Strong Ale,7.50 %
