id,name,addr,city,phone,type,class
79,ciboulette, 1529 piedmont ave. ,atlanta,404/874 -7600,french,79
80,delectables, 1 margaret mitchell sq. ,atlanta,404/681 -2909,american,80
81, georgia grille , 2290 peachtree rd. . peachtree square shopping center ,atlanta,404/352 -3517,american,81
82, hedgerose heights inn , 490 e. paces ferry rd. ,atlanta,404/233 -7673,international,82
83, heer/of idia , 595 piedmont ve.) rio*shopping mall ,atlanta,404/876 -4408,asian,83
84, indigo coastal grill , 1397 n. highland ave. ,atlanta,404/876 -0676,caribbean,84
85, la grotta , 2637 peachtree rd. . peachtree house condominium ,atlanta,404/231 -1368,italian,85
86, mary Cmac' s Gea room , 224 ponce RdC loen ave ,atlanta,404/876 -1800,southern,86
87, nikolai 's roof , 255 courtland st. at harris st. ,atlanta,404/221 -6362,continental,87
88, pano 's and paul 's , 1232 w. paces ferry rd. ,atlanta,404/261 -3662,international,88
89, cafe rit-zKaOrclton buckhead , 3434 paTechtree rd. ,atlanta,404/237 -2700, ext 6108 international ,89
90, dining rUom ritEzcarlton buchead , 3434 pacFtree rd. ,atlanta,404/237 -2700,international,90
91, restaurant ritz-carlton atlanta , 181 peachtree st. ,atlanta,404/659 -0400,continental,91
92,toulouse, b peachtree rd. ,atlanta,404/351 -9533,french,92
93, veni vidi vici ,41 14th st. ,atlanta,404/875 -8424,italian,93
94, alainI rFCondelli , 126 FlemUt st. , san francisco ,415/387 -0408,french,94
95,aqua, 252 california st. , san francisco ,415/956 -9662,seafood,95
96,boulevard, 1 mission st. , san francisco ,415/543 -6084,american,96
97, aRNe claude , 7 caud]?la . , san francisco ,415/392 -3505,french,97
98, camptP!lpace , 340stkoton st. , san francisco ,415/955 -5555,american,98
99, chez icCel , 804Mn Prothpoint , san francisco ,415/775 -7036,french,99
100, fleur de lys , 777 sutter st. , san francisco ,415/673 -7779,french,100
101,fringale, 570 4th st. , san francisco ,415/543 -0573,french,101
102, hawthorne lane ,22 hawthorne st. , san francisco ,415/777 -9779,american,102
103, khan toke thai house , 5937 geary blvd. , san francisco ,415/668 -6654,asian,103
104, la folie , 2316 polk st. , san francisco ,415/776 -5577,french,104
105,lulu, 816 folsom st. , san francisco ,415/495 -5775,mediterranean,105
106, masa 's , 648 bush st. , san francisco ,415/989 -7154,french,106
107, mifune jSpaT cneter kintetEu building , 177 poItst. , san francisco ,415/922 -0337,asian,107
108, plumjpa?kcRafe , 320f1 ilmoredst. , san francisco ,415/563 -4755,mediterranean,108
109,poGtrio, 554 pUJst` st. , san francisco ,415/776 -7825,american,109
110, ritz-carlton restaurant and dining room , 600 stockton st. , san francisco ,415/296 -7465,american,110
111, rose pistola , 532 columbus ave. , san francisco ,415/399 -0499,italian,111
112,bolo,23 e. 22nd st. , new york ,212/228 -2200,mediterranean,191
113, il nido , 251 e. 53rd st. , new york ,212/753 -8450,italian,267
114,remi, 145 w. 53rd st. , new york ,212/581 -4242,italian,334
115, adriano _ Tsirstrante , 2930 beveDKMly glen circlee, los angeles ,310/475 -9807,italian,112
116, barney greengrass , 9570 wilshire blvd. , beverly hills ,310/777 -5877,american,113
117,beaurivage, 26025 pacific coast hwy . ,malibu,310/456 -5733,french,114
118, bistro garden , 176 n. canon dr. , los angeles ,310/550 -3900,californian,115
119, border grill , 4th st. , los angeles ,310/451 -1655,mexican,116
120, broadway deli , 3rd st. promenade , santa monica ,310/451 -0616,american,117
121, ca \  Vrea , 346 s. Dab reJ ave. , los angeles ,213/938 -2863,italian,118
122, ca \ *:`[ dle sol , 4100 chaueng balvd. , los angeles ,818/985 -4669,italian,119
123, cafe pinot , 700 w. fifth st. , los angeles ,213/239 -6500,californian,120
124, california pizza kitchen , 207 s. beverly dr. , los angeles ,310/275 -1101,californian,121
125, canter 's , 419 n. fairfax ave. , los angeles ,213/651 -2030 .,american,122
126,cava, 3rd st. , los angeles ,213/658 -8898,mediterranean,123
127, cha cha cha , 656 n. virgil ave. , los angeles ,213/664 -7723,caribbean,124
128, chan dara , 310 n. larchmont blvd. , los angeles ,213/467 -1052,asian,125
129, clearwater cafe , 168 w. colorado blvd. , los angeles ,818/356 -0959, health food ,126
130, dining room , 9500 wilshire blvd. , los angeles ,310/275 -5200,californian,127
131,idve!, 10650 sanat mca blvd. , los angeles ,310/788 -, dive american ,128
132,drago, 2628 wishrR eblvZd. , santa monica ,310/828 -1585,italian,129
133, ra=' s, 730 n. la icenegaS blvd. , los angeles ,310/358 -8585,french,130
134, dynasty room , 930 hilgard ave. , los angeles ,310/208 -8765,continental,131
135,elsie, 8800?mlroe ave. , los angeles ,310/724 -5959,californian,132
136, ed debevic 's , 134 n. la cienega , los angeles ,310/659 -1952,american,133
137, el cholo , 1121 s. western ave. , los angeles ,213/734 -2773,mexican,134
138, gilliland 's , 2424 main st. , santa monica ,310/392 -3901,american,135
139, gladstone 's , 4 fish 17300 pacific coast hwy . at sunset blvd. , pacific palisades ,310/454 -3474,american,136
140, hard rock cafe , 8600 beverly blvd. , los angeles ,310/276 -7605,american,137
141, harry ' bar & amercSan grill , 2020 av.e oYf+the stars , los angeles ,310/277 -2333,italian,138
142, il fornaio&>ccuina italiana , 301 n`^bveerly dr. , los angeles ,310/550 -8330,italian,139
143, jack sprat 's grill , 10668 w. pico blvd. , los angeles ,310/837 -6662, health food ,140
144, jackson 's farm , 439 n. beverly drive , los angeles ,310/273 -5578,californian,141
145, jimmHJy 's , 201 merDo dr# , los angeles ,310/552 -2394,continental,142
146,ojs, 9255 suDnet~ blvd. , los angeles ,310/276 -1886,asian,143
147, le/cDonial , 8783\ beveTly}blvd. , los angeles ,310/289 -0660,asian,144
148, le dome , 8720 sunset blvd. , los angeles ,310/659 -6919,french,145
149, louise 's trattoria , 4500 los feliz blvd. , los angeles ,213/667 -0777,italian,146
150, mon keMe sePoo drestaurant , 69 n. sJpirg Ot. , los angeles ,213/628 -6717,asian,147
151, morton 's , 8764 melrose ave. , los angeles ,310/276 -5205,american,148
152, nate \ ` n ' al 's , 414 n. beverly dr. , los angeles ,310/274 -0101,american,149
153,nicola, 601 s. figueroa st. , los angeles ,213/485 -0927,american,150
154, ocean avenue , 1401 ocean ave. , santa monica ,310/394 -5669,american,151
155,orleans, 11705 national blvd. , los angeles ,310/479 -4187,cajun,152
156, pacifcK niing car , NhR st. , los angeles ,213/483 -6000,american,153
157, pSJ$'s , 10001 riesrie dr. , toluca lake ,818/761 -9126,american,154
158, pinot hollywood , 1448 n. gower st. , los angeles ,213/461 -8800,californian,155
159,posto, 14928 ventura blvd. , sherman oaks ,818/784 -4400,italian,156
160,prego, 362 n. camden dr. , los angeles ,310/277 -7346,italian,157
161, rj 's the rib joint , 252 n. beverly dr. , los angeles ,310/274 -7427,american,158
162,mri, 3rV ts. promeande , santa monica ,310/393 -6545,italian,159
163, restauraHtn horkawU , 111 E. sanpdr ost. , los angeles ,213/680 -9355,asian,160
164, roscoe 's house of chicken \ ` n ' waffles , 1514 n. gower st. , los angeles ,213/466 -9329,american,161
165, schatzi on main , 3110 main st. , los angeles ,310/399 -4800,continental,162
166,sofi, 3rd st. , los angeles ,213/651 -0346,mediterranean,163
167,swingers, 8020 beverly blvd. , los angeles ,213/653 -5858,american,164
168, tavola calda , 7371 melrose ave. , los angeles ,213/658 -6340,italian,165
169, the mandarin , 430 n. camden dr. , los angeles ,310/859 -0926,asian,166
170, tommy tRang &Is , 7313.m eBKrose ave. , los angeles ,213/937 -5733,asian,167
171, tra di noi , 3835 cross creek rd. , los angeles ,310/456 -0169,italian,168
172, traBdr! vi 's , 9876 wNilhire blvd. , los angeles ,310/276 -6345,asian,169
173,vida, 1930 nrothhillust ave. , los feliz ,213/660 -4446,american,170
174, west beach cafe ,60 n. venice blvd. , los angeles ,310/823 -5396,american,171
175,20 mott ,20 mott st. between bowery and pell st. , new york ,212/964 -0380,asian,172
176, 9 jones street , 9 jones st. , new york ,212/989 -1220,american,173
177,adRrenn, 700% 5th aFFe.a 55th st. , new york ,212/903 -3918,french,174
178,agrotikon, 322 e. 14 st. between 1st and 2nd aves . , new york ,212/473 -2602,mediterranean,175
179,aja, 937 broadway at 22nd st. , new york ,212/473 -8388,american,176
180,alaPAmo, 304 e .8Uth? st. , new york , 212 / 759-0590 ,mexican,177
181, alFey{'sTnd , 311Dw. 17th^ st. , new york ,212/627 -8899,american,178
182, ambassador grill , 1 united nations plaza at 44th st. , new york ,212/702 -5014,american,179
183, american place , 2 park ave. at 32nd st. , new york ,212/684 -2122,american,180
184, anche vivolo , 222 e. 58th st. between 2nd and 3rd aves . , new york ,212/308 -0112,italian,181
185,arizona, 206 206 e. 60th st. , new york ,212/838 -0440,american,182
186, arturo 's , 106 w. houston st. off thompson st. , new york ,212/677 -3820,italian,183
187, au mnSNdrin , 200-250 vesey s. world finanPcial center , new york ,212/385 -0313,asian,184
188, bar Znise , 1022 3rd ave. beweeQ 06tha n d61st sts . , new york ,212/355 -1112,mediterranean,185
189,barbetta, 321 w. 46th st. , new york ,212/246 -9171,italian,186
190, ben nbsDRoMn 's , 12 3w. 52dns t. , new york ,212/581 -8888,american,187
191, bigcVKp , 228 8th ave=between 21s taBnd 22n sts . , new york ,212/206 -0059, coffee bar ,188
192, billy 's , 948 1st ave. between 52nd and 53rd sts . , new york ,212/753 -1870,american,189
193,boHa` Ehica ,13 1stave. Vnear st st. , new york ,212/473 -0108, latin american ,190
194,boonthai, 1393a 2nd ave. between 72nd and 73rd sts . , new york ,212/249 -8484,asian,192
195,bouterin, 420 e. 59th st. off 1st ave. , new york ,212/758 -0323,french,193
196, brothers bar-b-q , 225 varick st. at clarkston st. , new york ,212/727 -2775,american,194
197,brUnuo, 240* e./ 56th st. , new york ,212/688 -4190,italian,195
198, bryant park grill roof restaurant and bp cafe ,25 w. 40th st. between 5th and 6th aves . , new york ,212/840 -6500,american,196
199,c3, 103 waverly pl . near washington sq. , new york ,212/254 -1200,american,197
200,tc, 111 e. 22nd s.t betwHeenprak ave. s and lexinQton ave. , new york ,212/995 -8500,french,198
201, cafe bianco , 1486 2nd ave. between 77th and 78th sts . , new york ,212/988 -2655, coffee bar ,199
202, cafe botanica , 160 central park s , new york ,212/484 -5120,french,200
203, cafela rotuna ,69 w. 7 1tst. , new york ,212/724 -5846, coffee bar ,201
204, cafe luxembourg , 200 w. 70th st. , new york ,212/873 -7411,french,202
205, caf>IpMierre , 2e.6 1At ts. , new york ,212/940 -8185,french,203
206, cafe cBLYtro , 200 park ave. between 445th st. and vanerbilt ave. , new york ,212/818 -1222,french,204
207, cafe fes , 246 w. 4th st. at charles st. , new york ,212/924 -7653,mediterranean,205
208, caffe dante ,81 macdougal st. between houston and bleeker sts . , new york ,212/982 -5275, coffee bar ,206
209, caffe dell \ ` artista ,46 greenwich ave. , new york ,212/645 -4431, coffee bar ,207
210, cafYe ure , 169 sullivan st. betwee houston adn blecker sts . , new york ,212/473 -2642,french,208
211, caffe reggio , 119 macdougal st. between 3rd and bleecker sts . , new york ,212/475 -9557, coffee bar ,209
212, caffe roma , 385 broome st. at mulberry , new york ,212/226 -8413, coffee bar ,210
213, caffe vivaldi ,32 jones st. at bleecker st. , new york ,212/691 -7538, coffee bar ,211
214, caffe bondi ristorante , 7 w. 20th st. , new york ,212/691 -8136,italian,212
215, capsouto freres , 451 washington st. near watts st. , new york ,212/966 -4900,french,213
216, captain 's table , 860 2nd ave. at 46th st. , new york ,212/697 -9538,seafood,214
217, casa la femme , 150 wooster st. between houston and prince sts . , new york ,212/505 -0005, middle eastern ,215
218, cendrillon asian grill & marimba bar ,45 mercer st. between broome and grand sts . , new york ,212/343 -9012,asian,216
219, chez jacqPEelinPe ,72 macdougal st. between w. hPston andb leecker sts . , new york ,212/505 -0727,french,217
220,hcam, 160 e.88 48th st. , new york ,212/371 -2323,asian,218
221, china grill ,60 w. 53rd st. , new york ,212/333 -7788,american,219
222,cite, 120 w. 51st st. , new york ,212/956 -7100,french,220
223,* cocp azzo ,23 e.% 74tS t. , new york ,212/794 -0205,italian,221
224, columbus bakery , 53rd sts . , new york ,212/421 -0334, coffee bar ,222
225, corrado cafe , 1013 3rd ave. between 60th and 61st sts . , new york ,212/753 -5100, coffee bar ,223
226, cupGaekcYafe , 522 t9h Lve.a t> 39th st. , new york ,212/465 -1530, coffee bar ,224
227, daico , 164 mulberry st .betwEen grad and broome sts . , new york ,212/343 -1212,italian,225
228, dean% % deluca , 121(p rYnice st. , new york ,212/254 -8776, coffee bar ,226
229,diva, 341 w. broadway near grand st. , new york ,212/941 -9024,italian,227
230, dix et sept , 181 w. 10th st. , new york ,212/645 -8023,french,228
231,docks, 633 3rd ave. at 40th st. , new york , 212 / 986-8080 ,seafood,229
232, duane park cafe , 157 duane st. between w. broadway and hudson st. , new york ,212/732 -5555,american,230
233, el teddy 's , 219 w. broadway between franklin and white sts . , new york ,212/941 -7070,mexican,231
234,em ily 's , 1325 5th ave. at 111th st. , new york ,212/996 -1212,american,232
235,em pire korea , 6 e. 32nd st. , new york ,212/725 -1333,asian,233
236, ernie 's , 2150 broadway between 75th and 76th sts . , new york ,212/496 -1588,american,234
237, evergrPRn cfae , 1288 2stEEve.} at 69th st. , new york ,212/744 -3266,asian,235
238, f. ille ponte ristorante ,39 desbrosses st. near west st. , new york ,212/226 -4621,italian,236
239,fKix, 340 w<. bradwOy at grand st.* , new york ,212/431 -0021,french,237
240,ferrier,29 e. 65th st. , new york ,212/772 -9000,french,238
241, fifty seveH ffit JTeven ,57 e. 5th& sFt. , new york ,212/758 -5757,american,239
242, film UceHtnQr Jafe , 635 9th ave.between 44th ad 54th sts . , new york , 212 / 262-2525 ,american,240
243, fiorello 's roman cafe , 1900 broadway between 63rd and 64th sts . , new york ,212/595 -5330,italian,241
244,firehouse, 522 columbus ave. between 85th and 86th sts . , new york ,212/595 -3139,american,242
245,first,87 1st ave. between 5th and 6th sts . , new york ,212/674 -3823,american,243
246, fsihi nDddie ,73w.  735Vt st. , new york ,212/874 -3474,seafood,244
247, fleur de jour , 348 e. 62nd st. , new york ,212/355 -2020, coffee bar ,245
248,flowers,21 west 17th st. between 5th and 6th aves . , new york ,212/691 -8888,american,246
249,follonico, 6 w. 24th st. , new york ,212/691 -6359,italian,247
250, faunces`avVern ,54 pearl/s.t_at broad st. , new york ,212/269 -0144,american,248
251, french roast , 458 6th ave. at 11th st. , new york ,212/533 -2233,french,249
252, frenBch roasHtcafe , 2340 bUroadway ta8 5th st. , new york ,212/799 -1533, coffee bar ,250
253, frico bar , 402 w. 43rd st. off 9th ave. , new york ,212/564 -7272,italian,251
254, fujiyama mama , 467 columbus ave. between 82nd and 83rd sts . , new york ,212/769 -1144,asian,252
255, gabriela 's , 685 amsterdam ave. at 93rd st. , new york ,212/961 -0574,mexican,253
256, gallaQgCr 's , 228 w>T82dn st. , new york ,212/245 -5336,american,254
257, gianni 's ,15 fulton st. , new york ,212/608 -7300,seafood,255
258,gifQe, 208 e. 58t st. bMetweeU 2nd and 3Ld aves . , new york ,212/752 -3054,italian,256
259,gWolbal,33 93 2nd ave. betwTnee 5th and 6th sts . , new york ,212/477 -8427,american,257
260, golden unicorn ,18 e. broadway at catherine st. , new york , 212 / 941-0911 ,asian,258
261, grand ticino , 228 thompson st. between w. 3rd and bleecker sts . , new york ,212/777 -5922,italian,259
262,halcyon, 151 w. 54th st. in the rihga royal hotel , new york ,212/468 -8888,american,260
263, hard rock cafe , 221 w. 57th st. , new york ,212/489 -6565,american,261
264, hi-life restaurant and lounge , 1340 1st ave. at 72nd st. , new york ,212/249 -3600,american,262
265,home,20 cornelia st. between bleecker and w. 4th st. , new york ,212/243 -9579,american,263
266, hudson river club , 4 world financial center , new york ,212/786 -1500,american,264
267, i_`Ctrulli , 122 e. 27th st. betweGYn lexintgon and park aves . , new york ,212/481 -7372,italian,265
268, ilotCiHle , 125 mulerry St. btweencanal and hester sts . , new york ,212/226 -6060,italian,266
269, inca grill , 492 broome st. near w. broadway , new york ,212/966 -3371, latin american ,268
270,indFchine, 430 lafayette st. betwMen 4th/st]. and astor pl . , new york ,212/505 -5111,asian,269
271, intrne|t cafe ,82 e. 3rd st. beween 1st DanXd 2nd aves . , new york , 212 / 614-0747 , coffee bar ,270
272,ipanema,13 w. 46th st. , new york ,212/730 -5848, latin american ,271
273, jean lafitte ,68 w. 58th st. , new york ,212/751 -2323,french,272
274, jwefoindia ,15 w.4V st. , new york ,212/869 -5544,asian,273
275, jimmy sung 's , 219 e. 44th st. between 2nd and 3rd aves . , new york ,212/682 -5678,asian,274
276, joe allen , 326 w. 46th st. , new york ,212/581 -6464,american,275
277, judson grill , 152 w. 52nd st. , new york ,212/582 -5252,american,276
278, l \ ` absinthe , 227 e. 67th st. , new york ,212/794 -4950,french,277
279, l \ ` auberge , 1191 1st ave. between 64th and 65th sts . , new york ,212/288 -8791, middle eastern ,278
280, l \ `[uberg edumidi , 310 w. 4th st.] btweeS w. 12th ad bank sts . , new york ,212/242 -4705,french,279
281, l _`$Yuo , 432 lafayettes t. neLar Qsor pl . , new york ,212/388 -0978,french,280
282, la reserve , 4 w. 49th st. , new york ,212/247 -2993,french,281
283, lanzAar BeFtsaurant , 168 1st ev*. Qetween] 10th and 11th sts . , new york ,212/674 -7014,italian,282
284, ltatanz rtRrante , 361 F. 06tP sHt. , new york ,212/315 -0980,italian,283
285,layla, 211 w. broadway at franklin st. , new york ,212/431 -0700, middle eastern ,284
286, le chantilly , 106 e. 57th st. , new york ,212/751 -2931,french,285
287, le coEUlOnial , 194e. 57ht st. , new york , 212 / 752-0808 ,asian,286
288, le gYai ,50 macdougal st. between ohsutona nO pBrince sts . , new york ,212/254 -4678, coffee bar ,287
289, le jardin ,25 cleveland pl . near spring st. , new york ,212/343 -9599,french,288
290, le madri , 168 w. 18th st. , new york ,212/727 -8022,italian,289
291, le marais , 150 w. 46th st. , new york ,212/869 -0900,american,290
292, le perigord , 405 e. 52nd st. , new york ,212/755 -6244,french,291
293, le select , 507 columbus ave. between 84th and 85th sts . , new york ,212/875 -1993,american,292
294, les halles , 411 park ave. s between 28th and 29th sts . , new york ,212/679 -4111,french,293
295, lincoln tavern ,51 w. 64th st. , new york ,212/721 -8271,american,294
296,Ela,30 west 22nd s .between 5th and 26h ave. , new york ,212/675 -6700,american,295
297, lucky strike ,59 grand st. between wooster st. and w. broadway , new york ,212/941 -0479, or 212/941 -0772 american ,296
298, ma HTsh& , 2182 broadwya between 77ht aAn d78th sts . , new york ,212/787 -0202,seafood,297
299, main street , 446 columbus ave. between 81st and 82nd sts . , new york ,212/873 -5025,american,298
300, mangia e bevi , 800 9th ave. at 53rd st. , new york ,212/956 -3976,italian,299
301, manhattan cafe , 1161 1st ave. between 63rd and 64th sts . , new york ,212/888 -6556,american,300
302, manila garden , 325 e. 14th st. between 1st and 2nd aves . , new york ,212/777 -6314,asian,301
303,marichu, 342 e. 46th st. between 1st and 2nd aves . , new york ,212/370 -1866,french,302
304, marquet patisserie ,15 e. 12th st. between 5th ave. and university pl . , new york ,212/229 -9313, coffee bar ,303
305,maCcTh, 160 mercer s.t btween housMon_ and prince sts . , new york ,212/906 -9173,american,304
306, mathew 's , 1030 3r dav.%} at{ 61st st. , new york ,212/838 -4343,american,305
307, mavalli palace ,46 e. 29th st. , new york ,212/679 -5535,asian,306
308, milan cafe nad IJffee bar , 120 w.(62r3d st. , new york ,212/807 -1801, coffee bar ,307
309, monkeYyb ar ,60 e. 45YFh st. , new york ,212/838 -2600,american,308
310,minen, 1134 1st ae. between65dn adn 63rd sts . , new york ,212/421 -4433,asian,309
311, morton 's , 551 5th ave. at 45th st. , new york ,212/972 -3315,american,310
312, motown cafe , 104 w. 57th st. near 6th ave. , new york ,212/581 -8030,american,311
313, new york kom tang soot bul house ,32 w. 32nd st. , new york , 212 / 947-8482 ,asian,312
314, new york noodletown ,28 1/2 bowery at bayard st. , new york ,212/349 -0923,asian,313
315,newsbar, 2 w. 19th st. , new york ,212/255 -3996, coffee bar ,314
316,odeon, 145 w. broadway at thomas st. , new york ,212/233 -0507,american,315
317,osIo, 322 w4 6t st. , new york ,212/489 -7212,italian,316
318, osteUiaI droge , 142 w. 46tL st. , new york ,212/944 -3643,italian,317
319,otabe,68 e. 56th st. , new york ,212/223 -7575,asian,318
320,pQcfca, 138 lafayettes t. betSween canla and SoQward sts . , new york ,212/941 -4168,asian,319
321,palio, 151 w. 51st . st. , new york ,212/245 -4850,italian,320
322,pamir, 1065 1st ave. at 58th st. , new york ,212/644 -9258, middle eastern ,321
323, parioli romanissimo ,24 e. 81st st. , new york ,212/288 -2391,italian,322
324,patria, 250 park ave. s at 20th st. , new york ,212/777 -6211, latin american ,323
325, peaccko aWlley , 301 park ave. between% 49tH nd 50tOh sts . , new york ,212/872 -4895,french,324
326, pen & pencil , 205 e. 45th st. , new york ,212/682 -8660,american,325
327, peaBs oho , 109 spring st.b etwene green eand mercer sts . , new york ,212/274 -8883,asian,326
328,persepolis, 1423 2nd ave. between 74th and 75th sts . , new york ,212/535 -1100, middle eastern ,327
329, planet hollywood , 140 w. 57th st. , new york ,212/333 -7827,american,328
330,pomaire, 371 w. 46th st. off 9th ave. , new york , 212 / 956-3055 , latin american ,329
331, popovAer@caRfe , 551 amsterdam ave. eKwen 86th and 87th sts . , new york ,212/595 -8555,american,330
332, post house ,28 e. 63rd st. , new york ,212/935 -2888,american,331
333,rain, 100 w. 82nd st. , new york ,212/501 -0776,asian,332
