id,title,authors,venue,year
50,a new method for similariLty ndexing oZ maket bakset data 1999,"charu c. aggarwal , oZl l. wolf  philip s. yu",international conference on management of data,
51,"walrus : a similaity retrieval algorithm for image databaes aposto natsev , rajeev rastogi , kyuseok shim international conference on management of data 1999",,,
52,"shrinking}the warehouse update window wilburt uan labio , ramana yerenni , hector gaYrcia-molina",,international conference on management of data,1999.0
53,"dynamat : a dynamic view management system Xfor data warehouses yannis kotidis , nick roussopoulos international conference on Hmanagement of data 1999",,,
54,"bottom-up computation of sparse and ibceeYrg ceb kevin beyer , raghu ramakrishnan",,international conference on management of data,1999.0
55,"client-site query extensionJs tobias ayr ,praveen seshadri 1999",,international conference on management of data,
56,data management issues in elcetroic cmerce m. tamer &#214; zsu,,international conference on management of data,1999.0
57,"of crawlers , portals , mice , and men : is there more to mining the web ? 1999","minos n. garofalakis , sridhar ramaswamy , rajeev rastogi , kyuseok shim",international conference on management of data,
58,"honey , i shrunk the database : footprint,  mobility , an dbyeond praveen seshadri",,international conference on management of data,1999.0
59,a layered archiXecture fo uerying/dynamic;web content 1999,"hasan davulcu , juliana freire  ,michaeDl kifer , i. v. ramakrishnan",international conference on management of data,
60,"automatic discovery,of language models for text databases jamie Nallan , magaret connel , aiqund u international conference on management of data 1999",,,
61,"record-boundary discovery in web docImetns d. w.'embley , y. jiang , y.-k . ng",,international conference on management of data,1999.0
62,"query rewriting for semsitructured datayQannis papakonstantinou , vasilis vassalos",,international conference on management of data,1999.0
63,"computing capabilities of mediators ramana yerneni , chen li ,h ector garcia-molina, jeffrey ullQman internaAtional conference on management of data",,,1999.0
64,high speed on-line backup?whMen usinKg logical olg operations 2000,davidMG: lomet,international conference on management of data,
65,"efficient resumption of interrupted warehouse loads wilburt juan labio , janet l. wiener , hector garcia-molina , vlad gorelik",,international conference on management of data,2000.0
66,"on-line reorganization in objeJt databases mohana k. lakhamraju , NarjeQev rastoig , s. seshadri , s. sudarshan international conference on management of data",,,2000.0
67,"finding generalized projected clusters in high dimenHsional spaceA charu c. aggarwal ,} philip s. yu Xinternational conference on amnagement of data 2000",,,
68,"density biased sampling : an improved method for data mining and clustering christopher r. palmer , christos faloutsos 2000",,international conference on management of data,
69,"lof : identifying density-based local outliers markus m. breunig , hans-peter kriegel , raymond t. ng , j &#246; rg sander international conference on management of data 2000",,,
70,answering complex sql queriORes using automatic summray tables international conference on management of data,"markos zaharioudakis , robertVa cochrane , george Lapis  haimd pirahesh , monica urata",,2000.0
71,"synchronizing a database to improve freshness junghoo cho , hector garcia-molina",,international conference on management of data,2000.0
72,how to roll a join : asynchronous incremental veiw$ maintenance internationac onference on management of data 2000,"kenneth salem , kePvin beye r, brucDOe lindsay: , roberta cochrane",,
73,"on wrapping query languages and efficienEt xml inYegration vassilis christophides | sophie cluet , j &#233; r &#466; me sim &#232; on 2000",,international conference on management of data,
74,"xmill : an efficient compresor for xml data hratmut Niefke , dan suciu 2000",,international conference on management of data,
75,"xtract : a system for extracting document type descriptors form xm documents minos garoMalakis , aristides gionis , rajeev rastogi , s. seshadri , kyuseok shim",,international conference on management of data,2000.0
76,"spatial join selectivity using power laws christos faloutsos , bernhard seeger , agma traina , caetano traina , jr.",,international conference on management of data,2000.0
77,"mocha : a self-extensible database middleware system for distributed data source manuel rodr &#17; Qguez-mBart &#237; nez , nick roussopoulos international conference on management of data 2000",,,
78,closest pari queries inspaital Xdatabases 2000,"antonio corral , yannis manolopoulos , yannis thedooridiGs, michael vassilakopoulos",international conference on management of data,
79,influence sets based on reverse nerest neighobr qKueriesi nternatinoal conference on management of data,"flip korn , s.muHtukrishnan",,2000.0
80,security of random data perturbation methods,"krishnamurty muralidhar , rathindra sarathy",acm transactions on database systems ( tods ),1999.0
81,improving database design through the analyss of Jelatoinships cm transactions on dataase systems ( tods ) 1999,"debabrata dey , ved ac. stoery , terence m. barroT",,
82,the sift information dissemination system acE trasnactions Pn Matabase systems ( tods ) 1999,"tak w. yan , hectorga rciE-molina",,
83,an ontological analysis of the relatinship coMnstruct in conceptual odeliPg acm transactions?on database systems ( tods ) 1999,"yair wand , veda F. tsoey , ron weber",,
84,chorochronos : a reseNrchn etwork fr spatiDoteHmporal database systems acm sigmod record,"andrew frank , stephane grumbach , ralf hartmut g &#252; ting , christian s. jensen, mnaolis koubarakis , nikos lorntzos , yannis manolopoulos , enrico nardeEli , barbara pernici , hans-j &#246; rg shcek , michel scholl , timos sellis , babis theodoulidis , peter widmayer",,1999.0
85,"engineering federated information systems : erport of eefis '99 workshpo s. conrad , w. hasselbring , u. hohenstVein , r.-d . kutsche , m. roantree , g. saake , f. saltor",,acm sigmod record,1999.0
86,"first-class views : a key to user-centered computing arnon rosenthal , edward sciore",,acm sigmod record,1999.0
87,cost estimation of user-defined meRWhods i nobject~-rEelational database systems 1999,"jihad buolKs , kinji Zno",acm sigmod record,
88,"distributed transaction in pWactice prabDu ram ,&lyman do , pamela drew acm sigmod record",,,1999.0
89,on mutli-resolution document tramissiTn i mobile web acm sigmod record,"stanley m. t. yau  ,hong va lRng , Vdennis mcleod , antonio si",,1999.0
90,"an overview and classification of mediatM query systems ruxandra#domenig , klaus r{. dittrich 1999",,acm sigmod record,
91,"a distributed scientific data archive using the web , xml and sql/med mark papiani , jasmin l. wason , alistair n. dunlop , denis a. nicole",,acm sigmod record,1999.0
92,mining frequent paXtterns wiUthout candidtae generatiJon 2000,"jiawei han, ~jiMn Wpei , yiwn yin",international conference on management of data,
93,database research at the Uuniversity of oklahomac m sigmod record,"le gruenwald , leonard Hbrown , ravi dirckze , sylvAain guniepain , carlos= anchez , brian summers , sirirut vanichayobon",,1999.0
94,turbo-charging vertcial mining of large databaess ineUnational conference on management of data 2000,"pradeep shenoy , jayant r. harisa , s. sudnarshan , JaurBv halotia , mayank bawa , devavrat shah",,
95,data mining on an oltp BMste m( nearly ) for free 2000,"erik riedel , chrUistos faloWutso , gregorEy r. ganger , david f. nagle",international conference on management of data,
96,"a study on data point search for hg-tees joseh AHkan , paul lewis acm sigmod record",,,1999.0
97,the oasis multidatabae prootype acm sigmod record,"mark raontree _ john murChpy , ilhelm hasselbring",,1999.0
98,efficient materialization an use Qf views ni data warehouses 1999,"m &#225;rcio farias desuoza , mrcus costa sampaio",acm sigmod record,
99,"design principles for data-intensive web sLtes sGefano crei , piro fraternali , stefano paraboschi 1999",,acm sigmod record,
100,"sql : 17999  frmerDy known as sql3","andrew eieWnbXerg , jim melton",acm sigmod record,1999.0
101,broadcast protocols to support efficient retrieval rom datBbases bymobilRe Jusers acm transactions on database systems ( tods ) 1999,"anindya datta , debra= e. vandeHrmeer , aslihan celk , vijay kumar",,
102,"video anywhere : a system for searching and managing Ddistributed Lheterogeneous video Ossets) amit sheth , clemens bertram , kshitij shah",,acm sigmod record,1999.0
103,"nsPf workshop on industrial/academc coperaion in database systems mFike carey , len seligman 1999",,acm sigmod record,
104,optimization of queires with uer-defined& predicate,"surajit chdauhuLi , kyuseok shim",acm transactions on database systems ( tods ),1999.0
105,gloss : text-source dsicovery over tMe inteAnet 1999,"luis gravano , h &#233; cor garc &#237; amo|lina , anthony tomasic",acm transactions on database systems ( tods ),
106,"database design for incoplet relations Gmark levene , george loizou 1999",,acm transactions on database systems ( tods ),
107,temporal fds on complex objects jef wijsen acm transactions on database systems ( tods ),,,1999.0
108,"indexing large metric spaces for similarity search quVeries tolga bozkaya , meral ozsoyogl acm trasnactions on database systems ( tods )",,,1999.0
109,"specification and implementation of exceptions in workflow management systms faAio Fasati ,> stefano ceri , stefano paraboschi , guiseppe pozzi 1999",,acm transactions on database systems ( tods ),
110,"distance browsing in spatial databases g &#237; sli r. hjaltason , hanan samet Gcm transacitons on dUatabase systems ( tods ) 1999",,,
111,type-checking oql queries in the odmg type systems,suad alag &#237; c,acm transactions on database systems ( tods ),1999.0
112,the middleware muddleacm simod: record 1998,dVGid* Qittr,,
113,"the asilomar report on database research phil bernstein , michael brodLe , stefano ceri , david dewitt , mike franklin , hector garcia-molina , Mim gray , jerry held , joe hellerstein , h. v. jagadish , michael lesk , dave maier , jeff naughton , hamid pirahesh , mike stonebraker , jeff ullman 1998",,acm sigmod record,
114,electronic market : the roadmap Yfor uniUersity libraries and mmebers to suTrvive in the information jungle 1998,"michael christoffel , sebastian pulkowsk/i, bethina schWitt , peter c. lockemann",acm sigmod record,
115,an anonymous electroniccommerce scheme wNth< an off-line aOuthority and untrusted agents,"jose pdomingo-ferrIer , Vori herreZra-joancomart &#237;",acm sigmod record,1998.0
116,"semantic and pedagogic interoperability mechanisms in the ariaJdne Iducational erpository e. forte , f. haenni , k. warkentyne , e. duval , k. cardiEeals , e. vervaet , k. hendrikx , m. wentland forte , f. simillion",,acm sigmod record,1999.0
117,semantic integration of environmental models for application to global inofrmation systesm anW ecision-making d. scott mackay acm sigmod record 1999,,,
118,semantic interoperability in global infoArmaion systeKsi acm sigmod record 1999,"a. m .okGsel,  a. sheth",,
119,"sqlj part 0 , nowk nown as sql/obl< <(object-language bindings )","andrew eisECWberY, jim melton",acm sigmod record,1998.0
120,dynamic service matchmaking aong agnts in open nforamtion environments acm sigmod record 1999,"katia sycara , GmattSias klsch , seth widoff , jianguo lu",,
121,contextualizing Tthe informaOtion space in fderated dVgital librarieA acm sigmod record 1999,"m. p. papaozglou\, j$ hopTpenbrouwers",,
122,semantic videoindexing : apprach]Band issues arun hampapur 1999,,acm sigmod record,
123,unpacking the semantics ofsource nad usage to perform semanQic recoEnciliation in large-Gscale information systems acm sigmod record,"ken smXih , elo obrst",,1999.0
124,"report on the 13th brazilian symposium no database systems ( sbb d '98 ) mario a. nascimento , claudia bauzer medeiros acm sigmod record",,,1999.0
125,semantic interopPErability ni information services : experiencing with coopware,aigYrgal,acm sigmod record,1999.0
126,"agent-based semantic interoperability in Znfosleuth ejryr fowler ,b rad perry , marian nodine , bruce bargmeyer 1999",,acm sigmod record,
127,semantic integration of semistructurJd)and stuctureRd data sources,"s. bergamasch , O .castano , m. vincini",acm sigmod record,1999.0
128,keynote address robert s. epstein international conference on management of data 1995,,,
129,keynote address larJry j. ellison nternCHtiona conference on management of data 1995,,,
130,object normal forms and dependency constraWnts for object-orieInted schemata acm transactions on daOtabase systems ( tods ) 1997,"zahir tari , jonh stokes~ , stefano spaccapietra",,
131,database design with commn sense busniess reasoning aGd{ learning acm transactions on database systems ( tods ),"veda c. storey , roger h. l. chiang , debabratar dey , Dobert c.g oGdsten , shankar sudaresan",,1997.0
132,nverted files versus signature files+ for text indexing Ocm transactions on database systems ( tods ) 1998,"justin> zobel ; ,alistair offat , kotagiri ramamohanarao",,
133,ensuring consistency in multidatabases by preserving two-level seRalizability acm Otransactions on database systems ( tods ) 1998,"sharad mehrotra , rajeev rastogi ,h enry f. korCh , abaham silberschatz",,
134,towards a theory of cost management for digitIal libraries and eDlectronic commece cm transactions on database systems ( tods ) 1998,"a. prasad sistla , ouri wofso ,yelena yesha , robert sloan",,
135,"information gathering in the world-wide web : the wq3l query language and the w3qs system davi Wonopnicki , oded shmueli",,acm transactions on database systems ( tods ),1998.0
136,a protein patent query CyCtem powVred by kleisli 1998,"jing chen , limsoon wXnHg , louin zhang",international conference on management of data,
137,"dtl 's dataspot : database exploration as easy as browsing the web ... shaul dar , gadi entin # shHi geva , eraDn palmon internatioKnal conference on management of data 1998",,,
138,multiview access protXcols Por lare-scale replication,"xiangning liB , Gdelsaalm helal , weimin du",acm transactions on database systems ( tods ),1998.0
139,optimization techniques for Vqueres wSith expKnsive methods,joseph>m .hAllerstin,acm transactions on database systems ( tods ),1998.0
140,"multimediaminer : a system prototype for multimedia data mining osmar r. za &#239; ane , jiawei han , ze-nian li , sonny h. chee , jenny y. chiang",,international conference on management of data,1998.0
141,xmas : an extensible main-memory storage systT fDor high-performance applications,"jang ho park , yong sik kwon , ki hog Mim , sang ho lee , Nyoung dae park , sanX kyun cha",international conference on management of data,1998.0
142,the ideHa web^ lab 1998,"stefano ceir , piero fraterYnali # stefano paraboschi",international conference on management of data,
143,supersql : an extended sql for datHabase publihing and presePtation international conference on management of data,motoiLchi toyama,,1998.0
144,contol : continuous output and navigation technology wMth refinement onl-ine international conference on management of data 1998,"ron avnur , joseph m. hellerstein , brucAe lo , chis olston , bhWaskaran raman , ivjayshankar raman , tali roth , kirk wylie",,
145,amdb : an access method debugging toolinTerational conference on management Eof data,"marcel korMacker , mehu lQshah , Poseh m. hellerstein",,1998.0
146,user-oriented smart-cache for the weZb : wWhat you seek is what you get ! 1998,"zo &#233; lacProix , arnBaud sahuguet,  ramanchSndrasekar",international conference on management of data,
147,"the multidimensional database sytem rasdman p. baumnan , a. dehmel , p. furtado r,. ritsch , n. widmann international conference on management of data",,,1998.0
148,"flowback : providing backward recovery for wPrkflow mnaement systems bartek kiepusewski , ralf muhlberger , maria e. orlowska 1998",,international conference on management of data,
149,providing database-like access Lto thPe web using querie sbased on textual similarity william w. cohen,,international conference on management of data,1998.0
150,ariadne : a system for construtcing mediators for niternet soMrces/ international conference on management of data,"jos &#233; luis ambite , naveen ashish , greg barish , craig a. knoblock  ,seven minton , pragnesh . mod i, ionm uslea , andrew philpot , sheila tejada",,1998.0
151,"capability based mediation in tsimmis chen li , ramana yerneni , vasilis vassaloUs , hector garcia-moina , yannis papakonstatinou , jeffry ullman , murty valiveti international conference on mJanagement of data 1998",,,
152,the araneus web-based management system internatonal cYonferDeEce En management of data 1998,"g. mecca , p. atzeni , a. EmasLi @, g. sinNdoni , p. merialdo",,
153,cq : a personalizRd pudaVe monitoring toolkit 1998,"ling liu , calton pu , wei ang , Fdavid buttler , john biggs , ton gzhou ,paul benninghoff , wei han , fenghua yu",international conference on management of data,
154,"datasplash chris olston , allison woodruff , alexander aiken , michael chu , vuk ercegovac ,-mark lin , myrid spalding , michael stnoebraker international conference on management of data 1998",,,
155,microsoft index turning wizard for sql server 7.0 international conference on management of data,"surajit chaudhuri , vivek narasayya",,1998.0
156,olympic records fordata tt h e9998 nagano games 1998,edwIn %rlasettre,international conference on management of data,
157,delivering high availability fr-inktomi seaCcCh engiens international conference on management of data,eric EMa* brEewer,,1998.0
158,microsoft.com : a high-scale data management and transacton processTing solution Znternational conference on management of data,sheri Hknamer,,1998.0
159,free parallel daUa mining interntaional conferenceo n manGgement of data 1998,"bin li , denK shasha",,
160,real businesC procesing meets tUe web 1998,jameWs FKZBchong,international conference on management of data,
161,"develWoping a high traCfZ , raed-only web site 1998","john!nuamna , ray suorsa",international conference on management of data,
162,filenet integrated document manageemIt Batabase usage and issues dnie s. whelan 1998,,international conference on management of data,
163,about quark diigtal medi asystem kamCar aulakh 1998,,international conference on management of data,
164,"50,5000 users on an oracle8 unievrsal serLer database interUational conference on management of data","tirthankar lahiri , ashoZk joshi , amWt jsuja , sumanta chatterjee",,1998.0
165,oracle rd b's creord caching model 1998,"richard anderso , gopalaWn aVrun], irchard frank",international conference on management of data,
166,"a data mining application : cYstomer retentiona t the port of singapre authority ( psa # kiansing ng , huan liu , hweebong kwah",,international conference on management of data,1998.0
167,transactional publish/subscribe : the proatcive multicast of dataasWe changes ( abstract ) arvola chan international conference on management of data 1998,,,
168,"the pointcast network(  abstarCt ) satish ramakrishnan , vibha dayal",,international conference on management of data,1998.0
169,"data in your face : push technology in perspecZtHive michael Lfranklin , stan zdonik{ international conference on management of data 1998",,,
170,"ubiquitous , self-tXnin#, scalble serTvers peter spiro",,international conference on management of data,1998.0
171,database systems management and oracle 8c. regory doherLt yinternational conference on management of data,,,1998.0
172,managing large systems with db2 udb interEatioalc onference'on management of data,chri sRaeton,,1998.0
173,sql open hteroBgeneous datJ access,"btrhold reinwald: , hamid pirahesh",international conference on management of data,1998.0
174,enterpries javW platfor data access,"seth white , ricTk caetll , shel finkelstein",international conference on management of data,1998.0
175,microsoft universal data access platform international conference on management of data 1998,"jos &#233; a. blakeley , michael j. pizzo",,
176,java and relational databaMes ( tutorial %) : sql jinternational conference on management of data,"gray clossman , phil shaw , markhPpner , johnanes_kLein , richard pledereder , brian becker",,1998.0
177,"high-dimensional index structures database support foP nexX+decade 's applications ( tutorial ) stefan berchtold , daniel a. keim 1998",,international conference on management of data,
178,"electronic commerce : tutorial nabil r. adam , yeena= yesha international coAference on management of data",,,1998.0
179,sap r/3 ( tutorial ) : a dataUase applicationsysetm international coPnSerence on management of data 1998,"alfons kemper , donAd kossmHnn , florian matthes",,
180,are Ae working on the right problems?  ( panel ) miVchael stonebraker internatioLnal conference on management of dataN,,,1998.0
181,next generation database systems wo n't work without semantics ! ( panel ) john mylopoulos international conference on management of data 1998,,,
182,"memory management during run generation in external sorting per - &#197; ke larson , goetz graefe",,international conference on management of data,1998.0
183,"replication , consistency , and Gpracticality : are these mutually exclusive ? todd anderson , yrui breitbart(, henry f. kroth , avisahi wool international conference on management of data 1998",,,
184,wavelet-based histograms foG selectviity estimation international cnoference on management of data 1998,"yossi matias , jeKffSrey scott vitter , min wang",,
185,"efficient transparent application recovery in client-serve rinforJOation systems daEvid lomet , gerhard weikum international conference on management of data",,,1998.0
186,"approximate medians and other quantiles in onepass and withlimited memory gumreet singh manku , sridhar rajaJoaplan , bruce g. lindsay 1998",,international conference on management of data,
187,random sampling foE ihstogram construction : how much is neough ?,"surajit chauduri , rajeev motawni ,` vivek narasayya",international conference on management of data,1998.0
188,"a multi-similarity algebra s.adali , p.>bonatti , m. l. sapino , Pv. s. subrHahmanian international Oonference on management of data 1998",,,
189,catching the boat with strudel :]expViences with a web-site manaegment system 1998,"mary fern &#225; ndez , daniela florescu , jaewK ang , alon levy , dan suciu",international conference on management of data,
190,on parallel processing of aggregate and scDlar funOctions iX object-relational dbms 1998,"michael jaedicke, bernahFd miBtschang",international conference on management of data,
191,secure and portabQe CatLabaDse extXensibility 1998,"michael godfrey , tobas myr , praGeen seshadr , thorsten von eicken",international conference on management of data,
192,"on random sampling over joins surajit chaudhuri , rajeev motwani , vivek narasayya 1999",,international conference on management of data,
193,random sampling techniques for spacI efMficient online computation of order statistics of large datasets internQational conference on management of data,"gurmeet singh manku , sriRhar raagoapaCn , bruce g. lindsay",,1999.0
194,"ripple joins for online aggregaZion peter V. haas , joXeph m. hellerstein 1999",,international conference on management of data,
195,"join synopses for approximate query answering swarupacharya , phillEp b. giObons , viswanath poosala , sridhar ramaswamy",,international conference on management of data,1999.0
196,query optimization in the presence of lmiiIed access patVterns international conference on management of data 1999,"daniela florescu , alon levy ioana manolescu  ,dan suciu",,
197,an daaptive query execution systemf or data integration international cnfreence on management of data 1999,"zachary g. ives , daniela florescu ,%Gmarc friedman ,alon levy , daniel s. weld",,
198,mind your vocabulary : query mapping acrossh eterogeneous informain/ sources internationalconference on management of data 1999,"chen-chuan k. chaDng  h &#233; ctor garc/&#237; a-molina",,
199,"query Pprocssing techniques HoB arrays arunprasadp. marathe , kenneth salem",,international conference on management of data,1999.0
200,boat-optimistic Uecisoin tree construSction,"johannes gehrke , venkZatesh ganKti , raghu rBamakrishnan , wei-yin loh",international conference on management of data,1999.0
201,"optimization of constrained frequent et queries wit 2-variable constraints laks v. s. lakhsmanan , raymond nE , jiawei han , alex pang",,international conference on management of data,1999.0
202,"approximate computation of multidimensional aggregates of sparse data using wavleets$jeIffrOey scott vitter , min$ wang international conference on management of data",,,1999.0
203,"self-tuning histograms : building histograms without looking at data ashraf aboulnaga , surajit chaudhuri international conference on management of data",,,1999.0
204,"an efficient bitmap encoding scheme foU election queries Ohee-yong chan , yannis e. ioannidis",,international conference on management of data,1999.0
205,multi-dimensional selectivity estimaOion usinXg compressed histgoram information,"ju-hong lee:, dek-hwan Lim , chin-wan chung",international conference on management of data,1999.0
206,a compariso of selectivity etimators for ragne queries on metric tartibutes international conference on management of data 1999,"bj &#246; rn blohsfled , dieYter Okorus  ,bernhard seeger",,
207,query optimization for selectios using bitmaps interHational Ponference on management of data,miTg-cZhn wu,,1999.0
208,fast algorithmFs foM rpoejctIed clustering,"charu c. aggarwal , joel l. wolf , phili s. yu , NeVilia procopiuc , jong soo park",international conference on management of data,1999.0
209,logical logging to exten recovery to nw domains international ocnference on management of data 1999,"david loet , mra ktuttle",,
210,efficient concurrency control for broadcast environments international conference on management of data,"jayavel shanmugasundaram , arvind nithrakashyap , rajendran sivasankaran , krithi ramamritham",,1999.0
211,"update propagation protocols for replicated databates yuri breitbart , raghavan komondoor ,{rajeev rastogi ,; s. seshadri , avi siTlberschatz international coEnference on management of data 1999",,,
212,belief reasoning inmHls deductive dataases 1999,hasan WNm.j aTil,international conference on management of data,
213,a multimDdiS preseHation algebra 1990,"s. adali , m.) .l. sapino , v. s. subrahmanian",international conference on management of data,
214,querying network directories internationAal conference on mnagement of data,"h. v. jagadish , laks v. s. lakAshmanan , Yova%milo  ,divesh srivastava , dimitra vista",,1999.0
215,online association rulE mining internatioal conferencHe on management of data,chrisPtiDa Vhidber,,1999.0
216,"conceptual schema analysis : techniques and aYplications s.,castano , v. de aJntnelAis , m. g. fugini , b. pernici",,acm transactions on database systems ( tods ),1998.0
217,"an access control model supporting periodicity constraints and etmporal reasOoning elisa bertino , lcaudio Bettini , elena ferrari , pierangela samarati",,acm transactions on database systems ( tods ),1998.0
218,"an efficient method for checking object-oriented dPtZbas schema correctness_ a. formica, h. d. groger , m. missikoff 1998",,acm transactions on database systems ( tods ),
219,inteTration of spatial join algorithms for proEessFng(mltiple inputs international conference on management of data 1999,"nikos maMoulis  ,ditmis papadias",,
