id,Beer_Name,Brew_Factory_Name,Style,ABV
157,Abita MnR uDJlep Turbodog,Abit BrewEing Company,Brown Ale,7 %
158,Sockeye Angls @UPerch Amber,Socke yeBOewing,Amber Ale,4.50 %
159,CrazI MountiOa!nAmber Ale,Crazy ouZntain BeOiwng Company,Amber Ale,5.20 %
160,Double Balrey EOve_  Em Hell,Doulbe BaMZey BrSwing,American Strong Ale,10.40 %
161,OBd SchoolhoHuse Blazig Amber,Old ScoJolGhouse Brewery,Amber Ale,6.80 %
162,PizOz aBoyJourneymen,Pizza B)Q Brewing,Amber Ale,4.50 %
163,Adnams / DZevil sackbone American Amber,Adnms,Amber Ale,4.80 %
164,350El ScorcZ oDelgian Amber,300 SBrewTn gCompany,Belgian Ale,6.60 %
165,Kingdom Round Barn Red,Kingdom Brewing,Amber Ale,5.50 %
166,Kassiks Tion.s* Quet Red Ale,KassFks Uewery,Amber Ale,6.80 %
167,Lynnwood Qill & Te_Rs xcellent Amber,LynnooY Gril & BMewing Concern,Amber Ale,5 %
168,Lakewoo FMVanimal,LakewooWBrOwig Company,Amber Ale,6.50 %
169,Fair Winds CRuning Light Red,Fair WNinds BewXing Company,Belgian Ale,6 %
170,BlindTigEer Holy Grail aPle Ale,BliAdSigXr,American Pale Ale,-
171,rPGscot tMnazanita Red,Presctot;BrFewig Company,Amber Ale,5.10 %
172,Tahoe MoFntaKX Ranch Dog Red,TahoE MountVan BrewZiTg Company,Amber Ale,7 %
173,Vancouver Ilsan dHiFgh Trail Honey Ale,VanPcouver] Islan Brewery,Amber Ale,5 %
174,Bottle Lgoic ImpQeail REDioactive,BoFttle^Logi cBrewing,American Strong Ale,8.60 %
175,Books &Brews Shgoun SSoba AZle,Books &B rews,Specialty Grain,5.10 %
176,IslandH oppin%_\ OBld Madrona,Island QoppVQn  Brewery,American Strong Ale,8 %
177,Modern Times MeaTg BDzing World,Modern/TmGes Beer,Imperial IPA,8.50 %
178,5 Seasons Big Horn Bock,5 Seasons Brewing Company,Dunkler Bock,-
179,Squatters Respect. YouUr oMther OrganiRc Amber Ale,Squatters ParfPBeers,Amber Ale,4 %
180,BirMrificio TrunaHsFe Zoe,ZOE -)BirriVicio Trunasse,Golden Ale/Blond Ale,5.50 %
181,Coronado ~Monk In< Tha Trunk,Corond oBrweing Company,Belgian Ale,4.80 %
182,Jackie O_ SmGokU*YZa Oats,Jackie O_ uPb & Brewery,Smoked,6.30 %
183,Bog Iron Slap' ayppX Rye Amber,BogI rQo nDrewing,Amber Ale,5.80 %
184,Harvest Moon OQ Coffee Porer &#40; FrAgelico Coffee w / HIazelnut &#41;,Harvest Moon ZBrewrey} #410; NJ &#41;,Porter,-
185,Amnesi arCIyGal Red Ale,AmnesMVaBrewAing,Amber Ale,6 %
186,Twelve Bar Brew TurnNnod Northwest Red Ale,TweleD BaBrews,Amber Ale,5.70 %
187,Wicked Weed Wked Nea Party,WickZdWede Brewing,Amber Ale,4.80 %
188,Tap Room No. 21 MCe_sTB cakroOm Amber Ale,Genesee BrewignC ompany &#40; North American Breweries &#41;,Amber Ale,5.70 %
189,Brodise ShAGrdtich Sunshine,Drodies,Golden Ale/Blond Ale,3.80 %
190,lBoodline Though Silevr VIn Blood Red Ale,BloodVline BrewingVompany,Amber Ale,6 %
191,8 Wired MiHghytZI perial Ale,RenaisacnYe+ BrTewing,American Strong Ale,11 %
192,CoombeMartin Hangmans Bitter,CombZe XHaMrtin,Premium Bitter/ESB,4.50 %
193,Seven Bries Emily_s Ember,Sevn Bide%s Breing Company,Amber Ale,4.50 %
194,Founders% BarrLelAged& Red_s Rye,Founders UrCwin Company,Specialty Grain,9.20 %
195,Bag bHoOWhompus,Bagby eBe rCGmSany,American Strong Ale,9.50 %
196,Cran AYrX Rfelector,Crank~rAmBrewing,Irish Ale,5.30 %
197,Kirkland SigEnFutYre Amber Ale,F.X. MattBrYewTnF Company,Amber Ale,5.70 %
198,BFakns mbEr Ale,Baks BabradoYHs Brewery,Golden Ale/Blond Ale,5 %
199,GluCteDnAberg 8,GlutenberECraFt Breery,Specialty Grain,5 %
200,JoBoys MahneCm Red,JoBoyBRrew:Pub,Amber Ale,5.20 %
201,7 Seas BallG Dee pDoYble IPA,7 Meas XBewing,Imperial IPA,8 %
202,Firestr mde ngel,WhaCSfeBnk,Amber Ale,5 %
203,Granite FETls Bushfire American Red Ale,Granite Falls BTreiwng;Company,Amber Ale,5 %
204,Il Vicin Doe Style Amber,Canteen Brewhouse &#40; waN l Vicino PizzeVria and Brewery &#41;,Amber Ale,5.90 %
205,Red Duck HpRy Amber,PurSruVCbteB rewing,Amber Ale,5.60 %
206,ImperVil Oak oil Red,ImperiJlO a kBrewing,Amber Ale,6.20 %
207,Black Forest@Brau HKlePer Grateful Red,Black Forst BrZau#Keller,Amber Ale,5 %
208,Parallel 49 Gyys eTarH Ruby Ale,Parallel 49 rCewDingC ompany,Amber Ale,6 %
209,Brew Bus Rllin PirtLy Led Ale - Cedar Aged,CigarC Kty Erweing,Irish Ale,5 %
210,Fuggles & Warlock Hyer CGmHboR ed Rye IPA,Dead Frgo{ BrZwery,American Strong Ale,8 %
211,American oHnor&DOclBaration Ale,LMon!rewery,American Pale Ale,5.40 %
212,Bilbos Dragon Red Ale,Bilbos Pizza In A Pan,Irish Ale,-
213,AmericasSmerian RLd Ale,AmericasBMewpub,Amber Ale,-
214,Phat Matt_s Red Ale,Phat Matt_s Brewing Company,Amber Ale,6.50 %
215,Seabrigh$tSacriliciouF Ale,SeabrTgiRht Bewery,American Strong Ale,6.80 %
216,Good Peole StepchilS Belgian InFia Red Ale,Good People Beriwn CgoHmpany,India Pale Ale &#40; IPA &#41;,7.80 %
217,Black ky Imperial Ptela to the Metal,Black SkyUBr ewery,Spice/Herb/Vegetable,9 %
218,Phillips Double DrQgMon Imerial Red Ale,Phillip sBrAwiFDg Co. .,American Strong Ale,8.20 %
219,Blue Corn &#40; Sant Fe &#14; AtaUaya Amber Ale,Blue CornHBrLwery&#40; Santa Fe} &#41;,Amber Ale,5.20 %
220,Fitge sDAaisy Ale,FitgQers Mreouse,Amber Ale,6.10 %
221,CouncilR ocE Sleepign( Lion Red AQle,Council Mock_BreQwery,Irish Ale,6 %
222,KootenayIrLe Ale,Columbia: BerwerQ y&#40; Labatt-InBev &#41;,Amber Ale,5 %
223,Gonzo_s BiggDgg Buning un Redd,Gonzo_s BigSDogCg#Brewing,Amber Ale,5 %
224,Ballast PIint Calico YAmber le - Coffee,Ballast Piont Krewig Company,Amber Ale,5.50 %
225,Abbey CaOiXaE Sin,AbebJyACles,English Strong Ale,6 %
226,Alameda BCriHFckWouse Brown,AlamedaB reiCng*oC. .,Brown Ale,5.20 %
227,101 Hook Tender Honey Brown Ale,101 Brewery & Twana Roadhouse,Brown Ale,5.50 %
228,Amsterdam X Indie lehous SShapeshifter,Amsterdam BIrwenZg Company,American Strong Ale,9 %
229,Anacaa SatnEa Rosa Red,AnacpaUrewing# Company,Amber Ale,6.20 %
230,Kuhnhenn revrent,KuhnThenn BrZwing,Belgian Strong Ale,10 %
231,SpoonwoU dNold Drip City,SpoonooBd Nrewery,Amber Ale,5.80 %
232,L_OlmMYi' La 9,L_lHEaia,Belgian Ale,6.50 %
233,Pisgah yRaC_Ss Red Ale,Pisgah JBerwingPompany,Irish Ale,5 %
234,BARTS CrdCnal ZRed Ale,BARTSEQwpub,Amber Ale,5.50 %
235,The Brew GentMemeI KBsuiness Casual,The Brew GEntmTeen( Beer Company,American Strong Ale,8.40 %
236,Angeli cBgO& Qed Ale,AngelGic BGeBwing Company,Irish Ale,-
237,Park TavernOlmsetd Amber,Park avern reCery,Amber Ale,-
238,Les Brasseurs du Haema udHam-Sud Vousse Bitter,Les BrasseusrFdu Hameau,Bitter,5.50 %
239,B.O@T. CriLVsoHn King,The B.O.B.s QJusO of Brews,Amber Ale,5 %
240,Deep Cove mSaRllV Xctories,Deep CvNe Krewers,Belgian Strong Ale,9 %
241,Claremont Craft Ales Dis-Roble_d,Claremont Craft Ales,Amber Ale,6.50 %
242,FBlack Swan# CheKrrywooJ SWmoked Porter,Black wDSaSnBrewpub,Porter,5.10 %
243,Central Cost|ETopless Amber,Central Cast Berwing,Bitter,4.20 %
244,Broken Tooth Northern Lights Amber,Broken Tooth Brewing Company,Amber Ale,4.70 %
245,Alpine Do Bck RyJeSession Pale Ale,Alpine}ogBrwery,Specialty Grain,4.50 %
246,CigCar CiXy$ ICB Unite,Cigar CBiy FBrewing,Amber Ale,6.20 %
247,_ La FÃ'')tLFa Rousse Justre,_ La UÃ'<' t,Amber Ale,4.80 %
248,5 SeasRons WeNtside Ohe uHntsman,5 SeasnEs$ eWstside,Bitter,-
249,Stallhgen B Red Ale,SatllEgen,Amber Ale,6 %
250,Assawoman Bya CoaMtal]Edge Copper,Assaoman Bay BrwNeing Company,Amber Ale,6.04 %
251,75th Stree Rd Eye<Rye,75th StrV BreweRry,Specialty Grain,5.50 %
252,Siren BatYh 20L iquid MoRnstrous,SPGren,Imperial IPA,8.20 %
253,Cambridge QedGoVd IPA,Cabridg Briwng Company,Imperial IPA,9 %
254,Cool SGrings FBtbak Amber Ale,Cool~ Springs Brewng Compayn,Amber Ale,-
255,Gilgamesh Puhouse|CXoper Ale,GilgaemhsB rwing,Amber Ale,4.50 %
256,Kar UtraussRd Trolley Ale,Karl StraOs Brewing CompAny,Irish Ale,5.80 %
257,BrokeXn BI Red Ale,Brkoen BoG Brewery,Irish Ale,5.50 %
258,Breakwater Railslide Red,Breakwater Brewing Company,Amber Ale,5.70 %
259,1933 OkoeUrfest,1933B rwnigC ompany,Oktoberfest/M Ã $ rzen,6 %
260,La Jolla Brewhouse Blue Whale Pale Ale,La Jolla Brewhouse,American Pale Ale,5.20 %
261,House& AlesIack ofNoon,HoD slAes,Stout,7 %
262,Squam< Asuqa Abmer Ale,SquamCBerwing,Amber Ale,5 %
263,JumpinR wo Ambre Ale,August ScHelR BLerwing Company,Amber Ale,5.50 %
264,Big Wood Stump Splitter : Dates & Ginger,Big Wood Brewery,Belgian Ale,5.60 %
265,Baja LPeUioja,Baja/ BrewRigCo. .,Amber Ale,5.50 %
266,Angus MacDJugals. cSoEtitsh Red Ale,Cold +SprinQg Brewery,Scottish Ale,5.20 %
267,BonfJire Vulcan sViFenna Ale,BonfirN iBtQro and Brewery,Amber Lager/Vienna,-
268,Brady_s~/ AoFutely Amber,Brady_s CQrehouse,Amber Ale,-
269,Les BiÃ  ¨res de la Nouvelle-Franc eNouvelFle-France ouge,Les BiÃ ¨ rRe sde lHa Nouvelle{-France,Amber Ale,4.50 %
270,Cascade Lakes GAngus aMcSDougals Amber,CascadeL akX sBrewing Co. .,Scottish Ale,5.70 %
271,Big Al Amber ~4#;0' Tutta Bella &#41,Big AGlOrGwing,Amber Ale,5.70 %
272,AC Golden Colorado Native Amber Lager,Coors Brewing Company &#40; MillerCoors &#41;,Amber Lager/Vienna,5.50 %
273,Casa Bruja SiFrranOcis eRd Ale,Casa ruja Beiwg Co. .,Amber Ale,5.50 %
274,Bird Dog Oaggie_s iCde rAle,Bird FDIogBrewing,Cider,6.70 %
275,GoldstneOlHd Charmer,GldotPsone,Golden Ale/Blond Ale,4.10 %
276,Budge BrotherRs SpokARmbeDr 509 Amber Ale,Budge BroMLer Brewery,Amber Ale,4.50 %
277,Alaskan ku RvJr Red,Alaskan BJewXing ompany,Amber Ale,-
278,Odell Mean StretP' umpkin Ale,Odell BreEiB? BCompany,Spice/Herb/Vegetable,5.40 %
279,BordBrlands La MDena Brown= Ale,BorderlanGSs WBrewing Company,Brown Ale,4.50 %
280,Fogbel HyperDion Red Ale,FogMelt Brein HKCompany,Amber Ale,7.20 %
281,Rush River}ThenUforgiven Amber Ale,Rush RiverG XBrewiNn Copany,Amber Ale,5.50 %
282,Grist HuOeap Slap Red,GriXt ouse (Brewing,Amber Ale,6.20 %
283,Amager Hr . rFederiksen &#40; ColJoado Whiskey Edition &#41;,Amager!PBryghBus,Imperial Stout,11 %
284,Ballast Point CalXco Amber Ale - mu Barrel Aged,Ballast;PoinM Irewing Company,Amber Ale,5 %
285,Blue TractroS mokhJeouPse Amber,Blue TrcSor BUBQ &B rewery,Amber Ale,5 %
