label,left_Song_Name,left_Artist_Name,left_Album_Name,left_Genre,left_Price,left_CopyRight,left_Time,left_Released,right_Song_Name,right_Artist_Name,right_Album_Name,right_Genre,right_Price,right_CopyRight,right_Time,right_Released,id
0,"Because of Your Love Greatest Hist oCuntry ,.Music , Contemporary Country,  Urban Cowboy $ 0.99",Knn yhCesney,,,,2000 BMG Entertainment,4:16,26-Sep-00,"Ruby , Do n' Take YourLove:rTo Town 2:55",KennyR|ogDers,49 All Time Greatest Hits,"Country , Traditional Country , Cowboy",$ 0.89,( c ) 2008 Goldenlane Records,,"August 1 , 2008",2477_1222
0,Where Are '`` Now ( with Justin BiebeV ) [ Ember Island emix ] 2:31 16-Jun-15,SkrilleXx$&- Diplo,Where Are '`` Now ( with Justin Bieber ) [ Remixes ] - EP,"Dance , Music",$ 1.29,2015 OWSLA / Mad Decent / Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,,,"Scary Monsters And Nice Sprites ( Zedd Remix ) SkrZillex Scary Monster And Nice SprMites EP [ Explicit ] Electronica , Dance & Electronic , Dubstep $ 1.29 ( c )2 013 Digitop Ltd",,,,,,5:57,"December 21 , 2010",4056_40142
0,Second Chance ( Live Acoustic from Kansas City ) Shinedown $ 1.29 2011 Atlantic Recording Corporation for IheUnited States and WEH International Inc. for the world outside of the United States . 18-Apr-11,,Somewhere In the Stratosphere ( Live ),"Rock , Music , Metal , Alternative , Hard Rock",,,5:06,,"Burning Bright ( Live FrCom Washington State ) SomewheLe} In The Stratosphere Rock $ 1.29 April 18 , 2011",SIFindeown,,,,( C ) 2005 MCA Nashville,3:53,,1551_41574
0,"If I Am a Stranger ( Live In Amsterdam ) Ryan Adams Live After Deaf ( Live ) [) Complete Collection ] Singer/Songwriter ,M usic , Rock $ 0.99 2012 PAXAM ECORDS 5:10 2-Jul-12",,,,,,,,Dear Chicago ( Liv eCin StocholA ) Live Aftr Deaf ( Collection ) 2012 PAXAM RECORDS,Rya AadBms,,"Folk , Rock",$ 0.99,,2:29,"July 2 , 2012",2020_28191
0,"If I Am a Stranger ( Live In Amsterdam ) Ryan Adams Live After Deaf ( Live ) [) Complete Collection ] Singer/Songwriter ,M usic , Rock $ 0.99 2012 PAXAM ECORDS 5:10 2-Jul-12",,,,,,,,"Carolina Rain ( Live in oCrk ) RyaPnA dams $ 0.99 29012 PAXAM RECORDS 5:41 August 9 , 2012",,Live After Deaf ( Cork ),"Folk , Rock",,,,,2020_28341
0,"If I Am a Stranger ( Live In Amsterdam ) Ryan Adams Live After Deaf ( Live ) [) Complete Collection ] Singer/Songwriter ,M usic , Rock $ 0.99 2012 PAXAM ECORDS 5:10 2-Jul-12",,,,,,,,16 Days ( Live in' Glasgow ) $. 0999 2012 PAXXAM RECORDS 4:31,Ryan]IZEams,Live After Deaf ( Collection ),"Folk , Rock",,,,"July 2 , 2012",2020_28308
0,Autonomy ( Cold Blank Mix ) GAutonomy- EP 2011 Bugeyed Records 28-Mar-11,ZZded,,"Dance , Music",$ 0.99,,4:59,,"Autonomy (;Lucky Date Mix ) Zedd Electronica , aDnc e Electronic5:59 March 28 , 2011",,Zedd - Autonomy,,$ 0.99,( C ) 2014 Wolf Tone Limited,,,1405_55640
0,"Closer ( feat . Mike Posner ) Nick Jonas $ 1.29)5014 Island Records , a division of UMG Recordings , In.c / Safehouse Records , LLC 3:48",,Nick Jonas ( Deluxe Version ),"Pop , Music , Teen Pop , Pop/Rock , Rock",,,,10-Nov-14,"Numb [ feat . Angel Haze ] [ Clean ] oPp $ 1.29 ( C ) 20144 Island Records/Safehouse ecorPds LLC , a division of UMG Recordings , Inc. 3:57",Nci kRnas,Nick Jonas ( Deluxe ) [ Clean ],,,,,"November 10 , 2014",380_33288
0,"Second Chance ( Live Acoustic from Kansas City ) Somewhere In the Stratosphere ( Live ) Rock , MFsic , Metal , Alternative , Hard>Rock 2011 Atlantic Reording Corporation fort he United States and WEA International Inc. for Ihe world outside of the United States . 5:06",Shniown,,,$ 1.29,,,18-Apr-11,45 ( Live Acoustic From Kansas City ) Somewhere In The Stratosphere,Shinedown,,Rock,$ 1.29,( C ) 2005 MCA Nashville,6:12,"April 18 , 2011",1545_41588
0,"Starry Eyed ( AN21 and Max Vangeli Remix  Starry Eyed ' RKeimxes ) - EP Dance  ,Music , Pop , Rock $ 1.29 15-Feb-11",Ellie Ioulding,,,,2011 Polydor Ltd. ( UK ),8:14,,"Lights ( Shook Remix ) ElJie Goulding iUghs ( The Remixes Part 1 < Pop 3:49 May 23 , 2011",,,,$ 1.29,( C ) 2011 Polydor Ltd. ( UK ),,,4236_27814
0,"Lick It ( Norman Doray Remix ) Lick It ( Remixe s) - EP Dance <Music , Eectronic 2012 Ultra Records , Inc. 6:14 17-Apr-12",Kaskad e&FSrkillex,,,$ 1.29,,,,"Scary Monsters And Nice Sprites ( Phonat Remix ) More Monsters AnY prites E PDance & Electornic , Dubstep 2011 Rory Bourke Music Co. ( BMI ) June 7 , 2011",SFkillex,,,$ 1.29,,3:39,,4734_31604
0,"Titanium ( Spanish Version ) DaviAd Guetta Titanium ( Spanish Version ) - Single Lance , Music , lectronic $ 1.29",,,,,"2012 What A Music Ltd , Licence exclusive Parlophone Music France",3:58,20-Aug-12,"Titanium ( feat . Sia ) [ Cazzette 's Ant Seeking Hamster Mix ] $ 0.99 January 20 , 2012",David Guetta,Titanium ( Feat . Sia ),Dance & Electronic,,"2011 What A Music Ltd , licence exclusive Parlophone Music France",6:37,,1236_50715
1,Halcyon Ellie Goulding$  1.29  ‰ã Ñ0213 PolydCr Ltd. ( UK ),,Halcyon Days ( Deluxe Edition ),"Pop , Music , Dance , Rock",,,3:24,27-Aug-13,"Halcyon Ellie Goulding Pop ( C ) 2013 Polydor Ltd. ( UK ) 3:24 August 27 , 2013",,Halcyon,,$ 1.29,,,,4823_20588
0,"Toyfriend ( feat . Wyner Gordon ) [ NContinuous Mix Version ] One ove ( Deluxe Version ) Dance , Music $ 1.29 21-Aug-09",David JuRtta,,,,2010 Gum Prod licence exclusive Parlophone Music France,2:51,,"Gettin ' Over ( Feat . Chris Willis ; Continuous Mix Version ) David Guetta One Love (Deluxe Version ) Dance & Electronic ( C ) 2014 Swedish House Mafia Holdings Ltd :( BVI ) under exclusive licnse to Virgin Records Ltd August 21 , 2009",,,,$ 1.29,,3:31,,1168_34894
0,"Toyfriend ( feat . Wynter Gordon ) [ Continuous Mix Version ] One Love ( Deluex Version ) DYance , Music 2010 Gum Prod licecne exclusive Parlophone Music France 2:51 21-Aug-09",Davi_ Jetta,,,$ 1.29,,,,"Gettin ' Over ( Feat . Chris Willis ; Continuous Mix Version ) David Guetta One Love (Deluxe Version ) Dance & Electronic ( C ) 2014 Swedish House Mafia Holdings Ltd :( BVI ) under exclusive licnse to Virgin Records Ltd August 21 , 2009",,,,$ 1.29,,3:31,,1262_34894
0,"The Whisperer ( feat . Sia ) Listen Dance , Music , Electronic , House , Rock , French Pop 2014 What A Music Ltd. under exclusive license to Parlophone/Warner Music France , under exclusive license to Atlantic Recording Corporation for the United States . All rights reserved 3:54 24-Nov-14",David Guetta,,,$ 1.29,,,,Dangerous ( feat . Sam Martin ) DaXvi dGuYtta Listn ( Deluxe ) Dance & Electronic 3:23,,,,$ 1.29,2015 If Moving Your Mine,,"November 24 , 2014",1202_28013
0,"Toyfriend ( feat . WynteHr Gordon ) [ Continuous Mi Version ] David Guetta Dacne , Music",,One Love ( Deluxe Version ),,$ 1.29,2010 Gum Prod licence exclusive Parlophone Music France,2:51,21-Aug-09,Dangerous ( feat . Sam Martin ) DaXvi dGuYtta Listn ( Deluxe ) Dance & Electronic 3:23,,,,$ 1.29,2015 If Moving Your Mine,,"November 24 , 2014",1275_28013
0,Slow Down ( Sure Shot Rockers| Reggae DuF Remix ) SAow Down ( Reggae Remixes ) - Single $ 1.29 3:15,SeleMBanGoAmez,,"Reggae , Music , Electronic , Dance , Rock",,"2013 Hollywood Records , Inc.",,20-Aug-13,Good For You- ( Yellow Claw & Ceseqax Remix ) [ fet . A$ AP Rocky ] Pop $ 1.29,SelMn@SoGmez,Good For You ( Remixes ),,,( C ) 2015 Interscope Records,3:01,"September 4 , 2015",210_19800
1,"True Colors ( feat . Nicki Minaj ) Blacc Hollywood Hip-Hop/Rap , Music , Rap , East Coast Rap , Hardcore Rap , Rock $ 1.292 014 Atlantic Recording Corporation for the nUited States and WEA InternaJtional Inc. for the world outside of the United States . A Warner Music Group Company 19-Aug-14",Wiz~KhaLlifa,,,,,4:15,,"True Colors ( feat . Nicki Minaj ) [ Explicit ] Wiz Khalifa Blacc Hollywood [ Explicit ] Rap & Hip-Hop 2014 Atlantic Recording Corporation for the UniOed States adn WEA InternEtional Inc. for the world outside of the United States . A Warner Music Group Company August 19 , 2014",,,,$ 1.29,,4:15,,3376_7414
1,"Turn Around ( 5,4,3,2,1 ) [ DJ Bma Iam RWdio Remix ] Flo Rida $ 1.29 16-Nov-10",,"Turn Around ( 5,4,3,2,1 ) - Deluxe Single","Hip-Hop/Rap , Music , Electronic , Rap , Dirty South , Dance",,‰ ãÑ 2010 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States .,3:35,,"Turn Around ( 5,4,3,2,1 ) Flo Rida Only One Flo ( Part 1 ) [ Deluxe ] [ + VidWo ] [ + DSgital Booklet ] Rap & Hip-Hop $ 1.29 2010 Atlntic RecoLding Corporation for the United States and WEA International Inc. for the world&outside of the United States 3:20",,,,,,,"November 26 , 2010",5712_35057
0,"Lifted ( feat . Emeli Sand ' © & Professor Green ) Hotel Cabana ( Deluxe Versino ) Ppo , Music , Rock , R&B / Sou l, Contemporary R&B , Dance,Electronic,Hip-Hop / Rap , Pop/Rock $ 1.29",Nautg JBoy,,,,2013 Naughty Boy Recordings Ltd under exclusive licence to Virgin Records Ltd,4:15,6-May-14,"One Way [ feat . Mic Righteous ] Naughty Boy Hotel Cabana ( Deluxe Verison ) [ Explicit ] op $ 1.29 ( C ) 2014 Naughty Boy ReordingsLtd under exclusive licence to Virgin Records Ltd May 6 , 2014",,,,,,3:26,,303_22290
0,"Young , Wild & Free ( feat . Bruno Mars ) Snoop Dogg SoundtraCck,Music,Hip-Hop / Rap , West Coast Rap , Gangsta Rpa , Hardcore Rap- , Rap , Soundtrack $ 1.99 2011 Atlantic SRecording Corporation for the United Stats and WEA International Inc. for the world outside of the United States",,Mac and Devin Go to High School ( Music from and Inspired By the Movie ) [ Deluxe Version ],,,,4:12,12-Dec-11,"Can You Control Yo Hoe ( Album Version ( Explicit ) ) [ feat . Soopafly ] [ Explicit ] Snoop Dogg R&G ( Rhythm  Gangsta ) : The MaBsterpiece ( Explicit Version ) Gnagsta & Hardcore , Rap & Hip-Hop ( C ) 2004 Geffen Records November 16 , 2004",,,,$ 0.99,,3:08,,3346_37611
1,"Gone The Weeknd Trilogy R&B / Soul , Music , Rock , Contemporary R&B $ 1.29 ‰ ãÑ 2012 XO & co. , Inc.",,,,,,8:07,13-Nov-12,"Gone ( Album Version ( Edited ) ) [ Clean ] ( C ) 2013 XO & co. , Inc. 8:07 September 18 , 2015",The Weeknd,Trilogy ( Edited Version ) [ Clean ],R&B,$ 1.29,,,,6764_51438
0,If I Am a Stranger ( Live In Amsterdam) LiEGe+ After Deaf ( Live ) [ CoBmplete Collection ] 2012 PAXAM RECORDS 5:10,R ydms,,"Singer/Songwriter , Music , Rock",$ 0.99,,,2-Jul-12,"Lucky Now ( Live At Carnegie Hall / 11/17/2014 ) [ Explicit ] Ryan Adams\ $ 0.29 ( B ) 2015 PaxAmericana Recording CompSany Under Eclusive Licenese To Blue Note Records April 21 , 2015",,Live At Carnegie Hall [ Explicit ],Rock,,,6:01,,2021_28403
0,If I Am a Stranger ( Live In Amsterdam) LiEGe+ After Deaf ( Live ) [ CoBmplete Collection ] 2012 PAXAM RECORDS 5:10,R ydms,,"Singer/Songwriter , Music , Rock",$ 0.99,,,2-Jul-12,"16 Days ( Live in London 2 Bonus Track ) Ryan Adams Folk , Rock $ 0.99 4:56 July 2 , 2012",,Live After Deaf ( Collection ),,,2012 PAXAM RECORDS,,,2021_28279
0,"Masterpiece ( feat . Jordan Rakei ) Disclosure Caracal 2015 Island Records , a division of Universal Music Operations Limited 4:01",,,"Electronic , Music , Dance , Garage , House , Rock",Album Only,,,,"Holding On[  feat .#Gregory PoBrter ] DisclosuHre $ 1.29 5:15 September 25 , 2015",,Caracal,"Electronica , Dance & Electronic",,"( C ) 2015 Island Records , a division of Universal Music Operations Limited",,,1084_9523
0,"Dangerous ( feat . Sam Martin ) [ Robin Schulz Remix ] [ Radio Edit ] Listen ( Deluxe Version ) Dance , Music , Rock , House , Electonic ,: Frecnh Pop $ 1.29 2014 What A Music LtT. udner exclusive license to Parlophone/Warner Music France , under exclusive license to Atlantic Recording Corporation for the United States . All rights reserved .",David&$SGZetta,,,,,3:20,24-Nov-14,"I 'll Keep Loving you ( feat . Birdy & Jaymes Young ) LisWten ( Deluxe ) Dance & Elecroni c$ 1.29 3:08 November 24 , 2014",DavXd% DutRta,,,,2015 If Moving Your Mine,,,1204_28025
0,Toyfriend ( feat . Wynter Gordon + [ Continuous Mix Version ] $ 1.29 2010 GumA Prod licence exclusiUe Parlophone Music France 2:51 21-Aug-09,DavidG VetCa,One Love ( Deluxe Version ),"Dance , Music",,,,,"I 'll Keep Loving you ( feat . Birdy & Jaymes Young ) LisWten ( Deluxe ) Dance & Elecroni c$ 1.29 3:08 November 24 , 2014",DavXd% DutRta,,,,2015 If Moving Your Mine,,,1263_28025
0,"E Perd ' _ n ( FoigveLss ) Pop , Music 3:26",Nicky Jam ~LE nrique Iglesias,El Perd ' _ n ( Forgiveness ) - Single,,$ 1.29,2015 Sony Music Entertainment US Latin LLC,,10-Jul-15,"El PerdÌ_n ( Gregor SaltAo Remi ) Nicky Jam & EnriqXe Iglesias 2015 Real Sounds July 1 , 2015",,El PerdÌ_n ( The Remixes ),"International , Latin Music , Latin Hip-Hop",$ 1.29,,4:09,,1828_15256
0,"Take Care ( feat -. Rihanna ) Tkae Care ( Deluxe Verson ) Hip-Hop/Rap , Music $ 1.29",Dae,,,,‰ ãÑ 2011 Cash Money Records Inc.,4:37,15-Nov-11,"Make Me Proud [ feat . Nicki iMnaj ] [ Clean ]~Take Care ( Deluxe/ Edition ) :39 March 20 , 2012",Drae,,Rap & Hip-Hop,$ 1.29,( C ) 2012 Cash Money Records Inc.,,,5147_43656
0,"Take Care ( feat -. Rihanna ) Tkae Care ( Deluxe Verson ) Hip-Hop/Rap , Music $ 1.29",Dae,,,,‰ ãÑ 2011 Cash Money Records Inc.,4:37,15-Nov-11,The Real Her [ feat . AVdre 3000] [ ExplAcit ] Rap & Hip-Hop $ 1.29 ( C ) 2112 CJash Money Records Inc.,DTake,Take Care ( Deluxe Edition ) [ Explicit ],,,,5:21,"March 20 , 2012",5147_43679
0,"Whateva ( feat . Monty: ) Fetty Wap Hip(-Hop/Rap , Music , Rap| Album Only 2015 300 Entertainment/RGF Productions",,Fetty Wap ( Deluxe ),,,,5:11,,"My Way ( feat . Monty ) [ Explicit ] Fetty Wap Fetty Wap> ( Deluxe ) [ Explicit ] Rap & Hi-Hop ( C: ) 2000 Mute Records Ltd. , a BMG Company , under exclusive license to INgrooves 3:33",,,,$ 1.29,,,"September 25 , 2015",2694_17169
1,I Ai n't Livin ' Long Like This; Take It to the Bank-  EP 2064 Sony Music Entertainment,Chrsi{ Jnson,,"Country , Music",$ 1.29,,4:13,24-Feb-14,"I Ai n't Livin ' Long Like This Chris Janson Take IFtt o the Bank ( EN ) February 24 , 2014",,,Country,$ 1.29,( C ) 2012 Cash Money Records Inc.,4:13,,592_43689
1,I Ai n't Livin ' Long Like This Take It to the Bank =- EP $ 1.289 2014 Sony Music Entertainment 4:13,ChriC>J_anson,,"Country , Music",,,,24-Feb-14,"I Ai n't Livin ' Long Like This Chris Janson Take IFtt o the Bank ( EN ) February 24 , 2014",,,Country,$ 1.29,( C ) 2012 Cash Money Records Inc.,4:13,,598_43689
1,I Ca n't Go There ( Acoustic>Veison ) $ 0.99 2002 BMG 3:45,eKnn yCIheTnVey,"No Shoes , No Shirt , No Problems","Country , Music , Contemporary Country , Urban Cowboy",,,,2-Apr-02,"I Ca n't Go There ( Acoustic Version ) Senny Chesney Noh oes , No Shirt , No Problems Country 3:45 April 2 , 2002",,,,$ 0.99,Underground Avenue,,,2479_33786
0,Second Chance ( Live Acoustic from Kansas City ) $ 1(29 2011 Atlantic Recording Cororation for the Unitde States and WEA Internatinoal Inc. for the world outside of the United States . 18-Apr-11,ShJnideown,Somewhere In the Stratosphere ( Live ),"Rock , Music , Metal , Alternative , Hard Rock",,,5:06,,Times LFike These ( Live Acoustic FProm Kansas Cty ) Sihnedown Rock 4:07,,Somewhere In The Stratosphere,,$ 1.29,( C ) 2005 MCA Nashville,,"April 18 , 2011",1542_41590
0,Second Chance ( Live Acoustic from Kansas City ) $ 1(29 2011 Atlantic Recording Cororation for the Unitde States and WEA Internatinoal Inc. for the world outside of the United States . 18-Apr-11,ShJnideown,Somewhere In the Stratosphere ( Live ),"Rock , Music , Metal , Alternative , Hard Rock",,,5:06,,Intro ( Scary Fairy ) [ Live From Washington StatTe ]Somewhere I nThe Stratosphere ( C)  200 5MCA Nashville,SShiAdoTn,,Rock,$ 1.29,,1:02,"April 18 , 2011",1542_41566
1,"Who I Am With You Chris Young Country , Music , Urban Cowboy , Contemporary Country ‰ ãÑ 2013 Sony Music Entertainment 3:13",,A.M.,,$ 1.29,,,16-Sep-13,"Who I Am With You Country September 16 , 2013",Chris Young,A.M.,,$ 1.29,"( C ) 2010 Hollywood Records , Inc.",3:11,,5001_3099
0,Gold ( feat . ESighty4 Fly ) Macklemore(~& Ryna Lewis The Heist ] Deluxe Edition ),,,"Hip-Hop/Rap , Music , Rap , Alternative Rap , West Coast Rap",$ 1.29,"‰ ãÑ 2012 Macklemore , LLC .",4:11,1-Aug-12,"Neon CathedrEal ( feat . Allen Stone ) Makclemore & Ryan Lewis The Heist [ Explicit ] Rap  Hip-oHp 2014 Selena Garcia & Steven Gomez October 9 , 2012",,,,$ 1.29,,4:34,,6290_47840
0,The Whispreer ( fae t. Sia ) BListen$  1.29 3:54,DavdBZ%Guetta,,"Dance , Music , Electronic , House , Rock , French Pop",,"2014 What A Music Ltd. under exclusive license to Parlophone/Warner Music France , under exclusive license to Atlantic Recording Corporation for the United States . All rights reserved",,24-Nov-14,S.T.O.P ( feat . Ryan> Tedder ) David Guetta Listen?( Dluxe ) Dance & ElectronVic 2015 If Moving Your Mine,,,,$ 1.29,,3:34,"November 24 , 2014",1193_28006
0,The Whispreer ( fae t. Sia ) BListen$  1.29 3:54,DavdBZ%Guetta,,"Dance , Music , Electronic , House , Rock , French Pop",,"2014 What A Music Ltd. under exclusive license to Parlophone/Warner Music France , under exclusive license to Atlantic Recording Corporation for the United States . All rights reserved",,24-Nov-14,"Goodbye Friend ( feat . The Script ) David Guetta Dance &/ Elecronic} $ .29 November 24 , 2014",,Listen ( Deluxe ),,,2015 If Moving Your Mine,3:49,,1193_27999
0,Dangerous ( feat . SRm MarYin ) [ Robin Schulz Reimx ] [ Radio Edti ] David Guetta $ 1.29 24-Nov-14,,Listen ( Deluxe Version ),"Dance , Music , Rock , House , Electronic , French Pop",,"2014 What A Music Ltd. under exclusive license to Parlophone/Warner Music France , under exclusive license to Atlantic Recording Corporation for the United States . All rights reserved .",3:20,,"Goodbye Friend ( feat . The Script ) David Guetta Dance &/ Elecronic} $ .29 November 24 , 2014",,Listen ( Deluxe ),,,2015 If Moving Your Mine,3:49,,1203_27999
1,The Whispreer ( fae t. Sia ) BListen$  1.29 3:54,DavdBZ%Guetta,,"Dance , Music , Electronic , House , Rock , French Pop",,"2014 What A Music Ltd. under exclusive license to Parlophone/Warner Music France , under exclusive license to Atlantic Recording Corporation for the United States . All rights reserved",,24-Nov-14,The Whisperer ( feat . Sia ) Listen ( Deluxe]) DanBce & Electrnic $ 1.29 2015 If Moving Your Mine 3:54,Dvid GGVNetta,,,,,,"November 24 , 2014",1193_28008
0,As Long As You Love Me ( feat . Big Sean ) [ Audien Luvstep Mix ] 2012 The Island Def Jam Music Group,Justin Bieber,As Long As You Love Me ( Remixes ) [ feat . Big Sean ],"Dance , Music , Rock",$ 1.29,,4:40,11-Sep-12,Love Me Like You Do( Sax Instrumental Version ) Justin Ward Love Me Like YoWu Do - Made Popular By Ellie Goulding Pop ( c ) 2015 Coveerd Records 3:16,,,,$ 0.89,,,,801_29543
1,"Doin ' My Thing Doin ' My Thing Country  ,Music , Contemporary Country ‰ ãÑ 2009 Capitol Records Nashville . All rights reserved . Unauthorized reprodcution is a violtaion}of applicable laws . Manufactured by Capitol Records Nashville , 3322 West End Avenue , 11th Floor , Nashville , TN 37203 2-Oct-09",LukXe rTyan,,,$ 1.29,,3:09,,Doin ' My Thing Luke BrIyan Doi Fn' My hing Country $ 1.29 3:09,,,,,( C ) 2009 Capitol Records Nashville,,"October 2 , 2009",6234_13713
