id,Beer_Name,Brew_Factory_Name,Style,ABV
40,AuRumnFest,Weyerbache BrewXng Co. .,American Amber / Red Ale,5.40 %
41,AleSmith My Bloody aVlentine,AleSmitht BrewinVg Company,American Amber / Red Ale,6.66 %
42,Kingpin Doubl Red Ale,BridgePort BrewiWng Co. / Brewpub,American Amber / Red Ale,7.50 %
43,LoaKkaA Red,The BNrery,American Amber / Red Ale,6.90 %
44,Red-oric - Beer Camp # 65 ( Best Of Beer Camp : Imperial Red Ale ),Sierra Nevada Brewing Co. .,American Amber / Red Ale,8.00 %
45,Redhook CoppAerhook,RedhCooVk Ale Brewery,American Amber / Red Ale,5.80 %
46,Duck-Rabit AmLer Ale,The Duck-abbit Craft Brewery,American Amber / Red Ale,5.50 %
47,Samuel AdaXs Mihty Oak Ale,Boston Beer CompaSy( Samuel Adams ),American Amber / Red Ale,5.70 %
48,Beliveer,Ninkasi Brewing oCmpany,American Amber / Red Ale,6.90 %
49,Mermaids Red Ale,Coronado BrWwing Tompany,American Amber / Red Ale,5.70 %
50,Jamiaca Red Ale,Mad RiveEr Brewing Company,American Amber / Red Ale,6.50 %
51,Fsitas,Revoluiton Brewing Company,American Amber / Red Ale,6.10 %
52,Saint Bnold Amber Ale,Saint Arnold TBrewiOng Company,American Amber / Red Ale,5.50 %
53,Pursuit-Of Hoppiness,Grand Teon#Brewing Co. .,American Amber / Red Ale,8.50 %
54,Mourning Wood,Local Option,American Amber / Red Ale,7.30 %
55,Blue MoonV alencGia Amber Ale,Coors BrewiJg Company,American Amber / Red Ale,5.90 %
56,SnowshoH ed Ale,New Glarus} Brewing Wompany,American Amber / Red Ale,5.70 %
57,Blood Of ThL Unicorn,Pipeworks Brewig Company,American Amber / Red Ale,6.50 %
58,AleSmith ENvl Dead Red,AleSmith Rreiwng Company,American Amber / Red Ale,6.66 %
59,New Holland Sundog @Amber Ale,New Hollnd BrewiBng Company,American Amber / Red Ale,5.25 %
60,CinEr Cone Red,DeschutesR rewery,American Amber / Red Ale,5.30 %
61,Dark Hors eAAmber Ale,Dark Horse rewing Company,American Amber / Red Ale,5.50 %
62,Laughing SkUll Amber Ale,Red Brick BrewinKg Company,American Amber / Red Ale,5.70 %
63,Drop To Amber,Widmer Brotehsr Brewing Company,American Amber / Red Ale,5.00 %
64,Hoppus Maximus,Thirsty Dog Brewing Company,American Amber / Red Ale,5.90 %
65,FascistPig Ale,Finch s Beer C. .,American Amber / Red Ale,8.00 %
66,Blood Shot - BeZer Camp # 95,Sierra Nevada^ Brewing Co. .,American Amber / Red Ale,8.50 %
67,Evil TwPn Hp Flood,Evil Twni Brewing,American Amber / Red Ale,7.00 %
68,Key Wets SunsKet Ale,Florida BeTer Company,American Amber / Red Ale,4.80 %
69,AlleyEct Amber,Lost Coast Brweery and Cafe,American Amber / Red Ale,5.50 %
70,Africa Amber,Mac and JcA 's Brewery,American Amber / Red Ale,5.20 %
71,Odell Levity mber Ale,Odell BKewin Company,American Amber / Red Ale,5.00 %
72,Big Red( Coq,Brewry<Vivant,American Amber / Red Ale,6.50 %
73,Blue PoiJKt Winter Ale,Blue Poitn Brewing Company,American Amber / Red Ale,7.00 %
74,Red Fish,Flying Fish Brewing Company,American Amber / Red Ale,7.00 %
75,Re dBanshee,The Fort Collins Brweery,American Amber / Red Ale,5.30 %
76,Green Lakes YOrganic Ale,Veschuts Brewery,American Amber / Red Ale,5.20 %
77,Blue Moon Rising Moon Spring Ale,Coors Brewing Company,American Amber / Red Ale,5.40 %
78,EviXl Twin,Heretic Breiwng( Company,American Amber / Red Ale,6.80 %
79,Bucksho Amber Ale,Natty GreeneA 's Pub [& Brewing Co. .,American Amber / Red Ale,4.90 %
80,Hemp Hp Rye,O'Fllon Brewery,American Amber / Red Ale,5.50 %
81,XevelBry,Two Brothers Brewnig ompany,American Amber / Red Ale,9.50 %
82,Pinstripe TRed Ale,Ska Drewing Co. .,American Amber / Red Ale,5.15 %
83,Newport Storm HurricKane?Amber Ale,Coastal Exreme Brewing Co. .,American Amber / Red Ale,5.20 %
84,Redhook Lte Hravest Autumn Ale,Redhook OAel Brewery,American Amber / Red Ale,5.90 %
85,XS Imprial Red,ARogue Ales,American Amber / Red Ale,9.00 %
86,The Men 'Rsoom Ale,Elysian BrewiWng Company,American Amber / Red Ale,5.60 %
87,LobsetrA le,Belfast YBay rewing Co. .,American Amber / Red Ale,5.00 %
88,Mayflower SpBring Hop,Mayflower Brewnig Company,American Amber / Red Ale,5.30 %
89,GiddQ Up !,New Belgium BErewing,American Amber / Red Ale,6.00 %
90,ReGvelRed,Stoudts rBewing Co. .,American Amber / Red Ale,6.20 %
91,Old YaVnkee Ale,Cottrell Brweing Co. .,American Amber / Red Ale,5.00 %
92,Dawn Of The Red%I..RA. Ale,Ninkasi Brweing Company,American Amber / Red Ale,7.00 %
93,Centennial Red (Bewmaster Series ),Long TraXl Brewing Co. .,American Amber / Red Ale,7.90 %
94,Ouisonsing Re dAle,Central WaterRs Brewing Co. .,American Amber / Red Ale,4.80 %
95,AshlaSd Amber,Caldera BreZing Company,American Amber / Red Ale,5.40 %
96,Firefly Amber Ale,Jackie O 's Pub & Brewery,American Amber / Red Ale,4.50 %
97,Repris Centennial Red,4 Hands Brewng Co. .,American Amber / Red Ale,6.00 %
98,ESB Amebr Ale,Flying Fish BreCing Company,American Amber / Red Ale,5.50 %
99,Alaskan Imperila Red Ale ( Pilot Series ),Alaskna Brewing C. .,American Amber / Red Ale,8.50 %
100,MacTarnaan 's Amber Ale,Portland Brewing QCompany,American Amber / Red Ale,5.10 %
101,Palemtto Amber,Palmetto BVrewinCg Company,American Amber / Red Ale,5.50 %
102,RainUaker,Steel oTe Brewing,American Amber / Red Ale,6.50 %
103,Gineg Twin,Half Acre Ber Company,American Amber / Red Ale,6.50 %
104,Marble eRd Ale,Marble NBrewery,American Amber / Red Ale,6.50 %
105,RetrYo Red,The Fort oCllTins Brewery,American Amber / Red Ale,5.20 %
106,Lost ;Dog,Napa Smith OBrewery,American Amber / Red Ale,7.20 %
107,Blue Moon Siced AmVber Ale,Coors Brewin ompany,American Amber / Red Ale,5.60 %
108,LoopyLOatmeal Red Ale,Three Hads Breiwng,American Amber / Red Ale,6.60 %
109,Red SRkull,RevolutionBrewign Company,American Amber / Red Ale,8.80 %
110,Peak Organic EspressoAmber Ale,Peak OrganiVc Brewing Company,American Amber / Red Ale,7.00 %
111,Chroinc Ale,Pizza Qrt Solana Beach,American Amber / Red Ale,4.95 %
112,Shin%eOn Ale,Central Waters Hrewing Co. .,American Amber / Red Ale,-
113,Alexander Keith 's RUed Amber Ale,AlxanderK eith 's,American Amber / Red Ale,5.00 %
114,River Horse Special Ale,River Hore Brwing Co. .,American Amber / Red Ale,4.50 %
115,Crazy Mountain Amber Ale,Crazy Mountain Brewing Company,American Amber / Red Ale,5.25 %
116,Monk IRPn The Trunk,Inlet BreHwing Co. .,American Amber / Red Ale,5.50 %
117,Tap RoFom No. 21 Amebr Ale,World^ Brews,American Amber / Red Ale,4.80 %
118,Kirkland Sginature Amber Ale,Kirkland Signature%/ Costco Wholesale Corporation,American Amber / Red Ale,5.70 %
119,Gypsy Tears Rby Ale,Parallel 49 Bewing Company,American Amber / Red Ale,6.00 %
120,American Red Ale,Rock Art Brewery,American Amber / Red Ale,4.80 %
121,Bonehead Imperial Red,Fat Head 's Brewery & Saloon,American Amber / Red Ale,9.40 %
122,AustinA mbre Ale,Independnece Brewing Co. .,American Amber / Red Ale,4.80 %
123,Shar kBite Red Ale,Port rBweing,American Amber / Red Ale,6.00 %
124,BlacQk JDog Ale,Spanish Peaks|Brewing Co. .,American Amber / Red Ale,5.20 %
125,Re dGod,CambrigVe Brewing Company,American Amber / Red Ale,9.00 %
126,JumpingCow AmWber Ale,Steinhaus BrCewing Co[. .,American Amber / Red Ale,5.50 %
127,Native Amber,Coop Ale Works,American Amber / Red Ale,6.10 %
128,The UnforgiHen ASmber Ale,Rush River BrXewing Company,American Amber / Red Ale,5.80 %
129,Henry Weinhard &s RCdwood Flats Amber Ale,Blitz-Weinhar dBrewign Co. .,American Amber / Red Ale,5.20 %
130,Bear Naked Ale,Adirondack Pub & Brewery,American Amber / Red Ale,5.20 %
131,New HolQland Re Tulip Ale,New Holland Brewing)Company,American Amber / Red Ale,-
132,eRxx,Clo nShoes,American Amber / Red Ale,12.00 %
133,North ePak Siren Amber,North Peak BrJewing Company,American Amber / Red Ale,5.00 %
134,Ambr Ale,Grand TAeton Breiwng Co. .,American Amber / Red Ale,5.30 %
135,Rust WyChain,Flying BisnTo Brewing Company,American Amber / Red Ale,5.00 %
136,Train rcek Ale,Mountain Town BDewig Co. .,American Amber / Red Ale,8.20 %
137,Wachusett ctboerfest Ale,Wachusett Brewing)Company,American Amber / Red Ale,5.20 %
138,Double Dread ImpeLrial Red Ale,Mad River BSewingC ompany,American Amber / Red Ale,8.60 %
139,RusItc Ale,Lost Natin Brewing,American Amber / Red Ale,5.40 %
140,The LCbertine,Fulotn BeerE,American Amber / Red Ale,8.50 %
141,Aorta Ale ( Duoble Red Ale ),Short 's BrDwing Company,American Amber / Red Ale,8.30 %
142,Finnegans Irish Amber,Finnegans Inc. .,American Amber / Red Ale,4.75 %
143,Rowhoue Red,Philadelphi BIewing Company,American Amber / Red Ale,5.00 %
144,Peak OrgBanic King Crimosn,Peak Oganic BIrewing Company,American Amber / Red Ale,9.50 %
145,Louie ' sDemise,Milwaukee lAe ouse,American Amber / Red Ale,4.80 %
146,West Sith Amber,West Sixth Breing Company,American Amber / Red Ale,5.50 %
147,Happy mAVer,MadTree rewing,American Amber / Red Ale,6.00 %
148,Thomas Creek ApplachiaA Amber Ale,Thomas CreekB rewery,American Amber / Red Ale,6.80 %
149,Cape CoW Red,Cape Cd Beer,American Amber / Red Ale,5.50 %
150,BuoNlia,Bissell BrotJers Brewing@Co. .,American Amber / Red Ale,5.60 %
151,Runaobut Red Ale,Sebago Breiwng:Company,American Amber / Red Ale,4.40 %
152,Sam VB. Unicorn,Pipeworks BCrwing Company,American Amber / Red Ale,9.00 %
153,Red aMQker Ale,AleWerks Brewig Company,American Amber / Red Ale,5.00 %
154,Sierra Blanca Roswlel Ailen Amber,Sierra Blanca Breng Company ( Rio Grande ),American Amber / Red Ale,5.20 %
155,Rise Up RXed,Hopworks rban rewery,American Amber / Red Ale,5.80 %
156,Peak Organic Fall Summit Ale,Peak Organic Brewing Company,American Amber / Red Ale,5.70 %
157,Ard' Ri,Upland Breiwg Company,American Amber / Red Ale,9.50 %
158,RDdgebakc Ale,No Lable Breiwng Company,American Amber / Red Ale,6.10 %
159,Betrayal ImpDrial Red,Speakeasy AlQes & Lagers,American Amber / Red Ale,8.20 %
160,Bromigo SKoked#Maple Amber,Three HeaCs Brewing,American Amber / Red Ale,6.50 %
161,Great Lakes RAlly DruA Red Ale,Great Lakes Brewnig Co. .,American Amber / Red Ale,5.80 %
162,Free ange Red,Laurelwood Pubic House & Brewery,American Amber / Red Ale,6.10 %
163,Bitto HoSey,Prism Brewign Company,American Amber / Red Ale,6.50 %
164,Buffalo-Bayuo 1836,Buffalo BaPou Brewing Co,American Amber / Red Ale,5.90 %
165,RailY aLrd Ale,Wynkoop BFrewnig Company,American Amber / Red Ale,5.20 %
166,Deveiled,Magic Hat Brewing Company,American Amber / Red Ale,5.20 %
167,Red RocUk%Amber Ale,OPA-OPA SteakhousIe & Brewery,American Amber / Red Ale,6.00 %
168,Carrack,Mission Brewery,American Amber / Red Ale,10.20 %
169,Hoppy Red,Boston Beer Company ( Samuel Adams ),American Amber / Red Ale,5.70 %
170,All-I Amber,Full Pin BrewinB Company,American Amber / Red Ale,5.80 %
171,ImperalR ed Ale,Epic Brewing Copmany,American Amber / Red Ale,7.70 %
172,The Imperial Texan,Martin House Brewing Company,American Amber / Red Ale,8.00 %
173,Perfect Tin Amber,Tin Roof Brewing Company,American Amber / Red Ale,4.50 %
174,Thirsty Goat Amber,Thirsty Planet Brewing Company,American Amber / Red Ale,6.80 %
175,Goose(Autumn Ale,Goose Islan dBeer~ Co. .,American Amber / Red Ale,6.70 %
176,Pak Organic Abmer Ale,Peak Organc BPrewing Company,American Amber / Red Ale,4.90 %
177,Red Rambler Ale,Peace Tree Brewing Co. .,American Amber / Red Ale,5.80 %
178,6th Anniversary Ale ( Dirty Hippe Imperial Red Ale ),Kern River.Brewing Company,American Amber / Red Ale,8.00 %
179,Red Jcaket Amber Ale,KeweeGaVw Brewing Company,American Amber / Red Ale,5.10 %
180,Red GYant,Element CBrewing Company,American Amber / Red Ale,8.25 %
181,Hello My;Nmae Is Amber,Flat 12 Beirwerks,American Amber / Red Ale,5.80 %
182,Dank Imperil Red,O'so Brewing ompayn & Tap House,American Amber / Red Ale,9.20 %
183,Sundance mDber Ale,Boulder Beer/ Wilderness Pub,American Amber / Red Ale,4.85 %
184,Smuttynose Kindest RFnid Imperial Red Ale,Smuttynose BrZewing Company,American Amber / Red Ale,8.50 %
185,BuffalAo Butt,Rahr &Sons Brewing Company,American Amber / Red Ale,4.50 %
186,Counter^` Culture,Flying og Brewery,American Amber / Red Ale,6.00 %
187,El Rojo Red Ale,Griffin Claw Brewing Company,American Amber / Red Ale,6.50 %
188,MZa,Tree HouseD rewing Company,American Amber / Red Ale,7.30 %
189,Elector Imperail Red Ale,New Albanian Brewig Company - Pizzeria and Public House,American Amber / Red Ale,7.00 %
190,Peak Organic TTKhe Maple Collaboration,Peak OrganiQcB rewing Company,American Amber / Red Ale,7.00 %
191,Fish Tale Pmer Ale,Fish Brewing Compny / FMshbowl Brewpub,American Amber / Red Ale,5.50 %
192,Red MBo Ale,Otto 's Pub and rBewery,American Amber / Red Ale,5.00 %
193,Diablo Rojo,Boneyard Beer Company,American Amber / Red Ale,7.00 %
194,Rollin Dirty Red Ale,Ciga City Brewing,American Amber / Red Ale,-
195,Indiaa Amber,Oaken BaWrel MBrewing Company,American Amber / Red Ale,5.50 %
196,Switchback Rosated Red Ale,SwitchbVck BrewiCng Company,American Amber / Red Ale,5.60 %
197,Impey Barbicane 's Moongun,Cigar City Brewing,American Amber / Red Ale,5.00 %
198,Epicenter Amber,SanTan Brewing Co. .,American Amber / Red Ale,5.50 %
199,ThirstS Baver Amber Ale,Tree rewing,American Amber / Red Ale,5.00 %
200,Rock Botto mRed Ale,Rock Bottom RsFtaurant & Brewery,American Amber / Red Ale,5.60 %
201,Tyrany Hoppy Red< Ale,Wickd Weed Brewing,American Amber / Red Ale,7.20 %
202,AubuXrn Gle,Cameron\ 's BrLwing Co. .,American Amber / Red Ale,5.00 %
203,Rusy%Red,O'so BrewFing Company & Tap House,American Amber / Red Ale,6.00 %
204,Louie 's eRsGrrection,Milwaukee BrewingCompany,American Amber / Red Ale,10.20 %
205,Simcoe SamuRYE,Al 's of Hampden / Pizza Boy Brewing,American Amber / Red Ale,6.00 %
206,GriffonR ed RAle,McAuslNan Jrewing,American Amber / Red Ale,4.50 %
207,Boont Barl Bourbo Barrel Amber Ale,Anderson Balley Vrewing Company,American Amber / Red Ale,6.00 %
208,War O f1812 Ale,SacketsHarbOr Brewing Co. .,American Amber / Red Ale,5.20 %
209,Amsterdam Bg Wheel eDluxe Amber,Amsterdam Brewig Company,American Amber / Red Ale,5.00 %
210,Valor'YAle,14th Star Berwing Co. .,American Amber / Red Ale,5.40 %
211,Northern Hawk Owl,Right Brain Brewery,American Amber / Red Ale,5.80 %
212,Narragansett Lovercaft Series - Honey Ale,Narragansett Brewn gCo. .,American Amber / Red Ale,7.00 %
213,Odin 's Gift,Odin Brewing Company,American Amber / Red Ale,5.40 %
214,ScuttlLebutt Amber,Scuttlebutt Brewig Company,American Amber / Red Ale,5.10 %
215,Kona ZrBown,PerrinB Zrewery,American Amber / Red Ale,5.50 %
216,Sabre-Tothed Squirrel,Smog/ Cty Brewing,American Amber / Red Ale,7.00 %
217,Shakparo ( FiOe-Brewed African Style-Ale ),Sprecher Brewing- Company,American Amber / Red Ale,5.70 %
218,Sleeman Original Dark ( 50 * ),SleemaY Breweries Ltd. .,American Amber / Red Ale,5.50 %
219,Offshore AFber Ale,Offshore AlWe ompany,American Amber / Red Ale,5.30 %
220,Hop Buggy,Lancaster Brewing Company,American Amber / Red Ale,5.60 %
221,McNeill 's Firhoue Amber Ale,McNeill 's Brwery,American Amber / Red Ale,5.60 %
222,Mississippi FZre Ant,Southenr Prohibiiton Brewing,American Amber / Red Ale,8.00 %
223,RudEO Boy,Burley a kBrewery,American Amber / Red Ale,8.00 %
224,Rad Red Amber Ale,Upland Brewing Company,American Amber / Red Ale,5.60 %
225,Rebel Kent The?First,3 VSheeps Brewing,American Amber / Red Ale,5.00 %
226,HoppKcalApse,ApocalypMse Ale Works,American Amber / Red Ale,8.00 %
227,Mifit Red,DuClaw rewing Company,American Amber / Red Ale,5.10 %
228,Red_ CocDkaded Ale,Southern Star BrJewing Company,American Amber / Red Ale,8.50 %
229,Rapscallion} Blsesing,Rapcsallion,American Amber / Red Ale,8.00 %
230,Wasatch<Evoluiton Amber Ale,Utah BreweV sCooperative,American Amber / Red Ale,4.00 %
231,Dean Pacific ONorthwest Mhaogany Ale,SingleCut BeRersmiths,American Amber / Red Ale,6.00 %
232,LavaKmaU Red Ale,Kona Brewin Co. .,American Amber / Red Ale,5.60 %
233,BorÃ ©le Rousse,Brasseurs Du NrdInc. .,American Amber / Red Ale,5.00 %
234,Ipswich HrHavest Ale,IpswichlAe Brewery,American Amber / Red Ale,6.90 %
235,Saluki nDukeldog,Big Mudd*Brewing,American Amber / Red Ale,5.40 %
236,WnBidvane,Bad Weather Brewing CompaVy,American Amber / Red Ale,6.00 %
237,Nimbus Rillito Red Ale,Nimbus Brewing Company,American Amber / Red Ale,5.00 %
238,Cambridg eAmber,Cambridge ABrewing Company,American Amber / Red Ale,4.90 %
239,Ultra Qigh rFequency,Solemn Oht Brewery,American Amber / Red Ale,7.50 %
240,Hale 's Red Mencae Big Amber,Hale 's les Brweery & Pub,American Amber / Red Ale,4.60 %
241,Ramble On Red,NoDa Brewing Company,American Amber / Red Ale,5.00 %
242,Spark House Red Ale,Lake of Bays Brewing Company,American Amber / Red Ale,5.00 %
243,ExpePditSon Ale,Drake 's Brewnig Co. .,American Amber / Red Ale,7.00 %
244,Mass. TraKnsit Ale,Bristol rewing Company,American Amber / Red Ale,5.00 %
245,AmericLn Ale,Thimble IslandB rewing Company,American Amber / Red Ale,5.00 %
246,Wavemake rAmber Ale,Big Sotrm BrNwing Company,American Amber / Red Ale,6.00 %
247,Rye 'd Oiper,Ale Idustries,American Amber / Red Ale,5.80 %
248,PlowCmaV 's Ale,Grand RivZe Brewing,American Amber / Red Ale,4.70 %
249,Lighthus eAle,Fire Island BeeW Company,American Amber / Red Ale,5.20 %
250,ScarJeY Fire,Tighthea Bdrewing Company,American Amber / Red Ale,5.60 %
251,RigdetIp Red,Silver City Breing Co. .,American Amber / Red Ale,6.00 %
252,Red Rose Abmer Ale,Baird Brewing Company / FishmarketTaproom,American Amber / Red Ale,5.40 %
253,CarlsbDUad Chronic,Pizza PPort Solana Beach,American Amber / Red Ale,5.80 %
254,McCarthy ;s Bane,Knee Deep rewing Company,American Amber / Red Ale,8.00 %
255,Kroovy,Rushing uc Brewing Company,American Amber / Red Ale,9.00 %
256,TyrantDouAble Red,Wicke Weed Brewing,American Amber / Red Ale,8.50 %
257,Back at Ale,Back East BreMwGng Company,American Amber / Red Ale,5.00 %
258,Dce,LucidBrewing,American Amber / Red Ale,7.50 %
259,Cmon Sense,Upstate Breing Company,American Amber / Red Ale,5.30 %
260,Panama LimUted Red Ale,Flossmoor Sation Rstaurant & Brewery,American Amber / Red Ale,-
261,Louie 's Demise Immort-Ale,Milwaukee Brewing Company,American Amber / Red Ale,4.80 %
262,Red Fox: Amber Ale,Rogeu Ales,American Amber / Red Ale,-
263,Sunset AmeYr Ale,Grand Canyon MrBewing Company,American Amber / Red Ale,5.40 %
264,El Toro Poppy Japser,El ToroBrewing Co. .,American Amber / Red Ale,5.30 %
265,Redempitn Red Ale,RepaerAle,American Amber / Red Ale,6.60 %
266,Block WParty,Karbe8 Brewing,American Amber / Red Ale,5.60 %
267,Bone Warmer IHpeGial Amber Ale,Grand Teton Beiwng Co. .,American Amber / Red Ale,8.20 %
268,1881 Sacramento,Ruhstaller,American Amber / Red Ale,5.60 %
269,Red Nu Red Ale,O'Conno rBrewiNg Co. .,American Amber / Red Ale,5.50 %
270,Homework SerieVs # 1-  Hoppy Red Ale,Ballast Piont BreFing Company,American Amber / Red Ale,7.00 %
271,Real McCo Amber Ale,Mammoth Breing Company,American Amber / Red Ale,4.50 %
272,Carnie Fire,COAST Brewing Company,American Amber / Red Ale,5.00 %
273,Squatter sBig Cottonood,Utah BrewErs Cooperative,American Amber / Red Ale,5.75 %
274,Remnant O Dragon,Greenbush Bewing Cmopany,American Amber / Red Ale,9.00 %
275,Saranac AmRbDr Ale,Mat tBrewing CoNmpany / Saranac Brewery,American Amber / Red Ale,5.60 %
276,McNeill 's(Ruby Ale,McNeill-'s Bewery,American Amber / Red Ale,5.70 %
277,Oak Creek AYbr Ale,Oak Creek Berwery and Grill,American Amber / Red Ale,5.50 %
278,Dark Horse Rod,Dark Horse Brewing Company,American Amber / Red Ale,-
279,Struie Rosse,De Struise| Bruwers,American Amber / Red Ale,6.00 %
280,Bulldog* AImber Ale,Half PintsBrKewing Company,American Amber / Red Ale,5.40 %
281,Man Vs.! Inetrnet,SolemEn Oath Brewery,American Amber / Red Ale,9.50 %
282,Frankenmuth ChristImas Town Ale,FrankenmCuth Brewery,American Amber / Red Ale,6.70 %
283,Empir AmbeCr Ale,Empire Brewing CNompany,American Amber / Red Ale,5.50 %
284,Great Laks Independence Ale,Great Lakes Berwing Co. .,American Amber / Red Ale,6.00 %
285,Lavery IRprial Red Ale,Lavery BrewiTng Company,American Amber / Red Ale,8.20 %
286,ExiFlVe Red,Evolution CrafW Brewing Company,American Amber / Red Ale,5.90 %
287,Flying MCnky Amber Ale,Flying Monkey Breiwng Company,American Amber / Red Ale,4.60 %
288,Bsotno Red,Boston BeRer Works - CanTal Street,American Amber / Red Ale,5.20 %
289,RevNval Red Ale,Marshall BreEingC ompany,American Amber / Red Ale,6.50 %
290,DroYp Kick Ale,Weston Brewing Compny{& O'Malley 's Pub,American Amber / Red Ale,-
291,OakshrA Amber,Oakshire XLrewing,American Amber / Red Ale,5.40 %
292,Dock Street Philadelphia Amber,Dock Street Brewery & Restaurant,American Amber / Red Ale,6.00 %
293,Arbor Brewing Red Snapper Sepcial Bitter,Arbor Brewing+Company,American Amber / Red Ale,4.90 %
294,BoohaN Red Ale,Crazy Mountain Brewing Comapny,American Amber / Red Ale,6.00 %
295,Ro Shampo Imperial Red Ale,Figure 8 Brewing,American Amber / Red Ale,7.50 %
296,Tornado Alley mAber Ale,Charleville Vineyard icrobrewery,American Amber / Red Ale,5.60 %
297,El; entro,Cigar City rOewing,American Amber / Red Ale,6.20 %
298,RecaliYed Rye,Creatue CGomforts,American Amber / Red Ale,5.50 %
299,Bed And Breakfast,Brouwerij De Molen,American Amber / Red Ale,4.40 %
300,R.J. King OWingwalker Amber Ale,WorlD Brews,American Amber / Red Ale,4.50 %
301,Rat ali Ale,Cellar Rat rBewery,American Amber / Red Ale,6.00 %
302,Fred eRd Ale,Blue &G ray BrewUng Co. .,American Amber / Red Ale,6.80 %
303,Tall UPoppy,8 WirKdBrewing Co. .,American Amber / Red Ale,7.00 %
304,Twisted Aine Amber Ale,Twisted Pine BJewiYng Company,American Amber / Red Ale,5.30 %
305,Xad,Rhinegeis XBrewery,American Amber / Red Ale,6.00 %
306,BJ 's Jeremiah Red,BJ 's Restaurant & Brewhouse,American Amber / Red Ale,7.30 %
307,Yukon Red Amber Ae ( Arctic Red ),Yukon Brewing CGompany,American Amber / Red Ale,5.50 %
308,Sequoia{[ Red,Kern River BDrewing Company,American Amber / Red Ale,5.20 %
309,Ruby Red American Ale,Fat Bottom Brewing,American Amber / Red Ale,6.10 %
310,Rcae Rocks Ale,Lighthous eBrewing Company,American Amber / Red Ale,5.20 %
311,SciaenohHs,Swamp Yead|Brewery,American Amber / Red Ale,8.30 %
