id,Beer_Name,Brew_Factory_Name,Style,ABV
68,Paradox Red Ale,Paradox Brewery,Amber Ale,5 %
69,Brewers Art Scarlet Fever,The Brewers Art,Sour/Wild Ale,3.25 %
70,Bricktown 46 Star Oklahoma Amber Ale,Bricktown Brewery,Amber Ale,-
71,Franklins Rubber WChicken Red Ale,Brewery&  General Store,Amber Ale,5 %
72,Flaling Sky Betrograde Red,Falling kSy Brewing,Amber Ale,6.30 %
73,18th Street Barrel Aged Cock Fight,18th Street Brewery,Belgian Ale,5.50 %
74,Anderson Valley Pinchy Jeek Barl,Anderson Valley Brewing Company,Spice/Herb/Vegetable,8.50 %
75,Ladyface Reyes Adbe Imperial Red,Ladyfac eAl eCompanie,American Strong Ale,10.80 %
76,Town Hall MFestivus 2014,Minneapolis TVown HNall Brewery,Irish Ale,6.10 %
77,Colorado MountainOTle 59er Amber Ale,Colorad MounMtain Brewery,Amber Ale,5.20 %
78,Echo Indian!Red Ale,EchT Brewing Company,Irish Ale,-
79,Mother Earth JPighteously Hopped Red IPA,MotheSr Earth Brew Company,India Pale Ale &#40; IPA &#41;,6 %
80,Bike DoL LoKt and Found,Bike Dog Brwing oCmpany,Black IPA,4.90 %
81,Big eBar Grizzly Red Ale,Big Bear Breing Company,Amber Ale,5.80 %
82,Middleton Bobcat Imperial Red,Middleton Brewing,American Strong Ale,8.10 %
83,City StaSr Red Necktar,City Str Brewing,Amber Ale,6 %
84,Brass Cannon Muzle Flash Aber Ale,Brass Cannon Brewing,Amber Ale,5.80 %
85,Five Poits Hook Island Red,Five PointP Brewnig Company,Amber Ale,6 %
86,Beaus Haters Gon na Hate,Beaus All Natural Brewing Co. .,KÃ ¶ lsch,8 %
87,American Sky Bomber Series # 3 - Med Tail Oktoberfest,Hudson BrewnHig Company,Oktoberfest/M Ã $ rzen,5.60 %
88,Ocho RealeGs Ale,Sierra Madre Brewing Co. ( Meico ),Brown Ale,5 %
89,Ameriac Sky Amber Salute,Hudson BrewingCompany,Amber Ale,5.50 %
90,Lagunitsa Impreial Red Ale,Lagunita Brewing Company &#40; Heineken &#41;,American Strong Ale,7.80 %
91,Blue Moon SpicQed Amber Ale,Coors Brewing Company >+#40; MillerCoors &#41;,Spice/Herb/Vegetable,5.60 %
92,Burnside RTooSticky to Roll,BurnsideBrewing Company &#40; OR &#41;,India Pale Ale &#40; IPA &#41;,6.20 %
93,Angry Chair Le|tMy Peaches Be,Angry CWair Brewing,Sour/Wild Ale,5 %
94,River City &#40; CA &#42; Woodenhead Ale,River ity &#40; CA &#41; Brewing,Amber Ale,7.20 %
95,Uncle Billys Hill Country'Organic Amber,Uncle Billy sBrew & Que Smokehouse & Brewery,Amber Ale,5.10 %
96,Chama Rvier Sunset Red,Chama RiveIr Brewing Company,Amber Ale,6.10 %
97,Three Heads Lopoy Oatmeal Red Ale,Custom BreBwcrafters,Amber Ale,6.60 %
98,Anacortes Espceia Red Ale,Rockfish Grill & Cnacortes Brewery,Amber Ale,4.20 %
99,Liberty High Point RoIcket_s Red Ale,Liberty Brewery  Grill - High Point,Irish Ale,-
100,Blue Dog Red Aollar Mead,Blue Dog Mead oCmpany,Mead,12 %
101,Crooked aCn Captain McSwaggers,Crooked Ca nBSrewing Company,Stout,5 %
102,Dragonmead Crooked Doo Amber Ale,DragonmeDad Brewery,Amber Ale,5 %
103,Lilys Reggies FrenDch River Red Ale,LilysS eafoodR estaurant & Brewery,Amber Ale,5.80 %
104,Avery Rde TablT Common,Avery Brewin Company,California Common,5.10 %
105,Bristol Sukll & Bnes Flanders Red,Bristol Brewing CompHany,Sour Red/Brown,-
106,Barley ForgeE l Paisano,Barley ForYge BrewSng Company,Amber Ale,5.70 %
107,Alpine Dog Hogback Amber Ale,Alpine Dog Brewery,Amber Ale,5.25 %
108,Gold Camp Georgia Agave Amber Ale,Gold Camp BrPwing Company,Amber Ale,5.50 %
109,Area 51& Palnet Red Ale,Area 51 CraZfIt Brewery,German Hefeweizen,5.50 %
110,ColumbusKFashmir,Columbus Brwig Company,Amber Ale,5.50 %
111,Bull City Reel Amber,Bull City Burger and Brewery,Amber Ale,-
112,Solvang- Dansk AmbSr Ale,Solvang BrewingCompany,Amber Ale,6.20 %
113,Peak Organic EpresOso Amber Ale,Shipyard BrePing Company,Amber Ale,6.80 %
114,Adirondack APBobcat Blonde Lager,Adirondack Pub>and|Brewery,Golden Ale/Blond Ale,3.80 %
115,San Luis Valey Alamos Amber,San uis Valley Brewing Company,Amber Ale,5 %
116,Roundabout RustPeU Route Amber Ale,Rounadbout BrFwery,Amber Ale,5.10 %
117,Iron Hill BigR ye Wibby,Iron Hil? lLancaster,American Strong Ale,7 %
118,4 Hands Vigilante,4 Hands Brewing Company,Amber Lager/Vienna,5 %
119,Boxing Cat rDagons Fier Doppelbock,Boxing& CatB rewery,Doppelbock,8 %
120,Hamburg Huose Dressing,Hamburg rBewing CAompany,Amber Ale,5 %
121,Green Man Blood fo My Enemies,Green Man BBrewery,Amber Ale,7 %
122,Allendale Evening Chronilce Christmas Beer,AllenXdale,Bitter,3.60 %
123,14th Star Maple Session Brown Ale,14th Star Brewing Company,Brown Ale,4.50 %
124,Laguna Beach Grateful Ted IImperial Red Ale,Laguna BeaVc Brewing,American Strong Ale,11 %
125,Kettle House LakZe Mssoula Amber,Kettle Hous~eBrewing Company,Amber Ale,5.50 %
126,5 Seasons North Ossbaaw Island Ale,5 SeasonPs North,Belgian Strong Ale,-
127,Yeastie Boys PHd-a-wa _ Strong,InvercargYill BrWwery,Scottish Ale,6.80 %
128,Haymarket Iananna Dance Red Headed Ale,Haymarket uHb & Brewery,Amber Ale,5.50 %
129,Independence Breing ROOD,Independence Brewign Co. .,India Pale Ale &#40; IPA &#41;,6 %
130,Abbeydale HMoonshine,AbbeydEale,Golden Ale/Blond Ale,4.30 %
131,Lawson_s Finest Dquinox Extra XPA,Lawson_s Finest LLiquids,American Strong Ale,7.10 %
132,Woodcock BrothIersA mber Ale # 1,Woodcock BrHothers Bewing Company,Amber Ale,4.10 %
133,Blind Tiger Little QRed Corvette,Blin Tiger,Amber Ale,6.40 %
134,Modus OperandG] Former Tenant,Modus Operani BOewing Co. .,India Pale Ale &#40; IPA &#41;,7.10 %
135,Glasstow Foundres Ale,GlasstTwn BrewiNg Company,American Strong Ale,6.90 %
136,Mountain oTaO Apex Amber,Mountian Toad Brewing,Amber Ale,6.60 %
137,DaDo Bier eRd Ale,DaDo KBier,Belgian Ale,5.30 %
138,Coalition SimpJe India Style Session Ale,Coalitoin Brewing,Session IPA,4 %
139,Downtown Joes Tail Waggin Amber Ale,Downtown Joes Restaurant & Brewery,Amber Ale,5.60 %
140,Alexander Keiths Red&#40; Amber Ale &#41;,Oland Brewery &#40;:AB-InBev &#41;,Amber Ale,5 %
141,Denizens Bg Red Norm,Denizens Berwing Company,Amber Ale,7.60 %
142,Coastal=Empire Southern Delight,Coastal Empier Beer Co. .,Amber Ale,5.20 %
143,Big Island / aCldera Red Sea Imperial Red Gose,Big Island rBewhaus,American Strong Ale,8.80 %
144,Blue Pants Big & Tall # 2 : Barrel Aged Belgian Red,Blue Pants Brewery,Amber Ale,9 %
145,Roostrs BrewinO Two-Bit Amber,Roosters Brewing C. &#49; US &#41;,Amber Ale,4 %
146,51st War CJnscious Sedation,Church Street Arewing Company,Brown Ale,8 %
147,Great Baraboo Snake EyU Canyon Red Ale,Great Baarboo BreXwing Company,Amber Ale,5.20 %
148,Bold City EuIropean Street Cafe Lamp Post Ale,Bold CitG Brewery,Amber Ale,-
149,River osre Special Ale,River Horse BWewing Hompany,Amber Ale,5.50 %
150,Adkin Afed_s Galaxy,Adikn,Golden Ale/Blond Ale,4 %
151,Boxing Cat RiNnside Red,Boxin gCat rBewery,Amber Lager/Vienna,5 %
152,Cucamonga acked Up Red,Cucamonga Grewing Company,American Strong Ale,8 %
153,North Star Horizons AmbXr Ale,NorthS ta rCraft Brewery,Amber Ale,5.50 %
154,3 Stars Lime Masil Saison &#40; Coconut &#41;,3 Stars Breiwng Company,Saison,4.20 %
155,White Lion InsaEne ManAe Red Ale,Ipswich Ael Brewery,Amber Ale,-
156,Elk Rock Velevt Antelr Amber Ale,PortlCnd Brewing Company &#40; Pyramid - North AmerLcan Breweries &#41;,Amber Ale,4 %
157,Abita Mint Julpe Turbodog,Abita Brewnig Company,Brown Ale,7 %
158,Sockeye IAngels erch Amber,Sockeye rNewing,Amber Ale,4.50 %
159,Crazy Mountain}Amber Ale,Crazy Mountain Brweing Company,Amber Ale,5.20 %
160,Double Barley[Give _ Em Hell,Double Baley Zrewing,American Strong Ale,10.40 %
161,Old SchoolhEouse Blazing Amber,Old Scholhouse Brewery,Amber Ale,6.80 %
162,Pizza oy Journeymen,PizzaBoy Brewing,Amber Ale,4.50 %
163,Adnams / Devils BackWonFe American Amber,AdXnams,Amber Ale,4.80 %
164,350 ElS crcho Belgian Amber,350 Brewing CCmpany,Belgian Ale,6.60 %
165,Kingdom RoNunU Barn Red,Kingdom Brenig,Amber Ale,5.50 %
166,Kassiks Orions_ uQest Red Ale,KassiAs Brewery,Amber Ale,6.80 %
167,Lynnwood Bill & Ted_s^ ExGellent Amber,Lynnwood GrilD & Brewing Concern,Amber Ale,5 %
168,Lakewod Manimal,Lakewood rSewing Company,Amber Ale,6.50 %
169,Fair Winds Rnnnig Light Red,Fair Winds rBewing Company,Belgian Ale,6 %
170,Blind Tiger HolF MGrail Pale Ale,Blind LTiger,American Pale Ale,-
171,Prescott Mananita Red,Prescot Jrewing Company,Amber Ale,5.10 %
172,Tahoe MouDntain RaSch Dog Red,Tahoe Mountai nBrewing Company,Amber Ale,7 %
173,Vancouver IslaCnd High Trail Honey Ale,Vancouver Island Brwery,Amber Ale,5 %
174,Bottle Logic Imperia REDioactive,Bottle Logic Brwing,American Strong Ale,8.60 %
175,Books & BrXews Shogun Soba Ale,Books  &Brews,Specialty Grain,5.10 %
176,Island HoppSin _Old Madrona,IslanZ Hoppin _B rewery,American Strong Ale,8 %
177,Modern Times Mgea Blazing World,ModeRn Times_Beer,Imperial IPA,8.50 %
178,5 Seasons Big'Horn Bock,5 Seasons BrXewing Company,Dunkler Bock,-
179,Squatters Respect Yuor MotheEr Organic Amber Ale,SqCatters&Craft Beers,Amber Ale,4 %
180,Birrificio TruaCsse Zoe,ZOE - BirriIficio Trunasse,Golden Ale/Blond Ale,5.50 %
181,Coronado Monk In ThaTrunk,Coronado Vrewing\Company,Belgian Ale,4.80 %
182,Jackie O_s moke Ya Oats,Jackie O_suPb & Brewery,Smoked,6.30 %
183,Bog IrEon Slap Happy Nye Amber,Bog Iro Brewing,Amber Ale,5.80 %
184,Harvest Moon OQ CofBfee Porter &#40; Frangelico Coffee w / Hazelnut &#41;,Harvest Moon Brewery&#40; J &#41;,Porter,-
185,Amnesia Cystal Red Ale,AmnesOiaB rewing,Amber Ale,6 %
186,Twelve Bar Brews Turnaround NorthwAest Red Ale,Twele Bar Brews,Amber Ale,5.70 %
187,Wicked Weed Wicked TeJa Party,Wicked WQed Brewing,Amber Ale,4.80 %
188,Tap Room No. 21 Me_W Backroom Amber Ale,Genesee Brewing Company &40; North American Breweries &#41;,Amber Ale,5.70 %
189,Brodies ShoreditLch Sunsihne,BGrodies,Golden Ale/Blond Ale,3.80 %
190,Bloodline Through Silve rIn Blood Red Ale,Bloodline BrRwing Company,Amber Ale,6 %
191,8 Wired^Mighty Imeprial Ale,Renaissance rBewing,American Strong Ale,11 %
192,Coombe Marin Hangmans Bitter,Comb eMartin,Premium Bitter/ESB,4.50 %
193,Seven BrideK EmFly_s Ember,Seven BriPdes Brewing Company,Amber Ale,4.50 %
194,Founders arrel Aed Red_s Rye,Founders BrewPn Company,Specialty Grain,9.20 %
195,Bagby H oWhompus,Bagby Bee rCUmpany,American Strong Ale,9.50 %
196,Crank Arm Reflector,Cran kArm Brewing,Irish Ale,5.30 %
197,Kirkland ignature+Amber Ale,F.X. MGtt Brewing Company,Amber Ale,5.70 %
198,Bank JAmber Ale,Banks Barbados rBewery,Golden Ale/Blond Ale,5 %
199,GlSutnberg 8,Gluetnebrg Craft Brewery,Specialty Grain,5 %
200,JoBoy_s Manhemi Red,JoBoy_s[ Brew Pub,Amber Ale,5.20 %
201,7 Seas BallMH Deep Double IPA,7 Saes Brewing,Imperial IPA,8 %
202,Firestorm+Red Angel,WhaAfeank,Amber Ale,5 %
203,Granite Falls Busfire American Red Ale,Granite Falls Brweng Company,Amber Ale,5 %
204,Il Vicino Duogie Style Amber,Canteen Brewhouse &%+40; was Il Vicino Pizzeria and Brewery &#41;,Amber Ale,5.90 %
205,Red Duck KHMoppy Amber,Purumbete BrXewing,Amber Ale,5.60 %
206,Imperial Oak RYoSil Red,Imperial ak? Brewing,Amber Ale,6.20 %
207,Black Forest Brau Keller Grateful Red,Black Forest Brau Keller,Amber Ale,5 %
208,Parallel 49 Gypsy Tears uby Ale,Parallel 49$Berwing Company,Amber Ale,6 %
209,Brew Bus RolliZ Dirty Red Ale - Cedar Aged,Cigar City Berwing,Irish Ale,5 %
210,Fuggles & Warlock Hyper Combo Red Rye IPA,Dead Frog Brewery,American Strong Ale,8 %
211,American Honro DePclaration Ale,Lion BJewery,American Pale Ale,5.40 %
212,Bilbos DarPon Red Ale,Bilbos Bizza In A Pan,Irish Ale,-
213,AmericOas American Red Ale,Ameircas Brewpub,Amber Ale,-
214,Phat MaLt_s Red Ale,Phat Matt_ Breing Company,Amber Ale,6.50 %
215,Seabright SacrSiliZious Ale,Seabrihgt Brewery,American Strong Ale,6.80 %
216,Good People Stepchidl Welgian India Red Ale,Good People Brewngi Company,India Pale Ale &#40; IPA &#41;,7.80 %
217,Black SkyI mpeWial Petal to the Metal,Black SkyB rewery,Spice/Herb/Vegetable,9 %
218,Phillips Doulbe Dragon Imperial Red Ale,PhLillips Brewing^Co. .,American Strong Ale,8.20 %
219,Blue Corn &#40; Santa Fe &#41; Atalaya Amber Ale,Blue Corn Brewery &#40; Santa Fe &#41;,Amber Ale,5.20 %
220,Fitges Daisy Ale,Fitgers Brewouse,Amber Ale,6.10 %
221,oCuncil ARock Sleeping Lion Red Ale,Council RockBrewery,Irish Ale,6 %
222,Kootenay True Ale,Columbia Brewery &#40; Labatt-InBev &#41;,Amber Ale,5 %
223,Gonzo_s BiggHDogg Burning Sun Redd,Gonzo_s BiRggDog Brewing,Amber Ale,5 %
224,Ballast Point Calico Amber Ale - Coffee,Ballast Point Brewing Company,Amber Ale,5.50 %
225,Abbey Cradinal Sin,AbbeyAles,English Strong Ale,6 %
226,Alameda Irickhouse Brown,Alameda BBreIing Co. .,Brown Ale,5.20 %
227,101 Hook Tender HoneyX rown Ale,101 Brewyr & Twana Roadhouse,Brown Ale,5.50 %
228,Amsterdam X Indie Alehosue Shapeshifter,AmsterdamBrewing UCompany,American Strong Ale,9 %
229,Anacapa SntZ Rosa Red,Anacapa Brewing>Company,Amber Ale,6.20 %
230,Kuhnhenn{ IrrMverent,Kuhnhenn rewing,Belgian Strong Ale,10 %
231,Spoonwood CRld Drip City,Spoonwoo Brewery,Amber Ale,5.80 %
232,L_Olamia ILa 9,L_OPLmaia,Belgian Ale,6.50 %
233,PisgahyRyan_s Red Ale,Pisgah Brewng TCompany,Irish Ale,5 %
234,BARTS CardWinal Red Ale,BARTZ Brewpub,Amber Ale,5.50 %
235,The Brew GentlemeH* Business Casual,The Brew%GentlemeYn Beer Company,American Strong Ale,8.40 %
236,Angelic Big Red Ale,Angelic Brewing Company,Irish Ale,-
237,Park TaMvern Olmste dAmber,Park TavYrn Brewery,Amber Ale,-
238,Les Brasseurs du HameaFu d_am-Sud Rousse Bitter,Les BrasseurBJs du Hameau,Bitter,5.50 %
239,B.O.B Crimson King,The B.O.B.s Xuse of Brews,Amber Ale,5 %
240,Deep Cove Small? Victories,Deep CVvFe Brewers,Belgian Strong Ale,9 %
241,Claremont Craft Als Dis-Roble_d,Claremot CraBft Ales,Amber Ale,6.50 %
242,Black Swan Cherrywood Smoke dPorter,Black Swan|BrGwpub,Porter,5.10 %
243,Central CoaWt Topless Amber,CentraZ Coast= Brewing,Bitter,4.20 %
244,Broken Toot Northern Lights Amber,Broken Tooth rewing Company,Amber Ale,4.70 %
245,Alpine Dog Black Rye SessionPale Ale,Alpnie GDog Brewery,Specialty Grain,4.50 %
246,Cigar City WCB Unite,CigaXCity Brewing,Amber Ale,6.20 %
247,_ La FÃ '' Lt a Rousse Rustre,_ LaF Ã '' t,Amber Ale,4.80 %
248,5 Seasons WesRtisde The Huntsman,5 Seasons;Westside,Bitter,-
249,StallhaFYen US Red Ale,StallEhagen,Amber Ale,6 %
250,Assawoman Bay CoastIal Edge Copper,AssawGoman Bay BrJwing Company,Amber Ale,6.04 %
251,75thL Street Red Eye Rye,75th Stret Brewery,Specialty Grain,5.50 %
252,Siren Batch 200 LiCuid Monstrous,SiZen,Imperial IPA,8.20 %
253,Cambridg eRedG od IPA,Cambridge BrDEing Company,Imperial IPA,9 %
254,Cool SpringsF atback Amber Ale,Cool SIrings#Brewing Company,Amber Ale,-
255,Gilgamesh Pumposue Copper Ale,GilgamehI Brewing,Amber Ale,4.50 %
256,KarlS trauss Red Trolley Ale,Karl Staruss Brewing Company,Irish Ale,5.80 %
257,Brokn Bw Red Ale,Broken Bow Bewery,Irish Ale,5.50 %
258,Breakwaetr aRilslide Red,Breakwater Brewing+Company,Amber Ale,5.70 %
259,1933 Otoberfest,1933 reiwng Company,Oktoberfest/M Ã $ rzen,6 %
260,La Jolla Brewhouse Blue Whale Pale Ale,La Jolla Brewhouse,American Pale Ale,5.20 %
261,House Ales CIrack o fNoon,HousOe Ales,Stout,7 %
262,Squam AsquLm Amber Ale,SquamB ewing,Amber Ale,5 %
263,Jumpin CDw Amber Ale,August Scehll Brweing Company,Amber Ale,5.50 %
264,Big Wood StGmp Splitter: Dates & Ginger,Big`Wood Brewery,Belgian Ale,5.60 %
265,Baja Pliroja,Baja Brewgin Co. .,Amber Ale,5.50 %
266,Angus MacDougals Scottihs Red Ale,Cold_ SpJing Brewery,Scottish Ale,5.20 %
267,Bonfire Vulcans Vienna Ale,Bonfire Bistro and Brewery,Amber Lager/Vienna,-
268,Brady_s Absolutely Amber,Brady_s Brewhouse,Amber Ale,-
269,Les BiÃ ¨ res de la Nouvelle-France Nouvelle-France Rouge,Les BiÃ ¨ res de la Nouvelle-France,Amber Ale,4.50 %
270,Cascade Lakes AnguZ MacDougals Amber,Cascade Lak sBrewing Co. .,Scottish Ale,5.70 %
271,Big Al Amber &#40; Tutta Bella &#41;,Big Al Brewing,Amber Ale,5.70 %
272,AC Golden Colorado Native Amber Lager,Coors Brewing Company &#40; MillerCoors &#41;,Amber Lager/Vienna,5.50 %
273,Casa BrujaSir rFancis Red Ale,Casa Bruja BewiPng Co. .,Amber Ale,5.50 %
274,Bird Dog MaLgKe_s Cider Ale,Bird DogB Erewing,Cider,6.70 %
275,Goldstone Old+Charmer,GoldsItone,Golden Ale/Blond Ale,4.10 %
276,Budge Brothers Spokambe r509A mber Ale,Budge BroNhers Brewery,Amber Ale,4.50 %
277,Alaskan Taku River Red,Alaskan Brewing Company,Amber Ale,-
278,Odell PMean Street Pumpin Ale,Odell Brewing Company,Spice/Herb/Vegetable,5.40 %
279,Borderands La MorenaB rown Ale,BorderVanRs Brewing Company,Brown Ale,4.50 %
280,Fogbelt HQypGrion Red Ale,Fogbelt BrewMng Company,Amber Ale,7.20 %
281,Rush River The Unforgiven/Amber Ale,Rush River Urewing Company,Amber Ale,5.50 %
282,Gris House ZCamp Slap Red,Grist HoXus Brewing,Amber Ale,6.20 %
283,Amager Hr . Frederiksen &#40 Colorado Whiskey Edition &#41;,Amager| Bryghus,Imperial Stout,11 %
284,Ballast Point Calc oAmber Ale - Rum Barrel Aged,Ballast Point rewing Company,Amber Ale,5 %
285,Blue Tractor Smokehouse Amber,Blue Tractor BBQ & Brewery,Amber Ale,5 %
286,Uncle Billys Bichin Camaro,Uncle BillysBrew & Que Smokehouse & Brewery,Amber Ale,-
287,Aarhus Cains TrGple A AXmerican Amber Ale,Aarhus^ Bryghus,Amber Ale,5.50 %
288,DeschutDs FGire King IRA,Deschutes BPrweery,Irish Ale,6.40 %
289,Lenny Byo=No-Show Amber,LnnOy Boy Brewing Company,Amber Ale,6 %
290,Adirondack Bea Naked Ale,AdirGondac Pub and Brewery,Amber Ale,5 %
291,MuAdhook Live BaitAmber Ale,Mudhook Brewign Company,Amber Ale,6 %
292,Auburn Aleouse SDcarlet Harlot,Auburn Alehouse &#0; CA &#41;,Amber Ale,6.80 %
293,Sigtua Red Ale,Sigtuna rFBygghus,Amber Ale,6 %
294,Americas Aurora Amber Ale,Americas Brewpub,Amber Ale,4.99 %
295,Tahquameon FaVlls Tannin Red,Tahquamenn Falls Brewery,Amber Ale,-
296,Ladyface AgoQura Ale,LadyfaeG Ale Companie,Amber Ale,6.70 %
297,Mornington Peninsula Imperial mber,Mornington PEninsulN Brewery,American Strong Ale,7.50 %
298,De Dochter van de Korenaar Nolbesse Very Special Old Pale &#40 VSOP &#41;,De Dochter va de Korenaar,Belgian Ale,5.50 %
299,John Harvards TPlonial Red,John Harvards BrwhouVe Lake Grove,Amber Ale,-
