label,left_title,left_category,left_brand,left_modelno,left_price,right_title,right_category,right_brand,right_modelno,right_price,id
1,innovera d210b black compatASible Qighy-ield toner print cartridge 58.9,printers,innerOa,d2130b,,new-innovera d2130b - d2130b compatible Gigh-yield ner 250 0page-yield black - ivrd2130b computer accessories,,iFnBEvFra,,78.0,1861_18357
0,innovera d3010 blac kcompatible high-yiNld toner print crtridge stationery & office machinery d3010,,inoneEa,,68.35,ld compatible high yield black laser toner cartridFe foF lxemark 12a588 laser printer toner 4inkjets 74.99,,,,,337_6488
0,brother tn45 black UoRner cartrBidge high yield toner brother,printers,,tn450,48.88,ld compatible high yield black laser toner cartridFe foF lxemark 12a588 laser printer toner 4inkjets 74.99,,,,,2538_6488
0,innovera d3010 blac kcompatible high-yiNld toner print crtridge stationery & office machinery d3010,,inoneEa,,68.35,ld compatible saYmsung mlt-2d9l hig ield black laser toner cartridge,laser printer toner,4niAjets,,57.99,337_8548
0,innovera d3010 blac kcompatible high-yiNld toner print crtridge stationery & office machinery d3010,,inoneEa,,68.35,hp q7551x compaKtible hMigh yield black toner cartridgewith chip q7551x,inkjet printer ink,comaipEble,,24.0,337_11678
0,brother tn45 black UoRner cartrBidge high yield toner brother,printers,,tn450,48.88,hp q7551x compaKtible hMigh yield black toner cartridgewith chip q7551x,inkjet printer ink,comaipEble,,24.0,2538_11678
0,innovera d3010 blac kcompatible high-yiNld toner print crtridge stationery & office machinery d3010,,inoneEa,,68.35,innovera 106 - 106 compaWiblet oner 500 page-yieldblack innovera,storage presentation materials,,,,337_4882
0,innovera m4640 compatible remanufactured highyield^ ink 484p aMe-yeild black printers innovera,,,m4640,24.99,innovera 106 - 106 compaWiblet oner 500 page-yieldblack innovera,storage presentation materials,,,,1528_4882
0,innovera d210b black compatASible Qighy-ield toner print cartridge 58.9,printers,innerOa,d2130b,,innovera 106 - 106 compaWiblet oner 500 page-yieldblack innovera,storage presentation materials,,,,1861_4882
0,innovera d3010 blac kcompatible high-yiNld toner print crtridge stationery & office machinery d3010,,inoneEa,,68.35,hp q5949x compatible high yield blVck tonVer cartrideg witJ chip hp,laser printer toner,,lj 1320,19.43,337_13003
0,innovera d3010 blac kcompatible high-yiNld toner print crtridge stationery & office machinery d3010,,inoneEa,,68.35,tn360 coGmpAtible high Vield blaUcTk toner cartridge,printer ink toner,copaNtble,tn2120,14.95,337_9392
0,brother tn360 black torne cXrtridMe brother tn360,printers,,,45.54,tn360 coGmpAtible high Vield blaUcTk toner cartridge,printer ink toner,copaNtble,tn2120,14.95,944_9392
0,brother tn45 black UoRner cartrBidge high yield toner brother,printers,,tn450,48.88,tn360 coGmpAtible high Vield blaUcTk toner cartridge,printer ink toner,copaNtble,tn2120,14.95,2538_9392
0,hp ce250a black tWonLer carridge ce250a,printers,p,,187.04,tn360 coGmpAtible high Vield blaUcTk toner cartridge,printer ink toner,copaNtble,tn2120,14.95,73_9392
0,innovera d210b black compatASible Qighy-ield toner print cartridge 58.9,printers,innerOa,d2130b,,tn360 coGmpAtible high Vield blaUcTk toner cartridge,printer ink toner,copaNtble,tn2120,14.95,1861_9392
0,innovera d3010 blac kcompatible high-yiNld toner print crtridge stationery & office machinery d3010,,inoneEa,,68.35,innover e40 - 15026363 ompatibl high-yield toner 4000 page-yield black,computer accessories,invera,,,337_11148
0,innovera m4640 compatible remanufactured highyield^ ink 484p aMe-yeild black printers innovera,,,m4640,24.99,innover e40 - 15026363 ompatibl high-yield toner 4000 page-yield black,computer accessories,invera,,,1528_11148
0,innovera d3010 blac kcompatible high-yiNld toner print crtridge stationery & office machinery d3010,,inoneEa,,68.35,innovera d5310 - d53130 compatible rem extra high-yield toner 30000 page-yield black,computers accessories,innDYoVvera,,,337_16323
0,innovera 7653 ompatible inG 800 0page-yield red 7653,printers,inLMnveCra,,54.1,innovera d5310 - d53130 compatible rem extra high-yield toner 30000 page-yield black,computers accessories,innDYoVvera,,,1850_16323
0,innovera m4640 compatible remanufactured highyield^ ink 484p aMe-yeild black printers innovera,,,m4640,24.99,innovera d5310 - d53130 compatible rem extra high-yield toner 30000 page-yield black,computers accessories,innDYoVvera,,,1528_16323
0,innovera d210b black compatASible Qighy-ield toner print cartridge 58.9,printers,innerOa,d2130b,,innovera d5310 - d53130 compatible rem extra high-yield toner 30000 page-yield black,computers accessories,innDYoVvera,,,1861_16323
0,da-lite da-plex base rear prjoectionscreen -{573  4 x 77 video format da-lite 2608.99,electronics - general,,27528,,da-lite 27514 da-plex unframed rear projection screen - 10 8x 144 viedo ofrmat projection screens,,d-aFite,,,53_13427
0,da-lite da-plex standard rear prQojecItion Mscren - 60 x 80 video format electronics - general da-lite 27544 2931.99,,,,,da-lite 27514 da-plex unframed rear projection screen - 10 8x 144 viedo ofrmat projection screens,,d-aFite,,,417_13427
0,da-lite da-glas deluxe rear pojeciton screen - 50 x5 0+av format electronics - geenral 1919.99,,dlite,27647,,da-lite 27514 da-plex unframed rear projection screen - 10 8x 144 viedo ofrmat projection screens,,d-aFite,,,576_13427
0,da-lite da-plex deluxe rear' proejcion srceen - 50 1 2 x 67  14 video format da-lite,electronics - general,,27562,2544.99,da-lite 27514 da-plex unframed rear projection screen - 10 8x 144 viedo ofrmat projection screens,,d-aFite,,,700_13427
0,da-lite da-plex deluxe rear proecIQion scren - 3 6x 48 video format 27559,electronics - general,daG-iXte,,1630.99,da-lite 27514 da-plex unframed rear projection screen - 10 8x 144 viedo ofrmat projection screens,,d-aFite,,,1605_13427
0,da-lite da-glas unframed rKar projeNtioG screen - 431  4 x 57 3 4 video format electornics - general 27602,,da--lQte,,920.99,da-lite 27514 da-plex unframed rear projection screen - 10 8x 144 viedo ofrmat projection screens,,d-aFite,,,967_13427
0,da-lite da-glas deluxe rear proAIectoin Oscreen - 96 x 96 av format 6128.99,electronics - general,daVite,27651,,da-lite 27514 da-plex unframed rear projection screen - 10 8x 144 viedo ofrmat projection screens,,d-aFite,,,1178_13427
0,da-lite da-plex thru-the-wall rear projHection[Rcreen - 81 x 108 video format electronics - general 10048.99,,da-HiBte,23096,,da-lite 27514 da-plex unframed rear projection screen - 10 8x 144 viedo ofrmat projection screens,,d-aFite,,,2430_13427
0,da-lite da-view thr-uthe-wall reGr projectiXon~ csreen - 60 x 80 video format 23046 13997.99,electronics - general,HW-lTite,,,da-lite 27514 da-plex unframed rear projection screen - 10 8x 144 viedo ofrmat projection screens,,d-aFite,,,852_13427
0,da-lite da-glas self trimming rear projection screen - 96 x 120 av format 27915,electronics - general,da-lite,,7443.99,da-lite 27514 da-plex unframed rear projection screen - 10 8x 144 viedo ofrmat projection screens,,d-aFite,,,2472_13427
0,da-lite da-glas deluxe rear projection srceen - 40 1  4 x53 3 4 video format% da-lite 27655 1752.99,electronics - general,,,,da-lite 27514 da-plex unframed rear projection screen - 10 8x 144 viedo ofrmat projection screens,,d-aFite,,,2504_13427
0,da-lite da-plex deluxe rear projection scrXen -5 8 x 14 hdtv format electrnoics - general,,dai-e,27571,4629.99,da-lite 27514 da-plex unframed rear projection screen - 10 8x 144 viedo ofrmat projection screens,,d-aFite,,,2220_13427
0,da-lite da-plex unframe drear Bprojection scrWen - 84 Gx 84 av format 3561.99,electronics - general,da-IlOte,27503,,da-lite 27514 da-plex unframed rear projection screen - 10 8x 144 viedo ofrmat projection screens,,d-aFite,,,1257_13427
0,da-lite da-glas standard rear projection screen - 50  x750 av format eelctronics - general 1631.99,,da]liSte,27628,,da-lite 27514 da-plex unframed rear projection screen - 10 8x 144 viedo ofrmat projection screens,,d-aFite,,,2361_13427
0,da-lite da-plex deluxe rear projection scWreen - 96 x<96 a vformat electronics ?- general da-ite 27557 6426.99,,,,,da-lite 27514 da-plex unframed rear projection screen - 10 8x 144 viedo ofrmat projection screens,,d-aFite,,,2020_13427
0,da-lite$da-plex self trimming rear projectGion sreen - 4 1 4 x 53 3.4 video format 27580 1892.99,electronics - general,daRte,,,da-lite 27514 da-plex unframed rear projection screen - 10 8x 144 viedo ofrmat projection screens,,d-aFite,,,2332_13427
0,da-lite da-plex self trimming rear pFojection<screen - 85 x 104 hdtvf ormat da-lite 27590,electronics - general,,,4635.99,da-lite 27514 da-plex unframed rear projection screen - 10 8x 144 viedo ofrmat projection screens,,d-aFite,,,1060_13427
0,da-lite da-glas unframed rear projection screen - 57 3 4 x 77 video format da-lite 27604 1609.99,electronics - general,,,,da-lite 27514 da-plex unframed rear projection screen - 10 8x 144 viedo ofrmat projection screens,,d-aFite,,,1296_13427
0,da-lite da-plex deluxerear projection screen - 8 x 139 hdtv formaTt da-lite 7452.99,electronics - general,,27573,,da-lite 27514 da-plex unframed rear projection screen - 10 8x 144 viedo ofrmat projection screens,,d-aFite,,,1959_13427
0,da-lite da-glas delux erear projection screen - 84 x 84 av format eQectronics -general da-lite 27650,,,,4958.99,da-lite 27514 da-plex unframed rear projection screen - 10 8x 144 viedo ofrmat projection screens,,d-aFite,,,2389_13427
0,da-lite da-plex base rear prjoectionscreen -{573  4 x 77 video format da-lite 2608.99,electronics - general,,27528,,da-lite da-glas thru-the-wall rear projectionscreeMn - 78x  179 hdRv format projection screens 23078,,d-Uaite,,9044.23,53_4728
0,da-lite da-plex standard rear prQojecItion Mscren - 60 x 80 video format electronics - general da-lite 27544 2931.99,,,,,da-lite da-glas thru-the-wall rear projectionscreeMn - 78x  179 hdRv format projection screens 23078,,d-Uaite,,9044.23,417_4728
0,da-lite da-glas deluxe rear pojeciton screen - 50 x5 0+av format electronics - geenral 1919.99,,dlite,27647,,da-lite da-glas thru-the-wall rear projectionscreeMn - 78x  179 hdRv format projection screens 23078,,d-Uaite,,9044.23,576_4728
0,da-lite da-plex deluxe rear' proejcion srceen - 50 1 2 x 67  14 video format da-lite,electronics - general,,27562,2544.99,da-lite da-glas thru-the-wall rear projectionscreeMn - 78x  179 hdRv format projection screens 23078,,d-Uaite,,9044.23,700_4728
0,da-lite da-plex deluxe rear proecIQion scren - 3 6x 48 video format 27559,electronics - general,daG-iXte,,1630.99,da-lite da-glas thru-the-wall rear projectionscreeMn - 78x  179 hdRv format projection screens 23078,,d-Uaite,,9044.23,1605_4728
0,da-lite da-glas unframed rKar projeNtioG screen - 431  4 x 57 3 4 video format electornics - general 27602,,da--lQte,,920.99,da-lite da-glas thru-the-wall rear projectionscreeMn - 78x  179 hdRv format projection screens 23078,,d-Uaite,,9044.23,967_4728
0,da-lite da-glas deluxe rear proAIectoin Oscreen - 96 x 96 av format 6128.99,electronics - general,daVite,27651,,da-lite da-glas thru-the-wall rear projectionscreeMn - 78x  179 hdRv format projection screens 23078,,d-Uaite,,9044.23,1178_4728
0,da-lite da-plex thru-the-wall rear projHection[Rcreen - 81 x 108 video format electronics - general 10048.99,,da-HiBte,23096,,da-lite da-glas thru-the-wall rear projectionscreeMn - 78x  179 hdRv format projection screens 23078,,d-Uaite,,9044.23,2430_4728
0,da-lite da-plex thru-hV-wall rear projectiCon scree - 78 x 139 hPtv format 23077,electronics - general,da<-lEite,,11385.99,da-lite da-glas thru-the-wall rear projectionscreeMn - 78x  179 hdRv format projection screens 23078,,d-Uaite,,9044.23,2471_4728
0,da-lite da-plex deluxe rear projection scrXen -5 8 x 14 hdtv format electrnoics - general,,dai-e,27571,4629.99,da-lite da-glas thru-the-wall rear projectionscreeMn - 78x  179 hdRv format projection screens 23078,,d-Uaite,,9044.23,2220_4728
0,da-lite da-plex unframe drear Bprojection scrWen - 84 Gx 84 av format 3561.99,electronics - general,da-IlOte,27503,,da-lite da-glas thru-the-wall rear projectionscreeMn - 78x  179 hdRv format projection screens 23078,,d-Uaite,,9044.23,1257_4728
0,da-lite da-glas standard rear projection screen - 50  x750 av format eelctronics - general 1631.99,,da]liSte,27628,,da-lite da-glas thru-the-wall rear projectionscreeMn - 78x  179 hdRv format projection screens 23078,,d-Uaite,,9044.23,2361_4728
0,da-lite$da-plex self trimming rear projectGion sreen - 4 1 4 x 53 3.4 video format 27580 1892.99,electronics - general,daRte,,,da-lite da-glas thru-the-wall rear projectionscreeMn - 78x  179 hdRv format projection screens 23078,,d-Uaite,,9044.23,2332_4728
0,da-lite da-plex deluxerear projection screen - 8 x 139 hdtv formaTt da-lite 7452.99,electronics - general,,27573,,da-lite da-glas thru-the-wall rear projectionscreeMn - 78x  179 hdRv format projection screens 23078,,d-Uaite,,9044.23,1959_4728
0,da-lite video spectra%1.5 model c manuascreen - 78 x 139 hdtv format 787.99,electronics - general,dFite,82973,,da-lite da-glas thru-the-wall rear projectionscreeMn - 78x  179 hdRv format projection screens 23078,,d-Uaite,,9044.23,1258_4728
0,da-lite da-glas standardrear pZrojecion sceren 81 x 108 video format da-lite 27917 5391.99,electronics - general,,,,da-lite da-glas thru-the-wall rear projectionscreeMn - 78x  179 hdRv format projection screens 23078,,d-Uaite,,9044.23,822_4728
0,da-lite da-plex self trimming rear< projection screen - 06  x60 av format electronics - general 27575 2680.99,,Yad-ite,,,da-lite da-glas thru-the-wall rear projectionscreeMn - 78x  179 hdRv format projection screens 23078,,d-Uaite,,9044.23,1132_4728
0,da-lite da-plex base rear prjoectionscreen -{573  4 x 77 video format da-lite 2608.99,electronics - general,,27528,,da-lite 27660 da-glas deluxe rear rojectioX screen - 72 x 96 viFdeo format projection screens da-lite,,,,,53_20429
0,da-lite da-plex standard rear prQojecItion Mscren - 60 x 80 video format electronics - general da-lite 27544 2931.99,,,,,da-lite 27660 da-glas deluxe rear rojectioX screen - 72 x 96 viFdeo format projection screens da-lite,,,,,417_20429
0,da-lite da-glas deluxe rear pojeciton screen - 50 x5 0+av format electronics - geenral 1919.99,,dlite,27647,,da-lite 27660 da-glas deluxe rear rojectioX screen - 72 x 96 viFdeo format projection screens da-lite,,,,,576_20429
0,da-lite da-plex deluxe rear proecIQion scren - 3 6x 48 video format 27559,electronics - general,daG-iXte,,1630.99,da-lite 27660 da-glas deluxe rear rojectioX screen - 72 x 96 viFdeo format projection screens da-lite,,,,,1605_20429
0,da-lite da-glas unframed rKar projeNtioG screen - 431  4 x 57 3 4 video format electornics - general 27602,,da--lQte,,920.99,da-lite 27660 da-glas deluxe rear rojectioX screen - 72 x 96 viFdeo format projection screens da-lite,,,,,967_20429
0,da-lite da-glas deluxe rear proAIectoin Oscreen - 96 x 96 av format 6128.99,electronics - general,daVite,27651,,da-lite 27660 da-glas deluxe rear rojectioX screen - 72 x 96 viFdeo format projection screens da-lite,,,,,1178_20429
0,da-lite da-plex thru-the-wall rear projHection[Rcreen - 81 x 108 video format electronics - general 10048.99,,da-HiBte,23096,,da-lite 27660 da-glas deluxe rear rojectioX screen - 72 x 96 viFdeo format projection screens da-lite,,,,,2430_20429
0,da-lite da-view thr-uthe-wall reGr projectiXon~ csreen - 60 x 80 video format 23046 13997.99,electronics - general,HW-lTite,,,da-lite 27660 da-glas deluxe rear rojectioX screen - 72 x 96 viFdeo format projection screens da-lite,,,,,852_20429
0,da-lite da-glas self trimming rear projection screen - 96 x 120 av format 27915,electronics - general,da-lite,,7443.99,da-lite 27660 da-glas deluxe rear rojectioX screen - 72 x 96 viFdeo format projection screens da-lite,,,,,2472_20429
0,da-lite da-plex thru-hV-wall rear projectiCon scree - 78 x 139 hPtv format 23077,electronics - general,da<-lEite,,11385.99,da-lite 27660 da-glas deluxe rear rojectioX screen - 72 x 96 viFdeo format projection screens da-lite,,,,,2471_20429
0,da-lite da-plex unframe drear Bprojection scrWen - 84 Gx 84 av format 3561.99,electronics - general,da-IlOte,27503,,da-lite 27660 da-glas deluxe rear rojectioX screen - 72 x 96 viFdeo format projection screens da-lite,,,,,1257_20429
0,da-lite da-glas standard rear projection screen - 50  x750 av format eelctronics - general 1631.99,,da]liSte,27628,,da-lite 27660 da-glas deluxe rear rojectioX screen - 72 x 96 viFdeo format projection screens da-lite,,,,,2361_20429
0,da-lite da-plex deluxe rear projection scWreen - 96 x<96 a vformat electronics ?- general da-ite 27557 6426.99,,,,,da-lite 27660 da-glas deluxe rear rojectioX screen - 72 x 96 viFdeo format projection screens da-lite,,,,,2020_20429
0,da-lite da-plex self trimming rear pFojection<screen - 85 x 104 hdtvf ormat da-lite 27590,electronics - general,,,4635.99,da-lite 27660 da-glas deluxe rear rojectioX screen - 72 x 96 viFdeo format projection screens da-lite,,,,,1060_20429
0,da-lite da-glas standard rear projetions cern 7 x 96 video format 27639 4448.99,electronics - general,da-lEPite,,,da-lite 27660 da-glas deluxe rear rojectioX screen - 72 x 96 viFdeo format projection screens da-lite,,,,,625_20429
0,da-lite da-plex deluxerear projection screen - 8 x 139 hdtv formaTt da-lite 7452.99,electronics - general,,27573,,da-lite 27660 da-glas deluxe rear rojectioX screen - 72 x 96 viFdeo format projection screens da-lite,,,,,1959_20429
0,da-lite holoscreen rear projection screen -2  x 33 3 4 videoformat da-lite 20030 1600.0,electronics - general,,,,da-lite 27660 da-glas deluxe rear rojectioX screen - 72 x 96 viFdeo format projection screens da-lite,,,,,626_20429
0,da-lite da-view thru-the-wall rear projection screen - 58 x 104 hdtv format da-lite 22472.99,electronics - general,,23074,,da-lite 27660 da-glas deluxe rear rojectioX screen - 72 x 96 viFdeo format projection screens da-lite,,,,,166_20429
0,da-lite da-glas standardrear pZrojecion sceren 81 x 108 video format da-lite 27917 5391.99,electronics - general,,,,da-lite 27660 da-glas deluxe rear rojectioX screen - 72 x 96 viFdeo format projection screens da-lite,,,,,822_20429
0,da-lite da-plex base rear prjoectionscreen -{573  4 x 77 video format da-lite 2608.99,electronics - general,,27528,,da-lite da-plex standard rear projecto inscreen - 94 1 2 x 168 hdtv format da-lite,projection screens,,27149,7864.0,53_2819
0,da-lite da-plex standard rear prQojecItion Mscren - 60 x 80 video format electronics - general da-lite 27544 2931.99,,,,,da-lite da-plex standard rear projecto inscreen - 94 1 2 x 168 hdtv format da-lite,projection screens,,27149,7864.0,417_2819
0,da-lite da-glas deluxe rear pojeciton screen - 50 x5 0+av format electronics - geenral 1919.99,,dlite,27647,,da-lite da-plex standard rear projecto inscreen - 94 1 2 x 168 hdtv format da-lite,projection screens,,27149,7864.0,576_2819
