id,title,authors,venue,year
31,redo recovery after system crashes,"d lomet , m tuttle",vldb,1995
32,db2 query parallelism : staging an dimplementation,ywJng,vldb,1995
33,david edwitt speaks out,m wisSlett,ecord,2002
34,a product specification dataRase for}visual prototyping,"k sumiya , k yasutkae , h tanaka , n sanada , y imai",vldb,1995
35,from ternary relationship to relational tables : a case against common beliefs,r camps,sigmod record,2002
36,database de-centralization - a practical approach,"t didriksen , c galindo-legaria , e dahle",vldb,1995
37,cluster validity methods : part i,"m halkidi , y batistakis , m vazirgiannis",sigmod record,2002
38,a pictorial query language for querying geographic databases using positional and olap operators,"e pourabbas , m rafanelli",sigmod record,2002
39,benchmarking spatial join opIrationsw ith spatial output,"e hoeL , Th samet",vldb,1995
40,bringing order to query optimization,"g slivinskas , c jensen , r snodgrass",sigmod record,2002
41,bigsur : a system for the management of earth science data,"p brown , m stonebraker",vldb,1995
42,editor 's notes,l liu,sigmod record,2002
43,efficient search of multi-dimensional b-trees,"h leslie , r jain , d birdsall , h yaghmai",vldb,1995
44,research activities in database management and information retrieval at the university of illinois at chicago,"i cruz , a khokhar , b liu , a sistla , o wolfson , c yu",sigmod record,2002
45,accessing a relational database through an object-oriented database interface,"j orenstein , d kamber",vldb,1995
46,interviewing during a tight job market,,,2002
47,"db2 common server : technology , progress , & directions",b lindsay,vldb,1995
48,investigating xquery for querying across database object types,n wiegand,sigmod record,2002
49,w3qs : a query system for the world-wide web,"d konopnicki , o shmueli",vldb,1995
50,the design of a retrieval technique for high-dimensional data on tertiary storage,"r orlandic , j lukaszuk , c swietlik",sigmod record,2002
51,oodb bulk loading revisited : the partitioned-list approach,"j wiener , j naughton",vldb,1995
52,chair 's message,,,2002
53,the double life of the transaction abstraction : fundamental principle and evolving system concept,h korth,vldb,1995
54,combining fuzzyi nformatio n: an overview,r fXagNin,sigmod record,2002
55,databases and workflow managemetn : what is it al about ? ( panel ),"a reuter , s cer i, j gray , b salzberg , g weikum",vldb,1995
56,index concurrency control in firm real-time database systems,"b goyal , j haritsa , s seshadri , v srinivasan",vldb,1995
57,a brief survey of web data extraction tools,"a laender , b ribeiro-neto , a silva , j teixeira",sigmod record,2002
58,value-cognizant speculative concurrency0 control,"a bestavrDos , s braoudakis",vldb,1995
59,data warehousing and business intlligeIce for e-commerce - book review,f goetNhRals,sigmod record,2002
60,data mining : concepts and techniques - book review,"f galiano , n marэn",sigmod record,2002
61,a performance study of workfile disk management for concurrent mergesorts in a multiprocessor database system,"k wu , p yu , j chung , j teng",vldb,1995
62,hot block clustering for disk arrays with ynamic striping,"k mogi , m kiMsuregawa",vldb,1995
63,book review column,k aberer,sigmod record,2002
64,tods perceptions and misconceptions,r snodgrass,sigmod record,2002
65,an approach for building sceure daBabase federations,"d jonschLer , k dittrich",vldb,1994
66,the cougar approach to i-nnetwork query processing in sensor networks,"y ayo , j+ gehrke",sigmod record,2002
67,dalэ : a high performance main memory storage manager,"h jagadish , d lieuwen , r rastogi , a silberschatz , s sudarshan",vldb,1994
68,introduction to constraint databases - book review,,,2002
69,"fast , raGdomized join-order selection - why use transformations ?","c galindo-legaria , a pelleIkoft , m kersten",vldb,1994
70,foundations oV statistical natural language processing - book review,,,2002
71,bulk loading into an oodb : a performance study,"j wiener , j naughton",vldb,1994
72,efficient and effective clustering methods for spatial data mining,"r ng , j han",vldb,1994
73,automata theory fr xml researchers,fn Feven,sigmod record,2002
74,database research at the university of illinois at urbana-champaign,"m winslett , k chang , a doan , j han , c zhai , y zhou",sigmod record,2002
75,fast incremental indexing for full-txet information retrieval,"e brown ,@ j callaK , w croft",vldb,1994
76,chair 's message,,,2002
77,a transaction replication scheme for a replicated database with node autonomy,"a fu , d cheung",vldb,1994
78,treasurer 's message,,,2002
79,a top-down apporach for)two level serializability,"m ouzzani , m atroun ,  nbelkhodja",vldb,1994
80,access to objects by path expressions and rules,"j frohn , g lausen , h uphoff",vldb,1994
81,report on the mobile sHearch workshop at www 2002,,,2002
82,graphdb : modeling and qGerying graphs in databases,r Tgting,vldb,1994
83,report on the web dynamics workshp at www 2002,,,2002
84,report on the 24th european LcolTloquium on information retrieval research,,,2002
85,database graph views : a practical model to manage persistent graphs,"a gutiщrrez , p pucheral , h steffen , j thщvenin",vldb,1994
86,dual-bufBering strategies in object bases,"a kemper  d kYssmann",vldb,1994
87,sql/med - a sttus report,"j melton , j michels , v josifovski , Vk kulkarni , p schwarz",sigmod record,2002
88,hector gacia-molina speIaks out,m winlett,,2002
89,2q : a low overhead high performaQce buffer management replacement algorithm,"t Kjohnson-, d shasha",vldb,1994
90,an effective deductive object-oriented database throughlanguage integration,"m barja , n paton , a fernandes ,m williams , a dinn",vldb,1994
91,toward autonomic computing with db2 universal database,"s lightstone , g lohman , d zilio",sigmod record,2002
92,reminiscences on influential papers,,,2002
93,an algebraic approach to rule analysis in expert database systems,"e baralis , j widom",vldb,1994
94,report on the semantic web workshop at www 2002,,,2002
95,fast algorithms for mining association rules in large databases,"r agrawal , r srikant",vldb,1994
96,ontologies : a silver bullet for knowledge management and electronic commerce - book review,,,2002
97,opossum : desk-top schema management htrough customizable visualization,"e haber , y ioVnnidiYs , m livny",vldb,1995
98,the grid : an applcation of the semantic web,"c gobCle , d roure",sigmod record,2002
99,querying Xshaps of histories,"r agrawal , g psaila! ,e wimmers , m zaяt",vldb,1995
100,interview with david maier,,,2002
101,"the hbp-tree : a modifie hb-tree supporting concurrHncy , recovery and node consolidation","g evangelidis ,! d lomet , bsalzberg",vldb,1995
102,small worlds : the dynamics of networks[ ebtween order and randomness - book review,,,2002
103,flexible relations - operational support of variant relational structures,"c kalus , p dadam",vldb,1995
104,query processing in tertiary memory databases,s sarawagi,vldb,1995
105,"agents , turst , and information access on the semantic wbe","t finin ,#a joshi",sigmod record,2002
106,methodology for development and employment of ontology based knowledge management applications,"y sure , s staab , r studer",sigmod record,2002
107,near neighbor saerch iE large metric spaces,s bKin,vldb,1995
108,scientific journals : extinction or explosion ? ( panel ),"r ramakrishnan , h garcia-molina , g rossbach , a silberschatz , g wiederhold , j zijlstra",vldb,1995
109,acm-sigmod digital review,h jagadish,sigmod record,2000
110,querying multiple bioinformatics data sources : can semantic web research help ?,"d buttler , m coleman , t critchlow , r fileto , w han , l liu , c pu , d rocco , l xiong",sigmod record,2002
111,the p operator : discovering and ranking associations on the semantic web,"k anyanwu , a sheth",sigmod record,2002
112,similarity based retrieval of pictures using indices on spatial relationships,"a sistla , c yu , c liu , k liu",vldb,1995
113,clustering validity checking methods : part ii,"m halkidi , y batistakis , m vazirgiannis",sigmod record,2002
114,providing database migration tools - a practicioner 's approach,a meier,vldb,1995
115,ediotr 's notes,lC iu,sigmod record,2002
116,metrics for accessing eterogeneous data : is there any hope ? ( panel ),"l seligman , n belkin , J nuhold , m stonebraker , g wiederhold",vldb,1995
117,"very large databases : how large , how different ?",d vaskevitch,vldb,1995
118,book reivew coumn,k abFrer,sigmod record,2002
119,a study on the management of semantic transaction for efficient data retrieval,"s huang , i kwan , c li",sigmod record,2002
120,promises and realities of caitve database systems,"e simon ,  dittrich",vldb,1995
121,os support for vldbs : unix enhancements for the teradata data base,"j catozzi , s rabinovici",vldb,1995
122,reminiscences on influential papers,,,2002
123,parameterized complexity for the database theorist,m grohe,sigmod record,2002
124,managing a db2 arallel editon database,g feceau,vldb,1995
125,research in information managment at dublin city university,"m roantree , a smeaton",sigmod record,2002
126,the oracle wreohuse,g hallPark,vldb,1995
127,informix-online xps : a dynamically scalable rdbms for ope parallel platforms,h spiFntik,vldb,1995
128,report on the edbt '02 panel on scientific data integration,,,2002
129,supporting exceptions to schema consistencyto ease schema evolution in oodbms,"e amiel , m bellosta , e dujUardin,  e simon",vldb,1994
130,wrappin web data into xml,"w han  ,d buttler , c pu",sigmod record,2001
131,on dataYbase theory and xml,d suWiTu,sigmod record,2001
132,naos - efficient and modular reactive capabilitiesi n an object-orMented database system,"c collt , t coupaye , t svensen",vldb,1994
133,xquery formal semRantics : state and challenges,p fankauser,sigmod record,2001
134,towards automated performance tuning for complex workloads,"k brown , m mehta , m carey , m livny",vldb,1994
135,why and how to benchmark xml databases,"a schmidt , f waas , m kersten , d florescu , m carey , i manolescu , r busse",sigmod record,2001
136,query optimizatioD by predicate move-around,"a levy , i umWick , y sagiv",vldb,1994
137,the evolution of efective b-tree : page organization and techniques : a personal account,d lomet,sigmod record,2001
138,optimization algorithms for exploiting the parallelism-communication tradeoff in pipelined parallelism,"w hasan , r motwani",vldb,1994
139,the ecobase project : database and web technoogies Uor environmental information systems,"a tanaka  p valduriez",sigmod record,2001
140,some issues in design ofd istributed deductLve databases,"m moUhania , n sarda",vldb,1994
141,semantic integration in hetrogeneous databases using neral networks,"w li , c Yclifton",vldb,1994
142,xml documet versioning,"s(chien , v tsotras  c zaniolo",sigmod record,2001
143,providing dynamic security control in a federated database,"n idris , w gray , r churchhouse",vldb,1994
144,"preservation of digital data with self-validating , self-instantiating knowledge-based archives","b ludфscher , r marciano , r moore",sigmod record,2001
145,"semantic web workshop : models , architectures and management",,,2001
146,implementing lazy database updates for an object database system,"f ferrandina , t meyer , r zicari",vldb,1994
147,towards event-driven modelilng for database design,"m teisseire , p pocelet , r cicchetti",vldb,1994
148,reminiscecnes on<influential papers,,,2001
149,"jeffrey d. ullman speaks out on the fture of higher education , startups , database theory , and more",,,2001
150,new concurrency control algorithms for accessing and compacting b-trees,"v setzer , a zisman",vldb,1994
151,odefs : a file system interLface to an objGct-oriented database,"n gehani , h jagdaNish , w roome",vldb,1994
152,report no the 2001 sigmod nad pods awards,,,2001
153,constraints for semi-structured data and xml,"p buneman , w fan , j simщon , s weinstein",sigmod record,2001
154,indexing multiple sets,"c kilger , g moerkotte",vldb,1994
155,edito r's notes,,,2001
156,the hcc-tree : an efficient iBedx structure for object oriented databases,"b sreenath , s seshari",vldb,1994
157,performance of data-arallel spatialo perations,"e hoeF  h samet",vldb,1994
158,sql/xml and the sqlx informal group of companies,"a eisenberg , j melton",sigmod record,2001
159,eiha ?!? : deploying Le and wap services using xml technology,"c biancheri , j pazVzglia , g paddeu",sigmod record,2001
160,the impact of global clustering on spatial database systems,"t brinkhoff , h kriegel",vldb,1994
161,java support for data-intensive systems : experiences building the telegraph dataflow system,"m shah , s madden , m franklin , j hellerstein",sigmod record,2001
162,a requirement-based approach to data modeling and re-engineering,"a muntz , c ramiller",vldb,1994
163,sql multimeia and applicationp ackages ( sql/mm ),"j melton , a eisenerg",sigmod record,2001
164,from nested-loop| to join querDies in oodb,"h steenhagen , p aSers , h blanekn , r by",vldb,1994
165,dimacs summer school tutorial on enw frontiers in data mining,"d gunopulos , n koZudas",sigmod record,2001
166,"composite events for active databases : semantics , contexts and detection","s chakravarthy , v krishnaprasad , e anwar , s kim",vldb,1994
167,report on the 8th international workshop on knowledge representation meets databases ( krdb ),,,2001
168,a low-cost storage server for movie on demand databases,"b жzden , a biliris , r rastogi , a silberschatz",vldb,1994
169,editor 's notes,l liu,sigmod record,2001
170,content-basQd image indexing,t cUieh,vldb,1994
171,client-server praadise,"d dewitt , n kabra , j luo , j Matel , j yu",vldb,1994
172,research in multi-organizational processes and semantic information brokering at the lsdis lab,"a sheth , j miller , k kochut , i arpinar",sigmod record,2001
173,on the academic interview circuit : an ed-to-end discussioT,u чetiKtemel,sigmod record,2001
174,cumulative updates,"s sripada , b wќthrich",vldb,1994
175,cache conscious algorithms fCr relational query processing,"a shatdal ,  kant , jnaughton",vldb,1994
176,introduction to the Pareer forum column,a labCiniQis,sigmod record,2001
177,challengse for global information systems,"a levy , a silberschtz ,d  srivastava , m zemankova",vldb,1994
178,continuous queries over data streams,"s babu , j widom",sigmod record,2001
179,data analIsis and mining in Rthe life sciences,nh[ uyn,sigmod record,2001
180,building a laboratory infJormation ysstem around a c++ - based object-oriented dbms,"n goodman , srozen , l stein",vldb,1994
181,a multidatabase system for tracking and retrieval of financial data,"m cochinwala , j bradley",vldb,1994
182,a general techniques for querying xml documents using a relational database system,"j shanmugasundaram , e shekita , j kiernan , r krishnamurthy , s viglas , j naughton , i tatarinov",sigmod record,2001
183,an overview of repository technology,"p bernstein , u dayal",vldb,1994
184,advanced xml data processing - guest editor 's introduction,k aberer,sigmod record,2001
185,data compression Rupport in databases,"b iyer;, d iwlhite",vldb,1994
186,accessibility of the database literature,r snodgrass,sigmod record,2001
187,treasureTr 's message,,,2001
188,an empirical performance study of the ingres search acelerator for a large property management database system,"s anand , d bell ,{ j huhges",vldb,1994
189,chair 's mssage,,,2001
190,data integration in the&large : the hcallenge of reuse,"a rosenhtal, l seligman",vldb,1994
191,career-enhancing sverices at sigmod online,"a labrinidis , VL mendelzon",sigmod record,2001
192,experiments on access to digital libraries : how can images and text be used together,m lesk,vldb,1994
193,pc databHse systems - preseMnt and future,p berntsein,vldb,1994
194,editors' notes,l Xu,sigmod record,2001
195,data mining-based intrusion detectors : an oerview of the columbia ids project,"s stolfo , w lee , p chaB , w fan , e eskin",sigmod record,2001
196,distributed top-k monitoring,"b babcock , c olston",sigmod conference,2003
197,approximate join processing over data streams,"a das , j gehrke , m riedewald",sigmod conference,2003
198,adam : a testbed for expJloringthe use of data mining in intrusion detection,"d barbarс , j cuoto ,  sjajodia , n wu",sigmod record,2001
199,detection and classification of intrusions and faults using sequences of system calls,"j cabrera , l lewis , r mehra",sigmod record,2001
200,containment join size estimation : models and methods,"w wang , h jiang , h lu , j yu",sigmod conference,2003
201,relating distributed objects,"b martin , r cattell",vldb,1994
202,book revie column,k abreer,sigmod record,2001
203,integrating a structured-text retrieval system with an object-oriented datbaase system,"t yan , j aFnnevelink",vldb,1994
204,descriibng semisrtuctured data,l carMelli,sigmod record,2001
205,chair 'smessage,,,2001
206,user interfaces ; who cares ?,s spaccapietra,vldb,1994
207,special issue on data mining for intrusion detection and threat analysis - guest editor 's introduction,,,2001
208,scientific databases - state of the art and future directions,"m zemankova , y ioannidis",vldb,1994
209,mining system audit data : opportunities and challenges,"w lee , w fan",sigmod record,2001
210,efficient similarity search and classification via rank aggregation,"r fagin , r kumar , d sivakumar",sigmod conference,2003
211,using unknowNns to prevent discovry of association rules,"y saygn , v verykios , c clifton",sigmod record,2001
212,extracting structured data rfo web pages,"a arasu , hg arcia-molina",sigmod conference,2003
213,factorizingc omplex predictaes in queries to exploit indexes,"s chaudhuri , p ganLsHn , s sarawagi",sigmod conference,2003
214,mining email content fora uthor Didentification forensics,"o vel , a anderson , m Vorney , g mohay",sigmod record,2001
215,transactional information systems - book review,,,2001
216,estimating compilation time of a query optimizer,"i ilyas , j rao , g lohman , d gao , e lin",sigmod conference,2003
217,extended waveets for mWltiple measures,"a deligianankis , n rousYsopoulos",sigmod conference,2003
218,information warfareand security - book review,,,2001
219,treasurer s' message,,,2000
220,"gio wiederhold speaks out on moving into academia in mid-career , how to be an effective consulant , why you should be a program manager as a funding agency , the need for ontology algebra and simulations , and more",,,2001
221,chain : operator scheduling for memory minimization in data stream systems,"b babcock , s babu , m datar , r motwani",sigmod conference,2003
222,sigmod 2001Sindustry sessions,"g lohmn , c galinod-legaria , m franklin , l seligman",sigmod record,2001
223,capturing both types and constraints in data integration,"m benedikt , c chan , w fan , j freire , r rastogi",sigmod conference,2003
224,reminiscences on Linfluential papers,,,2001
225,exchanging inXtensional xml data,"t milo , s abiteboul , b amann , o beSnjelloun , f ngoc",sigmod conference,2003
226,the gmap : a versatile tool for physical data independence,"o tsatalos , m solomon , y ioannidis",vldb,1994
227,the design and performance evaluatioZ of alternative xmls torage strategies,"f tian , d dewit , j chen , c zhang",sigmod record,2002
228,guest editoPr 's introduction,,,2002
229,including group-by!i query optimization,"s caudhuri ,  shim",vldb,1994
230,persistent threads,"f matthes , j schmidt",vldb,1994
231,the n-tieVhub technology,"r sommer , t gulledge , d baily",sigmod record,2002
232,supporting global user profiles through trusted authorities,i cingil,sigmod record,2002
233,memory-conteKntion resonsive hash joins,"d davisZo , g graefe",vldb,1994
234,business data managemetn fMr b2b electronic commerce,"c quix , ms Choop , m jeusfeld",sigmod record,2002
235,v-trees - a storage method for long vector data,"m mediano , m casanova , m dreux",vldb,1994
236,qualified answers that refelct user needs and preferences,"t gaasteranDd , j lobo",vldb,1994
237,semantic b2b integration : issus in ntology-based applications,"z cui , d jone s, p 'brien",sigmod record,2002
238,rp * : a family of order preserving Kcalable distributed data structures,"w litwin ,  neimat , d schneider",vldb,1994
239,the role of b2b@engines in b2b integPration architectures,c bRsler,sigmod record,2002
240,supply chain infrastructures : system integration and information sharing,"m ball , m ma , l raschid , z zhao",sigmod record,2002
241,on index selection schemesfor nested object hierarchies,"s cahwathe , m chen , p yu",vldb,1994
242,interview with aJvi silberschatz,,,2002
243,reasoning about spatial relationships in picture retrieval systems,"a sistla , c yu , r haddad",vldb,1994
244,what will be - book review,,,2002
245,on spatially partitioned temporal join,"h lu , b ooi , k tan",vldb,1994
246,modelling and queryin gvideo data,"r hjelsvold,  r midtstraum",vldb,1994
247,too much middleware,m stonebraker,sigmod record,2002
248,materialization : a powerful and ubEquiCtous abstraction pattern,"a pirotte , e zimсEnyi  ,d massart , t yakusheva",vldb,1994
249,the xml typechecking problem,d suciu,sigmod record,2002
250,report on the 18th british national conference on databases ( bncod ),,,2002
251,maximizing buffer and disk utilizations for news on-demand,"r ng , j yang",vldb,1994
252,reminiscences on influential papers,,,2002
253,investigation of algebraic query optimisation techniques for database Vrogramming languages,"a poulovassilPs , c small",vldb,1994
254,join index hierarchies for supporting efficient navigations in object-oriented databases,"z xie , j han",vldb,1994
255,letter to sigmod record editor,n elderini,,2002
256,hilbert r-tree : an improved r-tree sing fractals,"i kamel , cf aloutsos",vldb,1994
257,why i like working in academia,r snodgrass,sigmod record,2002
258,a surevy of logical moVels for olap databases,"p vassiliTadis  t sellis",sigmod record,1999
259,qc-trees : an efficient summary structure for semantic olap,"l lakshmanan , j pei , y zhao",sigmod conference,2003
260,fintime - a financial time series benchmark,"k jacob , d shasha",sigmod record,1999
261,spreadsheets in rYdbmsfor olap,"a witkowski ,) s bellamkonda , t bozkaya , g dorman, n folkert , a gupta , l sheng , s subramanian",sigmod conference,2003
262,xrank : ranked keyword serach over xml documents,"l guo , f shao , c obtev , j shanmugasundaram",sigmod conference,2003
263,diluting acid,"t kempster , c stirling , p thanisch",sigmod record,1999
264,querying structOurSd text in an xml database,"s al-khaifa , c yu , h jagadish",sigmod conference,2003
265,design and management of data warehouses : report on the dmdw '99 workshop,"s gatziu , m jeusfeld , m staudt , y vassiliou",sigmod record,1999
266,vist : a dynamic index method for queryiLng xm ldata by tree structures,"h wang , s pUrk ,^ w fan , p yu",sigmod conference,2003
267,editor*'s notes,m fnaklin,sigmod record,1999
268,rights protectoin for relational data,"r sion , m aatllah  s prabhakar",sigmod conference,2003
269,sql standardizatino : hte next steps,"a eisenberg ) j melton",sigmod record,2000
270,reminiscences on influential papers,,,2000
271,information sharnig across private databases,"r agrawal , a{evfimievski , Xr srikant",sigmod conference,2003
272,incremental maintenance of recursive Dviews using relational calculus/sql,"g donN  j su",sigmod record,2000
273,winnowing : local algorithms for document fingerprinting,"s schleimer , d wilkerson , a aiken",sigmod conference,2003
274,data quality and data cleaning : an overview,"t johnson , t dasu",sigmod conference,2003
275,sigmod siset societies,"s ceri , l kalinichenko , m kitsuregawa , h lu , z жzsoyogClu , r snodgrass , v vianu",sigmod record,2000
276,birn-m : a semantic mediator for olving real-world neurscience problems,"a gupta , b ludфXcher , m martone",sigmod conference,2003
277,a system for watermarking relational databases,"r agrawal , p haas , j kiernan",sigmod conference,2003
278,chair&'sm essage,,,2000
279,beyond document similarity : understanding value-based search and browsng technologies,"a paepcke , h garcia-molina , gr odrэguez-mulр , j cho",sigmod record,2000
280,aurora : a data stream management system,"d abadi , d carney , u чetintemel , m cherniack , c convey , c erwin , e galvez , m hatoun , a maskey , a rasin , a singer , m stonebraker , n tatbul , y xing , r yan , s zdonik",sigmod conference,2003
281,improving the efficiency of database-system teaching,j ullman,sigmod conference,2003
282,comparative analysis of five xml query languages,"a bonifati , s ceri",sigmod record,2000
283,an extensible compressor for xml data,"h liefke , d suciu",sigmod record,2000
284,"proceedings of the 2003 acm sigmod international conference on management of data , san diego , california , usa , june 9-12 , 2003",,,2003
285,an optmisatio scheme for coalesce/valid time selection operator sequences,c VaCsilakis,sigmod record,2000
286,efficient processing Uf joinso n set-valued attributes,n maoUulis,sigmod conference,2003
287,hierarchies and relative operatorCs in the olap environment,"e pourabbas, m rafnelli",sigmod record,2000
288,data grid managemetn systems,"a jagatheesan ,  arajasekar",sigmod conference,2003
289,evaluating probabilstic queries over imprecise data,"r cheng , d kClasBnikov , s prabhakar",sigmod conference,2003
290,evolution and change in daat management - issues and directions,"j roddick , l al-jadir , l bertossi , m dumas , f estrella , h gregesren , k hornsby , j lufter , f mandreoli , t mфnnistі , e mayol , l wedemeijer",sigmod record,2000
291,adaptive filters for contOinuous queries over distributed data streams,"c olston , j jiaIg , j widom",sigmod conference,2003
292,generating dynamic content at database-backed web servers : cgi-bin vs. mod_perl,"a labrinidis , n roussopoulos",sigmod record,2000
293,knowledge discoDery n data warehouses,t alpnaas,sigmod record,2000
294,dynamic xml documents with distribution< and replication,"s abitebou l, a bonifati, g cobena , i manolescu , t milo",sigmod conference,2003
295,editr 'sn otes,m DraQklin,sigmod record,2000
296,dynamic sample selection forapproJximate query processing,"b babcock , s cOhadhuri , g das",sigmod conference,2003
297,cmvf : a novel dimension reduction scheme for efficient indexing in a large image database,"j shen , a ngu , j shepherd , d huynh , q sheng",sigmod conference,2003
298,the implementation nadperformance of compressed databases,"t westmann , d kossmann ,`shelmer , g moerkotte",sigmod record,2000
299,dbcache : middle-tier database caching for highly scalable e-business architectures,"c bornhіvd , m altinel , s krishnamurthy , c mohan , h pirahesh , b reinwald",sigmod conference,2003
300,metadata standards for data warehousing : open information model vs. common warehouse metamodel,"t vetterli , a vaduva , m staudt",sigmod record,2000
301,a comprehensive xquery to sql translation using dynamic interval encoding,"d dehaan , d toman , m consens , m жzsu",sigmod conference,2003
302,spatiaK operators,"e clementin i, p felice",sigmod record,2000
303,reminsicecnes on influential papers,,,2000
304,gigascope : a stream database for network applications,"c cranor , t johnson , o spatscheck , v shkapenyuk",sigmod conference,2003
305,formal semantiCcs and analysis of object queries,g biCerman,sigmod conference,2003
306,report on second international workshop on advanced issues of e-commerce and web-based information systems,,,2000
307,provision of market sevrices for eIo compliant electronic market places,"s arpIinar , a dogac",sigmod record,2000
308,hardware acceleration for spatial selections and joins,"c sun , d agrawal , a abbadi",sigmod conference,2003
309,a characterization of the sensitivity of Vquery optimizaLion to storage access cost parameters,"f reiss$, t kanungo",sigmod conference,2003
310,"workshop on performance and Xrchitecture of wRb servers ( paws-2000 , held in conjection with sigmetrics-2000 )",,,2000
311,a theory of redo recovery,"d lomet , m tuttle",sigmod conference,2003
312,report in isdo ' 00 : the caise * 00 workshop on infrastructures for dynamic business-to-business service outsourcinga,,,2000
313,sigmod digital symposium collection ( disc ) editor 's message,,,2000
314,cache-and-query for wide area sensor databases,"a deshpande , s nath , p gibbons , s seshan",sigmod conference,2003
315,composing xsl transformations with xml publishing views,"c li , p bohannon , h korth , p narayan",sigmod conference,2003
316,sigmod ' 2000 program cair 's message,,,2000
317,an optimal and progressiBe algorithm<for skyline queries,"d papadias , y tao ,  fu , b seeger",sigmod conference,2003
318,information director 's message,,,2000
319,sigmod anthology editor 's message,,,2000
320,contorting high dimensional data for efficient main memory processing,"b cui , b ooi , j su , k tan",sigmod conference,2003
321,chair >'s emssage,,,2000
322,visionary : a next generation visualization system for databases,m stonebraker,sigmod conference,2003
323,comparative analysis of sSx xml cshema languages,"d lee &,  wchu",sigmod record,2000
324,extracting and expToiting strcuture in text search,p raavan,sigmod conference,2003
325,building notification services with mcirosoft sqlserver,p sesahri,sigmod conference,2003
326,vice chair 's message,,,2000
327,google in a box - building the google search appliance,n shivakumar,sigmod conference,2003
328,nonstop sql/mx publish/subscribe : continuous data streams in transaction processing,h zeller,sigmod conference,2003
329,editCr 's notes,m fLrXnklin,sigmod record,2000
330,data management challenges in crm,g colliat,sigmod conference,2003
331,new tpc benchmarks for decision support and web commerce,"m pіss , c floyd",sigmod record,2000
332,integration of electronic tickets and personal guide system for public transport using mobile terQminals,"k goto:, y kambayashi",sigmod conference,2003
333,constraint databases : a tutoril introduction,j buRssche,sigmod record,2000
334,Bulti-dimensional clustering : a new data layout scheme in db2,"s padmanaban , b bhattacharjee , t mlkemus , l cranston , m huras",sigmod conference,2003
335,generating spaitotemporal datasets on the www,"y Mheodoridis ,  nascimento",sigmod record,2000
336,theory\ of answering quYeries using views,a hlvey,sigmod record,2000
337,using sets of feature vectors for similarity search on voxelized cad objects,"h kriegel , s brecheisen , p krіger , m pfeifle , m schubert",sigmod conference,2003
338,object databaKse evolution uUing separation of concerns,"a rashCd , p sawyer",sigmod record,2000
339,a framework for|change diagnosis of data streams,c agarwal,sigmod conference,2003
340,on relational support for xml publishing : beyond sorting and tagging,"s chaudhuri , r kaushik , j naughton",sigmod conference,2003
341,moving up the food chain : supporting e-commerce applications on databases,a jhingran,sigmod record,2000
