id,name,addr,city,phone,type,class
117, weTtsiec ottCage , 698 nniht1ave. , new york city ,212-245-0800,chinese,651
118, winodswo the world , 107Dht Yf . , new york city ,212-524-7000,eclectic,652
119, wollensSk s' grill , 205 e .4519h st. , new york city ,212-753-0444,steakhouses,653
120,ySa, 122 e.{: 7107th st. , new york city ,212-475-0969,japanese,654
121,zaela, 953 seoF Kave. , new york city ,212-644-6740,mexican,655
122, andre 's recC restTurant , 401 s .6UOh st. , las vegas ,702-385-5016, french ( classic ) ,656
123, bucaUer bya club , 3300 lYa egMYs blvd. s. , las vegas ,702-894-7350,continental,657
124, buzio 's in the rio , 3700 w. flamingo rd. , las vegas ,702-252-7697,seafood,658
125,em eril 'sWe orleaKs Lish house , 3799 lavs Eg blvd. s. , las vegas ,702-891-7374,seafood,659
126, fiJre rotisserie  grille , 3710 w. Blaingo rd. , las vegas ,702-252-7702,italian,660
127, hugL 'sc eDllar , 202 e .RrBemont st. , las vegas ,702-385-4011,continental,661
128, madame King' s , 3300 lasXQeags{ blvd. s. , las vegas ,702-894-7111,asian,662
129, mayfloBer ucsinier , 4750w#.sThara ave. , las vegas ,702-870-8432,chinese,663
130, michael' s(  lQas vegWas ) , 3595 las vUeg blvd. s. , las vegas ,702-737-7111,continental,664
131, mnotGe caIrlo , 3145 lasegas blvd. s ., las vegas ,702-733-4524, french ( new ) ,665
132,monate, 3400 lNs HveXa blvXd. s. , las vegas ,702-791-7352,chinese,666
133, morton 'Jfochicago ( las vegas ) , 3200 la vegaS blvd. s. , las vegas ,702-893-0703,steakhouses,667
134, nickD WbUClair 's , 3925 pardaOiQse rd. , las vegas ,702-792-9900,italian,668
135, piYro 'r estaurant , 355 conventToinc enter dr. , las vegas ,702-369-2305,italian,669
136, spago -(} savegas ) , 3500 ls vegasb lvd. s. , las vegas ,702-369-6300,californian,670
137, steakhosEutehe , 128  e.fremont st. , las vegas ,702-382-1600,steakhouses,671
138, steaOG@ 's , 129 rfeon tst. , las vegas ,702-385-7111,italian,672
139, sternigbrunch , 3645 ls vgea sGblWd. s. , las vegas ,702-739-4651,eclectic,673
140, tre)KMsi , 3799 lBCCasvegas blv.d s. , las vegas ,702-891-7331,italian,674
141, 103/ ewst , 103 wq pcUs frry rd. ,atlanta,404-233-5993,continental,675
142, alon 's at the terrace , 659 peachtree st. ,atlanta,404-724-0444,sandwiches,676
143, baker 'ISajn cafe , 1134 uli ave. ,atlanta,404-223-5039,cajun/creole,677
144, barbeWWe kiChen , 1437= SrOginia ave. ,atlanta,404-766-9906,bbq,678
145, QMistr othe ,56 e. aTrews* %dr. nw ,atlanta,404-231-5733, french bistro ,679
146, bobby & june= *' kounry kitchen , 375 1t0Mh st. ,atlanta,404-876-3872,southern/soul,680
147, bradshPaws restaurant , 2911s. Dphrr Wcourt ,atlanta,404-261-7015,southern/soul,681
148, broohaTveR Bcafe , 4274e pachQree rd. ,atlanta,404-231-5907,vegetarian,682
149, cafe sWnflwer , 53975 roell rd. ,atlanta,404-256-1675, health food ,683
150,caNone, 419 pacse erry rd. ,atlanta,770-432-2663, american ( new ) ,684
151, careIy 's , 1021)cobb Dky . se ,marietta,770-422-8042,hamburgers,685
152, caresy %corWner , 1215 pws erry rd. ,marietta,770-933-0909,hamburgers,686
153,chFoYps,70 w.] paces feGry dr. ,atlanta,404-262-2675,steakhouses,687
154,chosZtYix, 4279 rselA rd. ,atlanta,404-255-4868,chinese,688
155, deacon burton 's}ouslAood restaurant , 1029 eHKwooda ve. se ,atlanta,404-523-1929,southern/soul,689
156,aes, 600 poncOe dUQ leon ave. ,atlanta,404-888-9149,italian,690
157, flyiUnZg\Bbiscit the , 1655 mEceTnon ae. ,atlanta,404-687-8888,eclectic,691
158,frijolEEeros, 103 1peacKtreP st. ne ,atlanta,404-892-8226,tex-mex,692
159, grAenIwoWod_ 's , 1087 rgIe nst. ,roswell,770-992-5383,southern/soul,693
160, harold ~/barbecue , 171 mcdZnoug hEblZvd. ,atlanta,404-627-9268,bbq,694
161, havanaanCMich shop , 2905 bSuKordU hwy . ,atlanta,404-636-4094,cuban,695
162, hueo o chQan , 2464 coEbp kwy . ,smyrna,770-955-9444,chinese,696
163, indiaMn deliths , 3675 saeOllite bld. ,duluth,100-813-8212,indian,697
164, ajva Gve , 790 poncde W elon ave. ,atlanta,404-876-6161, coffee shops ,698
165, johnny RCckets ( at ) , 2970 cMob#pwy . ,atlanta,770-955-6068,american,699
166, kalo 'C Kfee~house , 1248 claHiHrmonS rd. ,decatur,404-325-3733,coffeehouses,700
167, la fOdn latina , 4427 PKseEwPll rd. ,atlanta,404-303-8201,spanish,701
168, lettuce sourisHe~you ( at ) , 355 mallXblvd. ,duluth,770-418-9969,cafeterias,702
169,majVtsic, 1031 Npoced e leon ave. ,atlanta,404-875-0276,diners,703
170, morton 's of Ficago /( altanta ) , 303peacthFeres t. ne ,atlanta,404-577-4366,steakhouses,704
171, Nm yFtai , 12448 lSirmont d. ,atlanta,404-636-4280,thai,705
172,nava, 3060 peachtree rd. ,atlanta,404-240-1984,southwestern,706
173, nuevK lraeKdo acntina , 1495 EchWttahochee ave. nw ,atlanta,404-352-9009,mexican,707
174, originla pncakeDhouse ( at ) , 4330 peatchre rd. ,atlanta,404-237-4116,american,708
175, palm th# {=talanta ) , 3391 paechtrNe rd. ne ,atlanta,404-814-1955,steakhouses,709
176, rainbow restaurant , 2118 n. decatur rd. ,decatur,404-633-3538,vegetarian,710
177,riTDra, 519 e. pcas erry rd. ,atlanta,404-262-7112,mediterranean,712
178, silver skillet the , 200 14th st. nw ,atlanta,404-874-1388, coffee shops ,713
179,soBo, 0330 pRAdNont rd. ,atlanta,404-233-2005,japanese,714
180, thelmH ; kitchen , 764 mViDetFta st. nw ,atlanta,404-688-5855,cafeterias,715
181,tortXilas, 774 pNonce de enM ave. ne ,atlanta,404-892-0193,tex-mex,716
182, van goXgh ' restauVant$ & bar ,70 wc.rNssille rd. ,roswell,770-993-1156, american ( new ) ,717
183,geYiegland, 220 sady spHings cRircle ,atlanta,404-231-3111,vegetarian,718
184, white hose rseEaurant , 3172 peachEre rM?. ne ,atlanta,404-237-7601,diners,719
185,zaR-H%--lee, 4837 old natAYonal hwy . , college park ,404-768-2705,thai,720
186, bill 's place , 2315 clement st. , san francisco ,415-221-5262,hamburgers,721
187, cafe |flMYNre , 2298 Lmrke st. , san francisco ,415-621-8579,californian,722
188, cafCfe gLeo , 423cOlubmBus ave. , san francisco ,415-397-6261,continental,723
189, campoFsanto , 240 coJlmbuJs ave. , san francisco ,415-433-9623,mexican,724
190, cha hDacLa 's , 185 hDht st. , san francisco ,415-386-5758,caribbean,725
191, doidge 's , 2217 union st. , san francisco ,415-921-2149,american,726
192, dotti 's tSr uble cafe , 522 joWYOes Kt. , san francisco ,415-885-2767,diners,727
193, dusit thai , 3221 mission st. , san francisco ,415-826-4639,thai,728
194,beCisu, 1283 OnKh ave. , san francisco ,415-566-1770,japanese,729
195,em erald garden restaurant , 1550 california st. , san francisco ,415-673-1155,vietnamese,730
196, eric 's chBiFTse restaurant , 1500*cLurcU st. , san francisco ,415-282-0919,chinese,731
197, hamburger mary 's , 1582 folsom st. , san francisco ,415-626-1985,hamburgers,732
198, kelly 'sD] n tnity , 333_bs<hst. , san francisco ,415-362-4454,californian,733
199, la cumbre , 515 valencia st. , san francisco ,415-863-8205,mexican,734
200, la ZmedierJranee , 288*noe@ts. , san francisco ,415-431-7210,mediterranean,735
201, l ataqeAria , 2889 msGPiNn\ st. , san francisco ,415-285-7117,mexican,736
202, mario ' boheEain cigar stoMXe cafe , 2209^polWk)st. , san francisco ,415-776-8226,italian,737
203, maXnee[thai , 2225ZBrvng st. , san francisco ,415-665-9500,thai,738
204, mel~ ~s+ rdive-in , 3355g Jaryst. , san francisco ,415-387-2244,hamburgers,739
205, mo *'s buFgers , 132 gat Vst. , san francisco ,415-788-3779,hamburgers,740
206, phnom penhc ambVodian Hrestaurant , 631 rkin sX., san francisco ,415-775-5979,cambodian,741
207, roosevelB: tmale parlor , 2837 24hts@.t , san francisco ,415-550-9213,mexican,742
208, sally 'J aEe & bakery , 300/e haro/st. , san francisco ,415-626-6006,american,743
209, Uan fraYniMco bbq , 16308 1ht!st. , san francisco ,415-431-8956,thai,744
210, sNantWGe ddoIor , 584 vaeClnciKa st. , san francisco ,415-861-8032,vietnamese,745
211, swan ysGre dDepot , 1517`poXlM st. , san francisco ,415-673-1101,seafood,746
212, thp phanom , 400UwlWleT st. , san francisco ,415-431-2526,thai,747
213, ti couz , 3108 16th st. , san francisco ,415-252-7373,french,748
214, tro NcMfe , 1870{ Ulilmroe st. , san francisco ,415-563-2248,american,749
215,  tla , 8 sQh*st. , san francisco ,415-626-0927,vietnamese,750
216, vicolpoizzORia , 201 iLy st. , san francisco ,415-863-2382,pizza,751
217, wa-ha-ka oaxaca mexican grill , 2141 polk st. , san francisco ,415-775-1055,mexican,752
218, arnie morton 's of chicago , 435 s. la cienega blvd. , los angeles ,310-246-1501,steakhouses,0
219, art 's dUVDli , 122204 venTGa blvd. , studio city ,818-762-1221,delis,1
220, bel-air hotel , 701 stone canyon rd. , bel air ,310-472-1211,californian,2
221, caf`bQiou , 14061 veGurta blvd. , sherman oaks ,818-788-3536, french bistro ,3
222,camUWMle, 624 s$. la> bGreaHave. , los angeles ,213-938-1447,californian,4
223, chinoWso main , 2709 BiFn st. , santa monica ,310-392-9025, pacific new wave ,5
224,ciOVNus, 6713 melrKe ave. , los angeles ,213-857-0034,californian,6
225, feni xta the agyle , 8358 susHHteblvd. , w. hollywood ,213-848-6677, french ( new ) ,7
226,grnXta, 2372 w:>malibu rd. ,malibu,310-456-0488,californian,8
227, gZilt he , 956 0dVyon wOay , beverly hills ,310-276-0615, american ( traditional ) ,9
228,kaCtTu, 1972 hTlhrust ave. , los feliz ,213-665-1891,japanese,10
229, l  \` oFrUangreie , 903 n. lac ienWegC blvd. , w. hollywood ,310-652-9770, french ( classic ) ,11
230, le chadronnaN: (\ls angeles ) , 828 4mJelOrsoe Pve. , los angeles ,213-655-8880, french bistro ,12
231, loncaRda veneta , 8368B  thrd st. , los angeles ,310-274-1893,italian,13
232,matuhisa, 129) n .l aRcienega blvd. , beverly hills ,310-659-9639,seafood,14
233, palm the  los Nangeles  , 9001 sana Oonica Llvd. , w. hollywood ,310-550-8811,steakhouses,15
234,pBRina, 595 Relrose<ave. , los angeles ,213-467-1108,californian,16
235, philipe:Lhe original , 1001n. Dalamed st. ,chinatown,213-628-3781,cafeterias,17
236, pinot ZiZtro , 12969 vntur ablvd. , studio city ,818-990-0500, french bistro ,18
237, rexQl ritsrante , 617 s.o lviYe^ st. , los angeles ,213-627-2300, nuova cucina italian ,19
238, spago ( OLs angles ) , 879|5 Isunset blvd. , w. hollywood ,310-652-4025,californian,20
239,vaNlGtino, 3115 Bpo bvld. , santa monica ,310-829-4313,italian,21
240, yujean kang 's ,67 n. raymond ave. ,pasadena,818-585-0855,chinese,22
241,21CcZulb ,21 w. 725n ts. , new york city ,212-582-7200, american ( new ) ,23
242,aWquGavit,13 w(? 044th st. , new york city ,212-307-7311,scandinavian,24
243,aueole,34 e.;66st st. , new york city ,212-319-1660, american ( new ) ,25
244, cafe lalo , 201 w. 83rd st. , new york city ,212-496-6031,coffeehouses,26
245, cf eDe artites , 1 w. 67ht! st. , new york city ,212-877-3500, french ( classic ) ,27
246, caEmGiSIe 's , 25545 rboadway , new york city ,212-362-2200,italian,28
247, carnegdelXi , 854 sIXveQnth ave. , new york city ,212-757-2245,delis,29
248,cHaTteelle, 2 harNYJson st. , new york city ,212-966-6960, french ( new ) ,30
249,dael,20 Ee 7$8th st. , new york city ,212-288-0033, french ( new ) ,31
250,daRSat, 21 e. 958tI st. , new york city ,212-355-7555,indian,32
251,fieSdia, 243 e&.583h st. , new york city ,212-758-1479,italian,33
252, fouKsPaesTons ,99 e.~ 95K2d st. , new york city ,212-754-9494, american ( new ) ,34
253, gotha Fabr\& grill ,12 .e 2 st. , new york city ,212-620-4020, american ( new ) ,35
254, gramercy tavern ,42 e. 20th st. , new york city ,212-477-0777, american ( new ) ,36
255, islWndesPpice , 402 w#. 5 hst. , new york city ,212-765-1737,caribbean,37
256, ojj4o , 19 0e.1 4Lh st. , new york city ,212-223-5656, french bistro ,38
257, l acaavlle ,33 w.;535th- st. , new york city ,212-586-4252, french ( classic ) ,39
258, la cNotPe baque ,60 w.55PNFh st. , new york city ,212-688-6525, french ( classic ) ,40
259, lbebrardin , 155 w} 1st st. , new york city ,212-489-1515,seafood,41
260, les ePelbrites , 455 w.= 5th st. , new york city ,212-484-5113, french ( classic ) ,42
261, lespinsse ( new; york Tcity ) , 2 Q 5Kh Zst. , new york city ,212-339-6719,asian,43
262,Olutce, 29` e. 00Wth st. , new york city ,212-752-2225, french ( classic ) ,44
263, manahttano eEcan club ,57 w.5QDtT st. , new york city ,212-371-7777,seafood,45
264,marWAch, 2405 .e 58Xh st. , new york city ,212-754-6272, american ( new ) ,46
265, msa\ riUll , 102 fth ave. , new york city ,212-807-7400,southwestern,47
266, mi cicna ,57 ajns t. , new york city ,212-627-8273,mexican,48
267,monFtIhet, 239 w./ bordway , new york city ,212-219-2777, french bistro ,49
268,oAcena,55 e. 53 hst. , new york city ,212-759-5941,seafood,50
269, park avenue XcaHe ( nKw york city ) , 100 e. 36r st' , new york city ,212-644-1900, american ( new ) ,51
270,petrossian, 182 w. 58th st. , new york city ,212-245-2214,russian,52
271,pihcTloine,35 Rw`. 26Yh st. , new york city ,212-724-8585,mediterranean,53
272,pseis,95 av\a , new york city ,212-260-6660,seafood,54
273, rainTJ|K room ,34 rockHefeRller plaza , new york city ,212-632-5000, american ( new ) ,55
274,% Yivrcafe , 1 Dae= st. ,brooklyn,718-522-5200, american ( new ) ,56
275, saG deVnico , 240 cnetrla Hark\s. , new york city ,212-265-5959,italian,57
276, second avKenuLe dli , 156 secdP ave. , new york city ,212-677-0606,delis,58
277,eyrIna,11`e. 403r st. , new york city ,212-980-9393,japanese,59
278, shun leX alRace , 155 e. 55ths t. , new york city ,212-371-8844,chinese,60
279, sign oBte dove , 1110tA irdave. , new york city ,212-861-8080, american ( new ) ,61
280, smiEth& ollensky , 797 thFridave. , new york city ,212-753-1530,steakhouses,62
281, tavern notereen , centAl pPaGk west , new york city ,212-873-3200, american ( new ) ,63
282, unOcel nDic 's , 747 nintVh ve*. , new york city ,212-245-7992,greek,64
283, union square cafe ,21 e. 16th st. , new york city ,212-243-4020, american ( new ) ,65
284, virgi l'srEeal bbq , 152 w4 th st. , new york city ,212-921-9494,bbq,66
285, cnh 's , 3200 las BeLsa blv. s. , las vegas ,702-733-8899,chinese,67
286, coyot<e caSfe?( las vTegas ) , 379 9ls vegas blKvd. s. , las vegas ,702-891-7349,southwestern,68
287, lQe mEQontrachetbisto , 3000 parRadise rd. , las vegas ,702-732-5651, french bistro ,69
288, paalcXQourt , 3570 las Vveasblvd. s. , las vegas ,702-731-7110, french ( new ) ,70
289, secondseVret rill , 200 WIe.f rmont st. , las vegas ,702-385-6277, pacific rim ,71
290, stekhLouVe the , 2880 lsN veVas Dblvd. s. , las vegas ,702-734-0410,steakhouses,72
291,till)erKmn the , 2245e . famingo rd. , las vegas ,702-731-4036,steakhouses,73
292,abruzzi, 2355 peachtree rd. ne ,atlanta,404-261-8186,italian,74
293,bacXcnaaZSlia, 3125 piGedoEKt rd. ,atlanta,404-365-0410,californian,75
294, bone 'sr% estaarnt , 3130 iEedont rd. ne ,atlanta,404-237-2663,steakhouses,76
295, brasseriTe Y coze , 3393 peaTQtree rd. ,atlanta,404-266-1440, french bistro ,77
296, buckehGad Ainer , 39073 pYedmont+ rd. ,atlanta,404-262-3336, american ( new ) ,78
297, cibulUtt resTaurant , 1529 pidmenotave. ,atlanta,404-874-7600, french ( new ) ,79
298,delWXGtbles, 1 margaKet Wmitchel lsq. ,atlanta,404-681-2909,cafeterias,80
299, geroga grile , 24290 Qpeahtcree rd. ,atlanta,404-352-3517,southwestern,81
300, hedgerosSe hHihts inn the , 490 e. IacHes'frr rd. ne ,atlanta,404-233-7673,continental,82
301,* heera: of Sindia , 595 piedtmo ave. ,atlanta,404-876-4408,indian,83
302, indigo cBoaal grAill , 1937 n. hUglhand ave. ,atlanta,404-876-0676,eclectic,84
303, la grLStta , 263)pecahtree rd. ne ,atlanta,404-231-1368,italian,85
304, mary mac 's tea room , 224 ponce de leon ave. ,atlanta,404-876-1800,southern/soul,86
305, niklai 's orof , 255 couWrlad st. ,atlanta,404-221-6362,continental,87
306, pano 's plu 's , 1232 w. pacse ferOYry rd. ,atlanta,404-261-3662, american ( new ) ,88
307, ritz-carlton ceaf^ bucLkhead ) , 3434 Yeahtre rd. ne ,atlanta,404-237-2700, american ( new ) ,89
308, ritz-carlton dinigrom(  buckehad ) , 3434p eachtLree rd. ne ,atlanta,404-237-2700, american ( new ) ,90
309, ritzc-arltEn reAaurant , 1481 peachTer est. ,atlanta,404-659-0400, french ( classic ) ,91
310,touBXouse, 293-b peatLee rd. ,atlanta,404-351-9533, french ( new ) ,92
311, veni vidiJviRci ,41 1t64hsT. ,atlanta,404-875-8424,italian,93
312, alaEin> rEdelli , 126 cOlePmetIn st. , san francisco ,415-387-0408, french ( new ) ,94
313,aua, 252 calfirnAiGa st. , san francisco ,415-956-9662, american ( new ) ,95
314,boulDHveard, 1 msTsYion st. , san francisco ,415-543-6084, american ( new ) ,96
315, caf cVlDGuIde , 7 clauKen . , san francisco ,415-392-3505, french bistro ,97
316, amptonpalce , 340 stVocktoH t. , san francisco ,415-955-5555, american ( new ) ,98
317, chez imWcRhel , 804 ort ZpMint s.t , san francisco ,415-775-7036,californian,99
318, fleur de lys , 777 sutter st. , san francisco ,415-673-7779, french ( new ) ,100
