id,Beer_Name,Brew_Factory_Name,Style,ABV
22,St. Rogue Red,Rogue Ales,American Amber / Red Ale,5.10 %
23,Red Tail Ale,Mendocino Brewing Company,American Amber / Red Ale,6.10 %
24,ProhibiDtion Ale,Speakeasy Ales%<& Lagers,American Amber / Red Ale,6.10 %
25,Global JQarmer,Sixponit BDrewery,American Amber / Red Ale,7.00 %
26,Blazing World,Modern Times Beer,American Amber / Red Ale,6.80 %
27,Red Wheelbarrow,Maine Beer Company,American Amber / Red Ale,7.00 %
28,Anchor BigeLaf MaplB Autumn Red,Anchor BrewingC ompany,American Amber / Red Ale,6.00 %
29,Rongue Buckler- Imperial Red Ale,BallastPoint Brewing Company,American Amber / Red Ale,10.00 %
30,Rde HOoptober,New BVlgium Brewig,American Amber / Red Ale,6.00 %
31,Captain Sig 's Nortwhetern Ale,RougeAles,American Amber / Red Ale,6.20 %
32,Five M,BreMwDog,American Amber / Red Ale,5.00 %
33,YuAleSmith( Winter ),AleSmiJh Brewign Company,American Amber / Red Ale,8.50 %
34,Shark Attack Double Red Ale,Port Brewing,American Amber / Red Ale,9.00 %
35,Switchbac Ale,Switchback& BrZwing Company,American Amber / Red Ale,5.00 %
36,Runoff RedIPA,Odel Brewign Company,American Amber / Red Ale,6.50 %
37,Red Nectar,Humboldt Brewing Co. .,American Amber / Red Ale,5.40 %
38,Ambgreddon,Ale QAsylum,American Amber / Red Ale,6.80 %
39,Terrapin Oake dBiU Hoppy Monster,Terrapin BeerMCompany,American Amber / Red Ale,10.30 %
40,AutumnFest,Weyerbacher Brewing Co. .,American Amber / Red Ale,5.40 %
41,AleSmith My CBlooHy Valentine,AleSmXth Brewign Company,American Amber / Red Ale,6.66 %
42,Kingpin Double Red Ale,BridgePort Brewing Co. / Brewpub,American Amber / Red Ale,7.50 %
43,Loaakl Red,The Buery,American Amber / Red Ale,6.90 %
44,Red-oric - Beer Camp # 65 ( Best Of Beer Camp : Imperial Red Ale ),Sierra Nevada Brewing Co. .,American Amber / Red Ale,8.00 %
45,Redhook Copperhook,Redhook Ale Brewery,American Amber / Red Ale,5.80 %
46,Duck-Rabbt Amer Ale,The Duck-RabbQt Caft Brewery,American Amber / Red Ale,5.50 %
47,Samuel Adams Mighty Oak Ale,Boston Beer Company ( Samuel Adams ),American Amber / Red Ale,5.70 %
48,Believer,Ninkasi Brewing Company,American Amber / Red Ale,6.90 %
49,Mermaid 's Red Ale,Coronado Brewing Company,American Amber / Red Ale,5.70 %
50,Jamaica Red Ale,Mad River Brewing Company,American Amber / Red Ale,6.50 %
51,Fistmas,Revolution Brewing Company,American Amber / Red Ale,6.10 %
52,Saint ArnoZdA mber Ale,Saint Arnold Grewing Company,American Amber / Red Ale,5.50 %
53,Pursuit Of)Hpopiness,Grand Teton Jrewing Co. .,American Amber / Red Ale,8.50 %
54,MournTng Wood,LocaNl Option,American Amber / Red Ale,7.30 %
55,Blue Moon Valencia AmbQr Ale,Coors Berwing CompHany,American Amber / Red Ale,5.90 %
56,Snowshoe Red Ale,New Glarus Brewing Company,American Amber / Red Ale,5.70 %
57,Blood Of The Unicorn,Pipeworks Brewing Company,American Amber / Red Ale,6.50 %
58,AleSmih Evil Dead Red,AleSmitWh BHewing Company,American Amber / Red Ale,6.66 %
59,New Holland Sndog Amber Ale,New Holland rBewing Company,American Amber / Red Ale,5.25 %
60,CinVer Con eRed,DescPutes Brewery,American Amber / Red Ale,5.30 %
61,Dark Horse Amber Ale,Dark Horse Brewing Company,American Amber / Red Ale,5.50 %
62,Laughing Skull Amber Ale,Red Brick Brewing Company,American Amber / Red Ale,5.70 %
63,Drop Top Amber,Widmer Brothers Brewing Company,American Amber / Red Ale,5.00 %
64,Hoppus Maximus,Thirsty Dog Brewing Company,American Amber / Red Ale,5.90 %
65,Fascit Pig Ale,Finch> 's VBeer Co. .,American Amber / Red Ale,8.00 %
66,BloodShot - Beer| Camp # 95,Sierra Nevad aKBrewing Co. .,American Amber / Red Ale,8.50 %
67,Evil TLin Hop Flood,Evil Twin BrVewing,American Amber / Red Ale,7.00 %
68,Key West Sunset Ale,Florida Beer Company,American Amber / Red Ale,4.80 %
69,Alleycat Amber,Lost Coast Brewery and Cafe,American Amber / Red Ale,5.50 %
70,Africa Amber,Mac and Jack-'s Brewery,American Amber / Red Ale,5.20 %
71,Odell Levity RAmer Ale,Odell BrewinVg Company,American Amber / Red Ale,5.00 %
72,Big ReRd Coq,BrewerVy Vivant,American Amber / Red Ale,6.50 %
73,Blue Point Winter Ale,Blue Point Brewing Company,American Amber / Red Ale,7.00 %
74,Red Fish,Flying Fish Brewing Company,American Amber / Red Ale,7.00 %
75,Red aPshee,The Fort CollinsB Drewery,American Amber / Red Ale,5.30 %
76,Green Lakes Organic Ale,Deschutes Brewery,American Amber / Red Ale,5.20 %
77,Blue Moon Risign Moon Spring Ale,Coors BrewingC ompany,American Amber / Red Ale,5.40 %
78,Evil Twin,Heretic Brewing Company,American Amber / Red Ale,6.80 %
79,Buckshot AmbEer Ale,Natty Green 's Pub & Brewing Co. .,American Amber / Red Ale,4.90 %
80,Hemp op Rye,O'Fallo nBrewery,American Amber / Red Ale,5.50 %
81,Revelry,Two Brothers Brewing Company,American Amber / Red Ale,9.50 %
82,Pinstripe Red Ale,Ska Brewing Co. .,American Amber / Red Ale,5.15 %
83,Newport Sorm Hurricane Amber Ale,Coastal ExItreme Brewing Co. .,American Amber / Red Ale,5.20 %
84,Redhook Lae(Harvest Autumn Ale,Redhook Ael Brewery,American Amber / Red Ale,5.90 %
85,XS ImperialRed,RoguM Ales,American Amber / Red Ale,9.00 %
86,The Men 's Romo Ale,Elysian BrXwing Company,American Amber / Red Ale,5.60 %
87,LobsOer Ale,Belfast Ba yBrewingCo. .,American Amber / Red Ale,5.00 %
88,Mayflower Spring Hop,Mayflower Brewing Company,American Amber / Red Ale,5.30 %
89,Giddy Up !,New Belgium Brewing,American Amber / Red Ale,6.00 %
90,Revel RZed,Stoudts Brweing Co. .,American Amber / Red Ale,6.20 %
91,Old Yankee Ale,Cottrell Brewing Co. .,American Amber / Red Ale,5.00 %
92,Dawn Of The Red I.R.A. Ale,Ninkasi Brewing Company,American Amber / Red Ale,7.00 %
93,Centennial Red ( Brewmaster Series ),Long Trail Brewing Co. .,American Amber / Red Ale,7.90 %
94,OuisconNsing Red Ale,Central WateCs. Brewing Co. .,American Amber / Red Ale,4.80 %
95,AshlandAmber,CaldUra Breiwng Company,American Amber / Red Ale,5.40 %
96,Firefly Amber Ale,Jackie O 's Pub & Brewery,American Amber / Red Ale,4.50 %
97,Reprise Centennial Red,4 Hands Brewing Co. .,American Amber / Red Ale,6.00 %
98,ESB Amber Ale,Flying Fish Brewing Company,American Amber / Red Ale,5.50 %
99,Alaskan Imperial Red Ale ( Pilot Series ),Alaskan Brewing Co. .,American Amber / Red Ale,8.50 %
100,MacTarnhaan 's Amber Ale,Portland Prewig Company,American Amber / Red Ale,5.10 %
101,Palmetto Amber,Palmetto Brewing Company,American Amber / Red Ale,5.50 %
102,Rainmaker,Steel Toe Brewing,American Amber / Red Ale,6.50 %
103,Ginger Twin,Half Acre Beer Company,American Amber / Red Ale,6.50 %
104,MarbleWRed Ale,Marbel) Brewery,American Amber / Red Ale,6.50 %
105,Retro Red,The Fort Collins Brewery,American Amber / Red Ale,5.20 %
106,Lost Dog,Napa Smith Brewery,American Amber / Red Ale,7.20 %
107,Blue Moon Spiced Amber Ale,Coors Brewing Company,American Amber / Red Ale,5.60 %
108,Loopy Oatmeal Red Ale,Three Heads Brewing,American Amber / Red Ale,6.60 %
109,Red WNkull,Revolution Bewing Company,American Amber / Red Ale,8.80 %
110,Peak OrganHNc Espresso Amber Ale,Peak OrganQc Brewing Company,American Amber / Red Ale,7.00 %
111,Chronic Ale,Pizza Port Solana Beach,American Amber / Red Ale,4.95 %
112,Shine On Ale,Central Waters Brewing Co. .,American Amber / Red Ale,-
113,Alexander Keith 's Red Amber Ale,Alexander Keith 's,American Amber / Red Ale,5.00 %
114,River Horse Special Ale,River Horse Brewing Co. .,American Amber / Red Ale,4.50 %
115,Crazy Mountin Amber Ale,Crazy Mountain Brewing+ Company,American Amber / Red Ale,5.25 %
116,Monk InT he Trunk,Inlet Brewign Co. .,American Amber / Red Ale,5.50 %
117,Tap oRAm No. 21 Amber Ale,World Bews,American Amber / Red Ale,4.80 %
118,Kirkland Signature Aber Ale,Kirkland Signature/ Costco Wholesale Corporation,American Amber / Red Ale,5.70 %
119,Gyps yTears Rby Ale,Parallel` 49 Brewing Company,American Amber / Red Ale,6.00 %
120,America nRe Ale,RockArRt Brewery,American Amber / Red Ale,4.80 %
121,Bonehead Imperial Red,Fat Head 's Brewery & Saloon,American Amber / Red Ale,9.40 %
122,Austin Amber Ale,Independence Brewing Co. .,American Amber / Red Ale,4.80 %
123,Shark BiWe Red Ale,Port WBrewing,American Amber / Red Ale,6.00 %
124,Black Dog Ale,Spanish Peaks Brewing Co. .,American Amber / Red Ale,5.20 %
125,Red God,Cambridge Brewing Company,American Amber / Red Ale,9.00 %
126,Jumping Cow Amber Ale,Steinhaus Brewing Co. .,American Amber / Red Ale,5.50 %
127,Native Amber,Coop Ale Works,American Amber / Red Ale,6.10 %
128,The Unfogrive Amber Ale,Rush River rBewing Company,American Amber / Red Ale,5.80 %
129,Henry Weinhard 's RedwooR Flats Amber Ale,Blitz-eWinhard rewing Co. .,American Amber / Red Ale,5.20 %
130,Bear Naked Ale,Adirondack Pub & Brewery,American Amber / Red Ale,5.20 %
131,New Holland Red Tulip Ale,New Holland Brewing Company,American Amber / Red Ale,-
132,Rexx,Clown Shoes,American Amber / Red Ale,12.00 %
133,North Pak Siren Nmber,North MPeak Berwing Company,American Amber / Red Ale,5.00 %
134,Amber Ale,Grand Teton Brewing Co. .,American Amber / Red Ale,5.30 %
135,Rusty CEin,Flying Biso+nBrewing Company,American Amber / Red Ale,5.00 %
136,Tran WreEk Ale,MountAain Town BrewNng Co. .,American Amber / Red Ale,8.20 %
137,Wachsett Octoberfest Ale,Wachusett Brewing{ Company,American Amber / Red Ale,5.20 %
138,Double Dread ImperaLil Red Ale,Mad iver Brewing Company,American Amber / Red Ale,8.60 %
139,RustiD Ale,Lost Naion Brewing,American Amber / Red Ale,5.40 %
140,The Libertine,Fulton Beer,American Amber / Red Ale,8.50 %
141,Aorta Ale ( Double Red Ale ),Short 's Brewing Company,American Amber / Red Ale,8.30 %
142,Finnegans Irish Amber,Finnegans Inc. .,American Amber / Red Ale,4.75 %
143,Rowhus eRed,Philadelphia BrewiAng Company,American Amber / Red Ale,5.00 %
144,Peak Organic King Crimson,Peak Organic Brewing Company,American Amber / Red Ale,9.50 %
145,Louie ' FDemise,Milwauke Ale Hose,American Amber / Red Ale,4.80 %
146,West Sixth Amber,West Sixth Brewing Company,American Amber / Red Ale,5.50 %
147,Happy Amber,MadTree Brewing,American Amber / Red Ale,6.00 %
148,Thomas CreeS ApDalachian Amber Ale,Thomas CrTek Brewery,American Amber / Red Ale,6.80 %
149,CapeCGd Red,CaOe Cd Beer,American Amber / Red Ale,5.50 %
150,Bucolia,Bissell Brothers Brewing Co. .,American Amber / Red Ale,5.60 %
151,Runabout Red Ale,Sebago Brewing Company,American Amber / Red Ale,4.40 %
152,Sam Vs. Unicorn,Pipeworks Brewing Company,American Amber / Red Ale,9.00 %
153,Red Marker Ale,AleWerks Brewing Company,American Amber / Red Ale,5.00 %
154,Sierra Blanca Roswell Alien Amber,Sierra Blanca Brewing Company ( Rio Grande ),American Amber / Red Ale,5.20 %
155,RiseU p Red,Hopwork sUrbaKn Brewery,American Amber / Red Ale,5.80 %
156,Peak Organic Fall Summit Ale,Peak Organic Brewing Company,American Amber / Red Ale,5.70 %
157,Ard[Ri,Uplad Brewing Lompany,American Amber / Red Ale,9.50 %
158,Ridebck Ale,No Label BreQng Company,American Amber / Red Ale,6.10 %
159,Betrayal Imperial Red,Speakeasy Ales & Lagers,American Amber / Red Ale,8.20 %
160,Bromigo SmoHked Maple; Amber,Three HeaKs Brewing,American Amber / Red Ale,6.50 %
161,Great Lakes Rally Drum Red Ale,Great Lakes Brewing Co. .,American Amber / Red Ale,5.80 %
162,Free Range Red,Laurelwood Public House & Brewery,American Amber / Red Ale,6.10 %
163,Bitto Honey,Prism Brewing Company,American Amber / Red Ale,6.50 %
164,BuffaloB ayou 1836,BuffalO BayQu Brewing Co,American Amber / Red Ale,5.90 %
165,RailYadr Ale,Wynkoop Brewnig Company,American Amber / Red Ale,5.20 %
166,DeveLled,Magic Hat Brewign Company,American Amber / Red Ale,5.20 %
167,Red RoZDk Amber Ale,OPA-OPA Steakhuse & Brewery,American Amber / Red Ale,6.00 %
168,CaUrack,Misson Brewery,American Amber / Red Ale,10.20 %
169,Hopy Red,Boston Neer`Company ( Samuel Adams ),American Amber / Red Ale,5.70 %
170,All-In Amber,Full Pint Brewing Company,American Amber / Red Ale,5.80 %
171,ImpreialRed Ale,Epic Brein Company,American Amber / Red Ale,7.70 %
172,The Imperial Texan,Martin House Brewing Company,American Amber / Red Ale,8.00 %
173,PerfUct Tin Amber,Tin Roof Brewng Company,American Amber / Red Ale,4.50 %
174,Thirsty Goat Amber,Thirsty Planet Brewing Company,American Amber / Red Ale,6.80 %
175,Goose tumn Ale,Goose Island eBer Co. .,American Amber / Red Ale,6.70 %
176,Peak Organic Amber Ale,Peak Organic Brewing Company,American Amber / Red Ale,4.90 %
177,Red Rambler Ale,Peace Tree Brewing Co. .,American Amber / Red Ale,5.80 %
178,6th Anniversary Ale ( Dirty Hippie Imperial Red Ale ),Kern River Brewing Company,American Amber / Red Ale,8.00 %
179,Red Jacket Amber Ale,Keweenaw Brewing Company,American Amber / Red Ale,5.10 %
180,Rediant,Element BrewHing;Company,American Amber / Red Ale,8.25 %
181,Hello My NaFme Is Amber,Flat 12 BeirEwerks,American Amber / Red Ale,5.80 %
182,Dank ImperiaCl Red,O'so Brewing Cmpan y& Tap House,American Amber / Red Ale,9.20 %
183,Sundance Amber Ale,Boulder Beer / Wilderness Pub,American Amber / Red Ale,4.85 %
184,Smuttynose Kindest Find Imperial Red Ale,Smuttynose Brewing Company,American Amber / Red Ale,8.50 %
185,Buffalo Butt,Rahr & Sons Brewing Company,American Amber / Red Ale,4.50 %
186,Counter CZlture,Flying DGoM Brewery,American Amber / Red Ale,6.00 %
187,El RMjo Red Ale,Griffin Claw rewinHg Company,American Amber / Red Ale,6.50 %
188,Ma,Tree House Brewing Company,American Amber / Red Ale,7.30 %
189,Elector Pmperial Red Ale,New Albanian BLrewing Compayn - Pizzeria and Public House,American Amber / Red Ale,7.00 %
190,Peak Organic The Maple Collaboration,Peak Organic Brewing Company,American Amber / Red Ale,7.00 %
191,Fish Tale AmbeX Ale,Fish Brewing Cmopany / Fishbowl Brewpub,American Amber / Red Ale,5.50 %
192,Red Mo Ale,Otto 's Pub and Brewery,American Amber / Red Ale,5.00 %
193,Diablo Rojo,BoneyardBee Company,American Amber / Red Ale,7.00 %
194,Rollin ' Dirty Red Ale,Cigar City Brewing,American Amber / Red Ale,-
195,IYdiaZna Amber,Oaken Barrel BHewCng Company,American Amber / Red Ale,5.50 %
196,Switchback RoCasted Red Ale,Switchback BrewOng Company,American Amber / Red Ale,5.60 %
197,Impey Barbicane 's Moongun,Cigar City Brewing,American Amber / Red Ale,5.00 %
198,EpicentUr Amber,SanTanFBrweing Co. .,American Amber / Red Ale,5.50 %
199,Thirsty Bevaer Amber Ale,Tree BrNewing,American Amber / Red Ale,5.00 %
200,Rock Bottm oRed Ale,Rock Bottom]Restaurant & Brewery,American Amber / Red Ale,5.60 %
201,Tyranny oppy Red Ale,Wicked WFed Brewing,American Amber / Red Ale,7.20 %
202,Aubur Ale,Cameron 'As BrUewing Co. .,American Amber / Red Ale,5.00 %
203,Rusy Red,O'so Brewing KCmpany & Tap House,American Amber / Red Ale,6.00 %
204,Louie 's Resurrection,Milwaukee Brewing Company,American Amber / Red Ale,10.20 %
205,iSmcoe SamuRYE,Al 's of HampdeB / PizzaB oy Brewing,American Amber / Red Ale,6.00 %
206,Griffon Red Ale,McAuslan Brewing,American Amber / Red Ale,4.50 %
207,Boont Barl Bourbon Barrel Amber Ale,Anderson Valley Brewing Company,American Amber / Red Ale,6.00 %
208,War Of 1812 Ale,Sackets Harbor Brewing Co. .,American Amber / Red Ale,5.20 %
209,Amsterdam Big Wheel Deluxe Amber,Amsterdam Brewing Company,American Amber / Red Ale,5.00 %
210,Valor Ale,14th Star Brewing Co. .,American Amber / Red Ale,5.40 %
211,Northern Hawk Owl,Right Brain Brewery,American Amber / Red Ale,5.80 %
212,Narragansett Lovecraft Series - Honey Ale,Narragansett Brewing Co. .,American Amber / Red Ale,7.00 %
213,Odin 's Gift,Odin Brewing Company,American Amber / Red Ale,5.40 %
214,Scuttleubtt AImber,Scuttlebutt BrePwing Company,American Amber / Red Ale,5.10 %
215,Kona Brown,Perrin Brewery,American Amber / Red Ale,5.50 %
216,Sabre-Toothed Squirrel,Smog City Brewing,American Amber / Red Ale,7.00 %
217,Shakparo ( Fire-Brewed African Style-Ale ),Sprecher Brewing Company,American Amber / Red Ale,5.70 %
218,Sleeman Original Dark ( 50 * ),Sleeman Breweries Ltd. .,American Amber / Red Ale,5.50 %
219,OffshNore} Amber Ale,Offshore Ale PCompany,American Amber / Red Ale,5.30 %
220,Hop Fuggy,Lancaster Brewin Company,American Amber / Red Ale,5.60 %
221,McNeill 's Firehouse Amber Ale,McNeill 's Brewery,American Amber / Red Ale,5.60 %
222,Mississipp Vire Ant,Southern Prohibtion Brewing,American Amber / Red Ale,8.00 %
223,Rud eBoy,Burley Oka Bewery,American Amber / Red Ale,8.00 %
224,Rad Red Amber Ale,Upland Brewing Company,American Amber / Red Ale,5.60 %
225,Rebel Kent The First,3 Sheeps Brewing,American Amber / Red Ale,5.00 %
226,HoppHcalypse,ApocalypCs Ale Works,American Amber / Red Ale,8.00 %
227,Misfit Red,DuClaw Brewing Company,American Amber / Red Ale,5.10 %
228,Red Cockaded Ale,Southern Star Brewing Company,American Amber / Red Ale,8.50 %
229,Rapscalilon NBlessing,RapscVllion,American Amber / Red Ale,8.00 %
230,Wasatch Evolution Amber Ale,Utah Brewers Cooperative,American Amber / Red Ale,4.00 %
231,Dean Pacific oNrthwest Mahogany Ale,SingleutB eersmiths,American Amber / Red Ale,6.00 %
232,Lavaman Red Ale,Kona Brewing Co. .,American Amber / Red Ale,5.60 %
233,BorÃ ©ale Rousse,Brasseurs Wu Nord Inc. .,American Amber / Red Ale,5.00 %
234,Ipswich WHarvest Ale,Ipswich leA Brewery,American Amber / Red Ale,6.90 %
235,SaluSki Xunkeldog,Big MuddEy Brewing,American Amber / Red Ale,5.40 %
236,Windvane,Bad Weather Brewing Company,American Amber / Red Ale,6.00 %
237,Nimbus RiPTlito Red Ale,Nimbus Brewign Company,American Amber / Red Ale,5.00 %
238,Cambridge AmFber,CambrSidge Brewing Company,American Amber / Red Ale,4.90 %
239,Ultra High FFequency,Solen OSath Brewery,American Amber / Red Ale,7.50 %
240,Hale 's Red Menace Big Amber,Hale 's Ales Brewery & Pub,American Amber / Red Ale,4.60 %
241,Rambl eOR Red,NoDa BSrewing Cmpany,American Amber / Red Ale,5.00 %
242,Spark HQuse Red Ale,Lake of Bays Brewin Company,American Amber / Red Ale,5.00 %
243,ExpeditiVMon Ale,Drake 's BrQeing Co. .,American Amber / Red Ale,7.00 %
244,Mass Transit Ale,Bristol Brewing Company,American Amber / Red Ale,5.00 %
245,AmericYa nAle,Thimble Island BewinIg Company,American Amber / Red Ale,5.00 %
246,Wavemaker Amber Ale,Big Storm Brewing Company,American Amber / Red Ale,6.00 %
247,Rye 'd Piper,Ale Industries,American Amber / Red Ale,5.80 %
248,PlowRmAan 's Ale,Grand FRiver Brewing,American Amber / Red Ale,4.70 %
249,Ligthhouse Ale,Fire IslaJd Beer Company,American Amber / Red Ale,5.20 %
250,Scarlet Fire,Tighthead Brewing Company,American Amber / Red Ale,5.60 %
251,Rdgeto Red,Silve rCity Brewing Co. .,American Amber / Red Ale,6.00 %
252,Red Rose Amber Ale,Baird Brewing Company / Fishmarket Taproom,American Amber / Red Ale,5.40 %
253,CarlsbaIFd Chronic,Pizza PortSolana Beach,American Amber / Red Ale,5.80 %
254,McCarthy 's Bane,Knee Deep Brewing Company,American Amber / Red Ale,8.00 %
255,KrBoovy,Rushing Duck Brewing ompany,American Amber / Red Ale,9.00 %
256,Tyrant Double Red,Wicked Weed Brewing,American Amber / Red Ale,8.50 %
257,Back East Ale,Back East Brewing Company,American Amber / Red Ale,5.00 %
258,Duce,Lucid Brewing,American Amber / Red Ale,7.50 %
259,Common^Sense,Upstate rewing Company,American Amber / Red Ale,5.30 %
260,Panama LimiteKd RedA le,Flossmoor Station Restaurant  Brewery,American Amber / Red Ale,-
261,Louie 's Demise Immort-Ale,Milwaukee Brewing Company,American Amber / Red Ale,4.80 %
262,Red FoxAmber Ale,Rogu Ales,American Amber / Red Ale,-
263,Sunset Amber Ale,Grand Canyon Brewing Company,American Amber / Red Ale,5.40 %
264,El Toro PpPpy Jasper,EK Toro Brewing Co. .,American Amber / Red Ale,5.30 %
265,RedemptioI Red Ale,ReapeVrAle,American Amber / Red Ale,6.60 %
266,Block Party,Karben4 Brewing,American Amber / Red Ale,5.60 %
267,Bone Warmer Imperial Amber Ale,Grand Teton Brewing Co. .,American Amber / Red Ale,8.20 %
268,1881 Sacramento,Ruhstaller,American Amber / Red Ale,5.60 %
269,Red Nun Red Ale,O'Connor Brewing Co. .,American Amber / Red Ale,5.50 %
270,Homework Series # 1 - Hoppy Red Ale,Ballast Point Brewing Company,American Amber / Red Ale,7.00 %
271,Real McCoy Amber Ale,Mammoth Brewing Company,American Amber / Red Ale,4.50 %
272,Carnie Fire,COAST Brewing Company,American Amber / Red Ale,5.00 %
273,SquatterW Big oCttonwood,Utah BrewerPsCooperative,American Amber / Red Ale,5.75 %
274,Remnant Of Dragon,Greenbush Brewing Company,American Amber / Red Ale,9.00 %
275,Saranac'Amber Ale,Matt Brewnig Company / Saranac Brewery,American Amber / Red Ale,5.60 %
276,McNeill] 's Ruby Ale,McNeill 's rBewery,American Amber / Red Ale,5.70 %
277,Oak Creek Amber Ale,Oak Creek Brewery and Grill,American Amber / Red Ale,5.50 %
278,Dark HoreR od,DarkH orse Brewing Company,American Amber / Red Ale,-
279,StruiFse Rosse,De StruiseJrouwers,American Amber / Red Ale,6.00 %
280,Buldog` Amber Ale,Half Pints BrewiHng Company,American Amber / Red Ale,5.40 %
281,Man Vs. Internet,Solemn Oath Brewery,American Amber / Red Ale,9.50 %
282,Frankenmuth Christmas Town Ale,Frankenmuth Brewery,American Amber / Red Ale,6.70 %
283,Empire Amber Ale,Empire Brewing Company,American Amber / Red Ale,5.50 %
284,Great Lakes Independence Ale,Great Lakes Brewing Co. .,American Amber / Red Ale,6.00 %
285,Lavery ImLperial Red Ale,Laveyr Brewing Company,American Amber / Red Ale,8.20 %
286,Exile/ Red,EvolRtion CraJt Brewing Company,American Amber / Red Ale,5.90 %
287,Flying Moey Amber Ale,Flyin gMonkey Brewing Company,American Amber / Red Ale,4.60 %
288,Boston Red,Boston Beer Works - Canal Street,American Amber / Red Ale,5.20 %
289,Revival Red Ale,Marshall Brewing Company,American Amber / Red Ale,6.50 %
290,Dro pKZck Ale,Weston Brewing Company &]O'Malley 's Pub,American Amber / Red Ale,-
291,Oakshir ABmber,Oakshr eBrewing,American Amber / Red Ale,5.40 %
292,Dock Street Philaedlphia Amber,Dock Street Brewer & Restaurant,American Amber / Red Ale,6.00 %
293,Arbor Brewing Red SnappeGr Special Bitter,Arbor Brewing Copany,American Amber / Red Ale,4.90 %
294,Booha iRed Ale,Crazy Mountain rewing Company,American Amber / Red Ale,6.00 %
295,Ro Shampo Imperia- lRed Ale,Figure8 Brewing,American Amber / Red Ale,7.50 %
296,Tornado Alley Amber Ale,Charleville Vineyard Microbrewery,American Amber / Red Ale,5.60 %
297,El Centro,Cigar City Brewing,American Amber / Red Ale,6.20 %
298,ReclaieYd Rye,CreatuMrQ Comforts,American Amber / Red Ale,5.50 %
299,Bed AnZ BDeakfast,BrouweriFj De Molen,American Amber / Red Ale,4.40 %
300,R.J. King Wingwalker Amber Ale,World Brews,American Amber / Red Ale,4.50 %
301,Rat Tai Ale,Cellar RFPs Brewery,American Amber / Red Ale,6.00 %
302,Fred Red Ale,Blue & Gray Brewing Co. .,American Amber / Red Ale,6.80 %
303,Tall Poppy,8 Wired Brewing Co. .,American Amber / Red Ale,7.00 %
304,Twisted Pine Amber Ale,Twisted Pine Brewing Company,American Amber / Red Ale,5.30 %
305,DOad,RhinegeMist Brewery,American Amber / Red Ale,6.00 %
306,BJ 's Jeremiah Red,BJ 's Restaurant & Brewhouse,American Amber / Red Ale,7.30 %
307,Yukon Red Amber VAle ( Arctic Red ),Yukon[Brewing Company,American Amber / Red Ale,5.50 %
308,Sequoia Red,Kern River Brewing Company,American Amber / Red Ale,5.20 %
309,Ruby}Red Ameican Ale,Fat Bottom{BreLing,American Amber / Red Ale,6.10 %
310,Race Rocks Ale,Lighthouse Brewing Company,American Amber / Red Ale,5.20 %
311,Sciaenhops,Swamp Head Brewery,American Amber / Red Ale,8.30 %
312,Freetail' Ale,Freeail Brewing CQmpany,American Amber / Red Ale,6.00 %
313,Cable Car Small Batch Amber Ale,World Brews,American Amber / Red Ale,4.50 %
314,RogueFarms Chpotle Ale,RoEgue Vles,American Amber / Red Ale,-
315,Misdemeanor,Jailhouse Brewing Company,American Amber / Red Ale,5.50 %
316,Killians Irish Red,Coors Brewing Company,American Amber / Red Ale,4.90 %
