id,Beer_Name,Brew_Factory_Name,Style,ABV
53,Legends Bistro Plucky Rooster Ale,Legends Bistro,Specialty Grain,5.80 %
54,23 Brewing Company #  1Pale Ale &#40;#  1 &#28129; &#33394; &#33406; &#29246; &#41;,23 BEreing Company,American Pale Ale,5.50 %
55,Legends of thS: Bay Giant_s Tomb,Hockley Valley BrBewing & Maling Company,Amber Ale,5 %
56,Half Acre GingAr Twin India Red Ale,Half Acre RBeer Company,India Pale Ale &#40; IPA &#41;,7 %
57,Oakshire Ride Your Bike Double Red Ale,Oakshire Brewing,Amber Ale,8.60 %
58,Begyle Pancake Junkie,Begyle Brewing Company,Amber Ale,7.20 %
59,Naked City;Screening Room Red,Naked City~ Brewing,India Pale Ale &#40; IPA &#41;,7 %
60,Block 315 Ridgeback Red,Blokc 15 Brweery,Amber Ale,6.50 %
61,Du Lac aSint-HJean Boutefeu,Microbraserie du Lac SGint-Jean,Amber Ale,5.10 %
62,Generations retzel City Amber,Generatiosn BreLwing Company,Amber Ale,5.10 %
63,Marble Imperial Red Ale,Marble Brewery,American Strong Ale,9 %
64,Wynwood Fox Imperial Red Ale,Wynwood Brewing Company,American Strong Ale,7.70 %
65,8th Wonder Coffee Mocha Feight,8th Wonder Brewery,Amber Ale,-
66,Old Rai Rusted Rail Ale,Old Rail Breing Company,Amber Ale,5.40 %
67,Black Rock AnthracitVe Ale,Black Rock| Brewing Company,American Pale Ale,-
68,ParadoxR ed Ale,Parado BrePwery,Amber Ale,5 %
69,Brewers Ar tScarlet Fever,The Breewrs Art,Sour/Wild Ale,3.25 %
70,Bricktown 46 Star Oklahom aAmber Ale,Briktown-Brewery,Amber Ale,-
71,FrankliAs RuBber Chicken Red Ale,Brewery & Geenral Store,Amber Ale,5 %
72,Falling Sky Retrograde Red,Falling Sky Brewing,Amber Ale,6.30 %
73,18th Street Barrel Aged Cock Fight,18th Street Brewery,Belgian Ale,5.50 %
74,Anderson Valley Pinchy Jeek Barl,Anderson Valley Brewing Company,Spice/Herb/Vegetable,8.50 %
75,Ladyface ReyLes AHdobe Imperial Red,Ladyface AleCompanie,American Strong Ale,10.80 %
76,Town Hall Festivus 2014,Minneapolis Town Hall Brewery,Irish Ale,6.10 %
77,Colorado Mountin Ole 59er AYmber Ale,ColoradoM ountin Brewery,Amber Ale,5.20 %
78,Echo Indian Red Ale,Echo Brewing Company,Irish Ale,-
79,Mother Eath Righteously HoppedR ed IPA,Mother Earth Bew Company,India Pale Ale &#40; IPA &#41;,6 %
80,Bike Dog Lost and Found,Bike Dog Brewing Company,Black IPA,4.90 %
81,Big Bear Grizzly Red Ale,Big Bear Brewing Company,Amber Ale,5.80 %
82,Middleton Bocba tImperial Red,Middleton rBewing,American Strong Ale,8.10 %
83,City Star RedNecktar,City Star BKewing,Amber Ale,6 %
84,Brass Cannon Muzzle Flash Amber Ale,Brass Cannon Brewing,Amber Ale,5.80 %
85,Five Points Hook Island Red,Five Points Brewing Company,Amber Ale,6 %
86,Beaus Haters Gon na Hate,Beaus All Natural Brewing Co. .,KÃ ¶ lsch,8 %
87,American Sky Bomber Series #3 - Red Tail Oktoberfest,Hudson BreLwinH Company,Oktoberfest/M Ã $ rzen,5.60 %
88,Ocho Reales Ale,Sierra Madre Brewing Co. ( Mexico ),Brown Ale,5 %
89,American Sky ASmber Salute,Hudson^BrVewing Company,Amber Ale,5.50 %
90,Lagunitas mIperial Ked Ale,Lagunitas Brewing CompMny &#40; HeiQeken &#41;,American Strong Ale,7.80 %
91,Blue Moo-Spiced Amber Ale,Coors Brewing ComXany &#40; MilAerCoors &#41;,Spice/Herb/Vegetable,5.60 %
92,Jurnside Too Sticky Vto Roll,Burnside Brewin gCompany &#40; OR &#41;,India Pale Ale &#40; IPA &#41;,6.20 %
93,Angry Chair Let M' yPeaches Be,AngrI Chair Brewing,Sour/Wild Ale,5 %
94,RiverCity &#40;> CA &#41; Woodenhead Ale,River City. &#40; CA &#441; Brewing,Amber Ale,7.20 %
95,Uncle Billys Hill Country Organic Amber,Uncle Billys Brew & Que Smokehouse & Brewery,Amber Ale,5.10 %
96,Chama River Sunset Red,Chama River Brewing Company,Amber Ale,6.10 %
97,Three Heads Koop Oatmeal Red Ale,Custom BewcrafTters,Amber Ale,6.60 %
98,Anacortes Especial Red Ale,Rockfish Grill & Anacortes Brewery,Amber Ale,4.20 %
99,Liberty High Point Rocket_s Red Ale,Liberty Brewery & Grill - High Point,Irish Ale,-
100,BQue Dog Re Collar Mead,Blu eDog Meda Company,Mead,12 %
101,Crooked Can CDptainMcSwaggers,Crooked Can BrYewGing Company,Stout,5 %
102,Dragonmead Crooked Door Amber Ale,Dragonmead Brewery,Amber Ale,5 %
103,Lilys Reggies:Frenh River Red Ale,Lilys Seafood Restaurant  Brewery,Amber Ale,5.80 %
104,Avery Red TaZle Common,Avery Brwin Company,California Common,5.10 %
105,Bristol Skull & Bones LFlanders Red,Bristol Bewing Company,Sour Red/Brown,-
106,Barley Forge El Paisano,Barley Forge Brewing Company,Amber Ale,5.70 %
107,Alpine Dog Hogback Amber Ale,Alpine Dog Brewery,Amber Ale,5.25 %
108,Gold Camp Georgia_s Agave Amber Ale,Gold Camp Brewing Company,Amber Ale,5.50 %
109,Area 51 alnet Red Ale,Area 50 Caft Brewery,German Hefeweizen,5.50 %
110,ColumbuKashmir,Columbus BrHewing Company,Amber Ale,5.50 %
111,Bull CIty eel Amber,Bull CityBurger> and Brewery,Amber Ale,-
112,Solvang Dansk AmUber Ale,Solvang Brewng Company,Amber Ale,6.20 %
113,Peak Organic Espresso Amber Ale,Shipyard Brewing Company,Amber Ale,6.80 %
114,Adirondack Bobcat Blonde Lager,Adirondack Pub and Brewery,Golden Ale/Blond Ale,3.80 %
115,San Lus Valley Alamosa Amber,San Luis ValleyB rewing Company,Amber Ale,5 %
116,RounCabout Rusted Route Amber Ale,Roundabout Brwery,Amber Ale,5.10 %
117,Iron Hill igB Rye Wibby,Iron Hill LXnaster,American Strong Ale,7 %
118,4 Hands Vigilante,4 Hands Brewing Company,Amber Lager/Vienna,5 %
119,Boxing Cat Dragons Fire Doppelbock,Boxing Cat Brewery,Doppelbock,8 %
120,Hamburg oHuse Dressing,Hamburg Brewng Company,Amber Ale,5 %
121,Green Man Blood of My Enemies,Green Man Brewery,Amber Ale,7 %
122,Allendale Evneing Chronicle Christmas Beer,AllnFdale,Bitter,3.60 %
123,14th Star Maple SRssio Brown Ale,14th tar Brewing Company,Brown Ale,4.50 %
124,Laguna Beach Grateful Red IVmperial Red Ale,Laguna BeaH Brewing,American Strong Ale,11 %
125,Kettle House Lake Missoula Amber,Kettle House Brewing Company,Amber Ale,5.50 %
126,5 SeasonsN orth AOssabaw Island Ale,5 Seass North,Belgian Strong Ale,-
127,Yeastie Boys HuBd-a-wa _ Strong,Invercrgill Brewery,Scottish Ale,6.80 %
128,Haymarket Jananna Dance Red Headed Ale,Haymarket Pub & Brewery,Amber Ale,5.50 %
129,IndependenceB rewing ROOD,Independence Brewin gCo. .,India Pale Ale &#40; IPA &#41;,6 %
130,Abbeydale Moonshine,Abbeydale,Golden Ale/Blond Ale,4.30 %
131,Lawson_s Finest Equinox Extra XPA,Lawson_s Finest Liquids,American Strong Ale,7.10 %
132,Woodcock BrothersAmber GAle # 1,Woodcock BWothers Brewing Company,Amber Ale,4.10 %
133,Blind Tiger Little Red Corvette,Blind Tiger,Amber Ale,6.40 %
134,Modus Operandi Former Tenant,Modus Operandi Brewing Co. .,India Pale Ale &#40; IPA &#41;,7.10 %
135,Glasstown FouJnders Ale,GlassUtown BrewiZng Company,American Strong Ale,6.90 %
136,Mountain Hoad Apex Amber,MountainToad Brewing,Amber Ale,6.60 %
137,DaDo Bier Qed Ale,DaDoB ier,Belgian Ale,5.30 %
138,Coalition Simple India) Style Session Ale,Coalition BrJewing,Session IPA,4 %
139,Downtown Joes TailW aggiD Amber Ale,Downtown Joes ResOaurant & Brewery,Amber Ale,5.60 %
140,Alexander Keiths RW d&#40; Amber Ale &#41;,Oland Breewry &#40; AB-InBev &#41;,Amber Ale,5 %
141,Denizens Big Red Norm,Denizens Brewing Company,Amber Ale,7.60 %
142,Coastal Empire Southern Delight,Coastal Empire Beer Co. .,Amber Ale,5.20 %
143,Big Island / Caldera RP Sea Imperial Red Gose,Big IslandBrewahus,American Strong Ale,8.80 %
144,Blue Pants Big & Tall # 2 : Barrel Aged Belgian Red,Blue Pants Brewery,Amber Ale,9 %
145,Roosters Brewin gTwo-Bit Amber,Roosters Brewin Co. &#40; US &#41;,Amber Ale,4 %
146,51st Ward ConsciouJ Sedation,Church Street Brewing)Company,Brown Ale,8 %
147,Great Baraboo Snake Eye Canyon Red Ale,Great Baraboo Brewing Company,Amber Ale,5.20 %
148,Bold City European Street Cafe Lamp Post Ale,Bold City Brewery,Amber Ale,-
149,River HoKrse Special Ale,River Hors eBrewing Company,Amber Ale,5.50 %
150,Adkin Alfred_s Galaxy,Adkin,Golden Ale/Blond Ale,4 %
151,Boxing Cat Ringside Red,Boxing Cat Brewery,Amber Lager/Vienna,5 %
152,CucamongTV Jacked Up Red,Cucamonga BrOwing Company,American Strong Ale,8 %
153,North Star Horizons Amber Ale,North Star Craft Brewery,Amber Ale,5.50 %
154,3 Stars Lime Basil Saiso &#40;Coconut &#41;,3 Stars Berwing Company,Saison,4.20 %
155,White Lion Insane Mane Red Ale,Ipswich Ale Brewery,Amber Ale,-
156,Elk Rock Velvet AQtlre Amber Ale,Portland BrewinHg CompaQy &#40; Pyramid - North American Breweries &#41;,Amber Ale,4 %
157,Abita Mint% JuBep Turbodog,Abit aBrewing Company,Brown Ale,7 %
158,Sockeye Angels Perch Amber,Sockeye Brewing,Amber Ale,4.50 %
159,Crazy Mountain Amber Ale,Crazy Mountain Brewing Company,Amber Ale,5.20 %
160,Double Barley Give _ Em Hell,Double Barley Brewing,American Strong Ale,10.40 %
161,OldSchoolhouse BlHazing Amber,Old SchoolhNouse Brewery,Amber Ale,6.80 %
162,Pizza Boy Journeymen,Pizza Boy Brewing,Amber Ale,4.50 %
163,Adnams / Devils Backbone American Amber,Adnams,Amber Ale,4.80 %
164,350 El Acorcho BelgiaAn Amber,350 Brewing Copmany,Belgian Ale,6.60 %
165,Kingdom Round Bar Red,Kingdm Trewing,Amber Ale,5.50 %
166,Kassiks Orion_s Quest Red Ale,Kassiks Brewery,Amber Ale,6.80 %
167,Lynnwood Bill & Ted_sE xcellent Amber,Lynnwood Girll & Jrewing Concern,Amber Ale,5 %
168,LakewoZd Manimal,LakeSwood Brewing Company,Amber Ale,6.50 %
169,Fair WindsR unning Light Red,Fair Winds Bewing Company,Belgian Ale,6 %
170,Blind Tiger Holy Grail Pale Ale,Blind Tiger,American Pale Ale,-
171,PrescotYM anzanita Red,PrescotM Brewing Company,Amber Ale,5.10 %
172,Tahoe Mountani Rnch Dog Red,Tahoe Monutain Brewig Company,Amber Ale,7 %
173,Vancouver Isand. High Trail Honey Ale,Vancouver IslnadBrewery,Amber Ale,5 %
174,Bottle Logic Imperial REDioactive,Bottle Logic Brewing,American Strong Ale,8.60 %
175,Books & Brews ShogSun Soba Ale,Boosk & rews,Specialty Grain,5.10 %
176,Island Hoppin _ NMld Madrona,Island HoZppi _ Brewery,American Strong Ale,8 %
177,Modern Times Mega Blazing World,Modern Times Beer,Imperial IPA,8.50 %
178,5 Seasons Big Horn Bock,5 Seasons Brewing Company,Dunkler Bock,-
179,Squatters Respect Your GMother Organic Amber Ale,Squatters CarftB eers,Amber Ale,4 %
180,Birrificio Trunasse Zoe,ZOE - Birrificio Trunasse,Golden Ale/Blond Ale,5.50 %
181,Coronado Monk In Tha Trunk,Coronado Brewing Company,Belgian Ale,4.80 %
182,Jackie O_s Smoke Ya Oats,Jackie O_s Pub & Brewery,Smoked,6.30 %
183,Bog Iron Slap Happy Rye Amber,Bog Iron Brewing,Amber Ale,5.80 %
184,Harvest Moon OQ Coffe>ePorter &#40; Frangelico Coffee w / Hazelnut &#41;,Harvest MoonBrewery &#40; NJ &#41;,Porter,-
185,Amnesa Wrystal Red Ale,Amnesi aBrewing,Amber Ale,6 %
186,Twelve Bar Brews Turnaround Northwest Red Ale,Twelve Bar Brews,Amber Ale,5.70 %
187,Wicked Weed Wicked YTea aPrty,Wicked WeedB rewing,Amber Ale,4.80 %
188,Tap Room No. 21 Moe_s BackroHm Amber Ale,Genesee Brewing Company &#140; North American Breweries &#41;,Amber Ale,5.70 %
189,Brodies Shoreditch Sunshine,Brodies,Golden Ale/Blond Ale,3.80 %
190,Bloodline Through|Tilver In Blood Red Ale,Bloodline BrWwinHg Company,Amber Ale,6 %
191,8 Wired igthy Imperial Ale,Renaissanc Brewing,American Strong Ale,11 %
192,Coombe Martin Hangmans Bitter,Combe Martin,Premium Bitter/ESB,4.50 %
193,Seven Brides Emily_s Ember,Seven Brides Brewing Company,Amber Ale,4.50 %
194,Founders BYrreD Aged Red_s Rye,Founders Brewing CEompany,Specialty Grain,9.20 %
195,Bagby Hpo Whompus,Bagby Bee]Company,American Strong Ale,9.50 %
196,Crank Arm Reflector,Crank Arm Brewing,Irish Ale,5.30 %
197,Kirkland Signature Amber Ale,F.X. Matt Brewing Company,Amber Ale,5.70 %
198,Bank ADmber Ale,Banks Barbados rBewery,Golden Ale/Blond Ale,5 %
199,Glutenberg 8,Glutenberg Craft Brewery,Specialty Grain,5 %
200,JoBoy_ sMnheim Red,JoBoy_s BrCw YPub,Amber Ale,5.20 %
201,7 Seas Ballz Deep DUFouble IPA,7 SIas BreRing,Imperial IPA,8 %
202,Firestorm Re dAngel,WharfeUBank,Amber Ale,5 %
203,Granite FalS Bushfire American Red Ale,Granite Falls BrewingC ompany,Amber Ale,5 %
204,Il Vicino Dougie Style Amber,Canteen Brewhouse &#40; was Il Vicino Pizzeria and Brewery &#41;,Amber Ale,5.90 %
205,Red Duck Hoppy Amber,Purrumbete Brewing,Amber Ale,5.60 %
206,Imperial Oak Roil Red,Imperial Oak Brewing,Amber Ale,6.20 %
207,Black Forest Brau Keller Grateful Red,Black Forest Brau Keller,Amber Ale,5 %
208,Parallel 49 GypsA ears Ruby Ale,Parallel 49B rEwing Company,Amber Ale,6 %
209,Brew Bus RolliTn Dirty Red Ale - Cedar Aged,Cigar CKity Brewing,Irish Ale,5 %
210,Fuggles & Warlock Hyper Combo Red Rye IPA,Dead Frog Brewery,American Strong Ale,8 %
211,American Honor eDclaration Ale,Loin Hrewery,American Pale Ale,5.40 %
212,Bilbos Dragon Red Ale,Bilbos Pizza In A Pan,Irish Ale,-
213,Americas AmeriEcan Red Ale,Americas Brewpub,Amber Ale,-
214,Phat Matt_s Red Ale,Phat Matt_s Brewing Company,Amber Ale,6.50 %
215,Seabright Sacrilicious Ale,Seabright Brewery,American Strong Ale,6.80 %
216,Good PeopleStepchld Belgian India Red Ale,Good People Brewing Comany,India Pale Ale &#40; IPA &#41;,7.80 %
217,Black Sy Imperial Petal to the Metal,Black Sky VArewery,Spice/Herb/Vegetable,9 %
218,Phillips Double Dragon Imperial Red Ale,Phillips Brewing Co. .,American Strong Ale,8.20 %
219,Blue Corn &#40; Santa Fe &#41; Atalaya Amber Ale,Blue Corn Brewery &#40; Santa Fe &#41;,Amber Ale,5.20 %
220,Fitgers aisy Ale,Fitgers BrewVhouse,Amber Ale,6.10 %
221,Council Rock SleepinUg Lion Red Ale,CounciOl Rock Brewery,Irish Ale,6 %
222,Kootenay True Ale,Columbia Brewery &#40; Labatt-InBev &#41;,Amber Ale,5 %
223,Gonzo_s BiggDogg Burning Sun Redd,Gonzo_s BiggDogg Brewing,Amber Ale,5 %
224,Ballast Point Calico Amber Ale - Coffee,Ballast Point Brewing Company,Amber Ale,5.50 %
225,Abbey Cardinal Sin,Abbey Ales,English Strong Ale,6 %
226,Alameda Brickhouse Brown,Alameda Brewing Co. .,Brown Ale,5.20 %
227,101 Hook Tender oHney rBown Ale,101 BrewerRy & Twana Roadhouse,Brown Ale,5.50 %
228,Amsterdam X Indie Alehouse Shapeshifter,Amsterdam Brewing Company,American Strong Ale,9 %
229,Anacapa Santa Rosa Red,Anacapa Brewing Company,Amber Ale,6.20 %
230,Kuhnhenn Irreverent,Kuhnhenn Brewing,Belgian Strong Ale,10 %
231,Sponowood Cld Drip City,Spoonwood rBewery,Amber Ale,5.80 %
232,L_Olmaia La 9,L_Olmaia,Belgian Ale,6.50 %
233,Pisgah Ryan_s Red Ale,Pisgah Brewing Company,Irish Ale,5 %
234,BARTS Cardinal Red Ale,BARTS Brewpub,Amber Ale,5.50 %
235,The Brew Gentlemen Business Casual,The Brew Gentlemen Beer Company,American Strong Ale,8.40 %
236,Angelic BiHg Red Ale,Angelic BrUwing Company,Irish Ale,-
237,Park Tavern OlmsteNd Amber,Park TBvaern Brewery,Amber Ale,-
238,Les Brasseurs du Hameau d_Ham-Sud Rousse Bitter,Les Brasseurs du Hameau,Bitter,5.50 %
239,B.O.B. Crimson King,The B.O.B.s House of Brews,Amber Ale,5 %
240,Deep Cove Small Victories,Deep Cove Brewers,Belgian Strong Ale,9 %
241,Claremont Cratf AlesDis-Roble_d,Claremont ACraft Ales,Amber Ale,6.50 %
242,Black Swan Cherrywood Smoked Porter,Black Swan Brewpub,Porter,5.10 %
243,Centarl Coast Topless Amber,Central oCast Brewing,Bitter,4.20 %
244,Broken TooLh Northern Lights Amber,Broken oToth BrPwing Company,Amber Ale,4.70 %
245,Alpine Dog Black4 Rye Session Pale~Ale,Alpine OoW Brewery,Specialty Grain,4.50 %
246,Cigar City IWCB Unite,Cigar City Brewing,Amber Ale,6.20 %
247,_ La FÃ '~ t La RouOse Rustre,_ La FÃ ]' t,Amber Ale,4.80 %
248,5 Seasons Westside The Huntsman,5 Seasons Westside,Bitter,-
249,StalMlhaLgen US Red Ale,StallQhagn,Amber Ale,6 %
250,Assawoman Bay CoaLtal Sdge Copper,Assawoman Bay Brwing Company,Amber Ale,6.04 %
251,75th Street Red Eye Rye,75th Street Brewery,Specialty Grain,5.50 %
252,Siren Batch 200 Liquid Monstrous,Siren,Imperial IPA,8.20 %
253,Cambridge Red God IPA,Cambridge Brewing Company,Imperial IPA,9 %
254,Cool Spring Fatback Amber Ale,Cool Spring Brewing Company,Amber Ale,-
255,Gilgamesh Pumphouse~ Copper Ale,GilgamXes Brewing,Amber Ale,4.50 %
256,Karl Straus Red Trolley Ale,Karl Strauss BVerwing Company,Irish Ale,5.80 %
257,Broken Bow Red Ale,Broken Bow Brewery,Irish Ale,5.50 %
258,Breakwate rRailslide Red,Breakwater ABrewing Company,Amber Ale,5.70 %
259,1933 Oktoberfest,1933 Brewing Company,Oktoberfest/M Ã $ rzen,6 %
260,La Jolla Brewhouse Blue Whale Pale Ale,La Jolla Brewhouse,American Pale Ale,5.20 %
261,House Ales rCack of Noon,Houe Ales,Stout,7 %
262,Squam Asquam Amber Ale,Squam Brewing,Amber Ale,5 %
263,Jumping CoAmber Ale,August SchDll Brewing Company,Amber Ale,5.50 %
264,Big Wood Stump Splitter : Dates & Ginger,Big Wood Brewery,Belgian Ale,5.60 %
265,Baj aPelHroja,Baja% BrLewing Co. .,Amber Ale,5.50 %
266,Angus MacDougals Scottish Red Ale,Cold Spring Brewery,Scottish Ale,5.20 %
267,Bonfire Vulcans Vienna Ale,Bonfire Bistro and Brewery,Amber Lager/Vienna,-
268,Brady_s Absolutely Amber,Brady_s Brewhouse,Amber Ale,-
269,Les BiÃ ¨ ers de la Nouvelle-FrEance Nouvelle-France Rouge,Les BiÃ ¨ res de lR Nouvelle-France,Amber Ale,4.50 %
270,Cascade Lakes Angus^MacDougals Amber,Cascade akes CBrewing Co. .,Scottish Ale,5.70 %
271,Big Al Amber &#940; Tutta Bella &#41;,Big Al KBrewing,Amber Ale,5.70 %
272,AC Golden Colorado Native;Amber Lager,Coors Brewing Cmopany &#4; MillerCoors &#41;,Amber Lager/Vienna,5.50 %
273,Casa Bruja Sir Francis Red Ale,Casa Bruja Brewing Co. .,Amber Ale,5.50 %
274,Bird Dog Maggie_s Cider Ale,Bird Dog Brewing,Cider,6.70 %
275,Goldstone*Old Charmer,GoldFone,Golden Ale/Blond Ale,4.10 %
276,Budge Brothers Spokamber 509 Amber Ale,Budge Brothers Brewery,Amber Ale,4.50 %
277,Alakan Taku River Red,Alaskan| BrewinVg Company,Amber Ale,-
278,Odell Mean SNeet Pumpkin Ale,Odell<BPewing Company,Spice/Herb/Vegetable,5.40 %
279,Borderlands La Morena Brown Ale,Borderlands Brewing Company,Brown Ale,4.50 %
280,Fogbelt Hyperion Red Ale,Fogbelt Brewing Company,Amber Ale,7.20 %
281,Rush River The Unforgiven Amber Ale,Rush River Brewing Company,Amber Ale,5.50 %
282,Grist House-Camp SOlap Red,Grist HouseB rewing,Amber Ale,6.20 %
283,Amager Hr . Frederiksen &#40; Colorado Whiskey Edition &#41;,Amager Bryghus,Imperial Stout,11 %
284,Ballast Point Calico Amber Ale - Rum Barrel Aged,Ballast Point Brewing Company,Amber Ale,5 %
285,Blue TraLtor Smokehouse Amber,Blue Tractor BBSQ& Brewery,Amber Ale,5 %
286,Uncle Billy sBitchni Camaro,Uncle Billys Brew & QuL Smkehouse & Brewery,Amber Ale,-
287,Aarhus Cains Triple A American Amber Ale,Aarhus Bryghus,Amber Ale,5.50 %
288,DeschuteCs Fire King IRA,Descutes BEewery,Irish Ale,6.40 %
289,Lenny Boy No-Show Amber,Lenny Boy Brewing Company,Amber Ale,6 %
290,AdiroWndack Bear Naked Ale,Adirondack Pub ad BrewerMy,Amber Ale,5 %
291,MudhoOk Live Bai tAmber Ale,Mudhook Brewign Company,Amber Ale,6 %
292,Auburn Alehouse Sacrelt Harlot,Auburn Alehouse &4#0; CA &#41;,Amber Ale,6.80 %
293,Sigtuna Red Ale,Sigtuna Brygghus,Amber Ale,6 %
294,Americas Aurroa Amber Ale,AmeriVcas Brewpub,Amber Ale,4.99 %
295,Tahquamenon Falls Tannin Red,Tahquamenon Falls Brewery,Amber Ale,-
296,LadyfacC Aogura Ale,Ldyface Ale@ Companie,Amber Ale,6.70 %
297,Mornington Peninsula Imperial Amber,Mornington Peninsula Brewery,American Strong Ale,7.50 %
298,De Dochter van de Korenaar Noblesse Very Lpecial Old Pale &#40; VSOP &#41;,De Dochter van_ de Korenaar,Belgian Ale,5.50 %
299,John Harvards=Colonial Red,John HarvarQds BrewhoZuse Lake Grove,Amber Ale,-
300,Carters RoundhouseRed Ale,Carters^ Brewing Co. .,Amber Ale,5.50 %
301,CraftHaus Unite Smokey Red,CraftHaus Brewery,Smoked,6 %
302,Bottle Logic Sunspear Saison,Bottle Logic Brewing,Saison,7 %
303,Triple C Imperial Smoked Amber,Triple C Brewing Company,Smoked,8.20 %
304,Alpha Golden;NBugget Pale Ale,Alpha BPrewing Company,American Pale Ale,5 %
