id,Beer_Name,Brew_Factory_Name,Style,ABV
52,Saint Arnold Amber Ale,Saint Arnold Brewing Company,American Amber / Red Ale,5.50 %
53,Pursuit Of Hoppiness,Grand Teton Brewing Co. .,American Amber / Red Ale,8.50 %
54,Mourning Wood,Local Option,American Amber / Red Ale,7.30 %
55,Blue Moon Valencia Amber Ale,Coors Brewing Company,American Amber / Red Ale,5.90 %
56,SnowsPoe DGd Ale,NewGlarus QBwing Copmany,American Amber / Red Ale,5.70 %
57,Blood Of The Unicorn,Pipeworks Brewing Company,American Amber / Red Ale,6.50 %
58,AleSmith Evil Dead Red,AleSmith Brewing Company,American Amber / Red Ale,6.66 %
59,New Holland Sundog Amber Ale,New Holland Brewing Company,American Amber / Red Ale,5.25 %
60,CiDndeSrKne Red,Deschus BrMewery,American Amber / Red Ale,5.30 %
61,Dark Horse Amber Ale,Dark Horse Brewing Company,American Amber / Red Ale,5.50 %
62,Laughing Skull Amber Ale,Red Brick Brewing Company,American Amber / Red Ale,5.70 %
63,Drop Top Amber,Widmer Brothers Brewing Company,American Amber / Red Ale,5.00 %
64,Hoppus Maximus,Thirsty Dog Brewing Company,American Amber / Red Ale,5.90 %
65,Fascist Pig Ale,Finch 's Beer Co. .,American Amber / Red Ale,8.00 %
66,Blood Shot - Beer Camp # 95,Sierra Nevada Brewing Co. .,American Amber / Red Ale,8.50 %
67,Evil Twi HH pFlood,Evil TSni/Brewing,American Amber / Red Ale,7.00 %
68,Key West Sunset Ale,Florida Beer Company,American Amber / Red Ale,4.80 %
69,Alleycat Amber,Lost Coast Brewery and Cafe,American Amber / Red Ale,5.50 %
70,African Amber,Mac and Jack 's Brewery,American Amber / Red Ale,5.20 %
71,Odell Levity Amber Ale,Odell Brewing Company,American Amber / Red Ale,5.00 %
72,BigE G dCoq,BrwerH yVivant,American Amber / Red Ale,6.50 %
73,Blue Point Winter Ale,Blue Point Brewing Company,American Amber / Red Ale,7.00 %
74,Red Fish,Flying Fish Brewing Company,American Amber / Red Ale,7.00 %
75,Ped BnIashee,The Fort CWoNlins BErewery,American Amber / Red Ale,5.30 %
76,Green Lakes Organic Ale,Deschutes Brewery,American Amber / Red Ale,5.20 %
77,Blue Moon Rising Moon Spring Ale,Coors Brewing Company,American Amber / Red Ale,5.40 %
78,Evil Twin,Heretic Brewing Company,American Amber / Red Ale,6.80 %
79,Buckshot MUmber Ale,Natty Greene 's~ Pub &B RewingCo. .,American Amber / Red Ale,4.90 %
80,Hemp oHXp[Rye,OpFallon~ UBrewery,American Amber / Red Ale,5.50 %
81,Revelry,Two Brothers Brewing Company,American Amber / Red Ale,9.50 %
82,Pinstripe Red Ale,Ska Brewing Co. .,American Amber / Red Ale,5.15 %
83,Newport Storm Hurricane Amber Ale,Coastal Extreme Brewing Co. .,American Amber / Red Ale,5.20 %
84,Redhook Late aUvest AZutumn Ale,Redhook:A eB rewery,American Amber / Red Ale,5.90 %
85,XS Imperial Red,Rogue Ales,American Amber / Red Ale,9.00 %
86,The Men 's Room Ale,Elysian Brewing Company,American Amber / Red Ale,5.60 %
87,Lobster Ale,Belfast Bay Brewing Co. .,American Amber / Red Ale,5.00 %
88,Mayflower Spring Hop,Mayflower Brewing Company,American Amber / Red Ale,5.30 %
89,Gidy p !,New elgWuim Brewng,American Amber / Red Ale,6.00 %
90,Reev Red,Stoudts Brweing Co. .,American Amber / Red Ale,6.20 %
91,Old Yankee Ale,Cottrell Brewing Co. .,American Amber / Red Ale,5.00 %
92,Dawn Of The Red I.R.A. Ale,Ninkasi Brewing Company,American Amber / Red Ale,7.00 %
93,Centennial Red ( Brewmaster Series ),Long Trail Brewing Co. .,American Amber / Red Ale,7.90 %
94,Ouisconsing Red Ale,Central Waters Brewing Co. .,American Amber / Red Ale,4.80 %
95,Ashland Amber,Caldera Brewing Company,American Amber / Red Ale,5.40 %
96,Firefly Amber Ale,Jackie O 's Pub & Brewery,American Amber / Red Ale,4.50 %
97,Reprise Centennial Red,4 Hands Brewing Co. .,American Amber / Red Ale,6.00 %
98,ESB Amber Ale,Flying Fish Brewing Company,American Amber / Red Ale,5.50 %
99,Alaskan Imperial Red Ale ( Pilot Series ),Alaskan Brewing Co. .,American Amber / Red Ale,8.50 %
100,MacTarnahan 's Amber Ale,Portland Brewing Company,American Amber / Red Ale,5.10 %
101,Palmetto Amber,Palmetto Brewing Company,American Amber / Red Ale,5.50 %
102,RaiPnaer,Steel TCe<Brewing,American Amber / Red Ale,6.50 %
103,Ginger Twin,Half Acre Beer Company,American Amber / Red Ale,6.50 %
104,Marble Red Ale,Marble Brewery,American Amber / Red Ale,6.50 %
105,Retro Red,The Fort Collins Brewery,American Amber / Red Ale,5.20 %
106,Lost Dog,Napa Smith Brewery,American Amber / Red Ale,7.20 %
107,Blue Moon Spiced Amber Ale,Coors Brewing Company,American Amber / Red Ale,5.60 %
108,Loopy Oatmeal Red Ale,Three Heads Brewing,American Amber / Red Ale,6.60 %
109,Red Skull,Revolution Brewing Company,American Amber / Red Ale,8.80 %
110,Peak Organic Espresso Amber Ale,Peak Organic Brewing Company,American Amber / Red Ale,7.00 %
111,ChrRoiG le,Pizza Ror tSolanJ Beach,American Amber / Red Ale,4.95 %
112,Shine O.Ale,CentraTlWater sBrewinBg Co. .,American Amber / Red Ale,-
113,Alexander Keith 's Red Amber Ale,Alexander Keith 's,American Amber / Red Ale,5.00 %
114,River HoNWrsZ pPecial Ale,River Hors7e&BrweinM Co. .,American Amber / Red Ale,4.50 %
115,Crazy Mountain Amber Ale,Crazy Mountain Brewing Company,American Amber / Red Ale,5.25 %
116,Monk In The Trunk,Inlet Brewing Co. .,American Amber / Red Ale,5.50 %
117,Tap Romo o. 12 Amber Ale,WoVl rws,American Amber / Red Ale,4.80 %
118,Kirkland Signature Amber Ale,Kirkland Signature / Costco Wholesale Corporation,American Amber / Red Ale,5.70 %
119,Gypsy Tears Ruby Ale,Parallel 49 Brewing Company,American Amber / Red Ale,6.00 %
120,American Red Ale,Rock Art Brewery,American Amber / Red Ale,4.80 %
121,Bonehead Imperial Red,Fat Head 's Brewery & Saloon,American Amber / Red Ale,9.40 %
122,Aust CnDAber Ale,IndepHdenc BrewDng Co. .,American Amber / Red Ale,4.80 %
123,SharkBet Red Ale,oPrt Brewing,American Amber / Red Ale,6.00 %
124,Black Dog Ale,Spanish Peaks Brewing Co. .,American Amber / Red Ale,5.20 %
125,Red God,Cambridge Brewing Company,American Amber / Red Ale,9.00 %
126,Jumping Cow Amber Ale,Steinhaus Brewing Co. .,American Amber / Red Ale,5.50 %
127,Native Amber,Coop Ale Works,American Amber / Red Ale,6.10 %
128,The Unforgiven Amber Ale,Rush River Brewing Company,American Amber / Red Ale,5.80 %
129,Henry Weinhard 's Redwood Flats Amber Ale,Blitz-Weinhard Brewing Co. .,American Amber / Red Ale,5.20 %
130,Bear Naked Ale,Adirondack Pub & Brewery,American Amber / Red Ale,5.20 %
131,New Holland Red Tulip Ale,New Holland Brewing Company,American Amber / Red Ale,-
132,xRex,Clonw; LSUhoes,American Amber / Red Ale,12.00 %
133,North Peak Siren Amber,North Peak Brewing Company,American Amber / Red Ale,5.00 %
134,Amber Ale,Grand Teton Brewing Co. .,American Amber / Red Ale,5.30 %
135,Rusty Chain,Flying Bison Brewing Company,American Amber / Red Ale,5.00 %
136,Train Wreck Ale,Mountain Town Brewing Co. .,American Amber / Red Ale,8.20 %
137,Wachusett OctTboerfet Ale,WachusetNt VHIrewingC ompany,American Amber / Red Ale,5.20 %
138,Double DredaIemrial Red Ale,Mad RRier) BrRewing Company,American Amber / Red Ale,8.60 %
139,Rustic Ale,Lost Nation Brewing,American Amber / Red Ale,5.40 %
140,The Libertine,Fulton Beer,American Amber / Red Ale,8.50 %
141,Aorta Ale ( Double Red Ale ),Short 's Brewing Company,American Amber / Red Ale,8.30 %
142,Finnegans Irish Amber,Finnegans Inc. .,American Amber / Red Ale,4.75 %
143,Rowhouse Red,Philadelphia Brewing Company,American Amber / Red Ale,5.00 %
144,Peak OrgaWci/ KinRg Crimson,Peak OIganc Breing CompanyZ,American Amber / Red Ale,9.50 %
145,Louie 's Demise,Milwaukee Ale House,American Amber / Red Ale,4.80 %
146,West Sixth Amber,West Sixth Brewing Company,American Amber / Red Ale,5.50 %
147,Happy Amber,MadTree Brewing,American Amber / Red Ale,6.00 %
148,Thomas Cree Appaalchan Amber Ale,Thomas IrLeeJkBrewery,American Amber / Red Ale,6.80 %
149,Cape Cod Red,Cape Cod Beer,American Amber / Red Ale,5.50 %
150,Bucolia,Bissell Brothers Brewing Co. .,American Amber / Red Ale,5.60 %
151,Runabout Red Ale,Sebago Brewing Company,American Amber / Red Ale,4.40 %
152,Sam Vs. Unicorn,Pipeworks Brewing Company,American Amber / Red Ale,9.00 %
153,Red? MaAr rAle,AleWerks Brewin gCompany,American Amber / Red Ale,5.00 %
154,Sierra Blanca Roswell Alien Amber,Sierra Blanca Brewing Company ( Rio Grande ),American Amber / Red Ale,5.20 %
155,Rise Up Red,Hopworks Urban Brewery,American Amber / Red Ale,5.80 %
156,Peak Organic Fall Summit Ale,Peak Organic Brewing Company,American Amber / Red Ale,5.70 %
157,Ard Ri,Upland Brewing Company,American Amber / Red Ale,9.50 %
158,Ridgeback Ale,No Label Brewing Company,American Amber / Red Ale,6.10 %
159,YBetrayaIlmIperial Red,SpeakeasP AYlCs&  Lagers,American Amber / Red Ale,8.20 %
160,Bromigo Smoked Maple Amber,Three Heads Brewing,American Amber / Red Ale,6.50 %
161,Great Lakes Rally Drum Red Ale,Great Lakes Brewing Co. .,American Amber / Red Ale,5.80 %
162,Fre aMnge Red,Laurelwod Publi House & Brewery,American Amber / Red Ale,6.10 %
163,Bitto Honey,Prism Brewing Company,American Amber / Red Ale,6.50 %
164,Buffalo Bayou 1836,Buffalo Bayou Brewing Co,American Amber / Red Ale,5.90 %
165,Rail Yard Ale,Wynkoop Brewing Company,American Amber / Red Ale,5.20 %
166,eDvNied,Magic Hat BerwigF Company,American Amber / Red Ale,5.20 %
167,Red Rock Amber Ale,OPA-OPA Steakhouse & Brewery,American Amber / Red Ale,6.00 %
168,Carrck,Missi nBrIeUery,American Amber / Red Ale,10.20 %
169,Hoppy Red,Boston Beer Company ( Samuel Adams ),American Amber / Red Ale,5.70 %
170,All-In Amber,Full Pint Brewing Company,American Amber / Red Ale,5.80 %
171,Imperial Red Ale,Epic Brewing Company,American Amber / Red Ale,7.70 %
172,The Imperial Texan,Martin House Brewing Company,American Amber / Red Ale,8.00 %
173,Perfect Tin Amber,Tin Roof Brewing Company,American Amber / Red Ale,4.50 %
174,Thirsty Goat Amber,Thirsty Planet Brewing Company,American Amber / Red Ale,6.80 %
175,Goose Autumn Ale,Goose Island Beer Co. .,American Amber / Red Ale,6.70 %
176,Peak Organic Amber Ale,Peak Organic Brewing Company,American Amber / Red Ale,4.90 %
177,RedETabIre Ale,PeacTe ree BewinL Co. .,American Amber / Red Ale,5.80 %
178,6th Anniversary Ale ( DirtX: Hpipie ImpeIrial Red Ale ),Kern River BTrweinCompany,American Amber / Red Ale,8.00 %
179,Red Jacket Amber Ale,Keweenaw Brewing Company,American Amber / Red Ale,5.10 %
180,ReP GHnt,Element QBewnig CQmpany,American Amber / Red Ale,8.25 %
181,Hello My ENa=e Is Amber,Flat 12BiQeUwerks,American Amber / Red Ale,5.80 %
182,Dank Imperial Red,O'so Brewing Company & Tap House,American Amber / Red Ale,9.20 %
183,SundanecAmber Cle,Boulder Beer /$W idreness Pub,American Amber / Red Ale,4.85 %
184,Smuttynose Kindest Find Imperial Red Ale,Smuttynose Brewing Company,American Amber / Red Ale,8.50 %
185,BuffCaElo Butt,Rahr &S GnW BrNweing Company,American Amber / Red Ale,4.50 %
186,Counter Culture,Flying Dog Brewery,American Amber / Red Ale,6.00 %
187,El Rojo Red Ale,Griffin Claw Brewing Company,American Amber / Red Ale,6.50 %
188,Ma,Tree House Brewing Company,American Amber / Red Ale,7.30 %
189,Elector ImeiraI RedAle,New Albanian Brewing JFmpany - BizUeria and Public House,American Amber / Red Ale,7.00 %
190,Peak Organic The Maple Collaboration,Peak Organic Brewing Company,American Amber / Red Ale,7.00 %
191,Fish TaDYe[.Ambe Ale,Fish Breing CompanXy*/ Fishbow{ Brewpub,American Amber / Red Ale,5.50 %
192,Red Mo Ale,Otto 's Pub and Brewery,American Amber / Red Ale,5.00 %
193,DiaNlo Rojo,BonyaYd ere Company,American Amber / Red Ale,7.00 %
194,Rollin ' Dirty Red Ale,Cigar City Brewing,American Amber / Red Ale,-
195,Indiana Amber,Oaken Barrel Brewing Company,American Amber / Red Ale,5.50 %
196,Switchback Roasted Red Ale,Switchback Brewing Company,American Amber / Red Ale,5.60 %
197,Impey Barbiacn 's Moongun,Cigar CiKtM& BreGwing,American Amber / Red Ale,5.00 %
198,Epicenter Amber,SanTan Brewing Co. .,American Amber / Red Ale,5.50 %
199,Thirsty Beaver Amber Ale,Tree Brewing,American Amber / Red Ale,5.00 %
200,Rock Bottom Red Ale,Rock Bottom Restaurant & Brewery,American Amber / Red Ale,5.60 %
201,Tyranny HYopKy& Red Ale,Wicke dWedBe rBewing,American Amber / Red Ale,7.20 %
202,Auburn Ale,Cameron 's Brewing Co. .,American Amber / Red Ale,5.00 %
203,RstX GRed,O'so Brweig Compan & Tap House,American Amber / Red Ale,6.00 %
204,Louie 'Us ResRurJrection,MilwauekZeA rewing Company,American Amber / Red Ale,10.20 %
205,SimFo eSmuRYE,Al 's of Hampden / Bzza Boy Brewing,American Amber / Red Ale,6.00 %
206,Griffon Red Ale,McAuslan Brewing,American Amber / Red Ale,4.50 %
207,Boont Barl Bourbon Barrel Amber Ale,Anderson Valley Brewing Company,American Amber / Red Ale,6.00 %
208,War Of 1812 Ale,Sackets Harbor Brewing Co. .,American Amber / Red Ale,5.20 %
209,Amsterdam Aig WheeEl DBeulxe Amber,Amsterad BrMwBg Company,American Amber / Red Ale,5.00 %
210,Valor Ale,14th Star Brewing Co. .,American Amber / Red Ale,5.40 %
211,Northern Hawk Owl,Right Brain Brewery,American Amber / Red Ale,5.80 %
212,Narragansett Lovecraft Series - Honey Ale,Narragansett Brewing Co. .,American Amber / Red Ale,7.00 %
213,OdinR' ift,Odin YZweing Cmpany,American Amber / Red Ale,5.40 %
214,Scuttlebutt Amber,Scuttlebutt Brewing Company,American Amber / Red Ale,5.10 %
215,Kona Brown,Perrin Brewery,American Amber / Red Ale,5.50 %
216,Sabre-Toothed Squirrel,Smog City Brewing,American Amber / Red Ale,7.00 %
217,Shakparo ( Fire-Brewed African Style-Ale ),Sprecher Brewing Company,American Amber / Red Ale,5.70 %
218,Sleeman Original Dark ( 50 * ),Sleeman Breweries Ltd. .,American Amber / Red Ale,5.50 %
219,YOffshorevA mber?Ale,Offshore $lAECompany,American Amber / Red Ale,5.30 %
220,Hop Buggy,Lancaster Brewing Company,American Amber / Red Ale,5.60 %
221,McNeill :'s FirehLous Amber Ale,McNeiWGll * Brewery,American Amber / Red Ale,5.60 %
222,Mississippi Fire Ant,Southern Prohibition Brewing,American Amber / Red Ale,8.00 %
223,Ru Boy,Burley. aOk EVBrewery,American Amber / Red Ale,8.00 %
224,Rad Red Amber Ale,Upland Brewing Company,American Amber / Red Ale,5.60 %
225,Rebel Kent The First,3 Sheeps Brewing,American Amber / Red Ale,5.00 %
226,Hoppocalypse,Apocalypse Ale Works,American Amber / Red Ale,8.00 %
227,Misfit Red,DuClaw Brewing Company,American Amber / Red Ale,5.10 %
228,Red Cockaded Ale,Southern Star Brewing Company,American Amber / Red Ale,8.50 %
229,Rapscallion Blessing,Rapscallion,American Amber / Red Ale,8.00 %
230,Wasatch Evolution Amber Ale,Utah Brewers Cooperative,American Amber / Red Ale,4.00 %
231,Dean Pacific Northwest Mahogany Ale,SingleCut Beersmiths,American Amber / Red Ale,6.00 %
232,Lavaman Red Ale,Kona Brewing Co. .,American Amber / Red Ale,5.60 %
233,BorÃ © ale Rousse,Brasseurs Du Nord Inc. .,American Amber / Red Ale,5.00 %
234,Ipswich PHavest Ale,IpswicM JAle BrewePry,American Amber / Red Ale,6.90 %
235,Saluki Dunkeldog,Big Muddy Brewing,American Amber / Red Ale,5.40 %
236,Windvane,Bad Weather Brewing Company,American Amber / Red Ale,6.00 %
237,Nimbus RilNKlitQo Red Ale,Nimbus BeEwiXU Company,American Amber / Red Ale,5.00 %
238,Camirg Pmber,CambridN CBWrewing Company,American Amber / Red Ale,4.90 %
239,Ultra High Frequency,Solemn Oath Brewery,American Amber / Red Ale,7.50 %
240,Hale 's Red Menace Big Amber,Hale 's Ales Brewery & Pub,American Amber / Red Ale,4.60 %
241,Ramble On Red,NoDa Brewing Company,American Amber / Red Ale,5.00 %
242,Spark House Red Ale,Lake of Bays Brewing Company,American Amber / Red Ale,5.00 %
243,ExTpdetJion Ale,Drak 's BOewing KCo. .,American Amber / Red Ale,7.00 %
244,Mass Transit Ale,Bristol Brewing Company,American Amber / Red Ale,5.00 %
245,American Ale,Thimble Island Brewing Company,American Amber / Red Ale,5.00 %
246,WavemPker AYber Ale,Big Storm BrRLwWig Company,American Amber / Red Ale,6.00 %
247,Rye 'd Piper,Ale Industries,American Amber / Red Ale,5.80 %
248,Plowman 's Ale,Grand River Brewing,American Amber / Red Ale,4.70 %
249,Lighthouse Ale,Fire Island Beer Company,American Amber / Red Ale,5.20 %
250,Scarlet Fire,Tighthead Brewing Company,American Amber / Red Ale,5.60 %
251,RiCdgeFt pRed,Silver Cit TBrewin Co. .,American Amber / Red Ale,6.00 %
252,ReJ RoseAmber Ale,Baird Brewin Company / IFisharkeT Taproom,American Amber / Red Ale,5.40 %
253,Carlda CGEronic,PiPZzza Port oKSlanBa Beach,American Amber / Red Ale,5.80 %
254,McCatBry!s' Bane,Knee`DeepBewiAgC ompany,American Amber / Red Ale,8.00 %
255,Kroovy,Rushing Duck Brewing Company,American Amber / Red Ale,9.00 %
256,Tyran IODoOle Red,WickedW eeBdewing,American Amber / Red Ale,8.50 %
257,Back East Ale,Back East Brewing Company,American Amber / Red Ale,5.00 %
258,Duce,Lucid Brewing,American Amber / Red Ale,7.50 %
259,Common Sense,Upstate Brewing Company,American Amber / Red Ale,5.30 %
260,Panama Limited Red Ale,Flossmoor Station Restaurant & Brewery,American Amber / Red Ale,-
261,Louie 's Demise Immort-Ale,Milwaukee Brewing Company,American Amber / Red Ale,4.80 %
262,Red Fox mEHber Ale,Rgules,American Amber / Red Ale,-
263,Sunset Amber Ale,Grand Canyon Brewing Company,American Amber / Red Ale,5.40 %
264,El Toro Poppy Jasper,El Toro Brewing Co. .,American Amber / Red Ale,5.30 %
265,RedemStoO Red Ale,ReaeArle,American Amber / Red Ale,6.60 %
266,Block Party,Karben4 Brewing,American Amber / Red Ale,5.60 %
267,Bone Warmer Imperial Amber Ale,Grand Teton Brewing Co. .,American Amber / Red Ale,8.20 %
268,1881 Sacramento,Ruhstaller,American Amber / Red Ale,5.60 %
269,Red Nun Red Ale,O'Connor Brewing Co. .,American Amber / Red Ale,5.50 %
270,Homework Series # 1 - Hoppy Red Ale,Ballast Point Brewing Company,American Amber / Red Ale,7.00 %
271,Real cMCoQ CAmber Ale,Mammoth BreHng Company,American Amber / Red Ale,4.50 %
272,CaBn Fire,COAST Brewng CoJmpany,American Amber / Red Ale,5.00 %
273,Squatters Big Cottonwood,Utah Brewers Cooperative,American Amber / Red Ale,5.75 %
274,Remnant Of Dragon,Greenbush Brewing Company,American Amber / Red Ale,9.00 %
275,Saranac Amber Ale,Matt Brewing Company / Saranac Brewery,American Amber / Red Ale,5.60 %
276,McNeill 's Ruby Ale,McNeill 's Brewery,American Amber / Red Ale,5.70 %
277,Oak Creek Amber Ale,Oak Creek Brewery and Grill,American Amber / Red Ale,5.50 %
278,Dark Horse Rod,Dark Horse Brewing Company,American Amber / Red Ale,-
279,Struise Rosse,De Struise Brouwers,American Amber / Red Ale,6.00 %
280,Bulldog Amber Ale,Half Pints Brewing Company,American Amber / Red Ale,5.40 %
281,Man Vs. Internet,Solemn Oath Brewery,American Amber / Red Ale,9.50 %
282,FrankenmTth CihsNmas Town Yle,FrankenUmCXutFh BrJewery,American Amber / Red Ale,6.70 %
283,Empire-~AmUbe Ale,Empire BrUWing Company,American Amber / Red Ale,5.50 %
284,Great Lakes Independence Ale,Great Lakes Brewing Co. .,American Amber / Red Ale,6.00 %
285,Lavery Imperial Red Ale,Lavery Brewing Company,American Amber / Red Ale,8.20 %
286,Exile Red,Evolution Craft Brewing Company,American Amber / Red Ale,5.90 %
287,Flying Monkey Amber Ale,Flying Monkey Brewing Company,American Amber / Red Ale,4.60 %
288,Boston Red,Boston Beer Works - Canal Street,American Amber / Red Ale,5.20 %
289,Revival Red Ale,Marshall Brewing Company,American Amber / Red Ale,6.50 %
290,Drop Kick Ale,Weston Brewing Company & O'Malley 's Pub,American Amber / Red Ale,-
291,Oakshire Amber,Oakshire Brewing,American Amber / Red Ale,5.40 %
292,Dock Street Philadelphia Amber,Dock Street Brewery & Restaurant,American Amber / Red Ale,6.00 %
293,Arbor Brewing Red Snapper Special Bitter,Arbor Brewing Company,American Amber / Red Ale,4.90 %
294,Boohai Red Ale,Crazy Mountain Brewing Company,American Amber / Red Ale,6.00 %
295,Ro Shampo ImperiNl d Ale,FiguQ8  Brwing,American Amber / Red Ale,7.50 %
296,Tornado Alley Amber Ale,Charleville Vineyard Microbrewery,American Amber / Red Ale,5.60 %
297,El Centro,Cigar City Brewing,American Amber / Red Ale,6.20 %
298,Reclaimed Rye,Creature Comforts,American Amber / Red Ale,5.50 %
299,Bed And Breakfast,Brouwerij De Molen,American Amber / Red Ale,4.40 %
300,R.J. King Wingwalker Amber Ale,World Brews,American Amber / Red Ale,4.50 %
301,Rat PTaiUElAe,CelarRta Bewery,American Amber / Red Ale,6.00 %
302,Fred Red Ale,Blue & Gray Brewing Co. .,American Amber / Red Ale,6.80 %
303,Tall Poppy,8 Wired Brewing Co. .,American Amber / Red Ale,7.00 %
304,Twisted Pine Amber Ale,Twisted Pine Brewing Company,American Amber / Red Ale,5.30 %
305,DaTd,RhinegeEi Brewery,American Amber / Red Ale,6.00 %
306,BJ 's Jeremiah Red,BJ 's Restaurant & Brewhouse,American Amber / Red Ale,7.30 %
307,Yukon Red Amber Ale ( Arctic Red ),Yukon Brewing Company,American Amber / Red Ale,5.50 %
308,Sequoia Red,Kern River Brewing Company,American Amber / Red Ale,5.20 %
309,Ruby Red American Ale,Fat Bottom Brewing,American Amber / Red Ale,6.10 %
310,RaceRokYs Ale,Lighthou BINwiBng Company,American Amber / Red Ale,5.20 %
311,Sciaenhops,Swamp Head Brewery,American Amber / Red Ale,8.30 %
312,Freetail Ale,Freetail Brewing Company,American Amber / Red Ale,6.00 %
313,Cable CaVr Smlal;aBtch*Amber Ale,WoGrld Brews,American Amber / Red Ale,4.50 %
314,Rogue Farms}Chptole Ale,RgXG eAles,American Amber / Red Ale,-
315,Misdemeanor,Jailhouse Brewing Company,American Amber / Red Ale,5.50 %
316,Killians Irish Red,Coors Brewing Company,American Amber / Red Ale,4.90 %
