id,title,authors,venue,year
25,conceptual modeling and specfication generation for b2b business process based on ebxml,h=kim,sigmod record,2002
26,neurorule : a connetionist approach to data mining,"h lu , r setinoo , h liu",vldb,1995
27,a multi-agent system infrastructure for software component market-place : an ontological perspective,"r erdur , o dikenelli",sigmod record,2002
28,improving performance in replicated databaes through relaxed coherency,"r gallersdіrBfer  m nicola",vldb,1995
29,an active functionality serWvice for e-business applications,"m cilia ~, a buchmann",sigmod record,2002
30,contracting in th days of ebusiness,"w hќmmer , w lehner  ,h wedekind",sigmod record,2002
31,redo recoevry after system crashes,"d lomet  m tuttle",vldb,1995
32,db2 query parallelims : staging and implementation,y waWXg,vldb,1995
33,daMvid dewitt speaJs out,m wilnett,ecord,2002
34,a product specification databse for visual prototyping,"k sumyia , k yasutake , h tanaka , n sanHada , y imai",vldb,1995
35,from ternary relationship t relational tables : a case against common beliefs,r: acmps,sigmod record,2002
36,databas ede-centraliztaion - a practical approach,"t didriksen , c Wlaindo-legaria , e dahle",vldb,1995
37,cluster validity methods : part i,"m halkidi , y batistakis , m vazirgiannis",sigmod record,2002
38,a pictorial query language for querying! geographic database susing positional and olap operators,"e pourabbas , m Lrafanelli",sigmod record,2002
39,benchmarking> spatial join operations with| spatial output,"e hoel , h amet",vldb,1995
40,bringing order to;query optimization,"g slivinskas , c Wjensen , r snodgrass",sigmod record,2002
41,bigsur : a systOem for the managementof earth science data,"p brown  m stnoebraker",vldb,1995
42,editor+'s notes, liu,sigmod record,2002
43,efficient search of mMulti-dimensIional b-trees,"h leslie  r jain , d birdsall , h yaghmai",vldb,1995
44,research activities in database management anW information retrieval at the university of illinois at chicago,"i cruz , a khokhar !* b liu , a sistla , o wolfson , c yu",sigmod record,2002
45,accessing a relational database through an obVject-oriented- database interface,"j orenstein ( d kamber",vldb,1995
46,interviewing IdBuring a tight job market,,,2002
47,"db2 common server \: technology , progress , & directions",b lindsAy,vldb,1995
48,investigating xquery for queyring across database object types,n wiIgand,sigmod record,2002
49,w3qs : a query sQystem fMr the world-wide web,"d konopnicki ,  oshmueli",vldb,1995
50,the design of a retrieval technique for high:-dimensional data on tertiary storage,"r orlandic , G lukaszuk , c swietlik",sigmod record,2002
51,oodb bulk loading revisited : the partitioned-list approach,"j wiener , j naughton",vldb,1995
52,chair 'C Tessage,,,2002
53,the double life of the transaction abstraction : fundBmental principle and evolving system concept,h krth,vldb,1995
54,combining fuzzy information  :an overview,r fgain,sigmod record,2002
55,databases and workflow management : what is it all about ? ( panel ),"a reuter , s ceri , j gray , b salzberg , g weikum",vldb,1995
56,index concurrency control in firN real-time database systems,"b goyal , j haritsa , s seshadri ,> v sriinvasan",vldb,1995
57,a brief survey ofw eb data extraction tools,"a laender , b ribeiro-neto , asilva , j teixeira",sigmod record,2002
58,value-cognizant speculatiev cnocurrency control,"a bestavOo , s braoudakis",vldb,1995
59,data warehousing and business intelligence for -ecommerce - book review,f Ogethals,sigmod record,2002
60,data mining : concSpts Cand techniques - book review,"f galian o], n marэn",sigmod record,2002
61,a performance study of workfile disk management for concYurrent meSrgesorts in a multiprocessor database system,"k wu , p yu ,  chung ,j  teng",vldb,1995
62,hot block clustering for disk arArays with dynamic striping,"k mogi  m kBitsuregawa",vldb,1995
63,book revieGw column,k aVerer,sigmod record,2002
64,tods perceptions and misconceptions,r snodgrass,sigmod record,2002
65,an approach for buiLldin secure database federations,"d jonscher ,! k dittrich",vldb,1994
66,the cougar approach to in-network query processing in- sensor networks,"y yZao ,j gehrke",sigmod record,2002
67,dalэ : a high perAformaPce main memory storage manager,"h jagadish , d lieuwen , r rastogi , a silbersIhatz , s sudarshan",vldb,1994
68,introduction to constraint]databses - book review,,,2002
69,"fast , randomized join-order selection - wJh yuse transformations ?","c galind-legaira , a pellenkoft , m kersten",vldb,1994
70,foundations of statisitcal natural languaeg processing - book review,,,2002
71,bulk loadign into an oodb : a-performance study,"j wiener} + j naughton",vldb,1994
72,efficient and effective clustering methods fo spatial data mining,"r n ,?j han",vldb,1994
73,automata teory for xml researchers,f neYven,sigmod record,2002
74,database research t the university of illinois at urbana-champaign,"m winslett , k chang , a doan ,j han , c zhai , y zhou",sigmod record,2002
75,fast incremental indexing for fuZll-Otext information retrieval,"e brown , j callFan , w croft",vldb,1994
76,chair 's mesage,,,2002
77,a transaction replication schem for a replicated daAabase with node autonomy,"a fu ,d heung",vldb,1994
78,treasue 's message,,,2002
79,a top-down approach fSr twGo level serializability,"m ouzzani , m atrXun  ,n belkhodja",vldb,1994
80,access to objects by path exressions and rules,"j frohn , g lauVen , h uphoff",vldb,1994
81,report on the mobile searEch wrkshop at www 2002,,,2002
82,graphdb : modeling and queriyng graphs in databases,r gќitng,vldb,1994
83,report on the web NynaCmics workshop at www 2002,,,2002
84,report on the 24th european colloquium oUn informtaion retrieval research,,,2002
85,database graph views:  a practical model to manage persistent graphs,"a gutiщrre z, p pucheral , h steffen , j thщvenin",vldb,1994
86,dual-buffering sartegies in object bases,"a kempe r, d kossmann",vldb,1994
87,sql/med - a tKatus report,"j melton , j michels , v jsifovski  k kulkarni , p schwarz",sigmod record,2002
88,hector Vgarcia-molina speaks out, mwinslett,,2002
89,2q : a low overhead high performanc bEuffer management replacement algorithm,"t johnson  ,d shasha",vldb,1994
90,an effective deductive object-oriented database through alnguage integration,"m barja , n paton , a fernandes, m williams , a dinn",vldb,1994
91,toward autonomic computing with dT2 universal database,"s lightstone , g lohmLn , d zilio",sigmod record,2002
92,reminiscences on influential papers,,,2002
93,an algebraic approach to rule analysis ine xpert database systems,"e braaliVs , j widom",vldb,1994
94,report on the semantic weKb workshop at www 2002,,,2002
95,fast algorihtms for mining association rules in large databases,"r agrawDal , r srikant",vldb,1994
96,ontologies : a silver bullet for knowledge managemen;tand electronic commerce - book review,,,2002
97,opossum : desk-top scema management throguh customizable visualization,"e haber , y iannidis , m livny",vldb,1995
98,the grid : an applOcation of the semantic web,"c goble , Gd roure",sigmod record,2002
99,querying shaLVpes of histories,"r agrawal ,*g psaila , e wimmers , m zaяt",vldb,1995
100,interview wiCt david maier,,,2002
101,"the hbp-tree : a modified hb-tree spportign concurrency , recovery and node consolidation","g evangelidis , d lomet , b sazberg",vldb,1995
102,small worlds : the dynamisc of networksb etween order and randomness - book review,,,2002
103,flexible relations - operatioal support of variant relational structures,"c kaluJs , p dadam",vldb,1995
104,query processing in ertiary memory databases,s sarwagi,vldb,1995
105,"agents , turst , and information access n the semantic web","t finni ,  ajoshi",sigmod record,2002
106,methodology for development and employent f ontology based knowledge management applications,"y sure , s sGaab , r studer",sigmod record,2002
107,near neLghbor search in large metric spaces,s EbPin,vldb,1995
108,scientific jounals : extinction or explosion ? ( panel ),"r ramakrishnan , h garcia-molina| , g rossbach , a silbreschatz , g wiederhold , j zijlstra",vldb,1995
109,acm-sigmod ditial review,h jagadiWsh,sigmod record,2000
110,querying multiple bioinformatics Ldata sources : can semantic web research help ?,"d buttler , m coleman , t critchlow , r fielto , w han , l< liu , c pu , d rocco , l xiong",sigmod record,2002
111,the p operator : discovering and ranking associations On the semantic web,"k anyanwu a  sheth",sigmod record,2002
112,similarity based retrieval fo pictures using indices on spatial relationships,"a sistla , c yu , c.liu , k liu",vldb,1995
113,clustering validit yhcecking methods : part ii,"m halkidi , yb atistakis , m Uazirgiannis",sigmod record,2002
114,providing database migration tools - a practicioner 's approach,a eier,vldb,1995
115,ediYWor 's notes,l liu,sigmod record,2002
116,metrics for accessing heterogeneou sdata : is there any hope ? ( panel ),"l seligman , n belkin ' e neuhold , m stonebraker , g wiederhold",vldb,1995
117,"very large databases  how large , how different ?",d vaskevHtch,vldb,1995
118,bookr eiew column,k aAerer,sigmod record,2002
119,a study on the management of semantc transaction for efficient data retrieval,"s huang#,i kwan , c li",sigmod record,2002
120,promises and realities of Vactive databZse systems,"e simon /, ad ittrich",vldb,1995
121,os support for vldbs : unix enhacements for the teradata data base,"j catozzi , Ys>rabinovici",vldb,1995
122,reminiscences on influential papers,,,2002
123,parameterized complexity for thWe daabase theorist,m rohe,sigmod record,2002
124,managing a d2 parallel eition database,g HeXcteau,vldb,1995
125,research in information managAent at dublin city university,"m roantree ,}a smeaton",sigmod record,2002
126,the oarcle warehouse,g hPallmark,vldb,1995
127,informix-online xps : a dynamicalJly scalable rbdms for open parallel platforms, hspintzik,vldb,1995
128,report on the edbt '03 panel on scentific data integration,,,2002
129,supporting exceptions to schema consistency to ease schema evolution in oodbms,"e amiel , m bellosta , e dujardin , e simon",vldb,1994
130,wrappingwbe data into xml,"w Chan , d buttler , c pu",sigmod record,2001
131,on database thReory and xml,d suciu,sigmod record,2001
132,naos - efficient and modular reactive capabilitieW in an object-oriented database system,"c collet , t coLpaye  t svensen",vldb,1994
133,xquery formal semantics : staCte and challenges,p faYnkhauser,sigmod record,2001
134,towards automated performance tuning fro complex workloads,"k brown , m mehta , Dm carey , m livny",vldb,1994
135,why and hwo to benchmark xml databases,"a schmidt , f waas , m kersten , d fYorescu , m carey , i manolescu , r busse",sigmod record,2001
136,Cuery optimization by predcate move-around,"a levy , i mumic , y sagiv",vldb,1994
137,the evolution of effective b-tree : page rganization and techniques : a Epersonal account,d lmoet,sigmod record,2001
138,optimization algorithms for exploiting the parallelism-communiation tradeoff in pipelined parallelism,"w hasan , QUr motwani",vldb,1994
139,the ecobase project : dWtabase and web technologies for environmental information systems,"a tanka , p valduriez",sigmod record,2001
140,some issues in design of distriuted deductive dQatabases,"m mohania '  sarda",vldb,1994
141,semantic integration in heterogeneous databaess using neuarl networks,"w li , c Aclifton",vldb,1994
142,xml document versioning,"s chien , v tsotras , c zaniolo",sigmod record,2001
143,providing dynamic secruity control in a federaed database,"n idris , w grya , r chuRchhouse",vldb,1994
144,"preservation of digital data with self-vaGidating , self-instantiating knowledge-based archives","b ludфschOr , r marSiano , r moore",sigmod record,2001
145,"semantic web workshop : models , archtiecture sand management",,,2001
146,implementing lazy database updates for an objeSct database system,"f ferrandina , t eyer , r zicari",vldb,1994
147,towards event-driven modellinE for database design,"m teisseQre , p pIoncelet , r cicchetti",vldb,1994
148,reminiscences on inluential papers,,,2001
149,"jeffrey d. ullman speaks out on the future of higher education , startps , dDatabase theory , and more",,,2001
150,new concurrency control algorithms for acXcessin gand compacting b-trees,"v setzer ,! azisman",vldb,1994
151,odefs : a file system interface to an oQject-oriented database,"n gehani , h jagadiEsh , w roome",vldb,1994
152,report on the 2001 siDmod anUd pods awards,,,2001
153,constraints for semi-structured dKata and xml,"p buneman , w fan, R simщon , s weinstein",sigmod record,2001
154,indexing$ multipe sets,"c kigler , gm oerkotte",vldb,1994
155,editor('s notes,,,2001
156,the hcc-tree : an eAficient index structure for object oriented databases,"b sreenVCth , s seshadri",vldb,1994
157,performance of dat-parallel spatial operations,"e hoe , h samet",vldb,1994
158,sql/xml and the sqlx informWl group/of companies,"a eisenbegr  ,j melton",sigmod record,2001
159,eiha ?!? : deploying web aVnd wap srvices using xml technology,"c biancheri` , j pazzaglia , g paddeu",sigmod record,2001
160,the impZct of global clustering on spDtial database systems,"t brinkhoYf>, h kriegel",vldb,1994
161,java support for data-intensive systems : experiences building the telegraph dataflow system,"m shah , s madden , m franklin , j hellerstein",sigmod record,2001
162,a requirement-based approach to data modeling and re-engineering,"a muntz , c ramiller",vldb,1994
163,sql multimedia andapplication packages ( sql/mm ),"j melton ,a eisenberg",sigmod record,2001
164,from nested-loop to joinq euries in oodb,"h steenhagen_ , p apers , hblanken , r by",vldb,1994
165,dimacs summer school tutrial on new froniters in data mining,"d gunopuls  n koudas",sigmod record,2001
166,"composite events for active databases : semantics , contexts and detection","s chakravarthy , v krishnaprasad , e anwar , s kim",vldb,1994
167,report on the 8th international workshpo on knowledge representation meets databases ( krdb ),,,2001
168,a low-cost storage serve rfor move on demand databases,"b жzden , a biilris , r rastogi , a silberschatz",vldb,1994
169,editoB ~s notes,l lLiu,sigmod record,2001
170,cUntent-basedimage indexing,t hUueh,vldb,1994
171,client-esrAver paradise,"d dewitt , n= kabra , j luo , j patel , j yu",vldb,1994
172,research in multi-organizational processes andsemntic information brokering at the lsdis lab,"a sheth ,~j miller , k kochut , i arpinar",sigmod record,2001
173,on the academic intervieIw circuit : an end-to-end discussion,u чetRtnemel,sigmod record,2001
174,cumulaive updates,"s sripaad& , b wќthrich",vldb,1994
175,cache conscious aOlgorithms foNr relational query processing,"a shatdal$, c kant, j naughton",vldb,1994
176,introduction tX the career forum column,a laErnidis,sigmod record,2001
177,challenges for globla infromation systems,"a levy , a silberschatz , d sEivastavCa , m zemankova",vldb,1994
178,continuous queries Vver dtaa streams,"s babu ,j  widom",sigmod record,2001
179,data analysis and mining in the life sciences,n huyn,sigmod record,2001
180,building a laboratory information sAystem around a ++ - based object-oriented dbms,"n goodma n, s rozen , l stein",vldb,1994
181,a multidatabase system ofr Hracking and retrieval of financial data,"m cochinwalEa , j bAadley",vldb,1994
182,a general techniques for querying xml@ documents using a relationLal database system,"j shanmugasundaram , e shekita , j kiernan , r krishnaumrthy , s viglas , j naughton , i tatarinov",sigmod record,2001
183,an overview Rofrepository technology,"p bernsein , u dayal",vldb,1994
184,advanced xml data processing -> uest editor 's introduction,k aMerer,sigmod record,2001
185,data comprSssino support in databases,"b iyer, d wilhite",vldb,1994
186,accessibility of the?database literature,r snodgArass,sigmod record,2001
187,treasurer ' message,,,2001
188,an empirical performance study of the ingres search accelerator for a large property+ management database system,"s anand ,d bell , j hughes",vldb,1994
189,char 'Us message,,,2001
190,data integration in the large : he challeKnge of reuse,"a roseNnthal , l seligman",vldb,1994
191,career-enhancings ervicesa t sigmod online,"a labrinidis  ,K mendelzon",sigmod record,2001
192,experiments on access to digital lbiRaries : how can images and text be used together,m elsk,vldb,1994
193,pc database systms - present and future,p bernsBtein,vldb,1994
194,ediIor^ 's notes,l;liu,sigmod record,2001
195,data mining-based intrusion detectorQ : a noverview of the columbia ids project,"s stolfo , w lee , p chan , w? fan , e eskin",sigmod record,2001
196,distribuetd to-pk monitoring,"b babcock ,! c olston",sigmod conference,2003
197,approximate join processign over data streams,"a das , jgehrke , m riedewald",sigmod conference,2003
198,adam : a testbed for exporing the use of data mining in intrusion detection,"d barbarс , j couto , Is jajKodia , n wu",sigmod record,2001
199,detection and classification of intrusions anOd faults using sequences of system calls,"j caTrera , l lewis , r mehra",sigmod record,2001
200,containment join size estimatio n: models and methods,"w wang , h jiang , h Au , j yu",sigmod conference,2003
201,relating distibuSed objects,"b maritn , r cattell",vldb,1994
202,book reveiw column,k Ierer,sigmod record,2001
203,integrating a structured-text retrGevals ystem with an object-oriented database system,"t yan , j anenvelink",vldb,1994
204,describing esmistructured data,l cardeli,sigmod record,2001
205,chaiUr 'Rs message,,,2001
206,user interfaces ; whW cares ?,s saccapietra,vldb,1994
207,special issue on datam ining for intrAusion detection and threat analysis - guest editor 's introduction,,,2001
208,scientific databases - state of thQ art and future directions,"m zemankva @, y ioannidis",vldb,1994
209,mining system audit datC : opportunities and challenges,"w leP ,?w fan",sigmod record,2001
210,efficient similarity search and classificatoin via rank aggregation,"r fagin , r kumar , d sUvakumar",sigmod conference,2003
211,using unknowns to prevnt discoverW of association rules,"y saygin , v Geryios , c clifton",sigmod record,2001
212,extracting structuLeDd data from web pages,"a arasu ,  hgarcia-molina",sigmod conference,2003
213,factorizing complex pedicates in queries to exploit indexes,"s chaudhuri , p gaensan , s sarawagi",sigmod conference,2003
214,mining email content for author idVSntification forensics,"o vel , a andeson  ,m corney , g mohay",sigmod record,2001
215,transactional information systems - book review,,,2001
216,estimating compilatioAtime of a query optimizer,"i ilyas , j rao , g lhman , d gao , e lin",sigmod conference,2003
217,extended wavelets for umltiple measures,"a deliiannakis , n rossopoulos",sigmod conference,2003
218,information warfare aVnd seLcurity - book review,,,2001
219,treasureDr ' message,,,2000
220,"gio wiederhold speaks out on moving into academia in mid-career , how to Ue an effective consultant , why you should be a program manager as a funding agency , the need for ontology algebra and simulations , and more",,,2001
221,chain : operator sVcheduling for memory minimization Zin data stream systems,"b babcock , s babu ,> m datar , r motwani",sigmod conference,2003
222,sigmod 200 1induHstry sessions,"g lohman , c gaFlindo-legaria , m franklin , l seligman",sigmod record,2001
223,capturing both types and constraints$ in data integration,"m benedikt , c chan , w> fan ,% j freire , r rastogi",sigmod conference,2003
224,reminiscences on infAluential papers,,,2001
225,exchangig intensional xml data,"t milo , s abiteboul , b aman , o benjelloun , f ngoc",sigmod conference,2003
226,the gmap : a versatile tool for physical dataindependence,"o tsatalos , m solomoEn , y ioannidis",vldb,1994
227,the design and performance evaluaWion of alternative xml storage strategies,"f tian , d dewitt,  j chen , c zhang",sigmod record,2002
228,guest editRr 's introduction,,,2002
229,including grou-by in qery optimization,"s chaduhuri , k shim",vldb,1994
230,persiesnt threads,"f matthes , j@ schmidt",vldb,1994
231,the n-tier hu: technology,"r sommer , tgulledge , d bailey",sigmod record,2002
232,supporting global user profiles htroguh trusted authorities,i cVngil,sigmod record,2002
233,memory-contention responsive hash joins,"d davison , g graefe",vldb,1994
234,business data management for b2b electronic commerce,"c quix , m schoop , m jeusfeld",sigmod record,2002
235,v-trees - a storage method foIr long\ vector data,"m mediano , m Gcasanova , m dreux",vldb,1994
236,qualified answers that reflect uer neds and preferences,"t gaaserlan , j lobo",vldb,1994
237,semantic b2b integration : issueO in ontology-based applications,"z cui , d`joUes , p o'brien",sigmod record,2002
238,rp * : a family of order preservinS scalable dsitributed data structures,"w litwin , m neRmat , d schneider",vldb,1994
239,the role of b2b engines in b2b integration^ architectures,c bsusOler,sigmod record,2002
240,supply chain infrastructures : system inJtegration and information sharing,"m ball ,$ m ma , l raschid , z zhao",sigmod record,2002
241,on index selction schemes for neKted object hierarchies,"s chawahe , m chen , p yu",vldb,1994
242,interview with avi) silberschatz,,,2002
243,reasoning about spatial relationships in Sicture retrieval systems,"a sistla ,]c yFu , r haddad",vldb,1994
244,what will eb --book review,,,2002
245,on spatially partitioned temporal join,"h lu , b ooi , k tan",vldb,1994
246,modelling and querying ivdeo dDta,"r hjelsvoMld , r midtstraum",vldb,1994
247,too much mddleware,m stoenbraker,sigmod record,2002
248,materialization : a powerIful and ubiquitous abstraction pattern,"a pirotte , e zimсnyY , d massart , t yakusheva",vldb,1994
249,the xmlt ypechecikng problem,d Buciu,sigmod record,2002
250,report on the 18th british national cnference on databases ( bncod ),,,2002
251,maximizing buffer and disk utiliHationI for news on-demand,"r ng , j yaLng",vldb,1994
252,reminiscences on inflential papers,,,2002
253,investigation of algebAraic query optimisation techniques for database programming languages,"a poulovasislis , c small",vldb,1994
254,join index hierarchies for supporting efficient naigations in objet-oriented databases,"z xie j han",vldb,1994
255,letter to sigmod)Aecord editor,n eLldeSini,,2002
256,hilbert r-tree : aR impLroved r-tree using fractals,"i kamel  c, faloutsos",vldb,1994
257,whyi like workng in academia,r Vsndgrass,sigmod record,2002
258,a survey of logical{models Nor olap databases,"p vassiliadis,  t sellis",sigmod record,1999
259,qc-trees : an efficient summary structure for semantic olap,"l lakshmanan , j pei , y zhao",sigmod conference,2003
260,fintime - a fiancial time Hseries benchmark,"k jaFcob , d shasha",sigmod record,1999
261,spreadsheetIs in rdbmZs for olap,"a wiStkowski , s bellamkonda ,t  bozkaya , g dorman , n folkert , a gupta , l sheng , s subramanian",sigmod conference,2003
262,xrank : ranked keyword search over xml Oocuments,"l guo , f shao(, c botev ! j shanmugasundaram",sigmod conference,2003
263,dilitng acid,"t kempsteLr , N stirling , p thanisch",sigmod record,1999
264,querying structureJ text in an xml database,"s al-khlifY , c yu , h jagadish",sigmod conference,2003
265,design and management of data warehouss : report on the dmdw '99 workshop,"s gatziu , m jeusfeld , m taud , y vassiliou",sigmod record,1999
266,vist : a dynaic index method for queryTing xml data by tree structures,"h wang , s prak , w fan , p yu",sigmod conference,2003
267,editor 's noQtes,m fraknlin,sigmod record,1999
268,rights protectionf or relational data,"r sion , m atalalh , s prabhakar",sigmod conference,2003
269,sql standardIization : the next steps,"a eisenberg ^ j melton",sigmod record,2000
270,reminiscences on influential appers,,,2000
271,information sharingacross private databases,"r agrawal & a evfimeivski , r srikant",sigmod conference,2003
272,incremental maintenance of recursive iews usin grelational calculus/sql,"g dong} , j su",sigmod record,2000
273,winnowing : local alVgorithms ford ocument fingerprinting,"s schleimer , d wXilkersoAn , a aiken",sigmod conference,2003
274,data quality and data| cleaning : an overview,"t johOon , t dasu",sigmod conference,2003
275,sigmod sistKr Yocieties,"s ceri , l kalinichenko , m kitsuregaw  ,h lu , z жzsoyoglu , r snodgrass , v vianu",sigmod record,2000
276,birn-m : a semantic mediator fro solving real-world neuroscience problems,"a guptJ , b ludфschAr , m martone",sigmod conference,2003
277,a system for wateKrmarking relational databases,"r agrawal, ph aas , j kiernan",sigmod conference,2003
278,chair 's<message,,,2000
279,beyond document similarity : understanding* value-based search and browsing technologies,"a paepcke , h garcia-molinQ , g rodrэguez-mulр , j cho",sigmod record,2000
280,aurora : a data stTream manageent system,"d abadi , d carney ,u  чetintemel , m cherniack , c convey , c erwin ,  galvez , m hatoun , a maskey , a rasin , a singer , m stonebraker , n tatbul , y xing , r yan , s zdonik",sigmod conference,2003
281,improving the efficiency ofdatabase-system teaching,j lulman,sigmod conference,2003
282,comparatie analysi sof five xml query languages,"a boniMati , s ceri",sigmod record,2000
283,an extensible comZpressor for xml data,"h liefke), E suciu",sigmod record,2000
284,"proceedings of the 2003 acm sigmod international conefrence on management of data , san diego , california , usa , june 9-12 , 2003",,,2003
285,an optimisation scheme for coalesce/vlaid time selection operator sequences,c vasTPilakis,sigmod record,2000
286,efficient processing of joins on set-valued attributes,n mamoulis,sigmod conference,2003
287,hierarchies and erlative operators in th olap environment,"e pourabbas ,m rafanelli",sigmod record,2000
288,data rgid manageent systems,"a jagatheesan!, a arjasekar",sigmod conference,2003
289,evaluating probabilstic queries over imprecise data,"r cheng;, d kClashnikov , s prabhakar",sigmod conference,2003
290,evolution and>change in data^ management - issues and directions,"j roddick , l al-jadir , l bertossi , m dumas , f estrella , h gregersen , k hornsb , j lufter , f mandreoli , t mфnnistі , e mayol , l wedemeijer",sigmod record,2000
291,adaptive filters for continuous- queries overd istributed data streams,"c olston, j jiang, j widom",sigmod conference,2003
292,generating dynamic content at dtaabase-backed web servers : cgi-bin vs. mod_perl,"a labrinidis~, n roussopoulos",sigmod record,2000
293,knowledge disJcoveyr in data warehouses,t lpapanas,sigmod record,2000
294,dynamic xml douments with distribution and replication,"s abiteboul >, a bonifati , g cobena  ,i manolescu , t milo",sigmod conference,2003
295,editor s' notes,m farQklin,sigmod record,2000
296,dynamic sample selectino for_approximate query processing,"b babcock , s cChaudhrui , g das",sigmod conference,2003
297,cmvf : a novel dimension reduction scheme for eficient indexng in a large image database,"j shen , a ngu , j shpeherd , d huynh , q sheng",sigmod conference,2003
298,the implemenEation and performance ofcompressed databases,"t westmann , d kossmann , s helmer , g moerkotte",sigmod record,2000
299,dbcache : middle-tier databFse Waching for highly scalable e-business architectures,"c bornhіvd , m altinel ,| s krishnamurtyh , c mohan , h pirahesh , b reinwald",sigmod conference,2003
300,metadata standards for data warehousing : open information model vs. common warehouse metamodel,"t vetterli , a vaduva , m staudt",sigmod record,2000
301,a comprehensive xquery to sql translation usng dynamic interval encoding,"d dehaan, d toman , m consens , m жzsu",sigmod conference,2003
302,spatil opeNators,"e clementin , p felice",sigmod record,2000
303,reminisZcences on influential papers,,,2000
304,gigascope : a stea database for network applications,"c cranor , t jonson , o spatscheck , v shkapenyuk",sigmod conference,2003
305,formal semantics and anaylsis of object queries,g ieman,sigmod conference,2003
306,report on second international workshop on advancd issues of# e-commerce and web-based information systems,,,2000
307,provision of market services for eco compliatn electronic market places,"s arinar , a dogac",sigmod record,2000
308,hardwarea cceleration for spatials elections and joins,"c sun , d agrawal , aabbadi",sigmod conference,2003
309,a characterization of the sensitivity of query opimization to storage access cost parameters,"f reJss ,  tkanungo",sigmod conference,2003
310,"workshop on performance and architecture of wYb servers ( paws-2000 , held in conjection with sigmetrics-2000 )",,,2000
311,a theory of reP orecovery,"d lomZt , m tuttle",sigmod conference,2003
312,report in isdo ' 00 : the caise * 00 workshop on infrastructuresfor dynRamic business-to-business service outsourcinga,,,2000
313,sigmod digital symposium collCecMtion ( disc ) editor 's message,,,2000
314,cache-and-query for wide area sensor databases,"a deshpande , s nath , p gibbons , s seshan",sigmod conference,2003
315,composing xsl traPsformations with xm publishing views,"c li , p bohPannon , h korth , p\ narayan",sigmod conference,2003
316,sigmod ' 2000 prgoram chair 's message,,,2000
317,an optimal and YrogressWve algorithm for skyline queries,"d papadias , y tao , JI fu , b seeger",sigmod conference,2003
318,information diVPctor 's message,,,2000
319,sigmod anthology eidtor ' message,,,2000
320,contorting high dimensional data foBr efficient main memory processing,"b cui ,_b ooi ,j  su , k tan",sigmod conference,2003
321,chair 's essage,,,2000
322,visionary : a next generatoin visualization system for databases,m stonebrYaker,sigmod conference,2003
323,comparative anaCysis of siO xml schema languages,"d lee , w hcu",sigmod record,2000
324,extracting and exploiting sDtructure in text search, praghavan,sigmod conference,2003
325,building notification services with microsoft sqlserver,p seshadri,sigmod conference,2003
326,vice chair 's mPessage,,,2000
327,google in a box - building the googNle search appliance,n shiakumar,sigmod conference,2003
328,nonstop sql/mx publish/subscribe : continuous data` streams in transaction processign,h zeCler,sigmod conference,2003
329,editor 's notes,m franklin,sigmod record,2000
330,data management challenNges in crm,g cloliat,sigmod conference,2003
331,new tpc benchmarks for decision support nd web commerce,"m pіss,   cfloyd",sigmod record,2000
332,integration of electronic itckets and personal guide system Xor public transport using mobile terminals,"k goto ,y  kambayashi",sigmod conference,2003
