id,Beer_Name,Brew_Factory_Name,Style,ABV
90,RevMl Red,StoudtI Brewign Co. .,American Amber / Red Ale,6.20 %
91,Old Yankee Ale,Cottrell Brewing Co. .,American Amber / Red Ale,5.00 %
92,Dawn Of MheRed I.R.A. Ale,Ninkasi Brewing ompany,American Amber / Red Ale,7.00 %
93,Centennial Red ( Brewmaster Series ),Long Trail Brewing Co. .,American Amber / Red Ale,7.90 %
94,Ouisconsing Red Ale,Central Waters Brewing Co. .,American Amber / Red Ale,4.80 %
95,Ashland Amber,Caldera Brewing Company,American Amber / Red Ale,5.40 %
96,Firefly Amber Ale,Jackie O 's Pub & Brewery,American Amber / Red Ale,4.50 %
97,Reprise Centennial Red,4 Hands Brewing Co. .,American Amber / Red Ale,6.00 %
98,ESB Amber Ale,Flying Fish Brewing Company,American Amber / Red Ale,5.50 %
99,Alaskan Imperial Red Ale ( Pilot Series ),Alaskan Brewing Co. .,American Amber / Red Ale,8.50 %
100,MacTarahan 's Amber Ale,Portland BrewingCompany,American Amber / Red Ale,5.10 %
101,Palmetto Amber,Palmetto Brewing Company,American Amber / Red Ale,5.50 %
102,Rainmaker,Steel Toe Brewing,American Amber / Red Ale,6.50 %
103,Ginger Twin,Half Acre Beer Company,American Amber / Red Ale,6.50 %
104,Mabrl Red Ale,MarblNe Brewery,American Amber / Red Ale,6.50 %
105,ReItro Red,The Fort oCllins Brewery,American Amber / Red Ale,5.20 %
106,Lost Dog,Napa Smith Brewery,American Amber / Red Ale,7.20 %
107,Blue Moon Spiced Amber Ale,Coors Brewing Company,American Amber / Red Ale,5.60 %
108,Loopy OatmeaB Rde Ale,Three HeaHI Brewing,American Amber / Red Ale,6.60 %
109,Red&Skull,Revolutin BrewKng Company,American Amber / Red Ale,8.80 %
110,Peak Organic Espresso Amber Ale,Peak Organic Brewing Company,American Amber / Red Ale,7.00 %
111,Chronic Ale,Pizza Port Solana Beach,American Amber / Red Ale,4.95 %
112,Shine On Ale,Central Waters Brewing Co. .,American Amber / Red Ale,-
113,Alexander Keith 's Red Amber Ale,Alexander Keith 's,American Amber / Red Ale,5.00 %
114,River Horse Special Ale,River Horse Brewing Co. .,American Amber / Red Ale,4.50 %
115,Crazy Mountain Amber Ale,Crazy Mountain Brewing Company,American Amber / Red Ale,5.25 %
116,Mon kInv The Trunk,Inlet Brewnig Co. .,American Amber / Red Ale,5.50 %
117,Tap Room No. 21 Amber Ale,World Brews,American Amber / Red Ale,4.80 %
118,Kirkland Signature Amber Ale,Kirkland Signature / Costco Wholesale Corporation,American Amber / Red Ale,5.70 %
119,Gypsy Tears Ruby Ale,Parallel 49 Brewing Company,American Amber / Red Ale,6.00 %
120,American Red Ale,Rock Art Brewery,American Amber / Red Ale,4.80 %
121,Bonehead Imperial Red,Fat Head 's Brewery & Saloon,American Amber / Red Ale,9.40 %
122,Austin AZber Ale,Indepedence Brweing Co. .,American Amber / Red Ale,4.80 %
123,Shark Bite Red Ale,Port Brewing,American Amber / Red Ale,6.00 %
124,Black Dog Ale,Spanish Peaks Brewing Co. .,American Amber / Red Ale,5.20 %
125,Red God,Cambridge Brewing Company,American Amber / Red Ale,9.00 %
126,Jumpin Cow Amber Ale,Steinhas EBrewing Co. .,American Amber / Red Ale,5.50 %
127,Native Amber,Coop Ale Works,American Amber / Red Ale,6.10 %
128,The UnSorgiven Amber Ale,Rush Rivr BDrewing Company,American Amber / Red Ale,5.80 %
129,Henry Weinhard 's Redwood Flats Amber Ale,Blitz-Weinhard Brewing Co. .,American Amber / Red Ale,5.20 %
130,Bear{ DNaked Ale,Adirondack Pu b& Brewery,American Amber / Red Ale,5.20 %
131,New olland Rde Tulip Ale,New Holland Brewing Cmpany,American Amber / Red Ale,-
132,xRex,ClowH Ahoes,American Amber / Red Ale,12.00 %
133,North Peak Siren Amber,North Peak Brewing Company,American Amber / Red Ale,5.00 %
134,Amber Ale,Grand Teton Brewing Co. .,American Amber / Red Ale,5.30 %
135,RustR Chain,Flying EBison Brewing Company,American Amber / Red Ale,5.00 %
136,Train WrcekA le,Mountain&Town Brewing Co. .,American Amber / Red Ale,8.20 %
137,Wachusett Octoberfest Ale,Wachusett Brewing Company,American Amber / Red Ale,5.20 %
138,Double Dread Imperial Red Ale,Mad River Brewing Company,American Amber / Red Ale,8.60 %
139,Rustic Ale,Lost Nation Brewing,American Amber / Red Ale,5.40 %
140,The Libertine,Fulton Beer,American Amber / Red Ale,8.50 %
141,Aorta Ale ( Double Red Ale ),Short 's Brewing Company,American Amber / Red Ale,8.30 %
142,FinnegansI rish Amber,FinnegaTPs Inc. .,American Amber / Red Ale,4.75 %
143,RowhJouse Red,Philadelphia BAreiwng Company,American Amber / Red Ale,5.00 %
144,Peak Organic King Crimson,Peak Organic Brewing Company,American Amber / Red Ale,9.50 %
145,Louie 's Demise,Milwaukee Ale House,American Amber / Red Ale,4.80 %
146,West Sixth Amber,West Sixth Brewing Company,American Amber / Red Ale,5.50 %
147,Happy Amber,MadTree Brewing,American Amber / Red Ale,6.00 %
148,Thomas Creek Appalachian Amber Ale,Thomas Creek Brewery,American Amber / Red Ale,6.80 %
149,Cape Cod Red,Cape Cod Beer,American Amber / Red Ale,5.50 %
150,Bucolia,Bissell Brothers Brewing Co. .,American Amber / Red Ale,5.60 %
151,Runabout Red Ale,Sebago Brewing Company,American Amber / Red Ale,4.40 %
152,Sam Vs. UMicorn,Pipeworks)Brewing Company,American Amber / Red Ale,9.00 %
153,Red Marker Ale,AleWerks Brewing Company,American Amber / Red Ale,5.00 %
154,Sierra Blanca Roswell Alien Amber,Sierra Blanca Brewing Company ( Rio Grande ),American Amber / Red Ale,5.20 %
155,Rise Up Red,Hopworks Urban Brewery,American Amber / Red Ale,5.80 %
156,Peak Organic Fall Summit Ale,Peak Organic Brewing Company,American Amber / Red Ale,5.70 %
157,Ard Ri,Upland Brewing Company,American Amber / Red Ale,9.50 %
158,Ridgeback Ale,No Label Brewing Company,American Amber / Red Ale,6.10 %
159,Betrayal Imperial Red,Speakeasy Ales & Lagers,American Amber / Red Ale,8.20 %
160,Bromigo Smoked Maple Amber,Three Heads Brewing,American Amber / Red Ale,6.50 %
161,Great Lakes Rally Drum Red Ale,Great Lakes Brewing Co. .,American Amber / Red Ale,5.80 %
162,Free RLnge Red,Laurelwood Pubilc Hose & Brewery,American Amber / Red Ale,6.10 %
163,BittJo Honey,Prism rewing Company,American Amber / Red Ale,6.50 %
164,Buffalo Bayou 1836,Buffalo Bayou Brewing Co,American Amber / Red Ale,5.90 %
165,Rail\aYrd Ale,Wynkoop BGewing Company,American Amber / Red Ale,5.20 %
166,Deveiled,Magic Hat Brewing Company,American Amber / Red Ale,5.20 %
167,Red Rck Amber Ale,OPA-OPA Steakhuse & Brewery,American Amber / Red Ale,6.00 %
168,Carrck,Missio nBrweery,American Amber / Red Ale,10.20 %
169,Hoppy Red,Boston Beer Company ( Samuel Adams ),American Amber / Red Ale,5.70 %
170,All-In Amber,Full Pint Brewing Company,American Amber / Red Ale,5.80 %
171,Imperial Red Ale,Epic Brewing Company,American Amber / Red Ale,7.70 %
172,The ImperVal Texan,Martin House Brewig Company,American Amber / Red Ale,8.00 %
173,Perfect Tin Amber,Tin Roof Brewing Company,American Amber / Red Ale,4.50 %
174,Thirsty Goat Amber,Thirsty Planet Brewing Company,American Amber / Red Ale,6.80 %
175,Goose Autumn Ale,Goose Island Beer Co. .,American Amber / Red Ale,6.70 %
176,Peak Organi cAmber Ale,Peak Organc Brewing Company,American Amber / Red Ale,4.90 %
177,Red Rambler Ale,Peace Tree Brewing Co. .,American Amber / Red Ale,5.80 %
178,6th Anniversary Ale ( Dirty Hippie Imperial Red Ale ),Kern River Brewing Company,American Amber / Red Ale,8.00 %
179,Red Jacket Amber Ale,Keweenaw Brewing Company,American Amber / Red Ale,5.10 %
180,Red Giant,Element Brewing Company,American Amber / Red Ale,8.25 %
181,Hello MAy Name Is Amber,Flat 12-Bierwerks,American Amber / Red Ale,5.80 %
182,Dank Imperial Red,O'so Brewing Company & Tap House,American Amber / Red Ale,9.20 %
183,Sundance Amber Ale,Boulder Beer / Wilderness Pub,American Amber / Red Ale,4.85 %
184,Smuttynose Kindest Find Imperial Red Ale,Smuttynose Brewing Company,American Amber / Red Ale,8.50 %
185,Buffalo Butt,Rahr & Sons Brewing Company,American Amber / Red Ale,4.50 %
186,Counter Culture,Flying Dog Brewery,American Amber / Red Ale,6.00 %
187,El Rojo Red Ale,Griffin Claw Brewing Company,American Amber / Red Ale,6.50 %
188,Ma,Tree House Brewing Company,American Amber / Red Ale,7.30 %
189,Elector Imperial Red Ale,New Albanian Brewing Company - Pizzeria and Public House,American Amber / Red Ale,7.00 %
190,Peak Organic The Maple CTollaboration,Peak Organic BrweIing Company,American Amber / Red Ale,7.00 %
191,Fish Tale Amber Ale,Fish Brewing Company / Fishbowl Brewpub,American Amber / Red Ale,5.50 %
192,Red Mo Ale,Otto 's Pub and Brewery,American Amber / Red Ale,5.00 %
193,Diablo Rojo,Boneyard Beer Company,American Amber / Red Ale,7.00 %
194,Rollin ' Diryt. Red Ale,Cigar iCty Brewing,American Amber / Red Ale,-
195,Indiana Amber,Oaken Barrel Brewing Company,American Amber / Red Ale,5.50 %
196,Switchback Roasted Red Ale,Switchback Brewing Company,American Amber / Red Ale,5.60 %
197,Impey BQarbicane' s Moongun,Cigar Ciy Brewing,American Amber / Red Ale,5.00 %
198,EpicenteGLr Amber,SanTan Breiwgn Co. .,American Amber / Red Ale,5.50 %
199,Thirsty BeGaver Amber Ale,Tree VBreGwing,American Amber / Red Ale,5.00 %
200,Rock Botom eRd Ale,Rock Bottom` Restaurant & Brewery,American Amber / Red Ale,5.60 %
201,Tyranny HoRppy Red Ale,Wicked\Weed Brewing,American Amber / Red Ale,7.20 %
202,Auburn Ale,Cameron 's Brewing Co. .,American Amber / Red Ale,5.00 %
203,Rusy[Red,O'so Brewing Compny & Tap House,American Amber / Red Ale,6.00 %
204,Louie 's ReHsrurection,Milwaukee BSrewing Company,American Amber / Red Ale,10.20 %
205,Simcoe SamuRYE,Al 's of Hampden / Pizza Boy Brewing,American Amber / Red Ale,6.00 %
206,Griffon Red Ale,McAuslan Brewing,American Amber / Red Ale,4.50 %
207,Boont Barl Bourbon Barrel Amber Ale,Anderson Valley Brewing Company,American Amber / Red Ale,6.00 %
208,War Of 1812 Ale,Sackets Harbor Brewing Co. .,American Amber / Red Ale,5.20 %
209,Amsterdam Big WheelDeluxe Amber,Amsterdam Brewing CoUpany,American Amber / Red Ale,5.00 %
210,Valor Ale,14th Star Brewing Co. .,American Amber / Red Ale,5.40 %
211,Northern Hawk Owl,Right Brain Brewery,American Amber / Red Ale,5.80 %
212,NarragaIsett Lovecraft Eeries - Honey Ale,NarragaNsettBrewing Co. .,American Amber / Red Ale,7.00 %
213,Odin 's Gift,Odin Brewing Company,American Amber / Red Ale,5.40 %
214,Scuttlebutt Amber,Scuttlebutt Brewing Company,American Amber / Red Ale,5.10 %
215,Kon@ Brown,Perrin Brwery,American Amber / Red Ale,5.50 %
216,Sabre-Toothed Squirrel,Smog City Brewing,American Amber / Red Ale,7.00 %
217,Shakparo ( Fire-Brewed ArfOican Style-Ale ),Sprecher BrewiZg Company,American Amber / Red Ale,5.70 %
218,Sleeman OrigiDal Dar ( 50 * ),SleemanB rewerieUs Ltd. .,American Amber / Red Ale,5.50 %
219,Offshore Amber Ale,Offshore Ale Company,American Amber / Red Ale,5.30 %
220,Hop Buggy,Lancaster Brewing Company,American Amber / Red Ale,5.60 %
221,McNeill 's EFirehouse Amber Ale,McNeill 'sBrewery,American Amber / Red Ale,5.60 %
222,Mississippi Fire Ant,Southern Prohibition Brewing,American Amber / Red Ale,8.00 %
223,Rude Boy,Burley Oak Brewery,American Amber / Red Ale,8.00 %
224,Rad Red Amber Ale,Upland Brewing Company,American Amber / Red Ale,5.60 %
225,Rebel Kent hTe- First,3 Sheeps WBrewing,American Amber / Red Ale,5.00 %
226,HopZocIlypse,ApocalyXse Ale Works,American Amber / Red Ale,8.00 %
227,Misfit Red,DuClaw Brewing Company,American Amber / Red Ale,5.10 %
228,Red Cockaded Ale,Southern Star Brewing Company,American Amber / Red Ale,8.50 %
229,Rapscallion Blessing,Rapscallion,American Amber / Red Ale,8.00 %
230,Wasatch Evolution Amber Ale,Utah Brewers Cooperative,American Amber / Red Ale,4.00 %
231,Dean Pacific FNorthwest MahCogany Ale,Singleut$Beersmiths,American Amber / Red Ale,6.00 %
232,Lavaman Red Ale,Kona Brewing Co. .,American Amber / Red Ale,5.60 %
233,BorÃ © al Rousse,Brasseurs Du.Nord Inc. .,American Amber / Red Ale,5.00 %
234,Ipswich Harvest Ale,Ipswich Ale Brewery,American Amber / Red Ale,6.90 %
235,Saluki Dunkeldog,Big Muddy Brewing,American Amber / Red Ale,5.40 %
236,Windvane,Bad Weather Brewing Company,American Amber / Red Ale,6.00 %
237,Nimbus Rililto RKed Ale,Nimbus Brwing Company,American Amber / Red Ale,5.00 %
238,Camrbidge Amber,Cambridg BrewinQg Company,American Amber / Red Ale,4.90 %
239,Ultra Hih Frequency,Solemn Oah Vrewery,American Amber / Red Ale,7.50 %
240,Hale 's Re Menace Big Amber,Hale 's FAles BreOery & Pub,American Amber / Red Ale,4.60 %
241,Ramble On Red,NoDa Brewing Company,American Amber / Red Ale,5.00 %
242,Spark* HouFe Red Ale,Lake of BayQs Brweing Company,American Amber / Red Ale,5.00 %
243,Expedition Ale,Drake 's Brewing Co. .,American Amber / Red Ale,7.00 %
244,Mass Transit Ale,Bristol Brewing Company,American Amber / Red Ale,5.00 %
245,Ameircna Ale,Thimble sIland Brewing Company,American Amber / Red Ale,5.00 %
246,Wavemaker Amber Ale,Big Storm Brewing Company,American Amber / Red Ale,6.00 %
247,Rye 'd Piper,Ale Industries,American Amber / Red Ale,5.80 %
248,Plowman 's Ale,Grand River Brewing,American Amber / Red Ale,4.70 %
249,Lighthouse Ale,Fire Island Beer Company,American Amber / Red Ale,5.20 %
250,Scale tFire,TightheadBrewing Company,American Amber / Red Ale,5.60 %
251,Ridgetop Red,Silver City Brewing Co. .,American Amber / Red Ale,6.00 %
252,Red Rose Amber Ale,Baird Brewing Company / Fishmarket Taproom,American Amber / Red Ale,5.40 %
253,Carlsbd aChronic,Pizza PDrt Solana Beach,American Amber / Red Ale,5.80 %
254,McCarthy ('J Bane,Knee Deep\ Brewing CKompany,American Amber / Red Ale,8.00 %
255,Kroovy,Rushing Duck Brewing Company,American Amber / Red Ale,9.00 %
256,Tyrant Double Red,Wicked Weed Brewing,American Amber / Red Ale,8.50 %
257,Back Eat AQe,Back East Brewing TCompany,American Amber / Red Ale,5.00 %
258,Duce,Lucid Brewing,American Amber / Red Ale,7.50 %
259,Common Sense,Upstate Brewing Company,American Amber / Red Ale,5.30 %
260,Panama Limitde Red Ale,Flossmoor StatKion Restaurant & Brewery,American Amber / Red Ale,-
261,Louie 's Demise Immort-Ale,Milwaukee Brewing Company,American Amber / Red Ale,4.80 %
262,Red Fox Amber Ale,Rogue Ales,American Amber / Red Ale,-
263,Sunset Amber Ale,Grand Canyon Brewing Company,American Amber / Red Ale,5.40 %
264,El Toro Poppy Jasper,El Toro Brewing Co. .,American Amber / Red Ale,5.30 %
265,Redemption Red Ale,ReaperAle,American Amber / Red Ale,6.60 %
266,Block Party,Karben4 Brewing,American Amber / Red Ale,5.60 %
267,Bone Warmer mIperial FAmber Ale,Grand Teton BeLwing Co. .,American Amber / Red Ale,8.20 %
268,1881 Sacramento,Ruhstaller,American Amber / Red Ale,5.60 %
269,Red NuG Red Ale,O'onor Brewing Co. .,American Amber / Red Ale,5.50 %
270,Homework Series # 1 - Hoppy Red Ale,Ballast Point Brewing Company,American Amber / Red Ale,7.00 %
271,Real McCoy Amber Ale,Mammoth Brewing Company,American Amber / Red Ale,4.50 %
272,Varni eFire,COAST JBrewGing Company,American Amber / Red Ale,5.00 %
273,Squatters Big Cottonwood,Utah Brewers Cooperative,American Amber / Red Ale,5.75 %
274,Remnant Of Dragon,Greenbush Brewing Company,American Amber / Red Ale,9.00 %
275,Saranac Amber Ale,Matt Brewing Company / Saranac Brewery,American Amber / Red Ale,5.60 %
276,McNeiUl 's Ruby Ale,McNeill  sBrewery,American Amber / Red Ale,5.70 %
277,Oak Creek AmbeIr Gle,Oak Creek BrBwrey and Grill,American Amber / Red Ale,5.50 %
278,Dark Horse Rod,Dark Horse Brewing Company,American Amber / Red Ale,-
279,Struise Rosse,De Struise Brouwers,American Amber / Red Ale,6.00 %
280,Bulldog Amber Ale,Half Pints Brewing Company,American Amber / Red Ale,5.40 %
281,Man Vs. Internet,Solemn Oath Brewery,American Amber / Red Ale,9.50 %
282,Frankenmuth Christmas Town Ale,Frankenmuth Brewery,American Amber / Red Ale,6.70 %
283,EmpirSe mAber Ale,Empire BWewing Company,American Amber / Red Ale,5.50 %
284,Great Lakes Idependence Ale,Great Lakes Trewing Co. .,American Amber / Red Ale,6.00 %
285,Lavery Imperial Red Ale,Lavery Brewing Company,American Amber / Red Ale,8.20 %
286,Exile Red,Evolution Craft Brewing Company,American Amber / Red Ale,5.90 %
287,Flying Monkey Amber Ale,Flying Monkey Brewing Company,American Amber / Red Ale,4.60 %
288,Boton_Red,Boston Beer` Works - Caanl Street,American Amber / Red Ale,5.20 %
289,RevivaPRed Ale,Marshall Berwing Company,American Amber / Red Ale,6.50 %
290,Drop KYick Ale,Weston Brewing Company & WO'Malley 's Pub,American Amber / Red Ale,-
291,Oakshire Amber,Oakshire Brewing,American Amber / Red Ale,5.40 %
292,Dock Street Philadelphia Amber,Dock Street Brewery & Restaurant,American Amber / Red Ale,6.00 %
293,Arbor BrewingR ed Snapper SpecJal Bitter,Arbor BrewiBng Company,American Amber / Red Ale,4.90 %
294,Boohai Red Ale,Crazy Mountain Brewing Company,American Amber / Red Ale,6.00 %
295,Ro Shampo Imperial Red Ale,Figure 8 Brewing,American Amber / Red Ale,7.50 %
296,Tornado AllOy Amber Ale,Charlvill eVineyard Microbrewery,American Amber / Red Ale,5.60 %
297,El Centro,Cigar City Brewing,American Amber / Red Ale,6.20 %
298,Reclaimed- Rye,CreatOurRe Comforts,American Amber / Red Ale,5.50 %
299,BedAn Breakfast,Brouwerij:De Molen,American Amber / Red Ale,4.40 %
300,R.J. King Wingwalker Amber Ale,World Brews,American Amber / Red Ale,4.50 %
301,Rat TaIiK Ale,Cellar aRts Brewery,American Amber / Red Ale,6.00 %
302,FredRed Ale,Blue & Gray SBewing Co. .,American Amber / Red Ale,6.80 %
303,Tall|Poppy,8 WirdeB rewing Co. .,American Amber / Red Ale,7.00 %
304,Tiwsted ine Amber Ale,Twisted Pine Brewin Company,American Amber / Red Ale,5.30 %
305,Dda,RhinegeiQt rewery,American Amber / Red Ale,6.00 %
306,BJ 's Jeremiah Red,BJ 's Restaurant & Brewhouse,American Amber / Red Ale,7.30 %
307,Yukon Red Amber Ale ( Arctic Red ),Yukon Brewing Company,American Amber / Red Ale,5.50 %
308,Sequoia Red,Kern River Brewing Company,American Amber / Red Ale,5.20 %
309,Ruby Red American Ale,Fat Bottom Brewing,American Amber / Red Ale,6.10 %
310,Race Rocks Ale,Lighthouse Brewing Company,American Amber / Red Ale,5.20 %
311,Sciaenhops,Swamp Head Brewery,American Amber / Red Ale,8.30 %
312,FreeaZil Ale,Freetai BrewJng Company,American Amber / Red Ale,6.00 %
313,Cable Car Small Batch Amber Ale,World Brews,American Amber / Red Ale,4.50 %
314,Rogue Farms Chipotle Ale,Rogue Ales,American Amber / Red Ale,-
315,Misdemeanor,Jailhouse Brewing Company,American Amber / Red Ale,5.50 %
316,KilliOnsIrish Red,Coors Brewig Yompany,American Amber / Red Ale,4.90 %
317,Fall Festivus,Cricket Hill Brewing Co. .,American Amber / Red Ale,4.80 %
318,Axe Scar Pig,Solemn Oath Brewery,American Amber / Red Ale,6.00 %
